ccode1,ccode2,year,imp,places,currency,country1,country2
950,2,1919,100173,1,Pounds,Fiji,United States
950,2,1920,175099,1,Pounds,Fiji,United States
950,2,1921,144759,1,Pounds,Fiji,United States
950,2,1922,76172,1,Pounds,Fiji,United States
950,2,1923,75298,1,Pounds,Fiji,United States
950,2,1924,103356,1,Pounds,Fiji,United States
950,2,1925,143089,1,Pounds,Fiji,United States
950,2,1926,123574,1,Pounds,Fiji,United States
950,2,1927,122470,1,Pounds,Fiji,United States
950,2,1928,131994,1,Pounds,Fiji,United States
950,2,1929,121441,1,Pounds,Fiji,United States
950,2,1930,86224,1,Pounds,Fiji,United States
950,2,1931,51789,1,Pounds,Fiji,United States
950,2,1932,25937,1,Pounds,Fiji,United States
950,2,1933,42431,1,Pounds,Fiji,United States
950,2,1934,86285,1,Pounds,Fiji,United States
950,2,1935,95150,1,Pounds,Fiji,United States
950,2,1936,91065,1,Pounds,Fiji,United States
950,2,1937,120745,1,Pounds,Fiji,United States
950,2,1938,129289,1,Pounds,Fiji,United States
950,4,1919,2428,1,Pounds,Fiji,Hawaii
950,4,1920,53,1,Pounds,Fiji,Hawaii
950,4,1921,3,1,Pounds,Fiji,Hawaii
950,4,1922,305,1,Pounds,Fiji,Hawaii
950,4,1923,0,1,Pounds,Fiji,Hawaii
950,4,1924,0,1,Pounds,Fiji,Hawaii
950,4,1925,0,1,Pounds,Fiji,Hawaii
950,4,1926,382,1,Pounds,Fiji,Hawaii
950,4,1927,209,1,Pounds,Fiji,Hawaii
950,4,1928,0,1,Pounds,Fiji,Hawaii
950,4,1929,1353,1,Pounds,Fiji,Hawaii
950,4,1930,109,1,Pounds,Fiji,Hawaii
950,4,1931,98,1,Pounds,Fiji,Hawaii
950,4,1932,5,1,Pounds,Fiji,Hawaii
950,4,1933,23,1,Pounds,Fiji,Hawaii
950,4,1934,54,1,Pounds,Fiji,Hawaii
950,4,1935,212,1,Pounds,Fiji,Hawaii
950,4,1936,105,1,Pounds,Fiji,Hawaii
950,4,1937,239,1,Pounds,Fiji,Hawaii
950,4,1938,649,1,Pounds,Fiji,Hawaii
950,20,1919,9925,1,Pounds,Fiji,Canada
950,20,1920,25915,1,Pounds,Fiji,Canada
950,20,1921,24905,1,Pounds,Fiji,Canada
950,20,1922,32926,1,Pounds,Fiji,Canada
950,20,1923,54824,1,Pounds,Fiji,Canada
950,20,1924,59067,1,Pounds,Fiji,Canada
950,20,1925,42128,1,Pounds,Fiji,Canada
950,20,1926,59633,1,Pounds,Fiji,Canada
950,20,1927,51105,1,Pounds,Fiji,Canada
950,20,1928,70262,1,Pounds,Fiji,Canada
950,20,1929,84822,1,Pounds,Fiji,Canada
950,20,1930,60076,1,Pounds,Fiji,Canada
950,20,1931,40134,1,Pounds,Fiji,Canada
950,20,1932,25675,1,Pounds,Fiji,Canada
950,20,1933,38175,1,Pounds,Fiji,Canada
950,20,1934,45309,1,Pounds,Fiji,Canada
950,20,1935,56823,1,Pounds,Fiji,Canada
950,20,1936,81777,1,Pounds,Fiji,Canada
950,20,1937,105174,1,Pounds,Fiji,Canada
950,20,1938,102052,1,Pounds,Fiji,Canada
950,21,1919,0,1,Pounds,Fiji,Newfoundland
950,21,1920,0,1,Pounds,Fiji,Newfoundland
950,21,1921,0,1,Pounds,Fiji,Newfoundland
950,21,1922,0,1,Pounds,Fiji,Newfoundland
950,21,1923,0,1,Pounds,Fiji,Newfoundland
950,21,1924,0,1,Pounds,Fiji,Newfoundland
950,21,1925,0,1,Pounds,Fiji,Newfoundland
950,21,1926,0,1,Pounds,Fiji,Newfoundland
950,21,1927,0,1,Pounds,Fiji,Newfoundland
950,21,1928,0,1,Pounds,Fiji,Newfoundland
950,21,1929,0,1,Pounds,Fiji,Newfoundland
950,21,1930,0,1,Pounds,Fiji,Newfoundland
950,21,1931,0,1,Pounds,Fiji,Newfoundland
950,21,1932,0,1,Pounds,Fiji,Newfoundland
950,21,1933,0,1,Pounds,Fiji,Newfoundland
950,21,1934,7,1,Pounds,Fiji,Newfoundland
950,21,1935,8,1,Pounds,Fiji,Newfoundland
950,21,1936,3,1,Pounds,Fiji,Newfoundland
950,21,1937,0,1,Pounds,Fiji,Newfoundland
950,21,1938,0,1,Pounds,Fiji,Newfoundland
950,40,1919,0,1,Pounds,Fiji,Cuba
950,40,1920,0,1,Pounds,Fiji,Cuba
950,40,1921,0,1,Pounds,Fiji,Cuba
950,40,1922,0,1,Pounds,Fiji,Cuba
950,40,1923,0,1,Pounds,Fiji,Cuba
950,40,1924,0,1,Pounds,Fiji,Cuba
950,40,1925,0,1,Pounds,Fiji,Cuba
950,40,1926,0,1,Pounds,Fiji,Cuba
950,40,1927,0,1,Pounds,Fiji,Cuba
950,40,1928,0,1,Pounds,Fiji,Cuba
950,40,1929,0,1,Pounds,Fiji,Cuba
950,40,1930,0,1,Pounds,Fiji,Cuba
950,40,1931,0,1,Pounds,Fiji,Cuba
950,40,1932,0,1,Pounds,Fiji,Cuba
950,40,1933,0,1,Pounds,Fiji,Cuba
950,40,1934,66,1,Pounds,Fiji,Cuba
950,40,1935,0,1,Pounds,Fiji,Cuba
950,40,1936,0,1,Pounds,Fiji,Cuba
950,40,1937,0,1,Pounds,Fiji,Cuba
950,40,1938,0,1,Pounds,Fiji,Cuba
950,51,1919,0,1,Pounds,Fiji,Jamaica
950,51,1920,0,1,Pounds,Fiji,Jamaica
950,51,1921,0,1,Pounds,Fiji,Jamaica
950,51,1922,0,1,Pounds,Fiji,Jamaica
950,51,1923,0,1,Pounds,Fiji,Jamaica
950,51,1924,0,1,Pounds,Fiji,Jamaica
950,51,1925,0,1,Pounds,Fiji,Jamaica
950,51,1926,0,1,Pounds,Fiji,Jamaica
950,51,1927,0,1,Pounds,Fiji,Jamaica
950,51,1928,0,1,Pounds,Fiji,Jamaica
950,51,1929,0,1,Pounds,Fiji,Jamaica
950,51,1930,0,1,Pounds,Fiji,Jamaica
950,51,1931,0,1,Pounds,Fiji,Jamaica
950,51,1932,0,1,Pounds,Fiji,Jamaica
950,51,1933,0,1,Pounds,Fiji,Jamaica
950,51,1934,203,1,Pounds,Fiji,Jamaica
950,51,1935,190,1,Pounds,Fiji,Jamaica
950,51,1936,0,1,Pounds,Fiji,Jamaica
950,51,1937,0,1,Pounds,Fiji,Jamaica
950,51,1938,0,1,Pounds,Fiji,Jamaica
950,52,1919,0,1,Pounds,Fiji,Trinidad And Tobago
950,52,1920,0,1,Pounds,Fiji,Trinidad And Tobago
950,52,1921,0,1,Pounds,Fiji,Trinidad And Tobago
950,52,1922,0,1,Pounds,Fiji,Trinidad And Tobago
950,52,1923,0,1,Pounds,Fiji,Trinidad And Tobago
950,52,1924,0,1,Pounds,Fiji,Trinidad And Tobago
950,52,1925,0,1,Pounds,Fiji,Trinidad And Tobago
950,52,1926,0,1,Pounds,Fiji,Trinidad And Tobago
950,52,1927,0,1,Pounds,Fiji,Trinidad And Tobago
950,52,1928,0,1,Pounds,Fiji,Trinidad And Tobago
950,52,1929,0,1,Pounds,Fiji,Trinidad And Tobago
950,52,1930,0,1,Pounds,Fiji,Trinidad And Tobago
950,52,1931,0,1,Pounds,Fiji,Trinidad And Tobago
950,52,1932,0,1,Pounds,Fiji,Trinidad And Tobago
950,52,1933,0,1,Pounds,Fiji,Trinidad And Tobago
950,52,1934,749,1,Pounds,Fiji,Trinidad And Tobago
950,52,1935,476,1,Pounds,Fiji,Trinidad And Tobago
950,52,1936,0,1,Pounds,Fiji,Trinidad And Tobago
950,52,1937,0,1,Pounds,Fiji,Trinidad And Tobago
950,52,1938,0,1,Pounds,Fiji,Trinidad And Tobago
950,70,1919,0,1,Pounds,Fiji,Mexico
950,70,1920,0,1,Pounds,Fiji,Mexico
950,70,1921,0,1,Pounds,Fiji,Mexico
950,70,1922,0,1,Pounds,Fiji,Mexico
950,70,1923,0,1,Pounds,Fiji,Mexico
950,70,1924,0,1,Pounds,Fiji,Mexico
950,70,1925,0,1,Pounds,Fiji,Mexico
950,70,1926,0,1,Pounds,Fiji,Mexico
950,70,1927,0,1,Pounds,Fiji,Mexico
950,70,1928,0,1,Pounds,Fiji,Mexico
950,70,1929,0,1,Pounds,Fiji,Mexico
950,70,1930,0,1,Pounds,Fiji,Mexico
950,70,1931,0,1,Pounds,Fiji,Mexico
950,70,1932,0,1,Pounds,Fiji,Mexico
950,70,1933,0,1,Pounds,Fiji,Mexico
950,70,1934,0,1,Pounds,Fiji,Mexico
950,70,1935,8,1,Pounds,Fiji,Mexico
950,70,1936,0,1,Pounds,Fiji,Mexico
950,70,1937,1,1,Pounds,Fiji,Mexico
950,70,1938,0,1,Pounds,Fiji,Mexico
950,101,1919,0,1,Pounds,Fiji,Venezuela
950,101,1920,0,1,Pounds,Fiji,Venezuela
950,101,1921,0,1,Pounds,Fiji,Venezuela
950,101,1922,0,1,Pounds,Fiji,Venezuela
950,101,1923,0,1,Pounds,Fiji,Venezuela
950,101,1924,0,1,Pounds,Fiji,Venezuela
950,101,1925,0,1,Pounds,Fiji,Venezuela
950,101,1926,0,1,Pounds,Fiji,Venezuela
950,101,1927,0,1,Pounds,Fiji,Venezuela
950,101,1928,0,1,Pounds,Fiji,Venezuela
950,101,1929,0,1,Pounds,Fiji,Venezuela
950,101,1930,0,1,Pounds,Fiji,Venezuela
950,101,1931,0,1,Pounds,Fiji,Venezuela
950,101,1932,0,1,Pounds,Fiji,Venezuela
950,101,1933,0,1,Pounds,Fiji,Venezuela
950,101,1934,0,1,Pounds,Fiji,Venezuela
950,101,1935,6,1,Pounds,Fiji,Venezuela
950,101,1936,0,1,Pounds,Fiji,Venezuela
950,101,1937,0,1,Pounds,Fiji,Venezuela
950,101,1938,0,1,Pounds,Fiji,Venezuela
