ccode1,ccode2,year,imp,places,currency,country1,country2
375,2,1901,0,1,,Finland,United States
375,2,1902,0,1,,Finland,United States
375,2,1903,1768746,1,,Finland,United States
375,2,1904,9132,1,,Finland,United States
375,2,1905,1434,1,,Finland,United States
375,2,1906,266,1,,Finland,United States
375,2,1907,518,1,Marks,Finland,United States
375,2,1908,378,1,Marks,Finland,United States
375,2,1909,440,1,Marks,Finland,United States
375,2,1910,434,1,Marks,Finland,United States
375,2,1911,1666,1,Marks,Finland,United States
375,2,1912,2475,1,Marks,Finland,United States
375,2,1913,3687,1,Marks,Finland,United States
375,2,1914,1722,1,Marks,Finland,United States
375,2,1915,1980,1,Marks,Finland,United States
375,2,1916,142936,1,Marks,Finland,United States
375,2,1917,203498,1,Marks,Finland,United States
375,2,1918,6068481,1,Marks,Finland,United States
375,2,1919,638895482,1,Marks,Finland,United States
375,2,1920,794846590,1,Marks,Finland,United States
375,2,1921,613898613,1,Marks,Finland,United States
375,2,1922,609022840,1,Marks,Finland,United States
375,2,1923,583457733,1,Marks,Finland,United States
375,2,1924,629085764,1,Marks,Finland,United States
375,2,1925,811580223,1,Fmk,Finland,United States
375,2,1926,801226356,1,Fmk,Finland,United States
375,2,1927,980961529,1,Fmk,Finland,United States
375,2,1928,1179148208,1,Fmk,Finland,United States
375,2,1929,873435809,1,Fmk,Finland,United States
375,2,1930,638435276,1,Fmk,Finland,United States
375,2,1931,372406396,1,Fmk,Finland,United States
375,2,1932,268774672,1,Fmk,Finland,United States
375,2,1933,288565241,1,Fmk,Finland,United States
375,2,1934,411762376,1,Fmk,Finland,United States
375,2,1935,520902635,1,Fmk,Finland,United States
375,3,1901,0,1,,Finland,Alaska
375,3,1902,0,1,,Finland,Alaska
375,3,1903,0,1,,Finland,Alaska
375,3,1904,0,1,,Finland,Alaska
375,3,1905,0,1,,Finland,Alaska
375,3,1906,0,1,,Finland,Alaska
375,3,1907,0,1,Marks,Finland,Alaska
375,3,1908,0,1,Marks,Finland,Alaska
375,3,1909,0,1,Marks,Finland,Alaska
375,3,1910,0,1,Marks,Finland,Alaska
375,3,1911,0,1,Marks,Finland,Alaska
375,3,1912,0,1,Marks,Finland,Alaska
375,3,1913,0,1,Marks,Finland,Alaska
375,3,1914,0,1,Marks,Finland,Alaska
375,3,1915,0,1,Marks,Finland,Alaska
375,3,1916,0,1,Marks,Finland,Alaska
375,3,1917,0,1,Marks,Finland,Alaska
375,3,1918,0,1,Marks,Finland,Alaska
375,3,1919,0,1,Marks,Finland,Alaska
375,3,1920,0,1,Marks,Finland,Alaska
375,3,1921,0,1,Marks,Finland,Alaska
375,3,1922,0,1,Marks,Finland,Alaska
375,3,1923,0,1,Marks,Finland,Alaska
375,3,1924,0,1,Marks,Finland,Alaska
375,3,1925,0,1,Fmk,Finland,Alaska
375,3,1926,0,1,Fmk,Finland,Alaska
375,3,1927,0,1,Fmk,Finland,Alaska
375,3,1928,0,1,Fmk,Finland,Alaska
375,3,1929,0,1,Fmk,Finland,Alaska
375,3,1930,0,1,Fmk,Finland,Alaska
375,3,1931,0,1,Fmk,Finland,Alaska
375,3,1932,0,1,Fmk,Finland,Alaska
375,3,1933,0,1,Fmk,Finland,Alaska
375,3,1934,0,1,Fmk,Finland,Alaska
375,3,1935,1000,1,Fmk,Finland,Alaska
375,4,1901,0,1,,Finland,Hawaii
375,4,1902,0,1,,Finland,Hawaii
375,4,1903,0,1,,Finland,Hawaii
375,4,1904,0,1,,Finland,Hawaii
375,4,1905,0,1,,Finland,Hawaii
375,4,1906,0,1,,Finland,Hawaii
375,4,1907,0,1,Marks,Finland,Hawaii
375,4,1908,0,1,Marks,Finland,Hawaii
375,4,1909,0,1,Marks,Finland,Hawaii
375,4,1910,0,1,Marks,Finland,Hawaii
375,4,1911,0,1,Marks,Finland,Hawaii
375,4,1912,0,1,Marks,Finland,Hawaii
375,4,1913,0,1,Marks,Finland,Hawaii
375,4,1914,0,1,Marks,Finland,Hawaii
375,4,1915,0,1,Marks,Finland,Hawaii
375,4,1916,0,1,Marks,Finland,Hawaii
375,4,1917,0,1,Marks,Finland,Hawaii
