ccode1,ccode2,year,imp,places,currency,country1,country2
810,2,1933,12690,1000,Mille Francs,French Indo-China,United States
810,2,1934,5390,1000,Mille Francs,French Indo-China,United States
810,2,1935,11227,1000,Mille Francs,French Indo-China,United States
810,2,1936,15759,1000,Mille Francs,French Indo-China,United States
810,2,1937,32131,1000,Mille Francs,French Indo-China,United States
810,20,1933,293,1000,Mille Francs,French Indo-China,Canada
810,20,1934,2,1000,Mille Francs,French Indo-China,Canada
810,20,1935,18,1000,Mille Francs,French Indo-China,Canada
810,20,1936,33,1000,Mille Francs,French Indo-China,Canada
810,20,1937,84,1000,Mille Francs,French Indo-China,Canada
810,140,1933,5,1000,Mille Francs,French Indo-China,Brazil
810,140,1934,20,1000,Mille Francs,French Indo-China,Brazil
810,140,1935,0,1000,Mille Francs,French Indo-China,Brazil
810,140,1936,0,1000,Mille Francs,French Indo-China,Brazil
810,140,1937,0,1000,Mille Francs,French Indo-China,Brazil
810,160,1933,5,1000,Mille Francs,French Indo-China,Argentina
810,160,1934,0,1000,Mille Francs,French Indo-China,Argentina
810,160,1935,31,1000,Mille Francs,French Indo-China,Argentina
810,160,1936,7,1000,Mille Francs,French Indo-China,Argentina
810,160,1937,34,1000,Mille Francs,French Indo-China,Argentina
810,200,1933,8361,1000,Mille Francs,French Indo-China,United Kingdom
810,200,1934,7154,1000,Mille Francs,French Indo-China,United Kingdom
810,200,1935,9225,1000,Mille Francs,French Indo-China,United Kingdom
810,200,1936,13760,1000,Mille Francs,French Indo-China,United Kingdom
810,200,1937,24499,1000,Mille Francs,French Indo-China,United Kingdom
810,205,1933,0,1000,Mille Francs,French Indo-China,Ireland
810,205,1934,0,1000,Mille Francs,French Indo-China,Ireland
810,205,1935,0,1000,Mille Francs,French Indo-China,Ireland
810,205,1936,22,1000,Mille Francs,French Indo-China,Ireland
810,205,1937,10,1000,Mille Francs,French Indo-China,Ireland
810,210,1933,5919,1000,Mille Francs,French Indo-China,Netherlands
