ccode1,ccode2,year,imp,places,currency,country1,country2
220,2,1919,9217844,1000,,France,United States
220,2,1920,10866102,1000,,France,United States
220,2,1921,3539260,1000,,France,United States
220,2,1922,3844989,1000,,France,United States
220,2,1923,4851283,1000,,France,United States
220,2,1924,5585920,1000,,France,United States
220,2,1925,6376573,1000,,France,United States
220,2,1926,7819720,1000,,France,United States
220,2,1927,6807469,1000,,France,United States
220,2,1928,6177321,1000,,France,United States
220,2,1929,7159550,1000,,France,United States
220,2,1930,6148131,1000,,France,United States
220,2,1931,3800497,1000,,France,United States
220,2,1932,2899585,1000,Mille Francs,France,United States
220,2,1933,2856645,1000,Mille Francs,France,United States
220,2,1934,2190239,1000,Mille Francs,France,United States
220,2,1935,1788014,1000,Milliers De Francs,France,United States
220,2,1936,2526421,1000,Milliers De Francs,France,United States
220,2,1937,4033222,1000,Mille Francs,France,United States
220,2,1938,5277309,1000,Mille Fr.,France,United States
220,2,1939,5840513,1000,Mille Fr.,France,United States
220,2,1940,8485189,1000,Mille Fr.,France,United States
220,2,1941,505062,1000,Mille Fr.,France,United States
220,2,1942,141997,1000,Mille Fr.,France,United States
220,2,1943,65255,1000,,France,United States
220,2,1944,1407080,1000,Mille Fr.,France,United States
220,2,1945,27174989,1000,Mille Fr.,France,United States
220,2,1946,83859776,1000,Mille Francs,France,United States
220,2,1947,120082009,1000,Mille Francs,France,United States
220,2,1948,118678752,1000,Mille Francs,France,United States
220,2,1949,162656608,1000,Mille Francs,France,United States
220,6,1919,1850,1000,,France,Puerto Rico
220,6,1920,2602,1000,,France,Puerto Rico
220,6,1921,2232,1000,,France,Puerto Rico
220,6,1922,2701,1000,,France,Puerto Rico
220,6,1923,0,1000,,France,Puerto Rico
220,6,1924,0,1000,,France,Puerto Rico
220,6,1925,0,1000,,France,Puerto Rico
220,6,1926,0,1000,,France,Puerto Rico
220,6,1927,0,1000,,France,Puerto Rico
220,6,1928,0,1000,,France,Puerto Rico
220,6,1929,0,1000,,France,Puerto Rico
220,6,1930,0,1000,,France,Puerto Rico
220,6,1931,0,1000,,France,Puerto Rico
220,6,1932,0,1000,Mille Francs,France,Puerto Rico
220,6,1933,0,1000,Mille Francs,France,Puerto Rico
220,6,1934,0,1000,Mille Francs,France,Puerto Rico
220,6,1935,0,1000,Milliers De Francs,France,Puerto Rico
220,6,1936,0,1000,Milliers De Francs,France,Puerto Rico
220,6,1937,0,1000,Mille Francs,France,Puerto Rico
220,6,1938,0,1000,Mille Fr.,France,Puerto Rico
220,6,1939,0,1000,Mille Fr.,France,Puerto Rico
220,6,1940,0,1000,Mille Fr.,France,Puerto Rico
220,6,1941,0,1000,Mille Fr.,France,Puerto Rico
220,6,1942,0,1000,Mille Fr.,France,Puerto Rico
220,6,1943,0,1000,,France,Puerto Rico
220,6,1944,0,1000,Mille Fr.,France,Puerto Rico
220,6,1945,0,1000,Mille Fr.,France,Puerto Rico
220,6,1946,0,1000,Mille Francs,France,Puerto Rico
220,6,1947,0,1000,Mille Francs,France,Puerto Rico
220,6,1948,0,1000,Mille Francs,France,Puerto Rico
220,6,1949,0,1000,Mille Francs,France,Puerto Rico
220,20,1919,464830,1000,,France,Canada
220,20,1920,605060,1000,,France,Canada
220,20,1921,159604,1000,,France,Canada
220,20,1922,161062,1000,,France,Canada
220,20,1923,356319,1000,,France,Canada
220,20,1924,446937,1000,,France,Canada
220,20,1925,357170,1000,,France,Canada
220,20,1926,389177,1000,,France,Canada
220,20,1927,729698,1000,,France,Canada
220,20,1928,604490,1000,,France,Canada
220,20,1929,843443,1000,,France,Canada
220,20,1930,447102,1000,,France,Canada
220,20,1931,829694,1000,,France,Canada
220,20,1932,541991,1000,Mille Francs,France,Canada
220,20,1933,317950,1000,Mille Francs,France,Canada
220,20,1934,259410,1000,Mille Francs,France,Canada
220,20,1935,333558,1000,Milliers De Francs,France,Canada
220,20,1936,321533,1000,Milliers De Francs,France,Canada
220,20,1937,527158,1000,Mille Francs,France,Canada
220,20,1938,620144,1000,Mille Fr.,France,Canada
220,20,1939,387047,1000,Mille Fr.,France,Canada
220,20,1940,574681,1000,Mille Fr.,France,Canada
220,20,1941,23474,1000,Mille Fr.,France,Canada
220,20,1942,9527,1000,Mille Fr.,France,Canada
220,20,1943,3,1000,,France,Canada
220,20,1944,366435,1000,Mille Fr.,France,Canada
220,20,1945,2130653,1000,Mille Fr.,France,Canada
220,20,1946,8774431,1000,Mille Francs,France,Canada
220,20,1947,10065677,1000,Mille Francs,France,Canada
220,20,1948,9328896,1000,Mille Francs,France,Canada
220,20,1949,10416334,1000,Mille Francs,France,Canada
220,40,1919,362868,1000,,France,Cuba
220,40,1920,324844,1000,,France,Cuba
220,40,1921,69819,1000,,France,Cuba
220,40,1922,171810,1000,,France,Cuba
220,40,1923,130794,1000,,France,Cuba
220,40,1924,183195,1000,,France,Cuba
220,40,1925,180761,1000,,France,Cuba
220,40,1926,316450,1000,,France,Cuba
220,40,1927,184992,1000,,France,Cuba
220,40,1928,197604,1000,,France,Cuba
220,40,1929,274247,1000,,France,Cuba
220,40,1930,123280,1000,,France,Cuba
220,40,1931,51539,1000,,France,Cuba
220,40,1932,45618,1000,Mille Francs,France,Cuba
220,40,1933,74139,1000,Mille Francs,France,Cuba
220,40,1934,78175,1000,Mille Francs,France,Cuba
220,40,1935,65080,1000,Milliers De Francs,France,Cuba
220,40,1936,31795,1000,Milliers De Francs,France,Cuba
220,40,1937,71907,1000,Mille Francs,France,Cuba
220,40,1938,76986,1000,Mille Fr.,France,Cuba
220,40,1939,121707,1000,Mille Fr.,France,Cuba
220,40,1940,74201,1000,Mille Fr.,France,Cuba
220,40,1941,8236,1000,Mille Fr.,France,Cuba
220,40,1942,276,1000,Mille Fr.,France,Cuba
220,40,1943,2,1000,,France,Cuba
220,40,1944,68,1000,Mille Fr.,France,Cuba
220,40,1945,470394,1000,Mille Fr.,France,Cuba
220,40,1946,1390591,1000,Mille Francs,France,Cuba
220,40,1947,683738,1000,Mille Francs,France,Cuba
220,40,1948,6653243,1000,Mille Francs,France,Cuba
220,40,1949,5978405,1000,Mille Francs,France,Cuba
220,41,1919,80369,1000,,France,Haiti
220,41,1920,149936,1000,,France,Haiti
220,41,1921,88043,1000,,France,Haiti
220,41,1922,82924,1000,,France,Haiti
220,41,1923,126962,1000,,France,Haiti
220,41,1924,159893,1000,,France,Haiti
220,41,1925,216267,1000,,France,Haiti
220,41,1926,350412,1000,,France,Haiti
220,41,1927,172824,1000,,France,Haiti
220,41,1928,224355,1000,,France,Haiti
220,41,1929,230804,1000,,France,Haiti
220,41,1930,171268,1000,,France,Haiti
220,41,1931,105962,1000,,France,Haiti
220,41,1932,90053,1000,Mille Francs,France,Haiti
220,41,1933,117230,1000,Mille Francs,France,Haiti
220,41,1934,97719,1000,Mille Francs,France,Haiti
220,41,1935,62306,1000,Milliers De Francs,France,Haiti
220,41,1936,52178,1000,Milliers De Francs,France,Haiti
220,41,1937,50035,1000,Mille Francs,France,Haiti
220,41,1938,47992,1000,Mille Fr.,France,Haiti
220,41,1939,75064,1000,Mille Fr.,France,Haiti
220,41,1940,25748,1000,Mille Fr.,France,Haiti
220,41,1941,5998,1000,Mille Fr.,France,Haiti
220,41,1942,60,1000,Mille Fr.,France,Haiti
220,41,1943,21,1000,,France,Haiti
220,41,1944,183,1000,Mille Fr.,France,Haiti
220,41,1945,23,1000,Mille Fr.,France,Haiti
220,41,1946,4133,1000,Mille Francs,France,Haiti
220,41,1947,113165,1000,Mille Francs,France,Haiti
220,41,1948,197146,1000,Mille Francs,France,Haiti
220,41,1949,77799,1000,Mille Francs,France,Haiti
220,42,1919,13524,1000,,France,Dominican Republic
220,42,1920,28998,1000,,France,Dominican Republic
220,42,1921,7960,1000,,France,Dominican Republic
220,42,1922,12181,1000,,France,Dominican Republic
220,42,1923,43058,1000,,France,Dominican Republic
220,42,1924,13397,1000,,France,Dominican Republic
220,42,1925,47678,1000,,France,Dominican Republic
220,42,1926,71436,1000,,France,Dominican Republic
220,42,1927,32367,1000,,France,Dominican Republic
220,42,1928,64164,1000,,France,Dominican Republic
220,42,1929,85493,1000,,France,Dominican Republic
220,42,1930,72457,1000,,France,Dominican Republic
220,42,1931,111121,1000,,France,Dominican Republic
220,42,1932,68825,1000,Mille Francs,France,Dominican Republic
220,42,1933,68646,1000,Mille Francs,France,Dominican Republic
220,42,1934,48517,1000,Mille Francs,France,Dominican Republic
220,42,1935,47408,1000,Milliers De Francs,France,Dominican Republic
220,42,1936,26109,1000,Milliers De Francs,France,Dominican Republic
220,42,1937,141492,1000,Mille Francs,France,Dominican Republic
220,42,1938,78831,1000,Mille Fr.,France,Dominican Republic
220,42,1939,100823,1000,Mille Fr.,France,Dominican Republic
220,42,1940,80894,1000,Mille Fr.,France,Dominican Republic
220,42,1941,2078,1000,Mille Fr.,France,Dominican Republic
220,42,1942,77,1000,Mille Fr.,France,Dominican Republic
220,42,1943,1561,1000,,France,Dominican Republic
220,42,1944,59,1000,Mille Fr.,France,Dominican Republic
220,42,1945,18512,1000,Mille Fr.,France,Dominican Republic
220,42,1946,290214,1000,Mille Francs,France,Dominican Republic
220,42,1947,347664,1000,Mille Francs,France,Dominican Republic
220,42,1948,95840,1000,Mille Francs,France,Dominican Republic
220,42,1949,17990,1000,Mille Francs,France,Dominican Republic
220,65,1919,126379,1000,,France,Guadeloupe
220,65,1920,138280,1000,,France,Guadeloupe
220,65,1921,96404,1000,,France,Guadeloupe
220,65,1922,103110,1000,,France,Guadeloupe
220,65,1923,120730,1000,,France,Guadeloupe
220,65,1924,161248,1000,,France,Guadeloupe
220,65,1925,155339,1000,,France,Guadeloupe
220,65,1926,178382,1000,,France,Guadeloupe
220,65,1927,156143,1000,,France,Guadeloupe
220,65,1928,186940,1000,,France,Guadeloupe
220,65,1929,137507,1000,,France,Guadeloupe
220,65,1930,156714,1000,,France,Guadeloupe
220,65,1931,136563,1000,,France,Guadeloupe
220,65,1932,198394,1000,Mille Francs,France,Guadeloupe
220,65,1933,187178,1000,Mille Francs,France,Guadeloupe
220,65,1934,136777,1000,Mille Francs,France,Guadeloupe
220,65,1935,159440,1000,Milliers De Francs,France,Guadeloupe
220,65,1936,178307,1000,Milliers De Francs,France,Guadeloupe
220,65,1937,313398,1000,Mille Francs,France,Guadeloupe
220,65,1938,338541,1000,Mille Fr.,France,Guadeloupe
220,65,1939,385462,1000,Mille Fr.,France,Guadeloupe
220,65,1940,289383,1000,Mille Fr.,France,Guadeloupe
220,65,1941,71484,1000,Mille Fr.,France,Guadeloupe
220,65,1942,17547,1000,Mille Fr.,France,Guadeloupe
220,65,1943,11676,1000,,France,Guadeloupe
220,65,1944,2635,1000,Mille Fr.,France,Guadeloupe
220,65,1945,240274,1000,Mille Fr.,France,Guadeloupe
220,65,1946,1178061,1000,Mille Francs,France,Guadeloupe
220,65,1947,4242518,1000,Mille Francs,France,Guadeloupe
220,65,1948,5720008,1000,Mille Francs,France,Guadeloupe
220,65,1949,5924654,1000,Mille Francs,France,Guadeloupe
220,66,1919,219007,1000,,France,Martinique
220,66,1920,179917,1000,,France,Martinique
220,66,1921,89884,1000,,France,Martinique
220,66,1922,167506,1000,,France,Martinique
220,66,1923,164212,1000,,France,Martinique
220,66,1924,205125,1000,,France,Martinique
220,66,1925,170469,1000,,France,Martinique
220,66,1926,238837,1000,,France,Martinique
220,66,1927,220871,1000,,France,Martinique
220,66,1928,261618,1000,,France,Martinique
220,66,1929,278565,1000,,France,Martinique
220,66,1930,240543,1000,,France,Martinique
220,66,1931,240510,1000,,France,Martinique
220,66,1932,211278,1000,Mille Francs,France,Martinique
220,66,1933,184741,1000,Mille Francs,France,Martinique
220,66,1934,192739,1000,Mille Francs,France,Martinique
220,66,1935,189503,1000,Milliers De Francs,France,Martinique
220,66,1936,201317,1000,Milliers De Francs,France,Martinique
220,66,1937,265985,1000,Mille Francs,France,Martinique
220,66,1938,337088,1000,Mille Fr.,France,Martinique
220,66,1939,358717,1000,Mille Fr.,France,Martinique
220,66,1940,307727,1000,Mille Fr.,France,Martinique
220,66,1941,97555,1000,Mille Fr.,France,Martinique
220,66,1942,9201,1000,Mille Fr.,France,Martinique
220,66,1943,1792,1000,,France,Martinique
220,66,1944,593,1000,Mille Fr.,France,Martinique
220,66,1945,137831,1000,Mille Fr.,France,Martinique
220,66,1946,1083685,1000,Mille Francs,France,Martinique
220,66,1947,4546865,1000,Mille Francs,France,Martinique
220,66,1948,4705619,1000,Mille Francs,France,Martinique
220,66,1949,6462000,1000,Mille Francs,France,Martinique
220,70,1919,16146,1000,,France,Mexico
220,70,1920,87446,1000,,France,Mexico
220,70,1921,60445,1000,,France,Mexico
220,70,1922,105058,1000,,France,Mexico
220,70,1923,127177,1000,,France,Mexico
220,70,1924,128016,1000,,France,Mexico
220,70,1925,131126,1000,,France,Mexico
220,70,1926,221165,1000,,France,Mexico
220,70,1927,225717,1000,,France,Mexico
220,70,1928,282642,1000,,France,Mexico
220,70,1929,249927,1000,,France,Mexico
220,70,1930,215016,1000,,France,Mexico
220,70,1931,133860,1000,,France,Mexico
220,70,1932,53878,1000,Mille Francs,France,Mexico
220,70,1933,109876,1000,Mille Francs,France,Mexico
220,70,1934,82522,1000,Mille Francs,France,Mexico
220,70,1935,61218,1000,Milliers De Francs,France,Mexico
220,70,1936,79019,1000,Milliers De Francs,France,Mexico
220,70,1937,151092,1000,Mille Francs,France,Mexico
220,70,1938,151308,1000,Mille Fr.,France,Mexico
220,70,1939,104790,1000,Mille Fr.,France,Mexico
220,70,1940,39549,1000,Mille Fr.,France,Mexico
220,70,1941,1530,1000,Mille Fr.,France,Mexico
220,70,1942,343,1000,Mille Fr.,France,Mexico
220,70,1943,26,1000,,France,Mexico
220,70,1944,167,1000,Mille Fr.,France,Mexico
220,70,1945,27816,1000,Mille Fr.,France,Mexico
220,70,1946,479514,1000,Mille Francs,France,Mexico
220,70,1947,3092721,1000,Mille Francs,France,Mexico
220,70,1948,3024814,1000,Mille Francs,France,Mexico
220,70,1949,3195024,1000,Mille Francs,France,Mexico
220,90,1919,386,1000,,France,Guatemala
220,90,1920,3459,1000,,France,Guatemala
220,90,1921,153,1000,,France,Guatemala
220,90,1922,194,1000,,France,Guatemala
220,90,1923,812,1000,,France,Guatemala
220,90,1924,2301,1000,,France,Guatemala
220,90,1925,1480,1000,,France,Guatemala
220,90,1926,744,1000,,France,Guatemala
220,90,1927,2963,1000,,France,Guatemala
220,90,1928,4603,1000,,France,Guatemala
220,90,1929,4856,1000,,France,Guatemala
220,90,1930,2682,1000,,France,Guatemala
220,90,1931,47910,1000,,France,Guatemala
220,90,1932,27216,1000,Mille Francs,France,Guatemala
220,90,1933,24413,1000,Mille Francs,France,Guatemala
220,90,1934,19539,1000,Mille Francs,France,Guatemala
220,90,1935,4222,1000,Milliers De Francs,France,Guatemala
220,90,1936,4305,1000,Milliers De Francs,France,Guatemala
220,90,1937,6216,1000,Mille Francs,France,Guatemala
220,90,1938,4196,1000,Mille Fr.,France,Guatemala
220,90,1939,2911,1000,Mille Fr.,France,Guatemala
220,90,1940,1375,1000,Mille Fr.,France,Guatemala
220,90,1941,38,1000,Mille Fr.,France,Guatemala
220,90,1942,0,1000,Mille Fr.,France,Guatemala
220,90,1943,0,1000,,France,Guatemala
220,90,1944,8,1000,Mille Fr.,France,Guatemala
220,90,1945,0,1000,Mille Fr.,France,Guatemala
220,90,1946,17201,1000,Mille Francs,France,Guatemala
220,90,1947,17063,1000,Mille Francs,France,Guatemala
220,90,1948,38089,1000,Mille Francs,France,Guatemala
220,90,1949,40582,1000,Mille Francs,France,Guatemala
220,91,1919,880,1000,,France,Honduras
220,91,1920,766,1000,,France,Honduras
220,91,1921,4,1000,,France,Honduras
220,91,1922,124,1000,,France,Honduras
220,91,1923,110,1000,,France,Honduras
220,91,1924,412,1000,,France,Honduras
220,91,1925,510,1000,,France,Honduras
220,91,1926,1683,1000,,France,Honduras
220,91,1927,1787,1000,,France,Honduras
220,91,1928,4867,1000,,France,Honduras
220,91,1929,3713,1000,,France,Honduras
220,91,1930,10302,1000,,France,Honduras
220,91,1931,3345,1000,,France,Honduras
220,91,1932,2380,1000,Mille Francs,France,Honduras
220,91,1933,2334,1000,Mille Francs,France,Honduras
220,91,1934,3827,1000,Mille Francs,France,Honduras
220,91,1935,1562,1000,Milliers De Francs,France,Honduras
220,91,1936,2570,1000,Milliers De Francs,France,Honduras
220,91,1937,5282,1000,Mille Francs,France,Honduras
220,91,1938,669,1000,Mille Fr.,France,Honduras
220,91,1939,170,1000,Mille Fr.,France,Honduras
220,91,1940,6,1000,Mille Fr.,France,Honduras
220,91,1941,0,1000,Mille Fr.,France,Honduras
220,91,1942,0,1000,Mille Fr.,France,Honduras
220,91,1943,0,1000,,France,Honduras
220,91,1944,0,1000,Mille Fr.,France,Honduras
220,91,1945,0,1000,Mille Fr.,France,Honduras
220,91,1946,8648,1000,Mille Francs,France,Honduras
220,91,1947,23732,1000,Mille Francs,France,Honduras
220,91,1948,6456,1000,Mille Francs,France,Honduras
220,91,1949,5704,1000,Mille Francs,France,Honduras
220,92,1919,23982,1000,,France,El Salvador
220,92,1920,24876,1000,,France,El Salvador
220,92,1921,9582,1000,,France,El Salvador
220,92,1922,17959,1000,,France,El Salvador
220,92,1923,17401,1000,,France,El Salvador
220,92,1924,12256,1000,,France,El Salvador
220,92,1925,16849,1000,,France,El Salvador
220,92,1926,9679,1000,,France,El Salvador
220,92,1927,12318,1000,,France,El Salvador
220,92,1928,8710,1000,,France,El Salvador
220,92,1929,9417,1000,,France,El Salvador
220,92,1930,13593,1000,,France,El Salvador
220,92,1931,14160,1000,,France,El Salvador
