ccode1,ccode2,year,imp,places,currency,country1,country2
255,2,1906,1236351,1000,Marks,Germany,United States
255,2,1907,1319268,1000,Marks,Germany,United States
255,2,1908,1282610,1000,Marks,Germany,United States
255,2,1909,1262563,1000,Marks,Germany,United States
255,2,1910,1187613,1000,Marks,Germany,United States
255,2,1911,1343387,1000,Marks,Germany,United States
255,2,1912,1585984,1000,Marks,Germany,United States
255,2,1920,28194.3,1000000,Millionen Papiermarf,Germany,United States
255,2,1923,1171698,1000,1000 Rm,Germany,United States
255,2,1924,1754402,1000,1000 Rm,Germany,United States
255,2,1925,2560529,1000,1000 Rm,Germany,United States
255,2,1926,1602120,1000,1000 Rm,Germany,United States
255,2,1927,2072893,1000,1000 Rm,Germany,United States
255,2,1928,2026.2,1000000,Million Rm,Germany,United States
255,2,1929,1787805,1000,1000 Rm,Germany,United States
255,2,1930,1306768,1000,1000 Rm,Germany,United States
255,2,1931,791436,1000,1000 Rm,Germany,United States
255,2,1932,591805,1000,1000 Rm,Germany,United States
255,2,1933,482772,1000,1000 Rm,Germany,United States
255,2,1934,372679,1000,1000 Rm,Germany,United States
255,2,1935,240679,1000,1000 Rm,Germany,United States
255,2,1936,232228,1000,1000 Rm,Germany,United States
255,2,1937,281899,1000,1000 Rm,Germany,United States
255,2,1938,404577,1000,1000 Rm,Germany,United States
255,2,1939,197847,1000,1000 Rm,Germany,United States
255,2,1940,15822,1000,1000 Rm,Germany,United States
255,4,1906,0,1000,Marks,Germany,Hawaii
255,4,1907,0,1000,Marks,Germany,Hawaii
255,4,1908,0,1000,Marks,Germany,Hawaii
255,4,1909,0,1000,Marks,Germany,Hawaii
255,4,1910,0,1000,Marks,Germany,Hawaii
255,4,1911,0,1000,Marks,Germany,Hawaii
255,4,1912,0,1000,Marks,Germany,Hawaii
255,4,1920,0,1000000,Millionen Papiermarf,Germany,Hawaii
255,4,1923,4,1000,1000 Rm,Germany,Hawaii
255,4,1924,652,1000,1000 Rm,Germany,Hawaii
255,4,1925,0,1000,1000 Rm,Germany,Hawaii
255,4,1926,0,1000,1000 Rm,Germany,Hawaii
255,4,1927,0,1000,1000 Rm,Germany,Hawaii
255,4,1928,0,1000000,Million Rm,Germany,Hawaii
255,4,1929,0,1000,1000 Rm,Germany,Hawaii
255,4,1930,0,1000,1000 Rm,Germany,Hawaii
255,4,1931,0,1000,1000 Rm,Germany,Hawaii
255,4,1932,0,1000,1000 Rm,Germany,Hawaii
255,4,1933,0,1000,1000 Rm,Germany,Hawaii
255,4,1934,0,1000,1000 Rm,Germany,Hawaii
255,4,1935,0,1000,1000 Rm,Germany,Hawaii
255,4,1936,0,1000,1000 Rm,Germany,Hawaii
255,4,1937,96,1000,1000 Rm,Germany,Hawaii
255,4,1938,30,1000,1000 Rm,Germany,Hawaii
255,4,1939,15,1000,1000 Rm,Germany,Hawaii
255,4,1940,5,1000,1000 Rm,Germany,Hawaii
255,20,1906,9423,1000,Marks,Germany,Canada
255,20,1907,9826,1000,Marks,Germany,Canada
255,20,1908,7076,1000,Marks,Germany,Canada
255,20,1909,8389,1000,Marks,Germany,Canada
255,20,1910,10636,1000,Marks,Germany,Canada
255,20,1911,23956,1000,Marks,Germany,Canada
255,20,1912,58130,1000,Marks,Germany,Canada
255,20,1920,124.6,1000000,Millionen Papiermarf,Germany,Canada
255,20,1923,12216,1000,1000 Rm,Germany,Canada
255,20,1924,47421,1000,1000 Rm,Germany,Canada
255,20,1925,160061,1000,1000 Rm,Germany,Canada
255,20,1926,262142,1000,1000 Rm,Germany,Canada
255,20,1927,385926,1000,1000 Rm,Germany,Canada
255,20,1928,375.5,1000000,Million Rm,Germany,Canada
255,20,1929,301612,1000,1000 Rm,Germany,Canada
255,20,1930,132642,1000,1000 Rm,Germany,Canada
255,20,1931,99095,1000,1000 Rm,Germany,Canada
255,20,1932,64888,1000,1000 Rm,Germany,Canada
255,20,1933,79256,1000,1000 Rm,Germany,Canada
255,20,1934,62758,1000,1000 Rm,Germany,Canada
255,20,1935,12335,1000,1000 Rm,Germany,Canada
255,20,1936,18757,1000,1000 Rm,Germany,Canada
255,20,1937,48725,1000,1000 Rm,Germany,Canada
255,20,1938,72791,1000,1000 Rm,Germany,Canada
255,20,1939,0,1000,1000 Rm,Germany,Canada
255,20,1940,0,1000,1000 Rm,Germany,Canada
255,21,1906,0,1000,Marks,Germany,Newfoundland
255,21,1907,0,1000,Marks,Germany,Newfoundland
255,21,1908,0,1000,Marks,Germany,Newfoundland
255,21,1909,0,1000,Marks,Germany,Newfoundland
255,21,1910,0,1000,Marks,Germany,Newfoundland
255,21,1911,0,1000,Marks,Germany,Newfoundland
255,21,1912,0,1000,Marks,Germany,Newfoundland
255,21,1920,112.3,1000000,Millionen Papiermarf,Germany,Newfoundland
255,21,1923,13145,1000,1000 Rm,Germany,Newfoundland
255,21,1924,12412,1000,1000 Rm,Germany,Newfoundland
255,21,1925,23241,1000,1000 Rm,Germany,Newfoundland
255,21,1926,19299,1000,1000 Rm,Germany,Newfoundland
255,21,1927,68002,1000,1000 Rm,Germany,Newfoundland
255,21,1928,0,1000000,Million Rm,Germany,Newfoundland
255,21,1929,0,1000,1000 Rm,Germany,Newfoundland
