ccode1,ccode2,year,imp,places,currency,country1,country2
452,2,1928,1586719,1,Pounds,Ghana,United States
452,2,1935,754806,1,Pounds,Ghana,United States
452,2,1936,852482,1,Pounds,Ghana,United States
452,2,1938,768514,1,Pounds,Ghana,United States
452,2,1939,715378,1,Pounds,Ghana,United States
452,2,1944,1448608,1,Pounds,Ghana,United States
452,2,1946,1163047,1,Pounds,Ghana,United States
452,2,1947,2974427,1,Pounds,Ghana,United States
452,20,1928,95511,1,Pounds,Ghana,Canada
452,20,1935,82713,1,Pounds,Ghana,Canada
452,20,1936,74272,1,Pounds,Ghana,Canada
452,20,1938,65620,1,Pounds,Ghana,Canada
452,20,1939,67675,1,Pounds,Ghana,Canada
452,20,1944,153484,1,Pounds,Ghana,Canada
452,20,1946,233884,1,Pounds,Ghana,Canada
452,20,1947,459855,1,Pounds,Ghana,Canada
452,21,1928,57,1,Pounds,Ghana,Newfoundland
452,21,1935,266,1,Pounds,Ghana,Newfoundland
452,21,1936,275,1,Pounds,Ghana,Newfoundland
452,21,1938,518,1,Pounds,Ghana,Newfoundland
452,21,1939,158,1,Pounds,Ghana,Newfoundland
452,21,1944,0,1,Pounds,Ghana,Newfoundland
452,21,1946,9481,1,Pounds,Ghana,Newfoundland
452,21,1947,40848,1,Pounds,Ghana,Newfoundland
452,30,1928,0,1,Pounds,Ghana,Bermuda
452,30,1935,0,1,Pounds,Ghana,Bermuda
452,30,1936,2,1,Pounds,Ghana,Bermuda
452,30,1938,0,1,Pounds,Ghana,Bermuda
452,30,1939,0,1,Pounds,Ghana,Bermuda
452,30,1944,0,1,Pounds,Ghana,Bermuda
452,30,1946,0,1,Pounds,Ghana,Bermuda
452,30,1947,0,1,Pounds,Ghana,Bermuda
452,40,1928,3456,1,Pounds,Ghana,Cuba
452,40,1935,2606,1,Pounds,Ghana,Cuba
452,40,1936,5130,1,Pounds,Ghana,Cuba
452,40,1938,1911,1,Pounds,Ghana,Cuba
452,40,1939,2844,1,Pounds,Ghana,Cuba
452,40,1944,0,1,Pounds,Ghana,Cuba
452,40,1946,7,1,Pounds,Ghana,Cuba
452,40,1947,0,1,Pounds,Ghana,Cuba
452,42,1928,0,1,Pounds,Ghana,Dominican Republic
452,42,1935,18,1,Pounds,Ghana,Dominican Republic
452,42,1936,16,1,Pounds,Ghana,Dominican Republic
452,42,1938,0,1,Pounds,Ghana,Dominican Republic
452,42,1939,0,1,Pounds,Ghana,Dominican Republic
452,42,1944,0,1,Pounds,Ghana,Dominican Republic
452,42,1946,0,1,Pounds,Ghana,Dominican Republic
452,42,1947,0,1,Pounds,Ghana,Dominican Republic
452,51,1928,337,1,Pounds,Ghana,Jamaica
452,51,1935,1048,1,Pounds,Ghana,Jamaica
452,51,1936,2271,1,Pounds,Ghana,Jamaica
452,51,1938,426,1,Pounds,Ghana,Jamaica
452,51,1939,388,1,Pounds,Ghana,Jamaica
452,51,1944,1181,1,Pounds,Ghana,Jamaica
452,51,1946,2219,1,Pounds,Ghana,Jamaica
452,51,1947,2261,1,Pounds,Ghana,Jamaica
452,52,1928,158,1,Pounds,Ghana,Trinidad And Tobago
452,52,1935,340,1,Pounds,Ghana,Trinidad And Tobago
452,52,1936,243,1,Pounds,Ghana,Trinidad And Tobago
452,52,1938,0,1,Pounds,Ghana,Trinidad And Tobago
452,52,1939,0,1,Pounds,Ghana,Trinidad And Tobago
452,52,1944,75724,1,Pounds,Ghana,Trinidad And Tobago
452,52,1946,2721,1,Pounds,Ghana,Trinidad And Tobago
452,52,1947,109253,1,Pounds,Ghana,Trinidad And Tobago
452,66,1928,0,1,Pounds,Ghana,Martinique
452,66,1935,0,1,Pounds,Ghana,Martinique
452,66,1936,3,1,Pounds,Ghana,Martinique
452,66,1938,0,1,Pounds,Ghana,Martinique
452,66,1939,0,1,Pounds,Ghana,Martinique
452,66,1944,0,1,Pounds,Ghana,Martinique
452,66,1946,0,1,Pounds,Ghana,Martinique
452,66,1947,0,1,Pounds,Ghana,Martinique
452,68,1928,0,1,Pounds,Ghana,Netherlands Antilles
452,68,1935,72170,1,Pounds,Ghana,Netherlands Antilles
452,68,1936,81699,1,Pounds,Ghana,Netherlands Antilles
452,68,1938,292780,1,Pounds,Ghana,Netherlands Antilles
452,68,1939,342612,1,Pounds,Ghana,Netherlands Antilles
452,68,1944,757488,1,Pounds,Ghana,Netherlands Antilles
452,68,1946,551086,1,Pounds,Ghana,Netherlands Antilles
452,68,1947,515500,1,Pounds,Ghana,Netherlands Antilles
452,70,1928,0,1,Pounds,Ghana,Mexico
452,70,1935,0,1,Pounds,Ghana,Mexico
452,70,1936,22,1,Pounds,Ghana,Mexico
452,70,1938,0,1,Pounds,Ghana,Mexico
452,70,1939,0,1,Pounds,Ghana,Mexico
452,70,1944,54180,1,Pounds,Ghana,Mexico
452,70,1946,2084,1,Pounds,Ghana,Mexico
452,70,1947,8655,1,Pounds,Ghana,Mexico
452,80,1928,0,1,Pounds,Ghana,Belize
452,80,1935,0,1,Pounds,Ghana,Belize
452,80,1936,1,1,Pounds,Ghana,Belize
452,80,1938,0,1,Pounds,Ghana,Belize
452,80,1939,0,1,Pounds,Ghana,Belize
452,80,1944,0,1,Pounds,Ghana,Belize
452,80,1946,0,1,Pounds,Ghana,Belize
452,80,1947,0,1,Pounds,Ghana,Belize
452,90,1928,0,1,Pounds,Ghana,Guatemala
452,90,1935,1,1,Pounds,Ghana,Guatemala
452,90,1936,0,1,Pounds,Ghana,Guatemala
452,90,1938,0,1,Pounds,Ghana,Guatemala
452,90,1939,0,1,Pounds,Ghana,Guatemala
452,90,1944,0,1,Pounds,Ghana,Guatemala
452,90,1946,0,1,Pounds,Ghana,Guatemala
452,90,1947,0,1,Pounds,Ghana,Guatemala
452,94,1928,0,1,Pounds,Ghana,Costa Rica
452,94,1935,80,1,Pounds,Ghana,Costa Rica
452,94,1936,0,1,Pounds,Ghana,Costa Rica
452,94,1938,0,1,Pounds,Ghana,Costa Rica
452,94,1939,0,1,Pounds,Ghana,Costa Rica
452,94,1944,0,1,Pounds,Ghana,Costa Rica
452,94,1946,0,1,Pounds,Ghana,Costa Rica
452,94,1947,0,1,Pounds,Ghana,Costa Rica
452,100,1928,4,1,Pounds,Ghana,Colombia
452,100,1935,9,1,Pounds,Ghana,Colombia
452,100,1936,0,1,Pounds,Ghana,Colombia
452,100,1938,0,1,Pounds,Ghana,Colombia
452,100,1939,0,1,Pounds,Ghana,Colombia
452,100,1944,0,1,Pounds,Ghana,Colombia
452,100,1946,0,1,Pounds,Ghana,Colombia
452,100,1947,0,1,Pounds,Ghana,Colombia
452,101,1928,0,1,Pounds,Ghana,Venezuela
452,101,1935,3165,1,Pounds,Ghana,Venezuela
452,101,1936,738,1,Pounds,Ghana,Venezuela
452,101,1938,0,1,Pounds,Ghana,Venezuela
452,101,1939,2585,1,Pounds,Ghana,Venezuela
452,101,1944,0,1,Pounds,Ghana,Venezuela
452,101,1946,0,1,Pounds,Ghana,Venezuela
452,101,1947,0,1,Pounds,Ghana,Venezuela
452,110,1928,30,1,Pounds,Ghana,Guyana
452,110,1935,4,1,Pounds,Ghana,Guyana
452,110,1936,0,1,Pounds,Ghana,Guyana
452,110,1938,0,1,Pounds,Ghana,Guyana
452,110,1939,0,1,Pounds,Ghana,Guyana
452,110,1944,0,1,Pounds,Ghana,Guyana
452,110,1946,0,1,Pounds,Ghana,Guyana
452,110,1947,0,1,Pounds,Ghana,Guyana
452,135,1928,11,1,Pounds,Ghana,Peru
452,135,1935,0,1,Pounds,Ghana,Peru
452,135,1936,5,1,Pounds,Ghana,Peru
452,135,1938,0,1,Pounds,Ghana,Peru
452,135,1939,0,1,Pounds,Ghana,Peru
452,135,1944,0,1,Pounds,Ghana,Peru
452,135,1946,0,1,Pounds,Ghana,Peru
452,135,1947,0,1,Pounds,Ghana,Peru
452,140,1928,124,1,Pounds,Ghana,Brazil
452,140,1935,875,1,Pounds,Ghana,Brazil
452,140,1936,621,1,Pounds,Ghana,Brazil
452,140,1938,1513,1,Pounds,Ghana,Brazil
452,140,1939,4875,1,Pounds,Ghana,Brazil
452,140,1944,44236,1,Pounds,Ghana,Brazil
452,140,1946,9079,1,Pounds,Ghana,Brazil
452,140,1947,7818,1,Pounds,Ghana,Brazil
452,155,1928,0,1,Pounds,Ghana,Chile
452,155,1935,0,1,Pounds,Ghana,Chile
452,155,1936,4,1,Pounds,Ghana,Chile
452,155,1938,0,1,Pounds,Ghana,Chile
452,155,1939,0,1,Pounds,Ghana,Chile
452,155,1944,0,1,Pounds,Ghana,Chile
452,155,1946,0,1,Pounds,Ghana,Chile
452,155,1947,13,1,Pounds,Ghana,Chile
452,160,1928,74647,1,Pounds,Ghana,Argentina
452,160,1935,56074,1,Pounds,Ghana,Argentina
452,160,1936,89100,1,Pounds,Ghana,Argentina
452,160,1938,44189,1,Pounds,Ghana,Argentina
452,160,1939,52888,1,Pounds,Ghana,Argentina
452,160,1944,19190,1,Pounds,Ghana,Argentina
452,160,1946,6205,1,Pounds,Ghana,Argentina
452,160,1947,2373,1,Pounds,Ghana,Argentina
452,165,1928,153,1,Pounds,Ghana,Uruguay
452,165,1935,19882,1,Pounds,Ghana,Uruguay
452,165,1936,10665,1,Pounds,Ghana,Uruguay
452,165,1938,3742,1,Pounds,Ghana,Uruguay
452,165,1939,4917,1,Pounds,Ghana,Uruguay
452,165,1944,0,1,Pounds,Ghana,Uruguay
452,165,1946,0,1,Pounds,Ghana,Uruguay
452,165,1947,2202,1,Pounds,Ghana,Uruguay
452,200,1928,6513246,1,Pounds,Ghana,United Kingdom
452,200,1935,4533683,1,Pounds,Ghana,United Kingdom
452,200,1936,7499788,1,Pounds,Ghana,United Kingdom
452,200,1938,6648796,1,Pounds,Ghana,United Kingdom
452,200,1939,7199842,1,Pounds,Ghana,United Kingdom
452,200,1944,5841938,1,Pounds,Ghana,United Kingdom
452,200,1946,13057243,1,Pounds,Ghana,United Kingdom
452,200,1947,15665680,1,Pounds,Ghana,United Kingdom
452,205,1928,0,1,Pounds,Ghana,Ireland
452,205,1935,1721,1,Pounds,Ghana,Ireland
452,205,1936,2766,1,Pounds,Ghana,Ireland
452,205,1938,3803,1,Pounds,Ghana,Ireland
452,205,1939,2246,1,Pounds,Ghana,Ireland
452,205,1944,0,1,Pounds,Ghana,Ireland
452,205,1946,61,1,Pounds,Ghana,Ireland
452,205,1947,908,1,Pounds,Ghana,Ireland
452,210,1928,932001,1,Pounds,Ghana,Netherlands
452,210,1935,248875,1,Pounds,Ghana,Netherlands
452,210,1936,422151,1,Pounds,Ghana,Netherlands
452,210,1938,162464,1,Pounds,Ghana,Netherlands
452,210,1939,255100,1,Pounds,Ghana,Netherlands
452,210,1944,0,1,Pounds,Ghana,Netherlands
452,210,1946,320668,1,Pounds,Ghana,Netherlands
452,210,1947,1049835,1,Pounds,Ghana,Netherlands
452,211,1928,129740,1,Pounds,Ghana,Belgium
452,211,1935,104239,1,Pounds,Ghana,Belgium
452,211,1936,181317,1,Pounds,Ghana,Belgium
452,211,1938,109103,1,Pounds,Ghana,Belgium
452,211,1939,165441,1,Pounds,Ghana,Belgium
452,211,1944,0,1,Pounds,Ghana,Belgium
452,211,1946,170093,1,Pounds,Ghana,Belgium
452,211,1947,1170826,1,Pounds,Ghana,Belgium
452,212,1928,0,1,Pounds,Ghana,Luxembourg
452,212,1935,689,1,Pounds,Ghana,Luxembourg
452,212,1936,814,1,Pounds,Ghana,Luxembourg
452,212,1938,0,1,Pounds,Ghana,Luxembourg
452,212,1939,1057,1,Pounds,Ghana,Luxembourg
452,212,1944,0,1,Pounds,Ghana,Luxembourg
452,212,1946,1730,1,Pounds,Ghana,Luxembourg
452,212,1947,16806,1,Pounds,Ghana,Luxembourg
452,220,1928,429714,1,Pounds,Ghana,France
452,220,1935,98075,1,Pounds,Ghana,France
452,220,1936,102460,1,Pounds,Ghana,France
452,220,1938,55642,1,Pounds,Ghana,France
452,220,1939,73967,1,Pounds,Ghana,France
452,220,1944,1258,1,Pounds,Ghana,France
452,220,1946,87821,1,Pounds,Ghana,France
452,220,1947,387020,1,Pounds,Ghana,France
452,225,1928,152694,1,Pounds,Ghana,Switzerland
452,225,1935,31057,1,Pounds,Ghana,Switzerland
452,225,1936,46547,1,Pounds,Ghana,Switzerland
452,225,1938,60349,1,Pounds,Ghana,Switzerland
452,225,1939,22829,1,Pounds,Ghana,Switzerland
452,225,1944,0,1,Pounds,Ghana,Switzerland
452,225,1946,44781,1,Pounds,Ghana,Switzerland
452,225,1947,92776,1,Pounds,Ghana,Switzerland
452,230,1928,4293,1,Pounds,Ghana,Spain
452,230,1935,16503,1,Pounds,Ghana,Spain
452,230,1936,22175,1,Pounds,Ghana,Spain
452,230,1938,5828,1,Pounds,Ghana,Spain
452,230,1939,6299,1,Pounds,Ghana,Spain
452,230,1944,0,1,Pounds,Ghana,Spain
452,230,1946,10736,1,Pounds,Ghana,Spain
452,230,1947,30388,1,Pounds,Ghana,Spain
452,231,1928,36,1,Pounds,Ghana,Gibraltar
452,231,1935,79,1,Pounds,Ghana,Gibraltar
452,231,1936,115,1,Pounds,Ghana,Gibraltar
