ccode1,ccode2,year,imp,places,currency,country1,country2
350,2,1909,4680320,1,Drachmes,Greece,United States
350,2,1910,4210950,1,Drachmes,Greece,United States
350,2,1911,4142774,1,Drachmes,Greece,United States
350,2,1912,4150794,1,Drachmes,Greece,United States
350,2,1913,2849200,1,Drachmes,Greece,United States
350,2,1914,21199373,1,Drachmes,Greece,United States
350,2,1915,111066370,1,Drachmes,Greece,United States
350,2,1916,235018687,1,Drachmes,Greece,United States
350,2,1917,109715269,1,Drachmes,Greece,United States
350,2,1918,86029558,1,Drachmes,Greece,United States
350,2,1919,349692008,1,Drachmes,Greece,United States
350,2,1920,456092151,1,Drachmes,Greece,United States
350,2,1921,417460020,1,Drachmes,Greece,United States
350,2,1922,676793,1000,Milliers De Drachmes,Greece,United States
350,2,1923,1247932,1000,Milliers De Drachmes,Greece,United States
350,2,1924,1110120,1000,Milliers De Drachmes,Greece,United States
350,2,1925,1821990,1000,Milliers De Drachmes,Greece,United States
350,2,1926,1628309,1000,Milliers De Drachmes,Greece,United States
350,2,1927,2012342,1000,Milliers De Drachmes,Greece,United States
350,2,1928,1935623,1000,,Greece,United States
350,2,1929,2088219,1000,Milliers De Drachmes,Greece,United States
350,2,1930,1650739,1000,Milliers De Drachmes,Greece,United States
350,2,1931,842146,1000,Milliers De Drachmes,Greece,United States
350,2,1932,1089114,1000,Milliers De Drachmes,Greece,United States
350,2,1933,492808,1000,Milliers De Drachmes,Greece,United States
350,2,1934,546408,1000,Milliers De Drachmes,Greece,United States
350,2,1935,671835,1000,Milliers De Drachmes,Greece,United States
350,2,1936,847508,1000,,Greece,United States
350,2,1937,661926,1000,,Greece,United States
350,2,1938,1081785,1000,,Greece,United States
350,2,1939,867461,1000,,Greece,United States
350,20,1909,0,1,Drachmes,Greece,Canada
350,20,1910,0,1,Drachmes,Greece,Canada
350,20,1911,0,1,Drachmes,Greece,Canada
350,20,1912,0,1,Drachmes,Greece,Canada
350,20,1913,0,1,Drachmes,Greece,Canada
350,20,1914,0,1,Drachmes,Greece,Canada
350,20,1915,0,1,Drachmes,Greece,Canada
350,20,1916,0,1,Drachmes,Greece,Canada
350,20,1917,0,1,Drachmes,Greece,Canada
350,20,1918,0,1,Drachmes,Greece,Canada
350,20,1919,68611847,1,Drachmes,Greece,Canada
350,20,1920,284780931,1,Drachmes,Greece,Canada
350,20,1921,219905132,1,Drachmes,Greece,Canada
350,20,1922,0,1000,Milliers De Drachmes,Greece,Canada
350,20,1923,973613,1000,Milliers De Drachmes,Greece,Canada
350,20,1924,877140,1000,Milliers De Drachmes,Greece,Canada
350,20,1925,324062,1000,Milliers De Drachmes,Greece,Canada
350,20,1926,389085,1000,Milliers De Drachmes,Greece,Canada
350,20,1927,433853,1000,Milliers De Drachmes,Greece,Canada
350,20,1928,884989,1000,,Greece,Canada
350,20,1929,719876,1000,Milliers De Drachmes,Greece,Canada
350,20,1930,428937,1000,Milliers De Drachmes,Greece,Canada
350,20,1931,377095,1000,Milliers De Drachmes,Greece,Canada
350,20,1932,67928,1000,Milliers De Drachmes,Greece,Canada
350,20,1933,242658,1000,Milliers De Drachmes,Greece,Canada
350,20,1934,10069,1000,Milliers De Drachmes,Greece,Canada
350,20,1935,10065,1000,Milliers De Drachmes,Greece,Canada
350,20,1936,720968,1000,,Greece,Canada
350,20,1937,164489,1000,,Greece,Canada
350,20,1938,324487,1000,,Greece,Canada
350,20,1939,114934,1000,,Greece,Canada
350,40,1909,0,1,Drachmes,Greece,Cuba
350,40,1910,0,1,Drachmes,Greece,Cuba
350,40,1911,0,1,Drachmes,Greece,Cuba
350,40,1912,0,1,Drachmes,Greece,Cuba
350,40,1913,0,1,Drachmes,Greece,Cuba
350,40,1914,0,1,Drachmes,Greece,Cuba
350,40,1915,0,1,Drachmes,Greece,Cuba
350,40,1916,0,1,Drachmes,Greece,Cuba
350,40,1917,0,1,Drachmes,Greece,Cuba
350,40,1918,0,1,Drachmes,Greece,Cuba
350,40,1919,135,1,Drachmes,Greece,Cuba
350,40,1920,7481,1,Drachmes,Greece,Cuba
350,40,1921,0,1,Drachmes,Greece,Cuba
350,40,1922,0,1000,Milliers De Drachmes,Greece,Cuba
350,40,1923,519,1000,Milliers De Drachmes,Greece,Cuba
350,40,1924,498,1000,Milliers De Drachmes,Greece,Cuba
350,40,1925,9,1000,Milliers De Drachmes,Greece,Cuba
350,40,1926,65,1000,Milliers De Drachmes,Greece,Cuba
350,40,1927,564,1000,Milliers De Drachmes,Greece,Cuba
350,40,1928,1365,1000,,Greece,Cuba
350,40,1929,5659,1000,Milliers De Drachmes,Greece,Cuba
350,40,1930,550,1000,Milliers De Drachmes,Greece,Cuba
350,40,1931,3864,1000,Milliers De Drachmes,Greece,Cuba
350,40,1932,35,1000,Milliers De Drachmes,Greece,Cuba
350,40,1933,15,1000,Milliers De Drachmes,Greece,Cuba
350,40,1934,0,1000,Milliers De Drachmes,Greece,Cuba
350,40,1935,0,1000,Milliers De Drachmes,Greece,Cuba
350,40,1936,0,1000,,Greece,Cuba
350,40,1937,573,1000,,Greece,Cuba
350,40,1938,0,1000,,Greece,Cuba
350,40,1939,0,1000,,Greece,Cuba
350,42,1909,0,1,Drachmes,Greece,Dominican Republic
350,42,1910,0,1,Drachmes,Greece,Dominican Republic
350,42,1911,0,1,Drachmes,Greece,Dominican Republic
350,42,1912,0,1,Drachmes,Greece,Dominican Republic
350,42,1913,0,1,Drachmes,Greece,Dominican Republic
350,42,1914,0,1,Drachmes,Greece,Dominican Republic
350,42,1915,0,1,Drachmes,Greece,Dominican Republic
350,42,1916,0,1,Drachmes,Greece,Dominican Republic
350,42,1917,0,1,Drachmes,Greece,Dominican Republic
350,42,1918,0,1,Drachmes,Greece,Dominican Republic
350,42,1919,0,1,Drachmes,Greece,Dominican Republic
350,42,1920,0,1,Drachmes,Greece,Dominican Republic
350,42,1921,0,1,Drachmes,Greece,Dominican Republic
350,42,1922,0,1000,Milliers De Drachmes,Greece,Dominican Republic
350,42,1923,0,1000,Milliers De Drachmes,Greece,Dominican Republic
350,42,1924,0,1000,Milliers De Drachmes,Greece,Dominican Republic
350,42,1925,0,1000,Milliers De Drachmes,Greece,Dominican Republic
350,42,1926,26,1000,Milliers De Drachmes,Greece,Dominican Republic
350,42,1927,280,1000,Milliers De Drachmes,Greece,Dominican Republic
350,42,1928,1550,1000,,Greece,Dominican Republic
350,42,1929,2877,1000,Milliers De Drachmes,Greece,Dominican Republic
350,42,1930,0,1000,Milliers De Drachmes,Greece,Dominican Republic
350,42,1931,2287,1000,Milliers De Drachmes,Greece,Dominican Republic
350,42,1932,0,1000,Milliers De Drachmes,Greece,Dominican Republic
350,42,1933,0,1000,Milliers De Drachmes,Greece,Dominican Republic
350,42,1934,0,1000,Milliers De Drachmes,Greece,Dominican Republic
350,42,1935,0,1000,Milliers De Drachmes,Greece,Dominican Republic
350,42,1936,0,1000,,Greece,Dominican Republic
350,42,1937,0,1000,,Greece,Dominican Republic
350,42,1938,0,1000,,Greece,Dominican Republic
350,42,1939,0,1000,,Greece,Dominican Republic
350,51,1909,0,1,Drachmes,Greece,Jamaica
350,51,1910,0,1,Drachmes,Greece,Jamaica
350,51,1911,0,1,Drachmes,Greece,Jamaica
350,51,1912,0,1,Drachmes,Greece,Jamaica
350,51,1913,0,1,Drachmes,Greece,Jamaica
350,51,1914,0,1,Drachmes,Greece,Jamaica
350,51,1915,0,1,Drachmes,Greece,Jamaica
350,51,1916,0,1,Drachmes,Greece,Jamaica
350,51,1917,0,1,Drachmes,Greece,Jamaica
350,51,1918,0,1,Drachmes,Greece,Jamaica
350,51,1919,0,1,Drachmes,Greece,Jamaica
350,51,1920,0,1,Drachmes,Greece,Jamaica
350,51,1921,0,1,Drachmes,Greece,Jamaica
350,51,1922,0,1000,Milliers De Drachmes,Greece,Jamaica
350,51,1923,0,1000,Milliers De Drachmes,Greece,Jamaica
350,51,1924,0,1000,Milliers De Drachmes,Greece,Jamaica
350,51,1925,0,1000,Milliers De Drachmes,Greece,Jamaica
350,51,1926,0,1000,Milliers De Drachmes,Greece,Jamaica
350,51,1927,0,1000,Milliers De Drachmes,Greece,Jamaica
350,51,1928,0,1000,,Greece,Jamaica
350,51,1929,0,1000,Milliers De Drachmes,Greece,Jamaica
350,51,1930,0,1000,Milliers De Drachmes,Greece,Jamaica
350,51,1931,278,1000,Milliers De Drachmes,Greece,Jamaica
350,51,1932,436,1000,Milliers De Drachmes,Greece,Jamaica
350,51,1933,355,1000,Milliers De Drachmes,Greece,Jamaica
350,51,1934,152,1000,Milliers De Drachmes,Greece,Jamaica
350,51,1935,154,1000,Milliers De Drachmes,Greece,Jamaica
350,51,1936,221,1000,,Greece,Jamaica
350,51,1937,664,1000,,Greece,Jamaica
350,51,1938,619,1000,,Greece,Jamaica
350,51,1939,215,1000,,Greece,Jamaica
350,52,1909,0,1,Drachmes,Greece,Trinidad And Tobago
350,52,1910,0,1,Drachmes,Greece,Trinidad And Tobago
350,52,1911,0,1,Drachmes,Greece,Trinidad And Tobago
350,52,1912,0,1,Drachmes,Greece,Trinidad And Tobago
350,52,1913,0,1,Drachmes,Greece,Trinidad And Tobago
350,52,1914,0,1,Drachmes,Greece,Trinidad And Tobago
350,52,1915,0,1,Drachmes,Greece,Trinidad And Tobago
350,52,1916,0,1,Drachmes,Greece,Trinidad And Tobago
350,52,1917,0,1,Drachmes,Greece,Trinidad And Tobago
350,52,1918,0,1,Drachmes,Greece,Trinidad And Tobago
350,52,1919,0,1,Drachmes,Greece,Trinidad And Tobago
350,52,1920,0,1,Drachmes,Greece,Trinidad And Tobago
350,52,1921,0,1,Drachmes,Greece,Trinidad And Tobago
350,52,1922,0,1000,Milliers De Drachmes,Greece,Trinidad And Tobago
350,52,1923,0,1000,Milliers De Drachmes,Greece,Trinidad And Tobago
350,52,1924,0,1000,Milliers De Drachmes,Greece,Trinidad And Tobago
350,52,1925,0,1000,Milliers De Drachmes,Greece,Trinidad And Tobago
