ccode1,ccode2,year,imp,places,currency,country1,country2
55,2,1919,202465,1,Pounds,Grenada,United States
55,2,1920,212929,1,Pounds,Grenada,United States
55,2,1921,63839,1,Pounds,Grenada,United States
55,2,1922,64146,1,Pounds,Grenada,United States
55,2,1923,39276,1,Pounds,Grenada,United States
55,2,1924,56696,1,Pounds,Grenada,United States
55,2,1925,80859,1,Pounds,Grenada,United States
55,2,1926,80158,1,Pounds,Grenada,United States
55,2,1927,72553,1,Pounds,Grenada,United States
55,2,1928,72151,1,Pounds,Grenada,United States
55,2,1929,71451,1,Pounds,Grenada,United States
55,2,1930,59446,1,Pounds,Grenada,United States
55,2,1931,36245,1,Pounds,Grenada,United States
55,2,1932,27287,1,Pounds,Grenada,United States
55,2,1933,19096,1,Pounds,Grenada,United States
55,2,1934,25823,1,Pounds,Grenada,United States
55,2,1935,24060,1,Pounds,Grenada,United States
55,2,1936,25484,1,Pounds,Grenada,United States
55,2,1937,38911,1,Pounds,Grenada,United States
55,2,1938,32040,1,Pounds,Grenada,United States
55,2,1939,31289,1,Pounds,Grenada,United States
55,2,1940,40092,1,Pounds,Grenada,United States
55,2,1941,39775,1,Pounds,Grenada,United States
55,2,1942,64371,1,Pounds,Grenada,United States
55,2,1947,298083,1,Pounds,Grenada,United States
55,2,1948,995484,1,Pounds,Grenada,United States
55,2,1949,786723,1,Pounds,Grenada,United States
55,4,1919,0,1,Pounds,Grenada,Hawaii
55,4,1920,0,1,Pounds,Grenada,Hawaii
55,4,1921,0,1,Pounds,Grenada,Hawaii
55,4,1922,0,1,Pounds,Grenada,Hawaii
55,4,1923,0,1,Pounds,Grenada,Hawaii
55,4,1924,0,1,Pounds,Grenada,Hawaii
55,4,1925,0,1,Pounds,Grenada,Hawaii
55,4,1926,4,1,Pounds,Grenada,Hawaii
55,4,1927,0,1,Pounds,Grenada,Hawaii
55,4,1928,0,1,Pounds,Grenada,Hawaii
55,4,1929,0,1,Pounds,Grenada,Hawaii
55,4,1930,0,1,Pounds,Grenada,Hawaii
55,4,1931,0,1,Pounds,Grenada,Hawaii
55,4,1932,0,1,Pounds,Grenada,Hawaii
55,4,1933,0,1,Pounds,Grenada,Hawaii
55,4,1934,0,1,Pounds,Grenada,Hawaii
55,4,1935,1,1,Pounds,Grenada,Hawaii
55,4,1936,0,1,Pounds,Grenada,Hawaii
55,4,1937,0,1,Pounds,Grenada,Hawaii
55,4,1938,0,1,Pounds,Grenada,Hawaii
55,4,1939,0,1,Pounds,Grenada,Hawaii
55,4,1940,0,1,Pounds,Grenada,Hawaii
55,4,1941,0,1,Pounds,Grenada,Hawaii
55,4,1942,0,1,Pounds,Grenada,Hawaii
55,4,1947,0,1,Pounds,Grenada,Hawaii
55,4,1948,0,1,Pounds,Grenada,Hawaii
55,4,1949,0,1,Pounds,Grenada,Hawaii
55,5,1919,153,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1920,162,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1921,28,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1922,77,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1923,129,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1924,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1925,10,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1926,1,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1927,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1928,1,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1929,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1930,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1931,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1932,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1933,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1934,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1935,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1936,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1937,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1938,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1939,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1940,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1941,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1942,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1947,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1948,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,5,1949,0,1,Pounds,Grenada,"Virgin Islands, U.S."
55,6,1919,0,1,Pounds,Grenada,Puerto Rico
55,6,1920,0,1,Pounds,Grenada,Puerto Rico
55,6,1921,0,1,Pounds,Grenada,Puerto Rico
55,6,1922,0,1,Pounds,Grenada,Puerto Rico
55,6,1923,0,1,Pounds,Grenada,Puerto Rico
55,6,1924,0,1,Pounds,Grenada,Puerto Rico
55,6,1925,58,1,Pounds,Grenada,Puerto Rico
55,6,1926,4,1,Pounds,Grenada,Puerto Rico
55,6,1927,0,1,Pounds,Grenada,Puerto Rico
55,6,1928,0,1,Pounds,Grenada,Puerto Rico
55,6,1929,0,1,Pounds,Grenada,Puerto Rico
55,6,1930,0,1,Pounds,Grenada,Puerto Rico
55,6,1931,0,1,Pounds,Grenada,Puerto Rico
55,6,1932,0,1,Pounds,Grenada,Puerto Rico
55,6,1933,0,1,Pounds,Grenada,Puerto Rico
55,6,1934,0,1,Pounds,Grenada,Puerto Rico
55,6,1935,0,1,Pounds,Grenada,Puerto Rico
55,6,1936,0,1,Pounds,Grenada,Puerto Rico
55,6,1937,0,1,Pounds,Grenada,Puerto Rico
55,6,1938,0,1,Pounds,Grenada,Puerto Rico
55,6,1939,41,1,Pounds,Grenada,Puerto Rico
55,6,1940,0,1,Pounds,Grenada,Puerto Rico
55,6,1941,0,1,Pounds,Grenada,Puerto Rico
55,6,1942,0,1,Pounds,Grenada,Puerto Rico
55,6,1947,0,1,Pounds,Grenada,Puerto Rico
55,6,1948,26729,1,Pounds,Grenada,Puerto Rico
55,6,1949,34284,1,Pounds,Grenada,Puerto Rico
55,20,1919,60882,1,Pounds,Grenada,Canada
55,20,1920,90944,1,Pounds,Grenada,Canada
55,20,1921,54430,1,Pounds,Grenada,Canada
55,20,1922,63305,1,Pounds,Grenada,Canada
55,20,1923,58571,1,Pounds,Grenada,Canada
55,20,1924,69658,1,Pounds,Grenada,Canada
55,20,1925,90641,1,Pounds,Grenada,Canada
55,20,1926,93336,1,Pounds,Grenada,Canada
55,20,1927,96062,1,Pounds,Grenada,Canada
55,20,1928,95603,1,Pounds,Grenada,Canada
55,20,1929,90360,1,Pounds,Grenada,Canada
55,20,1930,77094,1,Pounds,Grenada,Canada
55,20,1931,55631,1,Pounds,Grenada,Canada
55,20,1932,47628,1,Pounds,Grenada,Canada
55,20,1933,39267,1,Pounds,Grenada,Canada
55,20,1934,40998,1,Pounds,Grenada,Canada
55,20,1935,31507,1,Pounds,Grenada,Canada
55,20,1936,39742,1,Pounds,Grenada,Canada
55,20,1937,57400,1,Pounds,Grenada,Canada
55,20,1938,47819,1,Pounds,Grenada,Canada
55,20,1939,48777,1,Pounds,Grenada,Canada
55,20,1940,79586,1,Pounds,Grenada,Canada
55,20,1941,109414,1,Pounds,Grenada,Canada
55,20,1942,94613,1,Pounds,Grenada,Canada
55,20,1947,454671,1,Pounds,Grenada,Canada
55,20,1948,2088378,1,Pounds,Grenada,Canada
55,20,1949,1245488,1,Pounds,Grenada,Canada
55,21,1919,17293,1,Pounds,Grenada,Newfoundland
55,21,1920,16121,1,Pounds,Grenada,Newfoundland
55,21,1921,9465,1,Pounds,Grenada,Newfoundland
55,21,1922,7360,1,Pounds,Grenada,Newfoundland
55,21,1923,8399,1,Pounds,Grenada,Newfoundland
55,21,1924,5798,1,Pounds,Grenada,Newfoundland
55,21,1925,7094,1,Pounds,Grenada,Newfoundland
55,21,1926,7512,1,Pounds,Grenada,Newfoundland
55,21,1927,9020,1,Pounds,Grenada,Newfoundland
55,21,1928,12390,1,Pounds,Grenada,Newfoundland
55,21,1929,11547,1,Pounds,Grenada,Newfoundland
55,21,1930,8524,1,Pounds,Grenada,Newfoundland
55,21,1931,6389,1,Pounds,Grenada,Newfoundland
55,21,1932,6064,1,Pounds,Grenada,Newfoundland
55,21,1933,6422,1,Pounds,Grenada,Newfoundland
55,21,1934,5605,1,Pounds,Grenada,Newfoundland
55,21,1935,6819,1,Pounds,Grenada,Newfoundland
55,21,1936,6506,1,Pounds,Grenada,Newfoundland
55,21,1937,8390,1,Pounds,Grenada,Newfoundland
55,21,1938,8544,1,Pounds,Grenada,Newfoundland
55,21,1939,5355,1,Pounds,Grenada,Newfoundland
55,21,1940,8104,1,Pounds,Grenada,Newfoundland
55,21,1941,11279,1,Pounds,Grenada,Newfoundland
55,21,1942,2332,1,Pounds,Grenada,Newfoundland
55,21,1947,0,1,Pounds,Grenada,Newfoundland
55,21,1948,59965,1,Pounds,Grenada,Newfoundland
55,21,1949,141863,1,Pounds,Grenada,Newfoundland
55,30,1919,380,1,Pounds,Grenada,Bermuda
55,30,1920,56,1,Pounds,Grenada,Bermuda
55,30,1921,16,1,Pounds,Grenada,Bermuda
55,30,1922,154,1,Pounds,Grenada,Bermuda
