ccode1,ccode2,year,imp,places,currency,country1,country2
90,2,1920,9437207.92,1,Oro Americano,Guatemala,United States
90,2,1921,8161475,1,Quetzales,Guatemala,United States
90,2,1922,6444499,1,Quetzales,Guatemala,United States
90,2,1923,8149359,1,Quetzales,Guatemala,United States
90,2,1924,11498681,1,Quetzales,Guatemala,United States
90,2,1925,13851677,1,Quetzales,Guatemala,United States
90,2,1926,11407106.29,1,Oro Americano,Guatemala,United States
90,2,1927,10006451.92,1,Oro Americano,Guatemala,United States
90,2,1928,12625352.5,1,Oro Americano,Guatemala,United States
90,2,1929,13540310.13,1,Oro Americano,Guatemala,United States
90,2,1930,7631109.83,1,Oro Americano,Guatemala,United States
90,2,1931,5512436,1,Oro Americano,Guatemala,United States
90,2,1932,2980402,1,Oro Americano,Guatemala,United States
90,2,1933,3029027,1,Oro Americano,Guatemala,United States
90,2,1934,4101140,1,Quetzales,Guatemala,United States
90,2,1935,3950013,1,Quetzales,Guatemala,United States
90,2,1936,4876990,1,Quetzales,Guatemala,United States
90,2,1937,7587919,1,Quetzales,Guatemala,United States
90,2,1938,7492370,1,Quetzales,Guatemala,United States
90,2,1939,8332365,1,Quetzales,Guatemala,United States
90,2,1940,9352856,1,Quetzales,Guatemala,United States
90,2,1941,10533867,1,Quetzales,Guatemala,United States
90,2,1942,9638416,1,Quetzales,Guatemala,United States
90,6,1920,0,1,Oro Americano,Guatemala,Puerto Rico
90,6,1921,0,1,Quetzales,Guatemala,Puerto Rico
90,6,1922,0,1,Quetzales,Guatemala,Puerto Rico
90,6,1923,0,1,Quetzales,Guatemala,Puerto Rico
90,6,1924,0,1,Quetzales,Guatemala,Puerto Rico
90,6,1925,0,1,Quetzales,Guatemala,Puerto Rico
90,6,1926,0,1,Oro Americano,Guatemala,Puerto Rico
90,6,1927,0,1,Oro Americano,Guatemala,Puerto Rico
90,6,1928,0,1,Oro Americano,Guatemala,Puerto Rico
90,6,1929,0,1,Oro Americano,Guatemala,Puerto Rico
90,6,1930,0,1,Oro Americano,Guatemala,Puerto Rico
90,6,1931,0,1,Oro Americano,Guatemala,Puerto Rico
90,6,1932,0,1,Oro Americano,Guatemala,Puerto Rico
90,6,1933,0,1,Oro Americano,Guatemala,Puerto Rico
90,6,1934,0,1,Quetzales,Guatemala,Puerto Rico
90,6,1935,255,1,Quetzales,Guatemala,Puerto Rico
90,6,1936,64,1,Quetzales,Guatemala,Puerto Rico
90,6,1937,22,1,Quetzales,Guatemala,Puerto Rico
90,6,1938,0,1,Quetzales,Guatemala,Puerto Rico
90,6,1939,45,1,Quetzales,Guatemala,Puerto Rico
90,6,1940,0,1,Quetzales,Guatemala,Puerto Rico
90,6,1941,0,1,Quetzales,Guatemala,Puerto Rico
90,6,1942,0,1,Quetzales,Guatemala,Puerto Rico
90,20,1920,7749,1,Oro Americano,Guatemala,Canada
90,20,1921,8210,1,Quetzales,Guatemala,Canada
90,20,1922,9255,1,Quetzales,Guatemala,Canada
90,20,1923,23631,1,Quetzales,Guatemala,Canada
90,20,1924,45126,1,Quetzales,Guatemala,Canada
90,20,1925,65380,1,Quetzales,Guatemala,Canada
90,20,1926,10538,1,Oro Americano,Guatemala,Canada
90,20,1927,2555,1,Oro Americano,Guatemala,Canada
90,20,1928,3164,1,Oro Americano,Guatemala,Canada
90,20,1929,9920.75,1,Oro Americano,Guatemala,Canada
90,20,1930,2571,1,Oro Americano,Guatemala,Canada
90,20,1931,1837,1,Oro Americano,Guatemala,Canada
90,20,1932,5030,1,Oro Americano,Guatemala,Canada
90,20,1933,12972,1,Oro Americano,Guatemala,Canada
90,20,1934,49338,1,Quetzales,Guatemala,Canada
90,20,1935,39130,1,Quetzales,Guatemala,Canada
90,20,1936,60819,1,Quetzales,Guatemala,Canada
90,20,1937,56658,1,Quetzales,Guatemala,Canada
90,20,1938,41834,1,Quetzales,Guatemala,Canada
90,20,1939,102487,1,Quetzales,Guatemala,Canada
90,20,1940,168815,1,Quetzales,Guatemala,Canada
90,20,1941,204967,1,Quetzales,Guatemala,Canada
90,20,1942,197836,1,Quetzales,Guatemala,Canada
90,21,1920,0,1,Oro Americano,Guatemala,Newfoundland
90,21,1921,0,1,Quetzales,Guatemala,Newfoundland
90,21,1922,0,1,Quetzales,Guatemala,Newfoundland
90,21,1923,0,1,Quetzales,Guatemala,Newfoundland
90,21,1924,0,1,Quetzales,Guatemala,Newfoundland
90,21,1925,0,1,Quetzales,Guatemala,Newfoundland
90,21,1926,0,1,Oro Americano,Guatemala,Newfoundland
90,21,1927,0,1,Oro Americano,Guatemala,Newfoundland
90,21,1928,0,1,Oro Americano,Guatemala,Newfoundland
90,21,1929,0,1,Oro Americano,Guatemala,Newfoundland
