ccode1,ccode2,year,imp,places,currency,country1,country2
41,2,1917,7478228.18,1,$,Haiti,United States
41,2,1918,9423346.23,1,$,Haiti,United States
41,2,1919,15939529.17,1,$,Haiti,United States
41,2,1920,22773762,1,$,Haiti,United States
41,2,1921,9543011,1,$,Haiti,United States
41,2,1922,10359613,1,$,Haiti,United States
41,2,1923,11524566,1,$,Haiti,United States
41,2,1924,59086880,1,Gordes,Haiti,United States
41,2,1925,77839345,1,Gordes,Haiti,United States
41,2,1926,70150790,1,Gordes,Haiti,United States
41,2,1927,60285103,1,Gordes,Haiti,United States
41,2,1928,76232541,1,Gordes,Haiti,United States
41,2,1929,60205728,1,Gordes,Haiti,United States
41,2,1930,45003838,1,Gordes,Haiti,United States
41,2,1931,32887970,1,Gordes,Haiti,United States
41,2,1932,25212282,1,Gordes,Haiti,United States
41,2,1933,23850935,1,Gordes,Haiti,United States
41,2,1934,22107138,1,Gordes,Haiti,United States
41,2,1935,19914238,1,Gordes,Haiti,United States
41,2,1936,21416082,1,Gordes,Haiti,United States
41,2,1937,23491902,1,Gordes,Haiti,United States
41,2,1938,20627627,1,Gordes,Haiti,United States
41,2,1939,25464010,1,Gordes,Haiti,United States
41,2,1940,28836476,1,Gordes,Haiti,United States
41,2,1941,30886112,1,Gordes,Haiti,United States
41,2,1942,32223453,1,Gordes,Haiti,United States
41,2,1943,37756171,1,Gordes,Haiti,United States
41,2,1944,55623554,1,Gordes,Haiti,United States
41,2,1945,53688392,1,Gordes,Haiti,United States
41,2,1946,68437696,1,Gordes,Haiti,United States
41,2,1947,119575616,1,Gordes,Haiti,United States
41,2,1948,131496290,1,Gordes,Haiti,United States
41,2,1949,120406620,1,Gordes,Haiti,United States
41,4,1917,0,1,$,Haiti,Hawaii
41,4,1918,0,1,$,Haiti,Hawaii
41,4,1919,0,1,$,Haiti,Hawaii
41,4,1920,0,1,$,Haiti,Hawaii
41,4,1921,0,1,$,Haiti,Hawaii
41,4,1922,0,1,$,Haiti,Hawaii
41,4,1923,0,1,$,Haiti,Hawaii
41,4,1924,20040,1,Gordes,Haiti,Hawaii
41,4,1925,0,1,Gordes,Haiti,Hawaii
41,4,1926,0,1,Gordes,Haiti,Hawaii
41,4,1927,0,1,Gordes,Haiti,Hawaii
41,4,1928,0,1,Gordes,Haiti,Hawaii
41,4,1929,0,1,Gordes,Haiti,Hawaii
41,4,1930,0,1,Gordes,Haiti,Hawaii
41,4,1931,0,1,Gordes,Haiti,Hawaii
41,4,1932,0,1,Gordes,Haiti,Hawaii
41,4,1933,3,1,Gordes,Haiti,Hawaii
41,4,1934,0,1,Gordes,Haiti,Hawaii
41,4,1935,0,1,Gordes,Haiti,Hawaii
41,4,1936,0,1,Gordes,Haiti,Hawaii
41,4,1937,0,1,Gordes,Haiti,Hawaii
41,4,1938,0,1,Gordes,Haiti,Hawaii
41,4,1939,0,1,Gordes,Haiti,Hawaii
41,4,1940,0,1,Gordes,Haiti,Hawaii
41,4,1941,0,1,Gordes,Haiti,Hawaii
41,4,1942,0,1,Gordes,Haiti,Hawaii
41,4,1943,0,1,Gordes,Haiti,Hawaii
41,4,1944,0,1,Gordes,Haiti,Hawaii
41,4,1945,0,1,Gordes,Haiti,Hawaii
41,4,1946,0,1,Gordes,Haiti,Hawaii
41,4,1947,0,1,Gordes,Haiti,Hawaii
41,4,1948,0,1,Gordes,Haiti,Hawaii
41,4,1949,0,1,Gordes,Haiti,Hawaii
41,6,1917,0,1,$,Haiti,Puerto Rico
41,6,1918,0,1,$,Haiti,Puerto Rico
41,6,1919,0,1,$,Haiti,Puerto Rico
41,6,1920,0,1,$,Haiti,Puerto Rico
41,6,1921,0,1,$,Haiti,Puerto Rico
41,6,1922,0,1,$,Haiti,Puerto Rico
41,6,1923,7338,1,$,Haiti,Puerto Rico
41,6,1924,17125,1,Gordes,Haiti,Puerto Rico
41,6,1925,196685,1,Gordes,Haiti,Puerto Rico
41,6,1926,295825,1,Gordes,Haiti,Puerto Rico
41,6,1927,758055,1,Gordes,Haiti,Puerto Rico
41,6,1928,1844829,1,Gordes,Haiti,Puerto Rico
41,6,1929,2338601,1,Gordes,Haiti,Puerto Rico
41,6,1930,1030194,1,Gordes,Haiti,Puerto Rico
41,6,1931,1091427,1,Gordes,Haiti,Puerto Rico
41,6,1932,979777,1,Gordes,Haiti,Puerto Rico
41,6,1933,351490,1,Gordes,Haiti,Puerto Rico
41,6,1934,243136,1,Gordes,Haiti,Puerto Rico
41,6,1935,182765,1,Gordes,Haiti,Puerto Rico
41,6,1936,121889,1,Gordes,Haiti,Puerto Rico
41,6,1937,195469,1,Gordes,Haiti,Puerto Rico
41,6,1938,285290,1,Gordes,Haiti,Puerto Rico
41,6,1939,238916,1,Gordes,Haiti,Puerto Rico
41,6,1940,240373,1,Gordes,Haiti,Puerto Rico
41,6,1941,147175,1,Gordes,Haiti,Puerto Rico
41,6,1942,93086,1,Gordes,Haiti,Puerto Rico
41,6,1943,13575,1,Gordes,Haiti,Puerto Rico
41,6,1944,32352,1,Gordes,Haiti,Puerto Rico
41,6,1945,1394067,1,Gordes,Haiti,Puerto Rico
41,6,1946,520651,1,Gordes,Haiti,Puerto Rico
41,6,1947,262310,1,Gordes,Haiti,Puerto Rico
41,6,1948,649698,1,Gordes,Haiti,Puerto Rico
41,6,1949,586441,1,Gordes,Haiti,Puerto Rico
41,20,1917,0,1,$,Haiti,Canada
41,20,1918,0,1,$,Haiti,Canada
41,20,1919,0,1,$,Haiti,Canada
41,20,1920,0,1,$,Haiti,Canada
41,20,1921,0,1,$,Haiti,Canada
41,20,1922,0,1,$,Haiti,Canada
41,20,1923,12108,1,$,Haiti,Canada
41,20,1924,370,1,Gordes,Haiti,Canada
41,20,1925,4060,1,Gordes,Haiti,Canada
41,20,1926,123250,1,Gordes,Haiti,Canada
41,20,1927,62565,1,Gordes,Haiti,Canada
41,20,1928,45334,1,Gordes,Haiti,Canada
41,20,1929,131695,1,Gordes,Haiti,Canada
41,20,1930,85674,1,Gordes,Haiti,Canada
41,20,1931,94136,1,Gordes,Haiti,Canada
41,20,1932,83557,1,Gordes,Haiti,Canada
41,20,1933,306014,1,Gordes,Haiti,Canada
41,20,1934,681788,1,Gordes,Haiti,Canada
41,20,1935,805994,1,Gordes,Haiti,Canada
41,20,1936,890681,1,Gordes,Haiti,Canada
41,20,1937,972160,1,Gordes,Haiti,Canada
41,20,1938,906003,1,Gordes,Haiti,Canada
41,20,1939,720388,1,Gordes,Haiti,Canada
41,20,1940,550452,1,Gordes,Haiti,Canada
41,20,1941,592584,1,Gordes,Haiti,Canada
41,20,1942,1274006,1,Gordes,Haiti,Canada
41,20,1943,662238,1,Gordes,Haiti,Canada
41,20,1944,1533688,1,Gordes,Haiti,Canada
41,20,1945,1082776,1,Gordes,Haiti,Canada
41,20,1946,1685744,1,Gordes,Haiti,Canada
41,20,1947,4323912,1,Gordes,Haiti,Canada
41,20,1948,5167110,1,Gordes,Haiti,Canada
41,20,1949,6609514,1,Gordes,Haiti,Canada
41,31,1917,0,1,$,Haiti,Bahamas
41,31,1918,0,1,$,Haiti,Bahamas
41,31,1919,0,1,$,Haiti,Bahamas
41,31,1920,0,1,$,Haiti,Bahamas
41,31,1921,0,1,$,Haiti,Bahamas
41,31,1922,0,1,$,Haiti,Bahamas
41,31,1923,5111,1,$,Haiti,Bahamas
41,31,1924,15205,1,Gordes,Haiti,Bahamas
41,31,1925,6225,1,Gordes,Haiti,Bahamas
41,31,1926,22235,1,Gordes,Haiti,Bahamas
41,31,1927,11831,1,Gordes,Haiti,Bahamas
41,31,1928,28419,1,Gordes,Haiti,Bahamas
41,31,1929,32474,1,Gordes,Haiti,Bahamas
41,31,1930,13785,1,Gordes,Haiti,Bahamas
41,31,1931,19077,1,Gordes,Haiti,Bahamas
41,31,1932,17665,1,Gordes,Haiti,Bahamas
41,31,1933,39456,1,Gordes,Haiti,Bahamas
41,31,1934,31149,1,Gordes,Haiti,Bahamas
41,31,1935,33337,1,Gordes,Haiti,Bahamas
41,31,1936,21231,1,Gordes,Haiti,Bahamas
41,31,1937,21395,1,Gordes,Haiti,Bahamas
41,31,1938,18290,1,Gordes,Haiti,Bahamas
41,31,1939,34331,1,Gordes,Haiti,Bahamas
41,31,1940,29778,1,Gordes,Haiti,Bahamas
41,31,1941,34680,1,Gordes,Haiti,Bahamas
41,31,1942,58589,1,Gordes,Haiti,Bahamas
41,31,1943,66677,1,Gordes,Haiti,Bahamas
41,31,1944,90341,1,Gordes,Haiti,Bahamas
41,31,1945,88506,1,Gordes,Haiti,Bahamas
41,31,1946,78969,1,Gordes,Haiti,Bahamas
41,31,1947,184522,1,Gordes,Haiti,Bahamas
41,31,1948,152593,1,Gordes,Haiti,Bahamas
41,31,1949,71495,1,Gordes,Haiti,Bahamas
41,40,1917,0,1,$,Haiti,Cuba
41,40,1918,0,1,$,Haiti,Cuba
41,40,1919,0,1,$,Haiti,Cuba
41,40,1920,0,1,$,Haiti,Cuba
41,40,1921,0,1,$,Haiti,Cuba
41,40,1922,0,1,$,Haiti,Cuba
41,40,1923,8515,1,$,Haiti,Cuba
41,40,1924,23940,1,Gordes,Haiti,Cuba
41,40,1925,39685,1,Gordes,Haiti,Cuba
41,40,1926,54325,1,Gordes,Haiti,Cuba
41,40,1927,10052,1,Gordes,Haiti,Cuba
41,40,1928,45641,1,Gordes,Haiti,Cuba
41,40,1929,35282,1,Gordes,Haiti,Cuba
41,40,1930,79139,1,Gordes,Haiti,Cuba
41,40,1931,265342,1,Gordes,Haiti,Cuba
41,40,1932,361817,1,Gordes,Haiti,Cuba
41,40,1933,33471,1,Gordes,Haiti,Cuba
41,40,1934,22331,1,Gordes,Haiti,Cuba
41,40,1935,116700,1,Gordes,Haiti,Cuba
41,40,1936,92667,1,Gordes,Haiti,Cuba
41,40,1937,102895,1,Gordes,Haiti,Cuba
41,40,1938,133487,1,Gordes,Haiti,Cuba
41,40,1939,144406,1,Gordes,Haiti,Cuba
41,40,1940,153756,1,Gordes,Haiti,Cuba
41,40,1941,272006,1,Gordes,Haiti,Cuba
41,40,1942,355851,1,Gordes,Haiti,Cuba
41,40,1943,503137,1,Gordes,Haiti,Cuba
41,40,1944,1753864,1,Gordes,Haiti,Cuba
41,40,1945,938720,1,Gordes,Haiti,Cuba
41,40,1946,415050,1,Gordes,Haiti,Cuba
41,40,1947,710359,1,Gordes,Haiti,Cuba
41,40,1948,617273,1,Gordes,Haiti,Cuba
41,40,1949,853971,1,Gordes,Haiti,Cuba
41,42,1917,0,1,$,Haiti,Dominican Republic
41,42,1918,0,1,$,Haiti,Dominican Republic
41,42,1919,0,1,$,Haiti,Dominican Republic
41,42,1920,0,1,$,Haiti,Dominican Republic
41,42,1921,0,1,$,Haiti,Dominican Republic
41,42,1922,0,1,$,Haiti,Dominican Republic
41,42,1923,135825,1,$,Haiti,Dominican Republic
41,42,1924,776355,1,Gordes,Haiti,Dominican Republic
41,42,1925,367085,1,Gordes,Haiti,Dominican Republic
41,42,1926,441405,1,Gordes,Haiti,Dominican Republic
41,42,1927,558923,1,Gordes,Haiti,Dominican Republic
41,42,1928,609780,1,Gordes,Haiti,Dominican Republic
41,42,1929,575011,1,Gordes,Haiti,Dominican Republic
41,42,1930,295026,1,Gordes,Haiti,Dominican Republic
41,42,1931,280778,1,Gordes,Haiti,Dominican Republic
41,42,1932,194196,1,Gordes,Haiti,Dominican Republic
41,42,1933,117600,1,Gordes,Haiti,Dominican Republic
41,42,1934,70987,1,Gordes,Haiti,Dominican Republic
41,42,1935,229612,1,Gordes,Haiti,Dominican Republic
41,42,1936,76170,1,Gordes,Haiti,Dominican Republic
41,42,1937,98655,1,Gordes,Haiti,Dominican Republic
41,42,1938,120652,1,Gordes,Haiti,Dominican Republic
41,42,1939,114282,1,Gordes,Haiti,Dominican Republic
41,42,1940,94233,1,Gordes,Haiti,Dominican Republic
41,42,1941,81316,1,Gordes,Haiti,Dominican Republic
41,42,1942,383338,1,Gordes,Haiti,Dominican Republic
41,42,1943,98869,1,Gordes,Haiti,Dominican Republic
41,42,1944,117226,1,Gordes,Haiti,Dominican Republic
41,42,1945,61244,1,Gordes,Haiti,Dominican Republic
41,42,1946,27640,1,Gordes,Haiti,Dominican Republic
41,42,1947,23993,1,Gordes,Haiti,Dominican Republic
41,42,1948,93940,1,Gordes,Haiti,Dominican Republic
41,42,1949,21790,1,Gordes,Haiti,Dominican Republic
41,51,1917,0,1,$,Haiti,Jamaica
41,51,1918,0,1,$,Haiti,Jamaica
41,51,1919,0,1,$,Haiti,Jamaica
41,51,1920,0,1,$,Haiti,Jamaica
41,51,1921,0,1,$,Haiti,Jamaica
41,51,1922,0,1,$,Haiti,Jamaica
41,51,1923,13011,1,$,Haiti,Jamaica
41,51,1924,47165,1,Gordes,Haiti,Jamaica
41,51,1925,52940,1,Gordes,Haiti,Jamaica
41,51,1926,65120,1,Gordes,Haiti,Jamaica
41,51,1927,199724,1,Gordes,Haiti,Jamaica
41,51,1928,23382,1,Gordes,Haiti,Jamaica
41,51,1929,90968,1,Gordes,Haiti,Jamaica
41,51,1930,28007,1,Gordes,Haiti,Jamaica
41,51,1931,26724,1,Gordes,Haiti,Jamaica
41,51,1932,3156,1,Gordes,Haiti,Jamaica
41,51,1933,17882,1,Gordes,Haiti,Jamaica
41,51,1934,93402,1,Gordes,Haiti,Jamaica
41,51,1935,27431,1,Gordes,Haiti,Jamaica
41,51,1936,82375,1,Gordes,Haiti,Jamaica
41,51,1937,47161,1,Gordes,Haiti,Jamaica
41,51,1938,61825,1,Gordes,Haiti,Jamaica
41,51,1939,26781,1,Gordes,Haiti,Jamaica
41,51,1940,8246,1,Gordes,Haiti,Jamaica
41,51,1941,17923,1,Gordes,Haiti,Jamaica
41,51,1942,22881,1,Gordes,Haiti,Jamaica
41,51,1943,3625,1,Gordes,Haiti,Jamaica
41,51,1944,26340,1,Gordes,Haiti,Jamaica
41,51,1945,7216,1,Gordes,Haiti,Jamaica
41,51,1946,8869,1,Gordes,Haiti,Jamaica
41,51,1947,27169,1,Gordes,Haiti,Jamaica
41,51,1948,34406,1,Gordes,Haiti,Jamaica
41,51,1949,20593,1,Gordes,Haiti,Jamaica
41,52,1917,0,1,$,Haiti,Trinidad And Tobago
41,52,1918,0,1,$,Haiti,Trinidad And Tobago
41,52,1919,0,1,$,Haiti,Trinidad And Tobago
41,52,1920,0,1,$,Haiti,Trinidad And Tobago
41,52,1921,0,1,$,Haiti,Trinidad And Tobago
41,52,1922,0,1,$,Haiti,Trinidad And Tobago
41,52,1923,0,1,$,Haiti,Trinidad And Tobago
41,52,1924,0,1,Gordes,Haiti,Trinidad And Tobago
41,52,1925,0,1,Gordes,Haiti,Trinidad And Tobago
41,52,1926,6000,1,Gordes,Haiti,Trinidad And Tobago
41,52,1927,0,1,Gordes,Haiti,Trinidad And Tobago
41,52,1928,147,1,Gordes,Haiti,Trinidad And Tobago
41,52,1929,55,1,Gordes,Haiti,Trinidad And Tobago
41,52,1930,5124,1,Gordes,Haiti,Trinidad And Tobago
41,52,1931,8150,1,Gordes,Haiti,Trinidad And Tobago
41,52,1932,5931,1,Gordes,Haiti,Trinidad And Tobago
41,52,1933,3862,1,Gordes,Haiti,Trinidad And Tobago
41,52,1934,104832,1,Gordes,Haiti,Trinidad And Tobago
41,52,1935,277,1,Gordes,Haiti,Trinidad And Tobago
41,52,1936,2201,1,Gordes,Haiti,Trinidad And Tobago
41,52,1937,2198,1,Gordes,Haiti,Trinidad And Tobago
41,52,1938,3707,1,Gordes,Haiti,Trinidad And Tobago
41,52,1939,9,1,Gordes,Haiti,Trinidad And Tobago
41,52,1940,3078,1,Gordes,Haiti,Trinidad And Tobago
41,52,1941,6269,1,Gordes,Haiti,Trinidad And Tobago
41,52,1942,21,1,Gordes,Haiti,Trinidad And Tobago
41,52,1943,1678,1,Gordes,Haiti,Trinidad And Tobago
41,52,1944,3255,1,Gordes,Haiti,Trinidad And Tobago
41,52,1945,212,1,Gordes,Haiti,Trinidad And Tobago
41,52,1946,47937,1,Gordes,Haiti,Trinidad And Tobago
41,52,1947,100889,1,Gordes,Haiti,Trinidad And Tobago
41,52,1948,188452,1,Gordes,Haiti,Trinidad And Tobago
41,52,1949,399849,1,Gordes,Haiti,Trinidad And Tobago
41,55,1917,0,1,$,Haiti,Grenada
41,55,1918,0,1,$,Haiti,Grenada
41,55,1919,0,1,$,Haiti,Grenada
41,55,1920,0,1,$,Haiti,Grenada
41,55,1921,0,1,$,Haiti,Grenada
41,55,1922,0,1,$,Haiti,Grenada
41,55,1923,0,1,$,Haiti,Grenada
41,55,1924,0,1,Gordes,Haiti,Grenada
41,55,1925,0,1,Gordes,Haiti,Grenada
41,55,1926,0,1,Gordes,Haiti,Grenada
41,55,1927,0,1,Gordes,Haiti,Grenada
41,55,1928,0,1,Gordes,Haiti,Grenada
41,55,1929,0,1,Gordes,Haiti,Grenada
41,55,1930,0,1,Gordes,Haiti,Grenada
41,55,1931,0,1,Gordes,Haiti,Grenada
41,55,1932,0,1,Gordes,Haiti,Grenada
41,55,1933,0,1,Gordes,Haiti,Grenada
41,55,1934,0,1,Gordes,Haiti,Grenada
41,55,1935,0,1,Gordes,Haiti,Grenada
41,55,1936,0,1,Gordes,Haiti,Grenada
41,55,1937,0,1,Gordes,Haiti,Grenada
41,55,1938,0,1,Gordes,Haiti,Grenada
41,55,1939,0,1,Gordes,Haiti,Grenada
41,55,1940,0,1,Gordes,Haiti,Grenada
41,55,1941,0,1,Gordes,Haiti,Grenada
41,55,1942,0,1,Gordes,Haiti,Grenada
41,55,1943,0,1,Gordes,Haiti,Grenada
41,55,1944,0,1,Gordes,Haiti,Grenada
41,55,1945,0,1,Gordes,Haiti,Grenada
41,55,1946,0,1,Gordes,Haiti,Grenada
41,55,1947,0,1,Gordes,Haiti,Grenada
41,55,1948,0,1,Gordes,Haiti,Grenada
41,55,1949,0,1,Gordes,Haiti,Grenada
41,58,1917,0,1,$,Haiti,Antigua And Barbuda
41,58,1918,0,1,$,Haiti,Antigua And Barbuda
41,58,1919,0,1,$,Haiti,Antigua And Barbuda
41,58,1920,0,1,$,Haiti,Antigua And Barbuda
41,58,1921,0,1,$,Haiti,Antigua And Barbuda
41,58,1922,0,1,$,Haiti,Antigua And Barbuda
41,58,1923,0,1,$,Haiti,Antigua And Barbuda
41,58,1924,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1925,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1926,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1927,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1928,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1929,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1930,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1931,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1932,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1933,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1934,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1935,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1936,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1937,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1938,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1939,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1940,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1941,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1942,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1943,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1944,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1945,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1946,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1947,46,1,Gordes,Haiti,Antigua And Barbuda
41,58,1948,0,1,Gordes,Haiti,Antigua And Barbuda
41,58,1949,0,1,Gordes,Haiti,Antigua And Barbuda
41,65,1917,0,1,$,Haiti,Guadeloupe
41,65,1918,0,1,$,Haiti,Guadeloupe
41,65,1919,0,1,$,Haiti,Guadeloupe
41,65,1920,0,1,$,Haiti,Guadeloupe
41,65,1921,0,1,$,Haiti,Guadeloupe
41,65,1922,0,1,$,Haiti,Guadeloupe
41,65,1923,2,1,$,Haiti,Guadeloupe
41,65,1924,310,1,Gordes,Haiti,Guadeloupe
41,65,1925,0,1,Gordes,Haiti,Guadeloupe
41,65,1926,0,1,Gordes,Haiti,Guadeloupe
41,65,1927,135,1,Gordes,Haiti,Guadeloupe
41,65,1928,9,1,Gordes,Haiti,Guadeloupe
41,65,1929,8,1,Gordes,Haiti,Guadeloupe
41,65,1930,1,1,Gordes,Haiti,Guadeloupe
41,65,1931,4,1,Gordes,Haiti,Guadeloupe
41,65,1932,342,1,Gordes,Haiti,Guadeloupe
41,65,1933,593,1,Gordes,Haiti,Guadeloupe
41,65,1934,59,1,Gordes,Haiti,Guadeloupe
41,65,1935,413,1,Gordes,Haiti,Guadeloupe
41,65,1936,3862,1,Gordes,Haiti,Guadeloupe
41,65,1937,5582,1,Gordes,Haiti,Guadeloupe
41,65,1938,775,1,Gordes,Haiti,Guadeloupe
41,65,1939,3773,1,Gordes,Haiti,Guadeloupe
41,65,1940,2232,1,Gordes,Haiti,Guadeloupe
41,65,1941,1756,1,Gordes,Haiti,Guadeloupe
41,65,1942,0,1,Gordes,Haiti,Guadeloupe
41,65,1943,0,1,Gordes,Haiti,Guadeloupe
41,65,1944,4172,1,Gordes,Haiti,Guadeloupe
41,65,1945,2660,1,Gordes,Haiti,Guadeloupe
41,65,1946,0,1,Gordes,Haiti,Guadeloupe
41,65,1947,2035,1,Gordes,Haiti,Guadeloupe
41,65,1948,314,1,Gordes,Haiti,Guadeloupe
41,65,1949,2919,1,Gordes,Haiti,Guadeloupe
41,66,1917,0,1,$,Haiti,Martinique
41,66,1918,0,1,$,Haiti,Martinique
41,66,1919,0,1,$,Haiti,Martinique
41,66,1920,0,1,$,Haiti,Martinique
41,66,1921,0,1,$,Haiti,Martinique
41,66,1922,0,1,$,Haiti,Martinique
41,66,1923,1819,1,$,Haiti,Martinique
41,66,1924,20,1,Gordes,Haiti,Martinique
41,66,1925,15,1,Gordes,Haiti,Martinique
41,66,1926,0,1,Gordes,Haiti,Martinique
41,66,1927,0,1,Gordes,Haiti,Martinique
41,66,1928,3,1,Gordes,Haiti,Martinique
41,66,1929,157,1,Gordes,Haiti,Martinique
41,66,1930,2,1,Gordes,Haiti,Martinique
41,66,1931,0,1,Gordes,Haiti,Martinique
41,66,1932,51,1,Gordes,Haiti,Martinique
41,66,1933,22,1,Gordes,Haiti,Martinique
41,66,1934,15019,1,Gordes,Haiti,Martinique
41,66,1935,2131,1,Gordes,Haiti,Martinique
41,66,1936,1054,1,Gordes,Haiti,Martinique
41,66,1937,471,1,Gordes,Haiti,Martinique
41,66,1938,1042,1,Gordes,Haiti,Martinique
41,66,1939,548,1,Gordes,Haiti,Martinique
41,66,1940,205,1,Gordes,Haiti,Martinique
41,66,1941,2862,1,Gordes,Haiti,Martinique
41,66,1942,32,1,Gordes,Haiti,Martinique
41,66,1943,3072,1,Gordes,Haiti,Martinique
41,66,1944,2437,1,Gordes,Haiti,Martinique
41,66,1945,2797,1,Gordes,Haiti,Martinique
41,66,1946,4094,1,Gordes,Haiti,Martinique
41,66,1947,22155,1,Gordes,Haiti,Martinique
41,66,1948,128067,1,Gordes,Haiti,Martinique
41,66,1949,6874,1,Gordes,Haiti,Martinique
41,70,1917,0,1,$,Haiti,Mexico
41,70,1918,0,1,$,Haiti,Mexico
41,70,1919,0,1,$,Haiti,Mexico
41,70,1920,0,1,$,Haiti,Mexico
41,70,1921,0,1,$,Haiti,Mexico
