ccode1,ccode2,year,imp,places,currency,country1,country2
91,2,1921,28058127.02,1,Plata,Honduras,United States
91,2,1922,10857418.53,1,Gold Us $,Honduras,United States
91,2,1923,12016,1000,Gold Us $,Honduras,United States
91,2,1924,9784,1000,Gold Us $,Honduras,United States
91,2,1925,10263996.22,1,Oro,Honduras,United States
91,2,1926,8116317.29,1,Oro,Honduras,United States
91,2,1927,8445384.09,1,Oro,Honduras,United States
91,2,1928,10028998.25,1,Oro,Honduras,United States
91,2,1929,11563364.2,1,Oro,Honduras,United States
91,2,1930,11885509.97,1,Oro,Honduras,United States
91,2,1932,6375865.28,1,Oro,Honduras,United States
91,2,1933,4644491.64,1,Oro,Honduras,United States
91,2,1934,5881999.72,1,Oro,Honduras,United States
91,2,1935,6189064.25,1,Oro,Honduras,United States
91,2,1936,5796217.96,1,Oro,Honduras,United States
91,2,1937,6029495.04,1,Us $,Honduras,United States
91,2,1938,12693375.2,1,Lempiras,Honduras,United States
91,2,1939,12665064.62,1,Lempiras,Honduras,United States
91,2,1940,12653446.18,1,Lempiras,Honduras,United States
91,2,1941,15612108.9,1,Lempiras,Honduras,United States
91,2,1942,18264914.04,1,Lempiras,Honduras,United States
91,2,1943,14841551.06,1,Lempiras,Honduras,United States
91,2,1944,17790555.54,1,Lempiras,Honduras,United States
91,2,1945,21515742.21,1,Lempiras,Honduras,United States
91,2,1946,28778106.4,1,Lempiras,Honduras,United States
91,2,1947,45583262.2,1,Lempiras,Honduras,United States
91,2,1948,56031357.82,1,Lempiras,Honduras,United States
91,2,1949,53885324.8,1,Lempiras,Honduras,United States
91,4,1921,0,1,Plata,Honduras,Hawaii
91,4,1922,0,1,Gold Us $,Honduras,Hawaii
91,4,1923,0,1000,Gold Us $,Honduras,Hawaii
91,4,1924,0,1000,Gold Us $,Honduras,Hawaii
91,4,1925,0,1,Oro,Honduras,Hawaii
91,4,1926,0,1,Oro,Honduras,Hawaii
91,4,1927,0,1,Oro,Honduras,Hawaii
91,4,1928,0,1,Oro,Honduras,Hawaii
91,4,1929,0,1,Oro,Honduras,Hawaii
91,4,1930,0,1,Oro,Honduras,Hawaii
91,4,1932,0,1,Oro,Honduras,Hawaii
91,4,1933,0,1,Oro,Honduras,Hawaii
91,4,1934,0,1,Oro,Honduras,Hawaii
91,4,1935,0,1,Oro,Honduras,Hawaii
91,4,1936,0,1,Oro,Honduras,Hawaii
91,4,1937,0,1,Us $,Honduras,Hawaii
91,4,1938,0,1,Lempiras,Honduras,Hawaii
91,4,1939,0,1,Lempiras,Honduras,Hawaii
91,4,1940,0,1,Lempiras,Honduras,Hawaii
91,4,1941,0,1,Lempiras,Honduras,Hawaii
91,4,1942,0,1,Lempiras,Honduras,Hawaii
91,4,1943,0,1,Lempiras,Honduras,Hawaii
91,4,1944,0,1,Lempiras,Honduras,Hawaii
91,4,1945,0,1,Lempiras,Honduras,Hawaii
91,4,1946,0,1,Lempiras,Honduras,Hawaii
91,4,1947,0,1,Lempiras,Honduras,Hawaii
91,4,1948,23.9,1,Lempiras,Honduras,Hawaii
91,4,1949,0,1,Lempiras,Honduras,Hawaii
91,6,1921,0,1,Plata,Honduras,Puerto Rico
91,6,1922,0,1,Gold Us $,Honduras,Puerto Rico
91,6,1923,0,1000,Gold Us $,Honduras,Puerto Rico
91,6,1924,0,1000,Gold Us $,Honduras,Puerto Rico
91,6,1925,0,1,Oro,Honduras,Puerto Rico
91,6,1926,0,1,Oro,Honduras,Puerto Rico
91,6,1927,0,1,Oro,Honduras,Puerto Rico
91,6,1928,0,1,Oro,Honduras,Puerto Rico
91,6,1929,0,1,Oro,Honduras,Puerto Rico
91,6,1930,0,1,Oro,Honduras,Puerto Rico
91,6,1932,0,1,Oro,Honduras,Puerto Rico
91,6,1933,0,1,Oro,Honduras,Puerto Rico
91,6,1934,0,1,Oro,Honduras,Puerto Rico
91,6,1935,0,1,Oro,Honduras,Puerto Rico
91,6,1936,0,1,Oro,Honduras,Puerto Rico
91,6,1937,13.9,1,Us $,Honduras,Puerto Rico
91,6,1938,30,1,Lempiras,Honduras,Puerto Rico
91,6,1939,2,1,Lempiras,Honduras,Puerto Rico
91,6,1940,0,1,Lempiras,Honduras,Puerto Rico
91,6,1941,0,1,Lempiras,Honduras,Puerto Rico
91,6,1942,153.02,1,Lempiras,Honduras,Puerto Rico
91,6,1943,62,1,Lempiras,Honduras,Puerto Rico
91,6,1944,0,1,Lempiras,Honduras,Puerto Rico
91,6,1945,42.74,1,Lempiras,Honduras,Puerto Rico
91,6,1946,532.34,1,Lempiras,Honduras,Puerto Rico
91,6,1947,140829.14,1,Lempiras,Honduras,Puerto Rico
91,6,1948,3306.02,1,Lempiras,Honduras,Puerto Rico
91,6,1949,14.12,1,Lempiras,Honduras,Puerto Rico
91,20,1921,37541.32,1,Plata,Honduras,Canada
91,20,1922,10440.67,1,Gold Us $,Honduras,Canada
91,20,1923,0,1000,Gold Us $,Honduras,Canada
91,20,1924,0,1000,Gold Us $,Honduras,Canada
91,20,1925,45521.16,1,Oro,Honduras,Canada
91,20,1926,19949.71,1,Oro,Honduras,Canada
91,20,1927,19295.42,1,Oro,Honduras,Canada
91,20,1928,16287.48,1,Oro,Honduras,Canada
91,20,1929,7970.7,1,Oro,Honduras,Canada
91,20,1930,6973.49,1,Oro,Honduras,Canada
91,20,1932,2077.05,1,Oro,Honduras,Canada
91,20,1933,2408.12,1,Oro,Honduras,Canada
91,20,1934,534.45,1,Oro,Honduras,Canada
91,20,1935,26004.03,1,Oro,Honduras,Canada
91,20,1936,104940.39,1,Oro,Honduras,Canada
91,20,1937,138066.23,1,Us $,Honduras,Canada
91,20,1938,88336.72,1,Lempiras,Honduras,Canada
