ccode1,ccode2,year,imp,places,currency,country1,country2
720,2,1931,57200040,1,Hk $,Hong Kong,United States
720,2,1932,46125020,1,Hk $,Hong Kong,United States
720,2,1933,31209205,1,Hk $,Hong Kong,United States
720,2,1934,29343028,1,Hk $,Hong Kong,United States
720,2,1935,26461948,1,Hk $,Hong Kong,United States
720,2,1936,32181299,1,Hk $,Hong Kong,United States
720,2,1937,51776026,1,Hk $,Hong Kong,United States
720,2,1938,54705520,1,Hk $,Hong Kong,United States
720,20,1931,5122862,1,Hk $,Hong Kong,Canada
720,20,1932,6236229,1,Hk $,Hong Kong,Canada
720,20,1933,4877446,1,Hk $,Hong Kong,Canada
720,20,1934,4522951,1,Hk $,Hong Kong,Canada
720,20,1935,4009291,1,Hk $,Hong Kong,Canada
720,20,1936,3571716,1,Hk $,Hong Kong,Canada
720,20,1937,6110005,1,Hk $,Hong Kong,Canada
720,20,1938,6177425,1,Hk $,Hong Kong,Canada
720,40,1931,6646,1,Hk $,Hong Kong,Cuba
720,40,1932,1086334,1,Hk $,Hong Kong,Cuba
720,40,1933,818966,1,Hk $,Hong Kong,Cuba
720,40,1934,982390,1,Hk $,Hong Kong,Cuba
720,40,1935,568277,1,Hk $,Hong Kong,Cuba
720,40,1936,90806,1,Hk $,Hong Kong,Cuba
720,40,1937,3658,1,Hk $,Hong Kong,Cuba
720,40,1938,12441,1,Hk $,Hong Kong,Cuba
720,200,1931,78251178,1,Hk $,Hong Kong,United Kingdom
720,200,1932,76905373,1,Hk $,Hong Kong,United Kingdom
720,200,1933,52172111,1,Hk $,Hong Kong,United Kingdom
720,200,1934,32542358,1,Hk $,Hong Kong,United Kingdom
720,200,1935,23897008,1,Hk $,Hong Kong,United Kingdom
720,200,1936,29008231,1,Hk $,Hong Kong,United Kingdom
720,200,1937,46732014,1,Hk $,Hong Kong,United Kingdom
720,200,1938,56414530,1,Hk $,Hong Kong,United Kingdom
720,210,1931,4513472,1,Hk $,Hong Kong,Netherlands
720,210,1932,5533622,1,Hk $,Hong Kong,Netherlands
720,210,1933,4464622,1,Hk $,Hong Kong,Netherlands
720,210,1934,4526058,1,Hk $,Hong Kong,Netherlands
720,210,1935,3542590,1,Hk $,Hong Kong,Netherlands
720,210,1936,2892491,1,Hk $,Hong Kong,Netherlands
720,210,1937,6713106,1,Hk $,Hong Kong,Netherlands
720,210,1938,5384395,1,Hk $,Hong Kong,Netherlands
720,211,1931,15018424,1,Hk $,Hong Kong,Belgium
720,211,1932,12920081,1,Hk $,Hong Kong,Belgium
720,211,1933,8416316,1,Hk $,Hong Kong,Belgium
720,211,1934,4879645,1,Hk $,Hong Kong,Belgium
720,211,1935,4787756,1,Hk $,Hong Kong,Belgium
720,211,1936,6599030,1,Hk $,Hong Kong,Belgium
720,211,1937,9990861,1,Hk $,Hong Kong,Belgium
720,211,1938,6013261,1,Hk $,Hong Kong,Belgium
720,220,1931,4261320,1,Hk $,Hong Kong,France
720,220,1932,3637761,1,Hk $,Hong Kong,France
720,220,1933,2550402,1,Hk $,Hong Kong,France
720,220,1934,1976640,1,Hk $,Hong Kong,France
720,220,1935,2185531,1,Hk $,Hong Kong,France
720,220,1936,1768830,1,Hk $,Hong Kong,France
720,220,1937,3577061,1,Hk $,Hong Kong,France
720,220,1938,3747896,1,Hk $,Hong Kong,France
720,225,1931,1887905,1,Hk $,Hong Kong,Switzerland
720,225,1932,1118025,1,Hk $,Hong Kong,Switzerland
720,225,1933,872045,1,Hk $,Hong Kong,Switzerland
720,225,1934,321557,1,Hk $,Hong Kong,Switzerland
720,225,1935,177394,1,Hk $,Hong Kong,Switzerland
720,225,1936,263583,1,Hk $,Hong Kong,Switzerland
720,225,1937,908624,1,Hk $,Hong Kong,Switzerland
720,225,1938,887006,1,Hk $,Hong Kong,Switzerland
720,230,1931,338417,1,Hk $,Hong Kong,Spain
720,230,1932,68309,1,Hk $,Hong Kong,Spain
720,230,1933,71397,1,Hk $,Hong Kong,Spain
720,230,1934,82363,1,Hk $,Hong Kong,Spain
720,230,1935,228303,1,Hk $,Hong Kong,Spain
720,230,1936,299825,1,Hk $,Hong Kong,Spain
720,230,1937,172784,1,Hk $,Hong Kong,Spain
720,230,1938,148662,1,Hk $,Hong Kong,Spain
720,235,1931,191671,1,Hk $,Hong Kong,Portugal
720,235,1932,148353,1,Hk $,Hong Kong,Portugal
720,235,1933,79826,1,Hk $,Hong Kong,Portugal
720,235,1934,73181,1,Hk $,Hong Kong,Portugal
720,235,1935,90343,1,Hk $,Hong Kong,Portugal
720,235,1936,81293,1,Hk $,Hong Kong,Portugal
720,235,1937,149126,1,Hk $,Hong Kong,Portugal
720,235,1938,242779,1,Hk $,Hong Kong,Portugal
720,255,1931,37560274,1,Hk $,Hong Kong,Germany
720,255,1932,25708539,1,Hk $,Hong Kong,Germany
720,255,1933,19078728,1,Hk $,Hong Kong,Germany
720,255,1934,13536672,1,Hk $,Hong Kong,Germany
720,255,1935,16345768,1,Hk $,Hong Kong,Germany
720,255,1936,23617633,1,Hk $,Hong Kong,Germany
720,255,1937,30897821,1,Hk $,Hong Kong,Germany
720,255,1938,39039104,1,Hk $,Hong Kong,Germany
720,325,1931,6655035,1,Hk $,Hong Kong,Italy
720,325,1932,4424000,1,Hk $,Hong Kong,Italy
720,325,1933,3467812,1,Hk $,Hong Kong,Italy
720,325,1934,2790276,1,Hk $,Hong Kong,Italy
720,325,1935,1985751,1,Hk $,Hong Kong,Italy
720,325,1936,651021,1,Hk $,Hong Kong,Italy
720,325,1937,2589986,1,Hk $,Hong Kong,Italy
720,325,1938,2200601,1,Hk $,Hong Kong,Italy
720,380,1931,2598849,1,Hk $,Hong Kong,Sweden
720,380,1932,3204589,1,Hk $,Hong Kong,Sweden
720,380,1933,1207435,1,Hk $,Hong Kong,Sweden
720,380,1934,1313876,1,Hk $,Hong Kong,Sweden
720,380,1935,1879447,1,Hk $,Hong Kong,Sweden
720,380,1936,2301881,1,Hk $,Hong Kong,Sweden
720,380,1937,1844273,1,Hk $,Hong Kong,Sweden
720,380,1938,1261135,1,Hk $,Hong Kong,Sweden
720,385,1931,683330,1,Hk $,Hong Kong,Norway
720,385,1932,1669226,1,Hk $,Hong Kong,Norway
720,385,1933,886490,1,Hk $,Hong Kong,Norway
720,385,1934,427677,1,Hk $,Hong Kong,Norway
720,385,1935,844527,1,Hk $,Hong Kong,Norway
720,385,1936,384836,1,Hk $,Hong Kong,Norway
