ccode1,ccode2,year,imp,places,currency,country1,country2
310,2,1920,0,1000,1000S Of Gold Crowns,Hungary,United States
310,2,1921,6669,1000,1000S Of Gold Crowns,Hungary,United States
310,2,1922,11537,1000,1000S Of Gold Crowns,Hungary,United States
310,2,1923,15924,1000,1000S Of Gold Crowns,Hungary,United States
310,2,1924,17735,1000,1000S Of Gold Crowns,Hungary,United States
310,2,1925,17565,1000,1000S Of Gold Crowns,Hungary,United States
310,2,1926,22439,1000,1000 P,Hungary,United States
310,2,1927,26236,1000,1000 P,Hungary,United States
310,2,1928,43084,1000,1000 P,Hungary,United States
310,2,1929,49035908,1,Pengos,Hungary,United States
310,2,1930,39602904,1,Pengos,Hungary,United States
310,2,1931,23070597,1,Pengos,Hungary,United States
310,2,1932,12766939,1,Pengos,Hungary,United States
310,2,1933,20621406,1,Pengos,Hungary,United States
310,2,1934,19673,1000,1000 P,Hungary,United States
310,2,1935,20666,1000,1000 P,Hungary,United States
310,2,1936,22891,1000,1000 P,Hungary,United States
310,2,1938,21590,1000,1000 Deviza-Pengo,Hungary,United States
310,2,1943,1,1000,1000 Pengo,Hungary,United States
310,2,1944,12,1000,1000 Pengo,Hungary,United States
310,2,1945,0,1000,1000 Pengo,Hungary,United States
310,2,1949,55329,1000,1000 Devizaforint,Hungary,United States
310,6,1920,0,1000,1000S Of Gold Crowns,Hungary,Puerto Rico
310,6,1921,0,1000,1000S Of Gold Crowns,Hungary,Puerto Rico
310,6,1922,0,1000,1000S Of Gold Crowns,Hungary,Puerto Rico
310,6,1923,0,1000,1000S Of Gold Crowns,Hungary,Puerto Rico
310,6,1924,0,1000,1000S Of Gold Crowns,Hungary,Puerto Rico
310,6,1925,0,1000,1000S Of Gold Crowns,Hungary,Puerto Rico
310,6,1926,0,1000,1000 P,Hungary,Puerto Rico
310,6,1927,0,1000,1000 P,Hungary,Puerto Rico
310,6,1928,35,1000,1000 P,Hungary,Puerto Rico
310,6,1929,11220,1,Pengos,Hungary,Puerto Rico
310,6,1930,8600,1,Pengos,Hungary,Puerto Rico
310,6,1931,3360,1,Pengos,Hungary,Puerto Rico
310,6,1932,0,1,Pengos,Hungary,Puerto Rico
310,6,1933,0,1,Pengos,Hungary,Puerto Rico
310,6,1934,0,1000,1000 P,Hungary,Puerto Rico
310,6,1935,0,1000,1000 P,Hungary,Puerto Rico
310,6,1936,0,1000,1000 P,Hungary,Puerto Rico
310,6,1938,0,1000,1000 Deviza-Pengo,Hungary,Puerto Rico
310,6,1943,0,1000,1000 Pengo,Hungary,Puerto Rico
310,6,1944,0,1000,1000 Pengo,Hungary,Puerto Rico
310,6,1945,0,1000,1000 Pengo,Hungary,Puerto Rico
310,6,1949,0,1000,1000 Devizaforint,Hungary,Puerto Rico
310,40,1920,0,1000,1000S Of Gold Crowns,Hungary,Cuba
310,40,1921,0,1000,1000S Of Gold Crowns,Hungary,Cuba
310,40,1922,0,1000,1000S Of Gold Crowns,Hungary,Cuba
310,40,1923,0,1000,1000S Of Gold Crowns,Hungary,Cuba
310,40,1924,0,1000,1000S Of Gold Crowns,Hungary,Cuba
310,40,1925,0,1000,1000S Of Gold Crowns,Hungary,Cuba
310,40,1926,0,1000,1000 P,Hungary,Cuba
310,40,1927,0,1000,1000 P,Hungary,Cuba
310,40,1928,6,1000,1000 P,Hungary,Cuba
310,40,1929,0,1,Pengos,Hungary,Cuba
