ccode1,ccode2,year,imp,places,currency,country1,country2
395,2,1914,631262,1,Kr,Iceland,United States
395,2,1915,1111137,1,Kr,Iceland,United States
395,2,1916,2985471,1,Kr,Iceland,United States
395,2,1917,13185964,1,Kr,Iceland,United States
395,2,1918,13678589,1,Kr,Iceland,United States
395,2,1919,16503518,1,Kr,Iceland,United States
395,2,1920,12248216,1,Kr,Iceland,United States
395,2,1921,3680581,1,Kr,Iceland,United States
395,2,1922,3107563,1,Kr,Iceland,United States
395,2,1923,1077867,1,Kr,Iceland,United States
395,2,1924,1159815,1,Kr,Iceland,United States
395,2,1925,1408731,1,Kr,Iceland,United States
395,2,1926,1545475,1,Kr,Iceland,United States
395,2,1927,982873.0000000001,1,Kr,Iceland,United States
395,2,1928,1682186,1,Kr,Iceland,United States
395,2,1929,2230488,1,Kr,Iceland,United States
395,2,1930,2297299,1,Kr,Iceland,United States
395,2,1931,1526758,1,Kr,Iceland,United States
395,2,1932,491667,1,Kr,Iceland,United States
395,2,1933,727190.0000000001,1,Kr,Iceland,United States
395,2,1934,1028,1000,1000 Kr,Iceland,United States
395,2,1935,652,1000,1000 Kr,Iceland,United States
395,2,1936,536,1000,1000 Kr,Iceland,United States
395,2,1937,846,1000,1000 Kr,Iceland,United States
395,2,1938,644,1000,1000 Kr,Iceland,United States
395,2,1939,2316,1000,1000 Kr,Iceland,United States
395,2,1940,19706,1000,1000 Kr,Iceland,United States
395,2,1941,24763,1000,1000 Kr,Iceland,United States
395,2,1942,97715,1000,1000 Kr,Iceland,United States
395,2,1943,165582,1000,1000 Kr,Iceland,United States
395,2,1944,165022,1000,1000 Kr,Iceland,United States
395,2,1945,182102,1000,1000 Kr,Iceland,United States
395,2,1946,111265,1000,1000 Kr,Iceland,United States
395,2,1947,121279,1000,1000 Kr,Iceland,United States
395,2,1948,86521,1000,1000 Kr,Iceland,United States
395,2,1949,71475,1000,1000 Kr,Iceland,United States
395,4,1914,0,1,Kr,Iceland,Hawaii
395,4,1915,0,1,Kr,Iceland,Hawaii
395,4,1916,0,1,Kr,Iceland,Hawaii
395,4,1917,0,1,Kr,Iceland,Hawaii
395,4,1918,0,1,Kr,Iceland,Hawaii
395,4,1919,0,1,Kr,Iceland,Hawaii
395,4,1920,0,1,Kr,Iceland,Hawaii
395,4,1921,0,1,Kr,Iceland,Hawaii
395,4,1922,0,1,Kr,Iceland,Hawaii
395,4,1923,0,1,Kr,Iceland,Hawaii
395,4,1924,0,1,Kr,Iceland,Hawaii
395,4,1925,0,1,Kr,Iceland,Hawaii
395,4,1926,0,1,Kr,Iceland,Hawaii
395,4,1927,0,1,Kr,Iceland,Hawaii
395,4,1928,2766,1,Kr,Iceland,Hawaii
395,4,1929,0,1,Kr,Iceland,Hawaii
395,4,1930,0,1,Kr,Iceland,Hawaii
395,4,1931,0,1,Kr,Iceland,Hawaii
395,4,1932,0,1,Kr,Iceland,Hawaii
395,4,1933,0,1,Kr,Iceland,Hawaii
395,4,1934,0,1000,1000 Kr,Iceland,Hawaii
395,4,1935,0,1000,1000 Kr,Iceland,Hawaii
395,4,1936,0,1000,1000 Kr,Iceland,Hawaii
395,4,1937,0,1000,1000 Kr,Iceland,Hawaii
395,4,1938,0,1000,1000 Kr,Iceland,Hawaii
395,4,1939,0,1000,1000 Kr,Iceland,Hawaii
395,4,1940,0,1000,1000 Kr,Iceland,Hawaii
