ccode1,ccode2,year,imp,places,currency,country1,country2
750,2,1900,828073,,,India,United States
750,2,1901,833303,,,India,United States
750,2,1902,785928,,Sterling,India,United States
750,2,1903,808661,,Sterling,India,United States
750,2,1904,852474,,Sterling,India,United States
750,2,1905,990494,,Sterling,India,United States
750,2,1906,1495043,,Sterling,India,United States
750,2,1914,0,1,Sterling,India,United States
750,2,1915,0,1,Sterling,India,United States
750,2,1916,0,1,Sterling,India,United States
750,2,1917,0,1,Sterling,India,United States
750,2,1918,0,1,Sterling,India,United States
750,2,1919,0,1,Sterling,India,United States
750,2,1920,0,1,Sterling,India,United States
750,2,1921,352979080,1,Rupees,India,United States
750,2,1922,216084782,1,Rupees,India,United States
750,2,1923,131797441,1,Rupees,India,United States
750,2,1924,128334663,1,Rupees,India,United States
750,2,1925,140702996,1,Rupees,India,United States
750,2,1926,150735184,1,Rupees,India,United States
750,2,1927,182374618,1,Rupees,India,United States
750,2,1928,204318046,1,Rupees,India,United States
750,2,1929,173611658,1,Rupees,India,United States
750,2,1930,0,1,Rupees,India,United States
750,2,1931,0,1,Rupees,India,United States
750,2,1932,0,1,Rupees,India,United States
750,2,1933,0,1,Rupees,India,United States
750,2,1934,0,1,Rupees,India,United States
750,2,1935,84127328,1,,India,United States
750,2,1936,89418459,1,,India,United States
750,2,1937,81583398,1,,India,United States
750,2,1938,128772436,1,,India,United States
750,2,1939,0,1,,India,United States
750,2,1940,148810126,1,Rupees,India,United States
750,2,1941,270100893,1,Rupees,India,United States
750,2,1942,346150800,1,Rupees,India,United States
750,2,1943,191327856,1,Rupees,India,United States
750,2,1944,185657502,1,Rupees,India,United States
750,2,1945,523266337,1,Rupees,India,United States
750,2,1946,692382683,1,Rupees,India,United States
750,2,1947,547973806,1,Rupees,India,United States
750,2,1948,1252242268,1,Rupees,India,United States
750,2,1949,1091291894,1,Rupees,India,United States
750,3,1914,0,1,Sterling,India,Alaska
750,3,1915,0,1,Sterling,India,Alaska
750,3,1916,0,1,Sterling,India,Alaska
750,3,1917,0,1,Sterling,India,Alaska
750,3,1918,0,1,Sterling,India,Alaska
750,3,1919,0,1,Sterling,India,Alaska
750,3,1920,0,1,Sterling,India,Alaska
750,3,1921,0,1,Rupees,India,Alaska
750,3,1922,0,1,Rupees,India,Alaska
750,3,1923,0,1,Rupees,India,Alaska
750,3,1924,0,1,Rupees,India,Alaska
750,3,1925,0,1,Rupees,India,Alaska
750,3,1926,0,1,Rupees,India,Alaska
750,3,1927,0,1,Rupees,India,Alaska
750,3,1928,0,1,Rupees,India,Alaska
750,3,1929,0,1,Rupees,India,Alaska
750,3,1930,0,1,Rupees,India,Alaska
750,3,1931,0,1,Rupees,India,Alaska
750,3,1932,0,1,Rupees,India,Alaska
750,3,1933,0,1,Rupees,India,Alaska
750,3,1934,0,1,Rupees,India,Alaska
750,3,1935,0,1,,India,Alaska
750,3,1936,0,1,,India,Alaska
750,3,1937,0,1,,India,Alaska
750,3,1938,0,1,,India,Alaska
750,3,1939,0,1,,India,Alaska
750,3,1940,2340,1,Rupees,India,Alaska
750,3,1941,0,1,Rupees,India,Alaska
750,3,1942,900,1,Rupees,India,Alaska
750,3,1943,0,1,Rupees,India,Alaska
750,3,1944,0,1,Rupees,India,Alaska
750,3,1945,0,1,Rupees,India,Alaska
750,3,1946,0,1,Rupees,India,Alaska
750,3,1947,0,1,Rupees,India,Alaska
750,3,1948,0,1,Rupees,India,Alaska
750,3,1949,0,1,Rupees,India,Alaska
750,4,1914,0,1,Sterling,India,Hawaii
750,4,1915,0,1,Sterling,India,Hawaii
750,4,1916,0,1,Sterling,India,Hawaii
750,4,1917,0,1,Sterling,India,Hawaii
750,4,1918,0,1,Sterling,India,Hawaii
750,4,1919,0,1,Sterling,India,Hawaii
750,4,1920,0,1,Sterling,India,Hawaii
750,4,1921,110,1,Rupees,India,Hawaii
750,4,1922,928,1,Rupees,India,Hawaii
