ccode1,ccode2,year,imp,places,currency,country1,country2
645,2,1935,429343,1,Dinars,Iraq,United States
645,2,1936,459407,1,Dinars,Iraq,United States
645,2,1937,727378,1,Dinars,Iraq,United States
645,2,1938,849462,1,Dinars,Iraq,United States
645,2,1939,688530,1,Dinars,Iraq,United States
645,2,1940,947248,1,Dinars,Iraq,United States
645,2,1941,955417,1,Dinars,Iraq,United States
645,2,1942,1389015,1,Dinars,Iraq,United States
645,2,1943,968018,1,Dinars,Iraq,United States
645,2,1944,1670037,1,Dinars,Iraq,United States
645,2,1945,3645530,1,Dinars,Iraq,United States
645,2,1946,2207223,1,Dinars,Iraq,United States
645,2,1947,3342555,1,Dinars,Iraq,United States
645,2,1948,3571700,1,Dinars,Iraq,United States
645,2,1949,4624163,1,,Iraq,United States
645,20,1935,1942,1,Dinars,Iraq,Canada
645,20,1936,691,1,Dinars,Iraq,Canada
645,20,1937,551,1,Dinars,Iraq,Canada
645,20,1938,1646,1,Dinars,Iraq,Canada
645,20,1939,5582,1,Dinars,Iraq,Canada
645,20,1940,18874,1,Dinars,Iraq,Canada
645,20,1941,4342,1,Dinars,Iraq,Canada
645,20,1942,105466,1,Dinars,Iraq,Canada
645,20,1943,5388,1,Dinars,Iraq,Canada
645,20,1944,22189,1,Dinars,Iraq,Canada
645,20,1945,24157,1,Dinars,Iraq,Canada
645,20,1946,244009,1,Dinars,Iraq,Canada
645,20,1947,451182,1,Dinars,Iraq,Canada
645,20,1948,284101,1,Dinars,Iraq,Canada
645,20,1949,130776,1,,Iraq,Canada
645,21,1935,0,1,Dinars,Iraq,Newfoundland
645,21,1936,0,1,Dinars,Iraq,Newfoundland
645,21,1937,0,1,Dinars,Iraq,Newfoundland
645,21,1938,0,1,Dinars,Iraq,Newfoundland
645,21,1939,0,1,Dinars,Iraq,Newfoundland
645,21,1940,0,1,Dinars,Iraq,Newfoundland
645,21,1941,1027,1,Dinars,Iraq,Newfoundland
645,21,1942,0,1,Dinars,Iraq,Newfoundland
645,21,1943,0,1,Dinars,Iraq,Newfoundland
645,21,1944,0,1,Dinars,Iraq,Newfoundland
645,21,1945,0,1,Dinars,Iraq,Newfoundland
645,21,1946,0,1,Dinars,Iraq,Newfoundland
645,21,1947,0,1,Dinars,Iraq,Newfoundland
645,21,1948,0,1,Dinars,Iraq,Newfoundland
645,21,1949,0,1,,Iraq,Newfoundland
645,40,1935,0,1,Dinars,Iraq,Cuba
645,40,1936,0,1,Dinars,Iraq,Cuba
645,40,1937,0,1,Dinars,Iraq,Cuba
645,40,1938,0,1,Dinars,Iraq,Cuba
645,40,1939,0,1,Dinars,Iraq,Cuba
645,40,1940,0,1,Dinars,Iraq,Cuba
645,40,1941,0,1,Dinars,Iraq,Cuba
645,40,1942,0,1,Dinars,Iraq,Cuba
645,40,1943,0,1,Dinars,Iraq,Cuba
645,40,1944,0,1,Dinars,Iraq,Cuba
645,40,1945,0,1,Dinars,Iraq,Cuba
645,40,1946,56671,1,Dinars,Iraq,Cuba
645,40,1947,44990,1,Dinars,Iraq,Cuba
645,40,1948,829,1,Dinars,Iraq,Cuba
645,40,1949,0,1,,Iraq,Cuba
645,51,1935,0,1,Dinars,Iraq,Jamaica
645,51,1936,0,1,Dinars,Iraq,Jamaica
645,51,1937,30,1,Dinars,Iraq,Jamaica
645,51,1938,0,1,Dinars,Iraq,Jamaica
645,51,1939,0,1,Dinars,Iraq,Jamaica
645,51,1940,0,1,Dinars,Iraq,Jamaica
645,51,1941,0,1,Dinars,Iraq,Jamaica
645,51,1942,0,1,Dinars,Iraq,Jamaica
645,51,1943,0,1,Dinars,Iraq,Jamaica
645,51,1944,0,1,Dinars,Iraq,Jamaica
645,51,1945,0,1,Dinars,Iraq,Jamaica
645,51,1946,7152,1,Dinars,Iraq,Jamaica
645,51,1947,730,1,Dinars,Iraq,Jamaica
645,51,1948,885,1,Dinars,Iraq,Jamaica
645,51,1949,2220,1,,Iraq,Jamaica
645,70,1935,0,1,Dinars,Iraq,Mexico
645,70,1936,0,1,Dinars,Iraq,Mexico
645,70,1937,0,1,Dinars,Iraq,Mexico
645,70,1938,0,1,Dinars,Iraq,Mexico
645,70,1939,0,1,Dinars,Iraq,Mexico
645,70,1940,0,1,Dinars,Iraq,Mexico
645,70,1941,0,1,Dinars,Iraq,Mexico
645,70,1942,0,1,Dinars,Iraq,Mexico
645,70,1943,0,1,Dinars,Iraq,Mexico
