ccode1,ccode2,year,imp,places,currency,country1,country2
205,2,1924,3708669,1,,Ireland,United States
205,2,1925,3162448,1,Pounds,Ireland,United States
205,2,1926,4955589,1,Pounds,Ireland,United States
205,2,1927,4658006,1,Pounds,Ireland,United States
205,2,1928,3810596,1,Pounds,Ireland,United States
205,2,1929,4772495,1,Pounds,Ireland,United States
205,2,1930,3867788,1,Pounds,Ireland,United States
205,2,1931,2044409,1,Pounds,Ireland,United States
205,2,1932,1320211,1,Pounds,Ireland,United States
205,2,1933,1051713,1,Pounds,Ireland,United States
205,2,1936,3080297,1,,Ireland,United States
205,2,1937,2904312,1,,Ireland,United States
205,2,1938,4704559,1,,Ireland,United States
205,2,1939,3600052,1,,Ireland,United States
205,2,1940,4130920,1,,Ireland,United States
205,2,1941,2304066,1,,Ireland,United States
205,2,1942,3041939,1,,Ireland,United States
205,2,1946,8490246,1,Pounds,Ireland,United States
205,2,1947,29114195,1,Pounds,Ireland,United States
205,2,1948,11432482,1,Pounds,Ireland,United States
205,2,1949,18543967,1,Pounds,Ireland,United States
205,20,1924,1438208,1,,Ireland,Canada
205,20,1925,1374116,1,Pounds,Ireland,Canada
205,20,1926,1221885,1,Pounds,Ireland,Canada
205,20,1927,1201383,1,Pounds,Ireland,Canada
205,20,1928,1035427,1,Pounds,Ireland,Canada
205,20,1929,774637,1,Pounds,Ireland,Canada
205,20,1930,769949,1,Pounds,Ireland,Canada
205,20,1931,717929,1,Pounds,Ireland,Canada
205,20,1932,801900,1,Pounds,Ireland,Canada
205,20,1933,1061879,1,Pounds,Ireland,Canada
205,20,1936,1607670,1,,Ireland,Canada
205,20,1937,1905645,1,,Ireland,Canada
205,20,1938,1552386,1,,Ireland,Canada
205,20,1939,1461903,1,,Ireland,Canada
205,20,1940,3290423,1,,Ireland,Canada
205,20,1941,1559056,1,,Ireland,Canada
205,20,1942,4564996,1,,Ireland,Canada
205,20,1946,2879860,1,Pounds,Ireland,Canada
205,20,1947,5674039,1,Pounds,Ireland,Canada
205,20,1948,2842486,1,Pounds,Ireland,Canada
205,20,1949,2958790,1,Pounds,Ireland,Canada
205,21,1924,0,1,,Ireland,Newfoundland
205,21,1925,0,1,Pounds,Ireland,Newfoundland
205,21,1926,0,1,Pounds,Ireland,Newfoundland
205,21,1927,0,1,Pounds,Ireland,Newfoundland
205,21,1928,0,1,Pounds,Ireland,Newfoundland
205,21,1929,21,1,Pounds,Ireland,Newfoundland
205,21,1930,20,1,Pounds,Ireland,Newfoundland
205,21,1931,28,1,Pounds,Ireland,Newfoundland
205,21,1932,0,1,Pounds,Ireland,Newfoundland
205,21,1933,0,1,Pounds,Ireland,Newfoundland
205,21,1936,0,1,,Ireland,Newfoundland
205,21,1937,0,1,,Ireland,Newfoundland
205,21,1938,0,1,,Ireland,Newfoundland
205,21,1939,0,1,,Ireland,Newfoundland
205,21,1940,0,1,,Ireland,Newfoundland
205,21,1941,0,1,,Ireland,Newfoundland
205,21,1942,0,1,,Ireland,Newfoundland
205,21,1946,0,1,Pounds,Ireland,Newfoundland
205,21,1947,0,1,Pounds,Ireland,Newfoundland
205,21,1948,0,1,Pounds,Ireland,Newfoundland
205,21,1949,0,1,Pounds,Ireland,Newfoundland
205,40,1924,0,1,,Ireland,Cuba
205,40,1925,0,1,Pounds,Ireland,Cuba
205,40,1926,0,1,Pounds,Ireland,Cuba
205,40,1927,0,1,Pounds,Ireland,Cuba
205,40,1928,0,1,Pounds,Ireland,Cuba
205,40,1929,0,1,Pounds,Ireland,Cuba
205,40,1930,0,1,Pounds,Ireland,Cuba
205,40,1931,0,1,Pounds,Ireland,Cuba
205,40,1932,0,1,Pounds,Ireland,Cuba
205,40,1933,0,1,Pounds,Ireland,Cuba
205,40,1936,0,1,,Ireland,Cuba
205,40,1937,0,1,,Ireland,Cuba
205,40,1938,0,1,,Ireland,Cuba
205,40,1939,0,1,,Ireland,Cuba
205,40,1940,0,1,,Ireland,Cuba
205,40,1941,0,1,,Ireland,Cuba
205,40,1942,0,1,,Ireland,Cuba
205,40,1946,63479,1,Pounds,Ireland,Cuba
205,40,1947,196767,1,Pounds,Ireland,Cuba
205,40,1948,1194263,1,Pounds,Ireland,Cuba
205,40,1949,376879,1,Pounds,Ireland,Cuba
205,68,1924,0,1,,Ireland,Netherlands Antilles
205,68,1925,0,1,Pounds,Ireland,Netherlands Antilles
205,68,1926,0,1,Pounds,Ireland,Netherlands Antilles
205,68,1927,31251,1,Pounds,Ireland,Netherlands Antilles
205,68,1928,10,1,Pounds,Ireland,Netherlands Antilles
205,68,1929,0,1,Pounds,Ireland,Netherlands Antilles
205,68,1930,0,1,Pounds,Ireland,Netherlands Antilles
205,68,1931,0,1,Pounds,Ireland,Netherlands Antilles
205,68,1932,25064,1,Pounds,Ireland,Netherlands Antilles
205,68,1933,53713,1,Pounds,Ireland,Netherlands Antilles
205,68,1936,386504,1,,Ireland,Netherlands Antilles
205,68,1937,441875,1,,Ireland,Netherlands Antilles
205,68,1938,489565,1,,Ireland,Netherlands Antilles
205,68,1939,463481,1,,Ireland,Netherlands Antilles
205,68,1940,620803,1,,Ireland,Netherlands Antilles
205,68,1941,565520,1,,Ireland,Netherlands Antilles
205,68,1942,688759,1,,Ireland,Netherlands Antilles
205,68,1946,1272554,1,Pounds,Ireland,Netherlands Antilles
205,68,1947,2003069,1,Pounds,Ireland,Netherlands Antilles
205,68,1948,2924715,1,Pounds,Ireland,Netherlands Antilles
205,68,1949,1981069,1,Pounds,Ireland,Netherlands Antilles
205,70,1924,52,1,,Ireland,Mexico
205,70,1925,25362,1,Pounds,Ireland,Mexico
205,70,1926,706,1,Pounds,Ireland,Mexico
205,70,1927,30304,1,Pounds,Ireland,Mexico
205,70,1928,50,1,Pounds,Ireland,Mexico
205,70,1929,2,1,Pounds,Ireland,Mexico
205,70,1930,35649,1,Pounds,Ireland,Mexico
205,70,1931,3,1,Pounds,Ireland,Mexico
205,70,1932,0,1,Pounds,Ireland,Mexico
205,70,1933,0,1,Pounds,Ireland,Mexico
205,70,1936,107583,1,,Ireland,Mexico
205,70,1937,116601,1,,Ireland,Mexico
205,70,1938,69525,1,,Ireland,Mexico
205,70,1939,0,1,,Ireland,Mexico
205,70,1940,0,1,,Ireland,Mexico
205,70,1941,0,1,,Ireland,Mexico
205,70,1942,0,1,,Ireland,Mexico
205,70,1946,510432,1,Pounds,Ireland,Mexico
205,70,1947,460540,1,Pounds,Ireland,Mexico
205,70,1948,163566,1,Pounds,Ireland,Mexico
205,70,1949,63085,1,Pounds,Ireland,Mexico
205,94,1924,0,1,,Ireland,Costa Rica
205,94,1925,0,1,Pounds,Ireland,Costa Rica
205,94,1926,0,1,Pounds,Ireland,Costa Rica
205,94,1927,0,1,Pounds,Ireland,Costa Rica
205,94,1928,0,1,Pounds,Ireland,Costa Rica
205,94,1929,0,1,Pounds,Ireland,Costa Rica
205,94,1930,0,1,Pounds,Ireland,Costa Rica
205,94,1931,0,1,Pounds,Ireland,Costa Rica
205,94,1932,0,1,Pounds,Ireland,Costa Rica
205,94,1933,0,1,Pounds,Ireland,Costa Rica
205,94,1936,0,1,,Ireland,Costa Rica
205,94,1937,0,1,,Ireland,Costa Rica
205,94,1938,0,1,,Ireland,Costa Rica
205,94,1939,0,1,,Ireland,Costa Rica
205,94,1940,0,1,,Ireland,Costa Rica
205,94,1941,0,1,,Ireland,Costa Rica
205,94,1942,0,1,,Ireland,Costa Rica
205,94,1946,13379,1,Pounds,Ireland,Costa Rica
205,94,1947,32962,1,Pounds,Ireland,Costa Rica
205,94,1948,5395,1,Pounds,Ireland,Costa Rica
205,94,1949,0,1,Pounds,Ireland,Costa Rica
205,100,1924,0,1,,Ireland,Colombia
205,100,1925,0,1,Pounds,Ireland,Colombia
205,100,1926,0,1,Pounds,Ireland,Colombia
205,100,1927,0,1,Pounds,Ireland,Colombia
205,100,1928,0,1,Pounds,Ireland,Colombia
205,100,1929,0,1,Pounds,Ireland,Colombia
205,100,1930,0,1,Pounds,Ireland,Colombia
205,100,1931,0,1,Pounds,Ireland,Colombia
205,100,1932,0,1,Pounds,Ireland,Colombia
205,100,1933,0,1,Pounds,Ireland,Colombia
205,100,1936,0,1,,Ireland,Colombia
205,100,1937,22512,1,,Ireland,Colombia
205,100,1938,23226,1,,Ireland,Colombia
205,100,1939,0,1,,Ireland,Colombia
205,100,1940,0,1,,Ireland,Colombia
205,100,1941,0,1,,Ireland,Colombia
205,100,1942,0,1,,Ireland,Colombia
205,100,1946,0,1,Pounds,Ireland,Colombia
205,100,1947,0,1,Pounds,Ireland,Colombia
205,100,1948,0,1,Pounds,Ireland,Colombia
205,100,1949,0,1,Pounds,Ireland,Colombia
205,101,1924,0,1,,Ireland,Venezuela
205,101,1925,0,1,Pounds,Ireland,Venezuela
205,101,1926,0,1,Pounds,Ireland,Venezuela
205,101,1927,0,1,Pounds,Ireland,Venezuela
205,101,1928,0,1,Pounds,Ireland,Venezuela
205,101,1929,0,1,Pounds,Ireland,Venezuela
205,101,1930,0,1,Pounds,Ireland,Venezuela
205,101,1931,0,1,Pounds,Ireland,Venezuela
205,101,1932,24486,1,Pounds,Ireland,Venezuela
205,101,1933,74035,1,Pounds,Ireland,Venezuela
205,101,1936,48911,1,,Ireland,Venezuela
205,101,1937,38693,1,,Ireland,Venezuela
205,101,1938,0,1,,Ireland,Venezuela
205,101,1939,0,1,,Ireland,Venezuela
205,101,1940,0,1,,Ireland,Venezuela
205,101,1941,0,1,,Ireland,Venezuela
205,101,1942,0,1,,Ireland,Venezuela
205,101,1946,0,1,Pounds,Ireland,Venezuela
205,101,1947,0,1,Pounds,Ireland,Venezuela
205,101,1948,26894,1,Pounds,Ireland,Venezuela
205,101,1949,21,1,Pounds,Ireland,Venezuela
205,110,1924,0,1,,Ireland,Guyana
205,110,1925,0,1,Pounds,Ireland,Guyana
205,110,1926,0,1,Pounds,Ireland,Guyana
205,110,1927,0,1,Pounds,Ireland,Guyana
205,110,1928,0,1,Pounds,Ireland,Guyana
205,110,1929,0,1,Pounds,Ireland,Guyana
205,110,1930,0,1,Pounds,Ireland,Guyana
205,110,1931,0,1,Pounds,Ireland,Guyana
205,110,1932,0,1,Pounds,Ireland,Guyana
205,110,1933,0,1,Pounds,Ireland,Guyana
205,110,1936,0,1,,Ireland,Guyana
205,110,1937,5142,1,,Ireland,Guyana
205,110,1938,5362,1,,Ireland,Guyana
205,110,1939,0,1,,Ireland,Guyana
205,110,1940,0,1,,Ireland,Guyana
205,110,1941,0,1,,Ireland,Guyana
205,110,1942,0,1,,Ireland,Guyana
205,110,1946,10830,1,Pounds,Ireland,Guyana
205,110,1947,22662,1,Pounds,Ireland,Guyana
205,110,1948,82396,1,Pounds,Ireland,Guyana
205,110,1949,5411,1,Pounds,Ireland,Guyana
205,130,1924,0,1,,Ireland,Ecuador
205,130,1925,0,1,Pounds,Ireland,Ecuador
205,130,1926,0,1,Pounds,Ireland,Ecuador
205,130,1927,0,1,Pounds,Ireland,Ecuador
205,130,1928,0,1,Pounds,Ireland,Ecuador
205,130,1929,0,1,Pounds,Ireland,Ecuador
205,130,1930,0,1,Pounds,Ireland,Ecuador
205,130,1931,0,1,Pounds,Ireland,Ecuador
205,130,1932,0,1,Pounds,Ireland,Ecuador
205,130,1933,0,1,Pounds,Ireland,Ecuador
205,130,1936,0,1,,Ireland,Ecuador
205,130,1937,0,1,,Ireland,Ecuador
205,130,1938,0,1,,Ireland,Ecuador
205,130,1939,0,1,,Ireland,Ecuador
205,130,1940,0,1,,Ireland,Ecuador
205,130,1941,0,1,,Ireland,Ecuador
205,130,1942,0,1,,Ireland,Ecuador
205,130,1946,8259,1,Pounds,Ireland,Ecuador
205,130,1947,15772,1,Pounds,Ireland,Ecuador
205,130,1948,8064,1,Pounds,Ireland,Ecuador
205,130,1949,0,1,Pounds,Ireland,Ecuador
205,135,1924,0,1,,Ireland,Peru
205,135,1925,2,1,Pounds,Ireland,Peru
205,135,1926,15225,1,Pounds,Ireland,Peru
205,135,1927,14982,1,Pounds,Ireland,Peru
205,135,1928,24665,1,Pounds,Ireland,Peru
205,135,1929,26907,1,Pounds,Ireland,Peru
205,135,1930,22040,1,Pounds,Ireland,Peru
205,135,1931,2,1,Pounds,Ireland,Peru
205,135,1932,0,1,Pounds,Ireland,Peru
205,135,1933,0,1,Pounds,Ireland,Peru
205,135,1936,0,1,,Ireland,Peru
205,135,1937,0,1,,Ireland,Peru
205,135,1938,0,1,,Ireland,Peru
205,135,1939,0,1,,Ireland,Peru
205,135,1940,0,1,,Ireland,Peru
205,135,1941,0,1,,Ireland,Peru
205,135,1942,0,1,,Ireland,Peru
205,135,1946,7373,1,Pounds,Ireland,Peru
205,135,1947,500058,1,Pounds,Ireland,Peru
205,135,1948,20478,1,Pounds,Ireland,Peru
205,135,1949,0,1,Pounds,Ireland,Peru
205,140,1924,0,1,,Ireland,Brazil
205,140,1925,0,1,Pounds,Ireland,Brazil
205,140,1926,0,1,Pounds,Ireland,Brazil
205,140,1927,0,1,Pounds,Ireland,Brazil
205,140,1928,0,1,Pounds,Ireland,Brazil
205,140,1929,0,1,Pounds,Ireland,Brazil
205,140,1930,2,1,Pounds,Ireland,Brazil
205,140,1931,0,1,Pounds,Ireland,Brazil
205,140,1932,0,1,Pounds,Ireland,Brazil
205,140,1933,0,1,Pounds,Ireland,Brazil
205,140,1936,98991,1,,Ireland,Brazil
205,140,1937,129894,1,,Ireland,Brazil
205,140,1938,114194,1,,Ireland,Brazil
205,140,1939,144425,1,,Ireland,Brazil
205,140,1940,198796,1,,Ireland,Brazil
205,140,1941,179918,1,,Ireland,Brazil
205,140,1942,300229,1,,Ireland,Brazil
205,140,1946,2856694,1,Pounds,Ireland,Brazil
205,140,1947,845232,1,Pounds,Ireland,Brazil
205,140,1948,547569,1,Pounds,Ireland,Brazil
205,140,1949,655945,1,Pounds,Ireland,Brazil
205,150,1924,0,1,,Ireland,Paraguay
205,150,1925,0,1,Pounds,Ireland,Paraguay
205,150,1926,0,1,Pounds,Ireland,Paraguay
205,150,1927,0,1,Pounds,Ireland,Paraguay
205,150,1928,0,1,Pounds,Ireland,Paraguay
205,150,1929,0,1,Pounds,Ireland,Paraguay
205,150,1930,0,1,Pounds,Ireland,Paraguay
205,150,1931,0,1,Pounds,Ireland,Paraguay
205,150,1932,0,1,Pounds,Ireland,Paraguay
205,150,1933,0,1,Pounds,Ireland,Paraguay
205,150,1936,0,1,,Ireland,Paraguay
205,150,1937,0,1,,Ireland,Paraguay
205,150,1938,0,1,,Ireland,Paraguay
205,150,1939,0,1,,Ireland,Paraguay
205,150,1940,0,1,,Ireland,Paraguay
205,150,1941,0,1,,Ireland,Paraguay
205,150,1942,0,1,,Ireland,Paraguay
205,150,1946,19940,1,Pounds,Ireland,Paraguay
205,150,1947,0,1,Pounds,Ireland,Paraguay
205,150,1948,0,1,Pounds,Ireland,Paraguay
205,150,1949,0,1,Pounds,Ireland,Paraguay
205,155,1924,0,1,,Ireland,Chile
205,155,1925,133343,1,Pounds,Ireland,Chile
205,155,1926,3496,1,Pounds,Ireland,Chile
205,155,1927,48618,1,Pounds,Ireland,Chile
205,155,1928,632,1,Pounds,Ireland,Chile
205,155,1929,34845,1,Pounds,Ireland,Chile
205,155,1930,8804,1,Pounds,Ireland,Chile
205,155,1931,1002,1,Pounds,Ireland,Chile
205,155,1932,0,1,Pounds,Ireland,Chile
205,155,1933,0,1,Pounds,Ireland,Chile
205,155,1936,16006,1,,Ireland,Chile
205,155,1937,105207,1,,Ireland,Chile
205,155,1938,52389,1,,Ireland,Chile
205,155,1939,0,1,,Ireland,Chile
205,155,1940,0,1,,Ireland,Chile
205,155,1941,0,1,,Ireland,Chile
205,155,1942,0,1,,Ireland,Chile
205,155,1946,3959,1,Pounds,Ireland,Chile
205,155,1947,273901,1,Pounds,Ireland,Chile
205,155,1948,550250,1,Pounds,Ireland,Chile
205,155,1949,302893,1,Pounds,Ireland,Chile
205,160,1924,2294214,1,,Ireland,Argentina
205,160,1925,1468119,1,Pounds,Ireland,Argentina
205,160,1926,1632647,1,Pounds,Ireland,Argentina
205,160,1927,2502758,1,Pounds,Ireland,Argentina
205,160,1928,2810935,1,Pounds,Ireland,Argentina
205,160,1929,2440717,1,Pounds,Ireland,Argentina
205,160,1930,1247329,1,Pounds,Ireland,Argentina
205,160,1931,1587503,1,Pounds,Ireland,Argentina
205,160,1932,1852460,1,Pounds,Ireland,Argentina
205,160,1933,858822,1,Pounds,Ireland,Argentina
205,160,1936,1151698,1,,Ireland,Argentina
205,160,1937,2259608,1,,Ireland,Argentina
205,160,1938,1411677,1,,Ireland,Argentina
205,160,1939,2327121,1,,Ireland,Argentina
205,160,1940,3815603,1,,Ireland,Argentina
205,160,1941,490671,1,,Ireland,Argentina
205,160,1942,1341814,1,,Ireland,Argentina
205,160,1946,3625558,1,Pounds,Ireland,Argentina
205,160,1947,4670737,1,Pounds,Ireland,Argentina
205,160,1948,9230114,1,Pounds,Ireland,Argentina
205,160,1949,502382,1,Pounds,Ireland,Argentina
205,165,1924,0,1,,Ireland,Uruguay
205,165,1925,0,1,Pounds,Ireland,Uruguay
205,165,1926,0,1,Pounds,Ireland,Uruguay
205,165,1927,0,1,Pounds,Ireland,Uruguay
205,165,1928,0,1,Pounds,Ireland,Uruguay
205,165,1929,0,1,Pounds,Ireland,Uruguay
205,165,1930,0,1,Pounds,Ireland,Uruguay
205,165,1931,0,1,Pounds,Ireland,Uruguay
205,165,1932,0,1,Pounds,Ireland,Uruguay
205,165,1933,0,1,Pounds,Ireland,Uruguay
205,165,1936,0,1,,Ireland,Uruguay
205,165,1937,0,1,,Ireland,Uruguay
205,165,1938,0,1,,Ireland,Uruguay
205,165,1939,0,1,,Ireland,Uruguay
205,165,1940,0,1,,Ireland,Uruguay
205,165,1941,0,1,,Ireland,Uruguay
205,165,1942,0,1,,Ireland,Uruguay
205,165,1946,210965,1,Pounds,Ireland,Uruguay
205,165,1947,419655,1,Pounds,Ireland,Uruguay
205,165,1948,187626,1,Pounds,Ireland,Uruguay
205,165,1949,156388,1,Pounds,Ireland,Uruguay
205,200,1924,55878808,1,,Ireland,United Kingdom
205,200,1925,51034041,1,Pounds,Ireland,United Kingdom
205,200,1926,46346953,1,Pounds,Ireland,United Kingdom
205,200,1927,47056929,1,Pounds,Ireland,United Kingdom
205,200,1928,46647319,1,Pounds,Ireland,United Kingdom
205,200,1929,47879615,1,Pounds,Ireland,United Kingdom
205,200,1930,45395125,1,Pounds,Ireland,United Kingdom
205,200,1931,40778127,1,Pounds,Ireland,United Kingdom
205,200,1932,32628476,1,Pounds,Ireland,United Kingdom
205,200,1933,25032204,1,Pounds,Ireland,United Kingdom
205,200,1936,21253268,1,,Ireland,United Kingdom
205,200,1937,22074480,1,,Ireland,United Kingdom
205,200,1938,20893403,1,,Ireland,United Kingdom
205,200,1939,24171500,1,,Ireland,United Kingdom
205,200,1940,24830543,1,,Ireland,United Kingdom
205,200,1941,21111796,1,,Ireland,United Kingdom
205,200,1942,19827480,1,,Ireland,United Kingdom
205,200,1946,37398013,1,Pounds,Ireland,United Kingdom
205,200,1947,54209953,1,Pounds,Ireland,United Kingdom
205,200,1948,73515075,1,Pounds,Ireland,United Kingdom
205,200,1949,74053226,1,Pounds,Ireland,United Kingdom
205,210,1924,816273,1,,Ireland,Netherlands
205,210,1925,679952,1,Pounds,Ireland,Netherlands
205,210,1926,902982,1,Pounds,Ireland,Netherlands
205,210,1927,652598,1,Pounds,Ireland,Netherlands
205,210,1928,652248,1,Pounds,Ireland,Netherlands
205,210,1929,550924,1,Pounds,Ireland,Netherlands
205,210,1930,575443,1,Pounds,Ireland,Netherlands
205,210,1931,431793,1,Pounds,Ireland,Netherlands
205,210,1932,433583,1,Pounds,Ireland,Netherlands
205,210,1933,497235,1,Pounds,Ireland,Netherlands
205,210,1936,487938,1,,Ireland,Netherlands
205,210,1937,532670,1,,Ireland,Netherlands
205,210,1938,471570,1,,Ireland,Netherlands
205,210,1939,0,1,,Ireland,Netherlands
205,210,1940,0,1,,Ireland,Netherlands
205,210,1941,0,1,,Ireland,Netherlands
205,210,1942,0,1,,Ireland,Netherlands
205,210,1946,688513,1,Pounds,Ireland,Netherlands
205,210,1947,2878445,1,Pounds,Ireland,Netherlands
205,210,1948,2140915,1,Pounds,Ireland,Netherlands
205,210,1949,3147927,1,Pounds,Ireland,Netherlands
205,211,1924,630151,1,,Ireland,Belgium
205,211,1925,493794,1,Pounds,Ireland,Belgium
205,211,1926,1039328,1,Pounds,Ireland,Belgium
205,211,1927,702456,1,Pounds,Ireland,Belgium
205,211,1928,691806,1,Pounds,Ireland,Belgium
205,211,1929,722761,1,Pounds,Ireland,Belgium
205,211,1930,697337,1,Pounds,Ireland,Belgium
205,211,1931,688846,1,Pounds,Ireland,Belgium
205,211,1932,691651,1,Pounds,Ireland,Belgium
205,211,1933,916268,1,Pounds,Ireland,Belgium
205,211,1936,1155110,1,,Ireland,Belgium
205,211,1937,1242993,1,,Ireland,Belgium
205,211,1938,1030088,1,,Ireland,Belgium
205,211,1939,0,1,,Ireland,Belgium
205,211,1940,0,1,,Ireland,Belgium
205,211,1941,0,1,,Ireland,Belgium
205,211,1942,0,1,,Ireland,Belgium
205,211,1946,934870,1,Pounds,Ireland,Belgium
205,211,1947,2939190,1,Pounds,Ireland,Belgium
205,211,1948,2584654,1,Pounds,Ireland,Belgium
205,211,1949,2019577,1,Pounds,Ireland,Belgium
205,212,1924,0,1,,Ireland,Luxembourg
205,212,1925,0,1,Pounds,Ireland,Luxembourg
205,212,1926,0,1,Pounds,Ireland,Luxembourg
205,212,1927,0,1,Pounds,Ireland,Luxembourg
205,212,1928,0,1,Pounds,Ireland,Luxembourg
205,212,1929,0,1,Pounds,Ireland,Luxembourg
205,212,1930,0,1,Pounds,Ireland,Luxembourg
205,212,1931,0,1,Pounds,Ireland,Luxembourg
205,212,1932,0,1,Pounds,Ireland,Luxembourg
205,212,1933,0,1,Pounds,Ireland,Luxembourg
205,212,1936,0,1,,Ireland,Luxembourg
205,212,1937,0,1,,Ireland,Luxembourg
205,212,1938,0,1,,Ireland,Luxembourg
205,212,1939,0,1,,Ireland,Luxembourg
205,212,1940,0,1,,Ireland,Luxembourg
205,212,1941,0,1,,Ireland,Luxembourg
205,212,1942,0,1,,Ireland,Luxembourg
205,212,1946,0,1,Pounds,Ireland,Luxembourg
205,212,1947,264606,1,Pounds,Ireland,Luxembourg
205,212,1948,200199,1,Pounds,Ireland,Luxembourg
205,212,1949,134859,1,Pounds,Ireland,Luxembourg
205,220,1924,432925,1,,Ireland,France
205,220,1925,389142,1,Pounds,Ireland,France
205,220,1926,520514,1,Pounds,Ireland,France
205,220,1927,375629,1,Pounds,Ireland,France
