ccode1,ccode2,year,imp,places,currency,country1,country2
325,2,1917,6191820,1000,,Italy,United States
325,2,1918,6640552,1000,,Italy,United States
325,2,1919,7350376,1000,,Italy,United States
325,2,1920,8688621,1000,,Italy,United States
325,2,1921,5710843,1000,,Italy,United States
325,2,1922,4398231,1000,Migliaia Di Lire,Italy,United States
325,2,1923,4608019,1000,Migliaia Di Lire,Italy,United States
325,2,1924,4648293,1000,Migliaia Di Lire,Italy,United States
325,2,1925,6195536,1000,Migliaia Di Lire,Italy,United States
325,2,1926,5607735,1000,Migliaia Di Lire,Italy,United States
325,2,1927,3958087,1000,Migliaia Di Lire,Italy,United States
325,2,1928,4011245,1000,,Italy,United States
325,2,1929,3561017,1000,,Italy,United States
325,2,1930,2537972,1000,,Italy,United States
325,2,1931,1327009,1000,,Italy,United States
325,2,1932,1108.2,1000000,Millioni Di Lire,Italy,United States
325,2,1933,1114.7,1000000,Millioni Di Lire,Italy,United States
325,2,1934,957.1,1000000,Millioni Di Lire,Italy,United States
325,2,1935,879.1,1000000,Millioni Di Lire,Italy,United States
325,2,1936,895.1,1000000,Millioni Di Lire,Italy,United States
325,2,1937,1539.1,1000000,Millioni Di Lire,Italy,United States
325,2,1938,1338.4,1000000,Millioni Di Lire,Italy,United States
325,2,1939,979403,1000,Migliala Di Lire,Italy,United States
325,2,1940,1216706,1000,Migliala Di Lire,Italy,United States
325,2,1941,91060,1000,Migliala Di Lire,Italy,United States
325,2,1942,0,1000,Migliala Di Lire,Italy,United States
325,2,1943,0,1000000,,Italy,United States
325,2,1944,0,1000000,,Italy,United States
325,2,1945,0,1000000,,Italy,United States
325,2,1946,0,1000000,,Italy,United States
325,2,1947,177105.3,1000000,Milioni Di Lire,Italy,United States
325,2,1948,317701,1000000,Milioni Di Lire,Italy,United States
325,2,1949,311041,1000000,Milioni Di Lire,Italy,United States
325,20,1917,25635,1000,,Italy,Canada
325,20,1918,114204,1000,,Italy,Canada
325,20,1919,276774,1000,,Italy,Canada
325,20,1920,590900,1000,,Italy,Canada
325,20,1921,441189,1000,,Italy,Canada
325,20,1922,302142,1000,Migliaia Di Lire,Italy,Canada
325,20,1923,434448,1000,Migliaia Di Lire,Italy,Canada
325,20,1924,580241,1000,Migliaia Di Lire,Italy,Canada
325,20,1925,430059,1000,Migliaia Di Lire,Italy,Canada
325,20,1926,621481,1000,Migliaia Di Lire,Italy,Canada
325,20,1927,734527,1000,Migliaia Di Lire,Italy,Canada
325,20,1928,969874,1000,,Italy,Canada
325,20,1929,697261,1000,,Italy,Canada
325,20,1930,586185,1000,,Italy,Canada
325,20,1931,206486,1000,,Italy,Canada
325,20,1932,94.5,1000000,Millioni Di Lire,Italy,Canada
325,20,1933,58.4,1000000,Millioni Di Lire,Italy,Canada
325,20,1934,0,1000000,Millioni Di Lire,Italy,Canada
325,20,1935,0,1000000,Millioni Di Lire,Italy,Canada
325,20,1936,33.1,1000000,Millioni Di Lire,Italy,Canada
