ccode1,ccode2,year,imp,places,currency,country1,country2
51,2,1920,6040607,1,Pounds,Jamaica,United States
51,2,1921,2990516,1,Pounds,Jamaica,United States
51,2,1922,2091591,1,Pounds,Jamaica,United States
51,2,1923,2336512,1,Pounds,Jamaica,United States
51,2,1924,1955867,1,Pounds,Jamaica,United States
51,2,1925,2143250,1,Pounds,Jamaica,United States
51,2,1926,2099981,1,Pounds,Jamaica,United States
51,2,1927,1939192,1,Pounds,Jamaica,United States
51,2,1928,1922397,1,Pounds,Jamaica,United States
51,2,1929,2089306,1,Pounds,Jamaica,United States
51,2,1930,1934542,1,Pounds,Jamaica,United States
51,2,1931,1430008,1,Pounds,Jamaica,United States
51,2,1932,817211,1,Pounds,Jamaica,United States
51,2,1933,687937,1,Pounds,Jamaica,United States
51,2,1934,847289,1,Pounds,Jamaica,United States
51,2,1935,879932,1,Pounds,Jamaica,United States
51,2,1936,833875,1,Pounds,Jamaica,United States
51,2,1937,1083417,1,Pounds,Jamaica,United States
51,2,1938,1359143,1,Pounds,Jamaica,United States
51,2,1939,1471285,1,Pounds,Jamaica,United States
51,2,1940,961524,1,Pounds,Jamaica,United States
51,2,1941,869228,1,Pounds,Jamaica,United States
51,2,1943,1383169,1,Pounds,Jamaica,United States
51,2,1944,2848897,1,Pounds,Jamaica,United States
51,2,1945,2886588,1,Pounds,Jamaica,United States
51,2,1946,3199948,1,Pounds,Jamaica,United States
51,2,1947,6377651,1,,Jamaica,United States
51,2,1948,3825998,1,,Jamaica,United States
51,2,1949,3174453,1,,Jamaica,United States
51,3,1920,0,1,Pounds,Jamaica,Alaska
51,3,1921,0,1,Pounds,Jamaica,Alaska
51,3,1922,0,1,Pounds,Jamaica,Alaska
51,3,1923,0,1,Pounds,Jamaica,Alaska
51,3,1924,0,1,Pounds,Jamaica,Alaska
51,3,1925,0,1,Pounds,Jamaica,Alaska
51,3,1926,0,1,Pounds,Jamaica,Alaska
51,3,1927,0,1,Pounds,Jamaica,Alaska
51,3,1928,0,1,Pounds,Jamaica,Alaska
51,3,1929,0,1,Pounds,Jamaica,Alaska
51,3,1930,0,1,Pounds,Jamaica,Alaska
51,3,1931,3,1,Pounds,Jamaica,Alaska
51,3,1932,0,1,Pounds,Jamaica,Alaska
51,3,1933,0,1,Pounds,Jamaica,Alaska
51,3,1934,0,1,Pounds,Jamaica,Alaska
51,3,1935,0,1,Pounds,Jamaica,Alaska
51,3,1936,0,1,Pounds,Jamaica,Alaska
51,3,1937,0,1,Pounds,Jamaica,Alaska
51,3,1938,0,1,Pounds,Jamaica,Alaska
51,3,1939,0,1,Pounds,Jamaica,Alaska
51,3,1940,0,1,Pounds,Jamaica,Alaska
51,3,1941,0,1,Pounds,Jamaica,Alaska
51,3,1943,0,1,Pounds,Jamaica,Alaska
51,3,1944,0,1,Pounds,Jamaica,Alaska
51,3,1945,0,1,Pounds,Jamaica,Alaska
51,3,1946,0,1,Pounds,Jamaica,Alaska
51,3,1947,0,1,,Jamaica,Alaska
51,3,1948,0,1,,Jamaica,Alaska
51,3,1949,0,1,,Jamaica,Alaska
51,4,1920,0,1,Pounds,Jamaica,Hawaii
51,4,1921,0,1,Pounds,Jamaica,Hawaii
51,4,1922,0,1,Pounds,Jamaica,Hawaii
51,4,1923,0,1,Pounds,Jamaica,Hawaii
51,4,1924,0,1,Pounds,Jamaica,Hawaii
51,4,1925,0,1,Pounds,Jamaica,Hawaii
51,4,1926,0,1,Pounds,Jamaica,Hawaii
51,4,1927,0,1,Pounds,Jamaica,Hawaii
51,4,1928,0,1,Pounds,Jamaica,Hawaii
51,4,1929,0,1,Pounds,Jamaica,Hawaii
51,4,1930,4,1,Pounds,Jamaica,Hawaii
51,4,1931,0,1,Pounds,Jamaica,Hawaii
51,4,1932,4,1,Pounds,Jamaica,Hawaii
51,4,1933,1,1,Pounds,Jamaica,Hawaii
51,4,1934,0,1,Pounds,Jamaica,Hawaii
51,4,1935,0,1,Pounds,Jamaica,Hawaii
51,4,1936,0,1,Pounds,Jamaica,Hawaii
51,4,1937,0,1,Pounds,Jamaica,Hawaii
51,4,1938,0,1,Pounds,Jamaica,Hawaii
51,4,1939,0,1,Pounds,Jamaica,Hawaii
51,4,1940,0,1,Pounds,Jamaica,Hawaii
51,4,1941,0,1,Pounds,Jamaica,Hawaii
51,4,1943,0,1,Pounds,Jamaica,Hawaii
51,4,1944,0,1,Pounds,Jamaica,Hawaii
51,4,1945,0,1,Pounds,Jamaica,Hawaii
51,4,1946,0,1,Pounds,Jamaica,Hawaii
51,4,1947,0,1,,Jamaica,Hawaii
51,4,1948,0,1,,Jamaica,Hawaii
51,4,1949,0,1,,Jamaica,Hawaii
51,6,1920,0,1,Pounds,Jamaica,Puerto Rico
51,6,1921,1,1,Pounds,Jamaica,Puerto Rico
51,6,1922,0,1,Pounds,Jamaica,Puerto Rico
51,6,1923,0,1,Pounds,Jamaica,Puerto Rico
51,6,1924,40,1,Pounds,Jamaica,Puerto Rico
51,6,1925,1,1,Pounds,Jamaica,Puerto Rico
51,6,1926,54,1,Pounds,Jamaica,Puerto Rico
51,6,1927,240,1,Pounds,Jamaica,Puerto Rico
51,6,1928,8,1,Pounds,Jamaica,Puerto Rico
51,6,1929,638,1,Pounds,Jamaica,Puerto Rico
51,6,1930,57,1,Pounds,Jamaica,Puerto Rico
51,6,1931,147,1,Pounds,Jamaica,Puerto Rico
51,6,1932,351,1,Pounds,Jamaica,Puerto Rico
51,6,1933,556,1,Pounds,Jamaica,Puerto Rico
51,6,1934,92,1,Pounds,Jamaica,Puerto Rico
51,6,1935,75,1,Pounds,Jamaica,Puerto Rico
51,6,1936,108,1,Pounds,Jamaica,Puerto Rico
51,6,1937,46,1,Pounds,Jamaica,Puerto Rico
51,6,1938,24,1,Pounds,Jamaica,Puerto Rico
51,6,1939,18,1,Pounds,Jamaica,Puerto Rico
51,6,1940,6,1,Pounds,Jamaica,Puerto Rico
51,6,1941,16,1,Pounds,Jamaica,Puerto Rico
51,6,1943,338,1,Pounds,Jamaica,Puerto Rico
51,6,1944,1452,1,Pounds,Jamaica,Puerto Rico
51,6,1945,13117,1,Pounds,Jamaica,Puerto Rico
51,6,1946,7781,1,Pounds,Jamaica,Puerto Rico
51,6,1947,385,1,,Jamaica,Puerto Rico
51,6,1948,34,1,,Jamaica,Puerto Rico
51,6,1949,29,1,,Jamaica,Puerto Rico
51,20,1920,896916,1,Pounds,Jamaica,Canada
51,20,1921,636534,1,Pounds,Jamaica,Canada
51,20,1922,616246,1,Pounds,Jamaica,Canada
51,20,1923,747614,1,Pounds,Jamaica,Canada
51,20,1924,794856,1,Pounds,Jamaica,Canada
51,20,1925,815629,1,Pounds,Jamaica,Canada
51,20,1926,978563,1,Pounds,Jamaica,Canada
51,20,1927,1074865,1,Pounds,Jamaica,Canada
51,20,1928,1179681,1,Pounds,Jamaica,Canada
51,20,1929,1217720,1,Pounds,Jamaica,Canada
51,20,1930,957305,1,Pounds,Jamaica,Canada
51,20,1931,830325,1,Pounds,Jamaica,Canada
51,20,1932,687147,1,Pounds,Jamaica,Canada
51,20,1933,675297,1,Pounds,Jamaica,Canada
51,20,1934,734825,1,Pounds,Jamaica,Canada
51,20,1935,794177,1,Pounds,Jamaica,Canada
51,20,1936,804394,1,Pounds,Jamaica,Canada
51,20,1937,891035,1,Pounds,Jamaica,Canada
51,20,1938,1014267,1,Pounds,Jamaica,Canada
51,20,1939,1121108,1,Pounds,Jamaica,Canada
51,20,1940,1504723,1,Pounds,Jamaica,Canada
51,20,1941,2109361,1,Pounds,Jamaica,Canada
51,20,1943,2062204,1,Pounds,Jamaica,Canada
51,20,1944,3429457,1,Pounds,Jamaica,Canada
51,20,1945,3943060,1,Pounds,Jamaica,Canada
51,20,1946,4292835,1,Pounds,Jamaica,Canada
51,20,1947,5410255,1,,Jamaica,Canada
51,20,1948,3596679,1,,Jamaica,Canada
51,20,1949,2482633,1,,Jamaica,Canada
51,21,1920,47385,1,Pounds,Jamaica,Newfoundland
51,21,1921,37715,1,Pounds,Jamaica,Newfoundland
51,21,1922,98475,1,Pounds,Jamaica,Newfoundland
51,21,1923,116081,1,Pounds,Jamaica,Newfoundland
51,21,1924,124817,1,Pounds,Jamaica,Newfoundland
51,21,1925,120155,1,Pounds,Jamaica,Newfoundland
51,21,1926,146955,1,Pounds,Jamaica,Newfoundland
51,21,1927,163437,1,Pounds,Jamaica,Newfoundland
51,21,1928,170694,1,Pounds,Jamaica,Newfoundland
51,21,1929,115436,1,Pounds,Jamaica,Newfoundland
51,21,1930,170905,1,Pounds,Jamaica,Newfoundland
51,21,1931,168857,1,Pounds,Jamaica,Newfoundland
51,21,1932,124654,1,Pounds,Jamaica,Newfoundland
51,21,1933,98229,1,Pounds,Jamaica,Newfoundland
51,21,1934,102955,1,Pounds,Jamaica,Newfoundland
51,21,1935,115301,1,Pounds,Jamaica,Newfoundland
51,21,1936,114586,1,Pounds,Jamaica,Newfoundland
51,21,1937,158915,1,Pounds,Jamaica,Newfoundland
51,21,1938,185885,1,Pounds,Jamaica,Newfoundland
51,21,1939,166351,1,Pounds,Jamaica,Newfoundland
51,21,1940,162643,1,Pounds,Jamaica,Newfoundland
51,21,1941,201032,1,Pounds,Jamaica,Newfoundland
51,21,1943,336789,1,Pounds,Jamaica,Newfoundland
51,21,1944,410182,1,Pounds,Jamaica,Newfoundland
51,21,1945,415182,1,Pounds,Jamaica,Newfoundland
51,21,1946,460552,1,Pounds,Jamaica,Newfoundland
51,21,1947,481008,1,,Jamaica,Newfoundland
51,21,1948,515041,1,,Jamaica,Newfoundland
51,21,1949,539568,1,,Jamaica,Newfoundland
51,30,1920,0,1,Pounds,Jamaica,Bermuda
51,30,1921,0,1,Pounds,Jamaica,Bermuda
51,30,1922,217,1,Pounds,Jamaica,Bermuda
51,30,1923,196,1,Pounds,Jamaica,Bermuda
51,30,1924,149,1,Pounds,Jamaica,Bermuda
51,30,1925,35,1,Pounds,Jamaica,Bermuda
51,30,1926,25,1,Pounds,Jamaica,Bermuda
51,30,1927,46,1,Pounds,Jamaica,Bermuda
51,30,1928,266,1,Pounds,Jamaica,Bermuda
51,30,1929,82,1,Pounds,Jamaica,Bermuda
51,30,1930,57,1,Pounds,Jamaica,Bermuda
51,30,1931,16,1,Pounds,Jamaica,Bermuda
51,30,1932,29,1,Pounds,Jamaica,Bermuda
51,30,1933,127,1,Pounds,Jamaica,Bermuda
51,30,1934,28,1,Pounds,Jamaica,Bermuda
51,30,1935,0,1,Pounds,Jamaica,Bermuda
51,30,1936,104,1,Pounds,Jamaica,Bermuda
51,30,1937,0,1,Pounds,Jamaica,Bermuda
51,30,1938,0,1,Pounds,Jamaica,Bermuda
51,30,1939,1,1,Pounds,Jamaica,Bermuda
51,30,1940,80,1,Pounds,Jamaica,Bermuda
51,30,1941,323,1,Pounds,Jamaica,Bermuda
51,30,1943,0,1,Pounds,Jamaica,Bermuda
51,30,1944,0,1,Pounds,Jamaica,Bermuda
51,30,1945,2,1,Pounds,Jamaica,Bermuda
