ccode1,ccode2,year,imp,places,currency,country1,country2
740,2,1900,62761,1000,,Japan,United States
740,2,1901,42769,1000,,Japan,United States
740,2,1902,48653,1000,,Japan,United States
740,2,1903,46274,1000,,Japan,United States
740,2,1904,58116,1000,,Japan,United States
740,2,1905,104287,1000,,Japan,United States
740,2,1906,69949,1000,,Japan,United States
740,2,1907,80697,1000,,Japan,United States
740,2,1908,77637,1000,,Japan,United States
740,2,1909,54043,1000,,Japan,United States
740,2,1910,54699,1000,,Japan,United States
740,2,1911,81251,1000,,Japan,United States
740,2,1912,127016,1000,,Japan,United States
740,2,1913,122408,1000,,Japan,United States
740,2,1914,96772,1000,,Japan,United States
740,2,1915,102534,1000,,Japan,United States
740,2,1916,204078,1000,,Japan,United States
740,2,1917,359707,1000,,Japan,United States
740,2,1918,626025,1000,,Japan,United States
740,2,1919,766381,1000,,Japan,United States
740,2,1920,873185,1000,,Japan,United States
740,2,1921,574401,1000,,Japan,United States
740,2,1922,596169,1000,,Japan,United States
740,2,1923,511977,1000,,Japan,United States
740,2,1924,670993,1000,,Japan,United States
740,2,1925,664992,1000,,Japan,United States
740,2,1926,680185,1000,,Japan,United States
740,2,1927,673685,1000,,Japan,United States
740,2,1928,625536,1000,,Japan,United States
740,2,1929,654058,1000,,Japan,United States
740,2,1930,442882,1000,,Japan,United States
740,2,1931,342289,1000,,Japan,United States
740,2,1932,509873,1000,51569,Japan,United States
740,2,1933,620788,1000,147897,Japan,United States
740,2,1934,769359,1000,164211,Japan,United States
740,2,1935,809644583,1,191005245,Japan,United States
740,2,1936,847453490,1,205566956,Japan,United States
740,2,1937,1269541968,1,249071306,Japan,United States
740,2,1938,915301762,1,339270118,Japan,United States
740,2,1939,1002398,1000,405620,Japan,United States
740,2,1940,1240564,1000,357706,Japan,United States
740,2,1941,572142,1000,376780,Japan,United States
740,2,1942,14017532,1,504729727,Japan,United States
740,2,1943,4707520,1,361041403,Japan,United States
740,2,1944,1241762,1,427242066,Japan,United States
740,2,1945,22031864,1,235081529,Japan,United States
740,2,1946,3515721085,1,1888240,Japan,United States
740,2,1947,17631150274,1,12494670,Japan,United States
740,2,1948,37582621688,1,1085558,Japan,United States
740,2,1949,176806662213,1,19258,Japan,United States
740,3,1900,0,1000,,Japan,Alaska
740,3,1901,0,1000,,Japan,Alaska
740,3,1902,0,1000,,Japan,Alaska
740,3,1903,0,1000,,Japan,Alaska
740,3,1904,0,1000,,Japan,Alaska
740,3,1905,0,1000,,Japan,Alaska
740,3,1906,0,1000,,Japan,Alaska
740,3,1907,0,1000,,Japan,Alaska
740,3,1908,0,1000,,Japan,Alaska
740,3,1909,0,1000,,Japan,Alaska
740,3,1910,0,1000,,Japan,Alaska
740,3,1911,0,1000,,Japan,Alaska
740,3,1912,0,1000,,Japan,Alaska
740,3,1913,0,1000,,Japan,Alaska
740,3,1914,0,1000,,Japan,Alaska
740,3,1915,0,1000,,Japan,Alaska
740,3,1916,0,1000,,Japan,Alaska
740,3,1917,0,1000,,Japan,Alaska
740,3,1918,0,1000,,Japan,Alaska
740,3,1919,0,1000,,Japan,Alaska
740,3,1920,0,1000,,Japan,Alaska
740,3,1921,0,1000,,Japan,Alaska
740,3,1922,0,1000,,Japan,Alaska
740,3,1923,0,1000,,Japan,Alaska
740,3,1924,0,1000,,Japan,Alaska
740,3,1925,0,1000,,Japan,Alaska
