ccode1,ccode2,year,imp,places,currency,country1,country2
505,2,1926,748636,1,Pounds,British East Africa,United States
505,2,1930,767522,1,Pounds,British East Africa,United States
505,2,1931,489689,1,Pounds,British East Africa,United States
505,2,1932,257611,1,Pounds,British East Africa,United States
505,2,1933,212763,1,Pounds,British East Africa,United States
505,2,1934,348916,1,,British East Africa,United States
505,2,1935,507420,1,,British East Africa,United States
505,2,1936,601643,1,,British East Africa,United States
505,2,1937,977514,1,,British East Africa,United States
505,2,1938,873118,1,,British East Africa,United States
505,2,1939,779246,1,,British East Africa,United States
505,2,1940,1326538,1,Pounds,British East Africa,United States
505,2,1941,1183267,1,Pounds,British East Africa,United States
505,2,1942,1430386,1,Pounds,British East Africa,United States
505,2,1943,1785003,1,Pounds,British East Africa,United States
505,2,1944,2125960,1,,British East Africa,United States
505,2,1945,2213442,1,,British East Africa,United States
505,2,1946,2785547,1,,British East Africa,United States
505,2,1947,4670304,1,,British East Africa,United States
505,2,1948,2994518,1,,British East Africa,United States
505,20,1926,0,1,Pounds,British East Africa,Canada
505,20,1930,193833,1,Pounds,British East Africa,Canada
505,20,1931,106478,1,Pounds,British East Africa,Canada
505,20,1932,76508,1,Pounds,British East Africa,Canada
505,20,1933,92777,1,Pounds,British East Africa,Canada
505,20,1934,81495,1,,British East Africa,Canada
505,20,1935,109706,1,,British East Africa,Canada
505,20,1936,121043,1,,British East Africa,Canada
505,20,1937,160991,1,,British East Africa,Canada
505,20,1938,112983,1,,British East Africa,Canada
505,20,1939,137753,1,,British East Africa,Canada
505,20,1940,250226,1,Pounds,British East Africa,Canada
505,20,1941,234715,1,Pounds,British East Africa,Canada
505,20,1942,175045,1,Pounds,British East Africa,Canada
505,20,1943,258147,1,Pounds,British East Africa,Canada
505,20,1944,268126,1,,British East Africa,Canada
505,20,1945,122624,1,,British East Africa,Canada
505,20,1946,371334,1,,British East Africa,Canada
505,20,1947,746567,1,,British East Africa,Canada
505,20,1948,858496,1,,British East Africa,Canada
505,21,1926,0,1,Pounds,British East Africa,Newfoundland
505,21,1930,0,1,Pounds,British East Africa,Newfoundland
505,21,1931,0,1,Pounds,British East Africa,Newfoundland
505,21,1932,0,1,Pounds,British East Africa,Newfoundland
505,21,1933,0,1,Pounds,British East Africa,Newfoundland
505,21,1934,0,1,,British East Africa,Newfoundland
505,21,1935,0,1,,British East Africa,Newfoundland
505,21,1936,0,1,,British East Africa,Newfoundland
505,21,1937,0,1,,British East Africa,Newfoundland
505,21,1938,0,1,,British East Africa,Newfoundland
505,21,1939,0,1,,British East Africa,Newfoundland
505,21,1940,0,1,Pounds,British East Africa,Newfoundland
505,21,1941,0,1,Pounds,British East Africa,Newfoundland
505,21,1942,0,1,Pounds,British East Africa,Newfoundland
505,21,1943,0,1,Pounds,British East Africa,Newfoundland
505,21,1944,23,1,,British East Africa,Newfoundland
505,21,1945,6351,1,,British East Africa,Newfoundland
505,21,1946,3856,1,,British East Africa,Newfoundland
505,21,1947,7207,1,,British East Africa,Newfoundland
505,21,1948,12260,1,,British East Africa,Newfoundland
505,51,1926,0,1,Pounds,British East Africa,Jamaica
505,51,1930,0,1,Pounds,British East Africa,Jamaica
505,51,1931,0,1,Pounds,British East Africa,Jamaica
505,51,1932,0,1,Pounds,British East Africa,Jamaica
505,51,1933,0,1,Pounds,British East Africa,Jamaica
505,51,1934,0,1,,British East Africa,Jamaica
505,51,1935,0,1,,British East Africa,Jamaica
505,51,1936,0,1,,British East Africa,Jamaica
505,51,1937,0,1,,British East Africa,Jamaica
505,51,1938,0,1,,British East Africa,Jamaica
