ccode1,ccode2,year,imp,places,currency,country1,country2
367,2,1920,37192230,1,Rublos,Latvia,United States
367,2,1922,7415921,1,Lats,Latvia,United States
367,2,1923,6107166,1,Lats,Latvia,United States
367,2,1924,10384227,1,Lats,Latvia,United States
367,2,1925,14477638,1,Lats,Latvia,United States
367,2,1926,10087982,1,Lats,Latvia,United States
367,2,1927,6901668,1,Lats,Latvia,United States
367,2,1928,17082020,1,Lats,Latvia,United States
367,2,1929,19860121,1,Lats,Latvia,United States
367,2,1930,15468489,1,Lats,Latvia,United States
367,2,1931,6293460,1,Lats,Latvia,United States
367,2,1932,3163869,1,Lats,Latvia,United States
367,2,1933,5763682,1,Lats,Latvia,United States
367,2,1934,6698901,1,Lats,Latvia,United States
367,2,1935,6746664,1,Lats,Latvia,United States
367,2,1936,8569179,1,Lats,Latvia,United States
367,2,1937,16093726,1,Lats,Latvia,United States
367,2,1938,14394098,1,Lats,Latvia,United States
367,4,1920,0,1,Rublos,Latvia,Hawaii
367,4,1922,0,1,Lats,Latvia,Hawaii
367,4,1923,0,1,Lats,Latvia,Hawaii
367,4,1924,0,1,Lats,Latvia,Hawaii
367,4,1925,0,1,Lats,Latvia,Hawaii
367,4,1926,0,1,Lats,Latvia,Hawaii
367,4,1927,0,1,Lats,Latvia,Hawaii
367,4,1928,0,1,Lats,Latvia,Hawaii
367,4,1929,0,1,Lats,Latvia,Hawaii
367,4,1930,171,1,Lats,Latvia,Hawaii
367,4,1931,681,1,Lats,Latvia,Hawaii
367,4,1932,1538,1,Lats,Latvia,Hawaii
367,4,1933,5651,1,Lats,Latvia,Hawaii
367,4,1934,20488,1,Lats,Latvia,Hawaii
367,4,1935,4925,1,Lats,Latvia,Hawaii
367,4,1936,0,1,Lats,Latvia,Hawaii
367,4,1937,29770,1,Lats,Latvia,Hawaii
367,4,1938,4237,1,Lats,Latvia,Hawaii
367,6,1920,0,1,Rublos,Latvia,Puerto Rico
367,6,1922,0,1,Lats,Latvia,Puerto Rico
367,6,1923,0,1,Lats,Latvia,Puerto Rico
367,6,1924,0,1,Lats,Latvia,Puerto Rico
367,6,1925,0,1,Lats,Latvia,Puerto Rico
367,6,1926,0,1,Lats,Latvia,Puerto Rico
367,6,1927,0,1,Lats,Latvia,Puerto Rico
367,6,1928,0,1,Lats,Latvia,Puerto Rico
367,6,1929,0,1,Lats,Latvia,Puerto Rico
367,6,1930,0,1,Lats,Latvia,Puerto Rico
367,6,1931,0,1,Lats,Latvia,Puerto Rico
367,6,1932,0,1,Lats,Latvia,Puerto Rico
367,6,1933,331,1,Lats,Latvia,Puerto Rico
367,6,1934,0,1,Lats,Latvia,Puerto Rico
367,6,1935,0,1,Lats,Latvia,Puerto Rico
367,6,1936,0,1,Lats,Latvia,Puerto Rico
367,6,1937,0,1,Lats,Latvia,Puerto Rico
367,6,1938,0,1,Lats,Latvia,Puerto Rico
367,20,1920,0,1,Rublos,Latvia,Canada
367,20,1922,0,1,Lats,Latvia,Canada
367,20,1923,56480,1,Lats,Latvia,Canada
367,20,1924,48,1,Lats,Latvia,Canada
367,20,1925,123561,1,Lats,Latvia,Canada
367,20,1926,3024,1,Lats,Latvia,Canada
367,20,1927,1697,1,Lats,Latvia,Canada
