ccode1,ccode2,year,imp,places,currency,country1,country2
450,2,1920,287523.28,1,,Liberia,United States
450,2,1921,145584.37,1,,Liberia,United States
450,2,1922,131178.34,1,,Liberia,United States
450,2,1923,173326.09,1,,Liberia,United States
450,2,1924,116508.77,1,,Liberia,United States
450,2,1925,210708.36,1,,Liberia,United States
450,2,1926,359470.21,1,,Liberia,United States
450,2,1933,80147.17,1,$,Liberia,United States
450,2,1934,176497,1,$,Liberia,United States
450,2,1935,350291,1,$,Liberia,United States
450,2,1938,890074,1,$,Liberia,United States
450,2,1939,999767,1,$,Liberia,United States
450,2,1940,1509608,1,$,Liberia,United States
450,2,1941,2882438,1,$,Liberia,United States
450,2,1942,3578508,1,$,Liberia,United States
450,2,1943,3656701,1,$,Liberia,United States
450,2,1944,2785684,1,$,Liberia,United States
450,20,1920,0,1,,Liberia,Canada
450,20,1921,0,1,,Liberia,Canada
450,20,1922,0,1,,Liberia,Canada
450,20,1923,0,1,,Liberia,Canada
450,20,1924,0,1,,Liberia,Canada
450,20,1925,0,1,,Liberia,Canada
450,20,1926,0,1,,Liberia,Canada
450,20,1933,0,1,$,Liberia,Canada
450,20,1934,0,1,$,Liberia,Canada
450,20,1935,0,1,$,Liberia,Canada
450,20,1938,5127,1,$,Liberia,Canada
450,20,1939,3029,1,$,Liberia,Canada
450,20,1940,3774,1,$,Liberia,Canada
450,20,1941,4606,1,$,Liberia,Canada
450,20,1942,5897,1,$,Liberia,Canada
450,20,1943,75,1,$,Liberia,Canada
450,20,1944,1955,1,$,Liberia,Canada
450,200,1920,1349214.78,1,,Liberia,United Kingdom
450,200,1921,584733.48,1,,Liberia,United Kingdom
450,200,1922,647515.76,1,,Liberia,United Kingdom
450,200,1923,480496.95,1,,Liberia,United Kingdom
450,200,1924,479095.03,1,,Liberia,United Kingdom
450,200,1925,728372.28,1,,Liberia,United Kingdom
450,200,1926,769675.85,1,,Liberia,United Kingdom
450,200,1933,290992.3,1,$,Liberia,United Kingdom
450,200,1934,319741,1,$,Liberia,United Kingdom
450,200,1935,384973,1,$,Liberia,United Kingdom
450,200,1938,479962,1,$,Liberia,United Kingdom
450,200,1939,334507,1,$,Liberia,United Kingdom
450,200,1940,432174,1,$,Liberia,United Kingdom
450,200,1941,303140,1,$,Liberia,United Kingdom
450,200,1942,312412,1,$,Liberia,United Kingdom
450,200,1943,279817,1,$,Liberia,United Kingdom
450,200,1944,98575,1,$,Liberia,United Kingdom
450,210,1920,103655.14,1,,Liberia,Netherlands
450,210,1921,93398.21000000001,1,,Liberia,Netherlands
450,210,1922,147393.56,1,,Liberia,Netherlands
450,210,1923,136253.73,1,,Liberia,Netherlands
450,210,1924,155411.41,1,,Liberia,Netherlands
450,210,1925,192500.4,1,,Liberia,Netherlands
450,210,1926,201089.43,1,,Liberia,Netherlands
450,210,1933,57351.31,1,$,Liberia,Netherlands
450,210,1934,48995,1,$,Liberia,Netherlands
450,210,1935,58664,1,$,Liberia,Netherlands
450,210,1938,141612,1,$,Liberia,Netherlands
450,210,1939,168083,1,$,Liberia,Netherlands
450,210,1940,42018,1,$,Liberia,Netherlands
450,210,1941,111,1,$,Liberia,Netherlands
450,210,1942,163,1,$,Liberia,Netherlands
450,210,1943,0,1,$,Liberia,Netherlands
450,210,1944,2688,1,$,Liberia,Netherlands
450,211,1920,0,1,,Liberia,Belgium
450,211,1921,0,1,,Liberia,Belgium
450,211,1922,0,1,,Liberia,Belgium
450,211,1923,0,1,,Liberia,Belgium
450,211,1924,0,1,,Liberia,Belgium
450,211,1925,0,1,,Liberia,Belgium
450,211,1926,0,1,,Liberia,Belgium
450,211,1933,0,1,$,Liberia,Belgium
450,211,1934,0,1,$,Liberia,Belgium
450,211,1935,0,1,$,Liberia,Belgium
450,211,1938,23741,1,$,Liberia,Belgium
450,211,1939,19814,1,$,Liberia,Belgium
450,211,1940,9094,1,$,Liberia,Belgium
450,211,1941,122,1,$,Liberia,Belgium
450,211,1942,0,1,$,Liberia,Belgium
450,211,1943,0,1,$,Liberia,Belgium
450,211,1944,0,1,$,Liberia,Belgium
450,220,1920,3453.39,1,,Liberia,France
450,220,1921,6351.22,1,,Liberia,France
450,220,1922,22877.79,1,,Liberia,France
450,220,1923,9966.67,1,,Liberia,France
450,220,1924,15539.2,1,,Liberia,France
450,220,1925,23434.96,1,,Liberia,France
450,220,1926,30253.27,1,,Liberia,France
450,220,1933,12003.56,1,$,Liberia,France
450,220,1934,10887,1,$,Liberia,France
450,220,1935,13367,1,$,Liberia,France
450,220,1938,16906,1,$,Liberia,France
450,220,1939,15815,1,$,Liberia,France
450,220,1940,11049,1,$,Liberia,France
450,220,1941,2365,1,$,Liberia,France
450,220,1942,1348,1,$,Liberia,France
450,220,1943,1426,1,$,Liberia,France
450,220,1944,3486,1,$,Liberia,France
450,230,1920,13819.31,1,,Liberia,Spain
450,230,1921,2405.53,1,,Liberia,Spain
450,230,1922,55.54,1,,Liberia,Spain
450,230,1923,6322.98,1,,Liberia,Spain
450,230,1924,5231.94,1,,Liberia,Spain
450,230,1925,8310.98,1,,Liberia,Spain
450,230,1926,20024.79,1,,Liberia,Spain
450,230,1933,3371.35,1,$,Liberia,Spain
450,230,1934,4102,1,$,Liberia,Spain
450,230,1935,13981,1,$,Liberia,Spain
450,230,1938,6765,1,$,Liberia,Spain
450,230,1939,5886,1,$,Liberia,Spain
450,230,1940,8195,1,$,Liberia,Spain
450,230,1941,0,1,$,Liberia,Spain
450,230,1942,0,1,$,Liberia,Spain
450,230,1943,0,1,$,Liberia,Spain
450,230,1944,0,1,$,Liberia,Spain
450,255,1920,15494.21,1,,Liberia,Germany
450,255,1921,250875.17,1,,Liberia,Germany
450,255,1922,429915.37,1,,Liberia,Germany
450,255,1923,465503.24,1,,Liberia,Germany
450,255,1924,577376.38,1,,Liberia,Germany
450,255,1925,704881.97,1,,Liberia,Germany
450,255,1926,727675.08,1,,Liberia,Germany
450,255,1933,131645.19,1,$,Liberia,Germany
450,255,1934,137674,1,$,Liberia,Germany
450,255,1935,207601,1,$,Liberia,Germany
450,255,1938,381863,1,$,Liberia,Germany
450,255,1939,243085,1,$,Liberia,Germany
450,255,1940,1261,1,$,Liberia,Germany
450,255,1941,3415,1,$,Liberia,Germany
450,255,1942,0,1,$,Liberia,Germany
450,255,1943,4,1,$,Liberia,Germany
450,255,1944,27,1,$,Liberia,Germany
450,290,1920,0,1,,Liberia,Poland
450,290,1921,0,1,,Liberia,Poland
450,290,1922,0,1,,Liberia,Poland
450,290,1923,0,1,,Liberia,Poland
450,290,1924,0,1,,Liberia,Poland
450,290,1925,0,1,,Liberia,Poland
450,290,1926,0,1,,Liberia,Poland
450,290,1933,0,1,$,Liberia,Poland
450,290,1934,0,1,$,Liberia,Poland
450,290,1935,0,1,$,Liberia,Poland
450,290,1938,1536,1,$,Liberia,Poland
450,290,1939,0,1,$,Liberia,Poland
450,290,1940,0,1,$,Liberia,Poland
450,290,1941,0,1,$,Liberia,Poland
450,290,1942,0,1,$,Liberia,Poland
450,290,1943,0,1,$,Liberia,Poland
450,290,1944,0,1,$,Liberia,Poland
450,315,1920,0,1,,Liberia,Czechoslovakia
450,315,1921,0,1,,Liberia,Czechoslovakia
450,315,1922,0,1,,Liberia,Czechoslovakia
450,315,1923,0,1,,Liberia,Czechoslovakia
450,315,1924,0,1,,Liberia,Czechoslovakia
450,315,1925,0,1,,Liberia,Czechoslovakia
450,315,1926,0,1,,Liberia,Czechoslovakia
450,315,1933,0,1,$,Liberia,Czechoslovakia
450,315,1934,0,1,$,Liberia,Czechoslovakia
450,315,1935,0,1,$,Liberia,Czechoslovakia
450,315,1938,3525,1,$,Liberia,Czechoslovakia
450,315,1939,1817,1,$,Liberia,Czechoslovakia
450,315,1940,0,1,$,Liberia,Czechoslovakia
450,315,1941,0,1,$,Liberia,Czechoslovakia
450,315,1942,366,1,$,Liberia,Czechoslovakia
450,315,1943,0,1,$,Liberia,Czechoslovakia
