ccode1,ccode2,year,imp,places,currency,country1,country2
368,2,1925,18310.8,1000,,Lithuania,United States
368,2,1926,10652.4,1000,,Lithuania,United States
368,2,1927,14503.3,1000,,Lithuania,United States
368,2,1928,20478.6,1000,,Lithuania,United States
368,2,1929,16724.3,1000,1000 Lt,Lithuania,United States
368,2,1930,14703.7,1000,1000 Lt,Lithuania,United States
368,2,1931,10773.9,1000,1000 Lt,Lithuania,United States
368,2,1932,6349.2,1000,1000 Lt,Lithuania,United States
368,2,1933,4264.9,1000,1000 Lt,Lithuania,United States
368,2,1934,3953.6,1000,1000 Lt,Lithuania,United States
368,2,1935,3835,1000,1000 Lt,Lithuania,United States
368,2,1936,4385.6,1000,1000 Lt,Lithuania,United States
368,2,1937,7383,1000,1000 Lt,Lithuania,United States
368,2,1938,8236.4,1000,1000 Lt,Lithuania,United States
368,4,1925,0,1000,,Lithuania,Hawaii
368,4,1926,0,1000,,Lithuania,Hawaii
368,4,1927,0,1000,,Lithuania,Hawaii
368,4,1928,0,1000,,Lithuania,Hawaii
368,4,1929,0,1000,1000 Lt,Lithuania,Hawaii
368,4,1930,0,1000,1000 Lt,Lithuania,Hawaii
368,4,1931,0,1000,1000 Lt,Lithuania,Hawaii
368,4,1932,.9,1000,1000 Lt,Lithuania,Hawaii
368,4,1933,0,1000,1000 Lt,Lithuania,Hawaii
368,4,1934,2.3,1000,1000 Lt,Lithuania,Hawaii
368,4,1935,2,1000,1000 Lt,Lithuania,Hawaii
368,4,1936,4.9,1000,1000 Lt,Lithuania,Hawaii
368,4,1937,11.8,1000,1000 Lt,Lithuania,Hawaii
368,4,1938,20.9,1000,1000 Lt,Lithuania,Hawaii
368,6,1925,0,1000,,Lithuania,Puerto Rico
368,6,1926,0,1000,,Lithuania,Puerto Rico
368,6,1927,0,1000,,Lithuania,Puerto Rico
368,6,1928,0,1000,,Lithuania,Puerto Rico
368,6,1929,0,1000,1000 Lt,Lithuania,Puerto Rico
368,6,1930,0,1000,1000 Lt,Lithuania,Puerto Rico
368,6,1931,0,1000,1000 Lt,Lithuania,Puerto Rico
368,6,1932,0,1000,1000 Lt,Lithuania,Puerto Rico
368,6,1933,0,1000,1000 Lt,Lithuania,Puerto Rico
368,6,1934,0,1000,1000 Lt,Lithuania,Puerto Rico
368,6,1935,0,1000,1000 Lt,Lithuania,Puerto Rico
368,6,1936,0,1000,1000 Lt,Lithuania,Puerto Rico
368,6,1937,3.4,1000,1000 Lt,Lithuania,Puerto Rico
368,6,1938,.7,1000,1000 Lt,Lithuania,Puerto Rico
368,20,1925,0,1000,,Lithuania,Canada
368,20,1926,0,1000,,Lithuania,Canada
368,20,1927,0,1000,,Lithuania,Canada
368,20,1928,0,1000,,Lithuania,Canada
368,20,1929,72.2,1000,1000 Lt,Lithuania,Canada
368,20,1930,64.3,1000,1000 Lt,Lithuania,Canada
368,20,1931,17,1000,1000 Lt,Lithuania,Canada
368,20,1932,14.1,1000,1000 Lt,Lithuania,Canada
368,20,1933,33,1000,1000 Lt,Lithuania,Canada
368,20,1934,24.4,1000,1000 Lt,Lithuania,Canada
368,20,1935,8.9,1000,1000 Lt,Lithuania,Canada
368,20,1936,53.1,1000,1000 Lt,Lithuania,Canada
368,20,1937,60.2,1000,1000 Lt,Lithuania,Canada
368,20,1938,36.3,1000,1000 Lt,Lithuania,Canada
368,40,1925,0,1000,,Lithuania,Cuba
368,40,1926,0,1000,,Lithuania,Cuba
368,40,1927,0,1000,,Lithuania,Cuba
368,40,1928,1.9,1000,,Lithuania,Cuba
368,40,1929,6.2,1000,1000 Lt,Lithuania,Cuba
368,40,1930,191.3,1000,1000 Lt,Lithuania,Cuba
368,40,1931,149.7,1000,1000 Lt,Lithuania,Cuba
368,40,1932,272.3,1000,1000 Lt,Lithuania,Cuba
368,40,1933,310.3,1000,1000 Lt,Lithuania,Cuba
368,40,1934,207.7,1000,1000 Lt,Lithuania,Cuba
368,40,1935,90.7,1000,1000 Lt,Lithuania,Cuba
368,40,1936,4.6,1000,1000 Lt,Lithuania,Cuba
368,40,1937,596.5,1000,1000 Lt,Lithuania,Cuba
368,40,1938,620.6,1000,1000 Lt,Lithuania,Cuba
368,41,1925,0,1000,,Lithuania,Haiti
368,41,1926,0,1000,,Lithuania,Haiti
368,41,1927,0,1000,,Lithuania,Haiti
368,41,1928,9.1,1000,,Lithuania,Haiti
368,41,1929,34.3,1000,1000 Lt,Lithuania,Haiti
368,41,1930,.1,1000,1000 Lt,Lithuania,Haiti
368,41,1931,1.2,1000,1000 Lt,Lithuania,Haiti
368,41,1932,.1,1000,1000 Lt,Lithuania,Haiti
368,41,1933,0,1000,1000 Lt,Lithuania,Haiti
368,41,1934,0,1000,1000 Lt,Lithuania,Haiti
368,41,1935,0,1000,1000 Lt,Lithuania,Haiti
368,41,1936,0,1000,1000 Lt,Lithuania,Haiti
368,41,1937,0,1000,1000 Lt,Lithuania,Haiti
368,41,1938,0,1000,1000 Lt,Lithuania,Haiti
368,42,1925,0,1000,,Lithuania,Dominican Republic
368,42,1926,0,1000,,Lithuania,Dominican Republic
368,42,1927,0,1000,,Lithuania,Dominican Republic
368,42,1928,0,1000,,Lithuania,Dominican Republic
368,42,1929,0,1000,1000 Lt,Lithuania,Dominican Republic
368,42,1930,0,1000,1000 Lt,Lithuania,Dominican Republic
368,42,1931,0,1000,1000 Lt,Lithuania,Dominican Republic
368,42,1932,0,1000,1000 Lt,Lithuania,Dominican Republic
368,42,1933,0,1000,1000 Lt,Lithuania,Dominican Republic
368,42,1934,0,1000,1000 Lt,Lithuania,Dominican Republic
368,42,1935,.2,1000,1000 Lt,Lithuania,Dominican Republic
368,42,1936,0,1000,1000 Lt,Lithuania,Dominican Republic
368,42,1937,0,1000,1000 Lt,Lithuania,Dominican Republic
368,42,1938,.5,1000,1000 Lt,Lithuania,Dominican Republic
368,51,1925,0,1000,,Lithuania,Jamaica
368,51,1926,0,1000,,Lithuania,Jamaica
368,51,1927,0,1000,,Lithuania,Jamaica
368,51,1928,48.6,1000,,Lithuania,Jamaica
368,51,1929,84.90000000000001,1000,1000 Lt,Lithuania,Jamaica
368,51,1930,39.2,1000,1000 Lt,Lithuania,Jamaica
368,51,1931,63.4,1000,1000 Lt,Lithuania,Jamaica
368,51,1932,81.09999999999999,1000,1000 Lt,Lithuania,Jamaica
368,51,1933,52.8,1000,1000 Lt,Lithuania,Jamaica
368,51,1934,61.8,1000,1000 Lt,Lithuania,Jamaica
368,51,1935,61.9,1000,1000 Lt,Lithuania,Jamaica
368,51,1936,164.2,1000,1000 Lt,Lithuania,Jamaica
368,51,1937,87.90000000000001,1000,1000 Lt,Lithuania,Jamaica
368,51,1938,125.6,1000,1000 Lt,Lithuania,Jamaica
368,55,1925,0,1000,,Lithuania,Grenada
368,55,1926,0,1000,,Lithuania,Grenada
368,55,1927,0,1000,,Lithuania,Grenada
368,55,1928,0,1000,,Lithuania,Grenada
368,55,1929,0,1000,1000 Lt,Lithuania,Grenada
368,55,1930,0,1000,1000 Lt,Lithuania,Grenada
368,55,1931,0,1000,1000 Lt,Lithuania,Grenada
368,55,1932,0,1000,1000 Lt,Lithuania,Grenada
368,55,1933,0,1000,1000 Lt,Lithuania,Grenada
368,55,1934,0,1000,1000 Lt,Lithuania,Grenada
368,55,1935,0,1000,1000 Lt,Lithuania,Grenada
368,55,1936,0,1000,1000 Lt,Lithuania,Grenada
368,55,1937,8.800000000000001,1000,1000 Lt,Lithuania,Grenada
368,55,1938,.7,1000,1000 Lt,Lithuania,Grenada
368,56,1925,0,1000,,Lithuania,St. Lucia
368,56,1926,0,1000,,Lithuania,St. Lucia
368,56,1927,0,1000,,Lithuania,St. Lucia
368,56,1928,0,1000,,Lithuania,St. Lucia
368,56,1929,0,1000,1000 Lt,Lithuania,St. Lucia
368,56,1930,0,1000,1000 Lt,Lithuania,St. Lucia
368,56,1931,0,1000,1000 Lt,Lithuania,St. Lucia
368,56,1932,0,1000,1000 Lt,Lithuania,St. Lucia
368,56,1933,0,1000,1000 Lt,Lithuania,St. Lucia
368,56,1934,0,1000,1000 Lt,Lithuania,St. Lucia
368,56,1935,0,1000,1000 Lt,Lithuania,St. Lucia
368,56,1936,0,1000,1000 Lt,Lithuania,St. Lucia
368,56,1937,0,1000,1000 Lt,Lithuania,St. Lucia
368,56,1938,1,1000,1000 Lt,Lithuania,St. Lucia
368,70,1925,0,1000,,Lithuania,Mexico
368,70,1926,0,1000,,Lithuania,Mexico
368,70,1927,0,1000,,Lithuania,Mexico
368,70,1928,10,1000,,Lithuania,Mexico
368,70,1929,63.5,1000,1000 Lt,Lithuania,Mexico
368,70,1930,20.2,1000,1000 Lt,Lithuania,Mexico
368,70,1931,19.3,1000,1000 Lt,Lithuania,Mexico
368,70,1932,17,1000,1000 Lt,Lithuania,Mexico
368,70,1933,31.1,1000,1000 Lt,Lithuania,Mexico
368,70,1934,33.2,1000,1000 Lt,Lithuania,Mexico
368,70,1935,26.1,1000,1000 Lt,Lithuania,Mexico
368,70,1936,16.7,1000,1000 Lt,Lithuania,Mexico
368,70,1937,14,1000,1000 Lt,Lithuania,Mexico
368,70,1938,19.3,1000,1000 Lt,Lithuania,Mexico
368,90,1925,0,1000,,Lithuania,Guatemala
368,90,1926,0,1000,,Lithuania,Guatemala
368,90,1927,0,1000,,Lithuania,Guatemala
368,90,1928,176,1000,,Lithuania,Guatemala
368,90,1929,138.1,1000,1000 Lt,Lithuania,Guatemala
368,90,1930,165.7,1000,1000 Lt,Lithuania,Guatemala
368,90,1931,110.7,1000,1000 Lt,Lithuania,Guatemala
368,90,1932,95.7,1000,1000 Lt,Lithuania,Guatemala
368,90,1933,0,1000,1000 Lt,Lithuania,Guatemala
368,90,1934,.1,1000,1000 Lt,Lithuania,Guatemala
368,90,1935,0,1000,1000 Lt,Lithuania,Guatemala
368,90,1936,0,1000,1000 Lt,Lithuania,Guatemala
368,90,1937,1.9,1000,1000 Lt,Lithuania,Guatemala
368,90,1938,0,1000,1000 Lt,Lithuania,Guatemala
368,92,1925,0,1000,,Lithuania,El Salvador
368,92,1926,0,1000,,Lithuania,El Salvador
368,92,1927,0,1000,,Lithuania,El Salvador
368,92,1928,34.9,1000,,Lithuania,El Salvador
368,92,1929,22.6,1000,1000 Lt,Lithuania,El Salvador
368,92,1930,43.9,1000,1000 Lt,Lithuania,El Salvador
368,92,1931,44.7,1000,1000 Lt,Lithuania,El Salvador
368,92,1932,25.4,1000,1000 Lt,Lithuania,El Salvador
368,92,1933,0,1000,1000 Lt,Lithuania,El Salvador
368,92,1934,0,1000,1000 Lt,Lithuania,El Salvador
368,92,1935,0,1000,1000 Lt,Lithuania,El Salvador
368,92,1936,.4,1000,1000 Lt,Lithuania,El Salvador
368,92,1937,.1,1000,1000 Lt,Lithuania,El Salvador
368,92,1938,0,1000,1000 Lt,Lithuania,El Salvador
368,93,1925,0,1000,,Lithuania,Nicaragua
368,93,1926,0,1000,,Lithuania,Nicaragua
368,93,1927,0,1000,,Lithuania,Nicaragua
368,93,1928,0,1000,,Lithuania,Nicaragua
368,93,1929,0,1000,1000 Lt,Lithuania,Nicaragua
368,93,1930,4.2,1000,1000 Lt,Lithuania,Nicaragua
368,93,1931,7.5,1000,1000 Lt,Lithuania,Nicaragua
368,93,1932,0,1000,1000 Lt,Lithuania,Nicaragua
368,93,1933,0,1000,1000 Lt,Lithuania,Nicaragua
368,93,1934,0,1000,1000 Lt,Lithuania,Nicaragua
368,93,1935,0,1000,1000 Lt,Lithuania,Nicaragua
368,93,1936,0,1000,1000 Lt,Lithuania,Nicaragua
368,93,1937,0,1000,1000 Lt,Lithuania,Nicaragua
368,93,1938,0,1000,1000 Lt,Lithuania,Nicaragua
368,94,1925,0,1000,,Lithuania,Costa Rica
368,94,1926,0,1000,,Lithuania,Costa Rica
368,94,1927,0,1000,,Lithuania,Costa Rica
368,94,1928,1.1,1000,,Lithuania,Costa Rica
368,94,1929,0,1000,1000 Lt,Lithuania,Costa Rica
368,94,1930,10.3,1000,1000 Lt,Lithuania,Costa Rica
368,94,1931,0,1000,1000 Lt,Lithuania,Costa Rica
368,94,1932,0,1000,1000 Lt,Lithuania,Costa Rica
368,94,1933,0,1000,1000 Lt,Lithuania,Costa Rica
368,94,1934,0,1000,1000 Lt,Lithuania,Costa Rica
368,94,1935,0,1000,1000 Lt,Lithuania,Costa Rica
368,94,1936,0,1000,1000 Lt,Lithuania,Costa Rica
368,94,1937,2.1,1000,1000 Lt,Lithuania,Costa Rica
368,94,1938,0,1000,1000 Lt,Lithuania,Costa Rica
368,100,1925,0,1000,,Lithuania,Colombia
368,100,1926,0,1000,,Lithuania,Colombia
368,100,1927,0,1000,,Lithuania,Colombia
368,100,1928,0,1000,,Lithuania,Colombia
368,100,1929,31.8,1000,1000 Lt,Lithuania,Colombia
368,100,1930,2.1,1000,1000 Lt,Lithuania,Colombia
368,100,1931,0,1000,1000 Lt,Lithuania,Colombia
368,100,1932,0,1000,1000 Lt,Lithuania,Colombia
368,100,1933,0,1000,1000 Lt,Lithuania,Colombia
368,100,1934,8.800000000000001,1000,1000 Lt,Lithuania,Colombia
368,100,1935,.1,1000,1000 Lt,Lithuania,Colombia
368,100,1936,0,1000,1000 Lt,Lithuania,Colombia
368,100,1937,0,1000,1000 Lt,Lithuania,Colombia
368,100,1938,12,1000,1000 Lt,Lithuania,Colombia
368,101,1925,0,1000,,Lithuania,Venezuela
368,101,1926,0,1000,,Lithuania,Venezuela
368,101,1927,0,1000,,Lithuania,Venezuela
368,101,1928,0,1000,,Lithuania,Venezuela
368,101,1929,47,1000,1000 Lt,Lithuania,Venezuela
368,101,1930,2.4,1000,1000 Lt,Lithuania,Venezuela
368,101,1931,36.1,1000,1000 Lt,Lithuania,Venezuela
368,101,1932,11.1,1000,1000 Lt,Lithuania,Venezuela
368,101,1933,2.3,1000,1000 Lt,Lithuania,Venezuela
368,101,1934,41.1,1000,1000 Lt,Lithuania,Venezuela
368,101,1935,5.7,1000,1000 Lt,Lithuania,Venezuela
368,101,1936,2.3,1000,1000 Lt,Lithuania,Venezuela
368,101,1937,24.4,1000,1000 Lt,Lithuania,Venezuela
368,101,1938,1.5,1000,1000 Lt,Lithuania,Venezuela
368,110,1925,0,1000,,Lithuania,Guyana
