ccode1,ccode2,year,imp,places,currency,country1,country2
590,2,1935,963459,1,Rupees,Mauritius,United States
590,2,1936,1112205,1,Rupees,Mauritius,United States
590,2,1937,1124683,1,Rupees,Mauritius,United States
590,2,1938,1391283,1,Rupees,Mauritius,United States
590,2,1945,3766416,1,Rupees,Mauritius,United States
590,2,1946,3231018,1,Rupees,Mauritius,United States
590,2,1947,3463889,1,Rupees,Mauritius,United States
590,20,1935,255685,1,Rupees,Mauritius,Canada
590,20,1936,226765,1,Rupees,Mauritius,Canada
590,20,1937,271502,1,Rupees,Mauritius,Canada
590,20,1938,269013,1,Rupees,Mauritius,Canada
590,20,1945,5059234,1,Rupees,Mauritius,Canada
590,20,1946,605421,1,Rupees,Mauritius,Canada
590,20,1947,1831316,1,Rupees,Mauritius,Canada
590,21,1935,1127,1,Rupees,Mauritius,Newfoundland
590,21,1936,275,1,Rupees,Mauritius,Newfoundland
590,21,1937,1918,1,Rupees,Mauritius,Newfoundland
590,21,1938,5252,1,Rupees,Mauritius,Newfoundland
590,21,1945,0,1,Rupees,Mauritius,Newfoundland
590,21,1946,0,1,Rupees,Mauritius,Newfoundland
590,21,1947,0,1,Rupees,Mauritius,Newfoundland
590,40,1935,330,1,Rupees,Mauritius,Cuba
590,40,1936,0,1,Rupees,Mauritius,Cuba
590,40,1937,0,1,Rupees,Mauritius,Cuba
590,40,1938,0,1,Rupees,Mauritius,Cuba
590,40,1945,0,1,Rupees,Mauritius,Cuba
590,40,1946,0,1,Rupees,Mauritius,Cuba
590,40,1947,0,1,Rupees,Mauritius,Cuba
590,52,1935,0,1,Rupees,Mauritius,Trinidad And Tobago
590,52,1936,347,1,Rupees,Mauritius,Trinidad And Tobago
590,52,1937,298,1,Rupees,Mauritius,Trinidad And Tobago
590,52,1938,451,1,Rupees,Mauritius,Trinidad And Tobago
590,52,1945,0,1,Rupees,Mauritius,Trinidad And Tobago
590,52,1946,1499,1,Rupees,Mauritius,Trinidad And Tobago
590,52,1947,0,1,Rupees,Mauritius,Trinidad And Tobago
590,70,1935,24992,1,Rupees,Mauritius,Mexico
590,70,1936,0,1,Rupees,Mauritius,Mexico
590,70,1937,0,1,Rupees,Mauritius,Mexico
590,70,1938,0,1,Rupees,Mauritius,Mexico
590,70,1945,0,1,Rupees,Mauritius,Mexico
590,70,1946,0,1,Rupees,Mauritius,Mexico
590,70,1947,0,1,Rupees,Mauritius,Mexico
590,92,1935,0,1,Rupees,Mauritius,El Salvador
590,92,1936,31,1,Rupees,Mauritius,El Salvador
590,92,1937,20,1,Rupees,Mauritius,El Salvador
590,92,1938,71,1,Rupees,Mauritius,El Salvador
590,92,1945,188,1,Rupees,Mauritius,El Salvador
590,92,1946,103,1,Rupees,Mauritius,El Salvador
590,92,1947,183,1,Rupees,Mauritius,El Salvador
590,101,1935,1350,1,Rupees,Mauritius,Venezuela
590,101,1936,2528,1,Rupees,Mauritius,Venezuela
590,101,1937,2918,1,Rupees,Mauritius,Venezuela
590,101,1938,13,1,Rupees,Mauritius,Venezuela
590,101,1945,30,1,Rupees,Mauritius,Venezuela
590,101,1946,223,1,Rupees,Mauritius,Venezuela
590,101,1947,326,1,Rupees,Mauritius,Venezuela
590,135,1935,0,1,Rupees,Mauritius,Peru
590,135,1936,37,1,Rupees,Mauritius,Peru
590,135,1937,3,1,Rupees,Mauritius,Peru
590,135,1938,7,1,Rupees,Mauritius,Peru
590,135,1945,0,1,Rupees,Mauritius,Peru
590,135,1946,0,1,Rupees,Mauritius,Peru
590,135,1947,0,1,Rupees,Mauritius,Peru
590,140,1935,1415,1,Rupees,Mauritius,Brazil
590,140,1936,271,1,Rupees,Mauritius,Brazil
590,140,1937,4365,1,Rupees,Mauritius,Brazil
590,140,1938,316,1,Rupees,Mauritius,Brazil
590,140,1945,48,1,Rupees,Mauritius,Brazil
590,140,1946,664762,1,Rupees,Mauritius,Brazil
590,140,1947,1813737,1,Rupees,Mauritius,Brazil
590,150,1935,0,1,Rupees,Mauritius,Paraguay
590,150,1936,0,1,Rupees,Mauritius,Paraguay
590,150,1937,0,1,Rupees,Mauritius,Paraguay
590,150,1938,335,1,Rupees,Mauritius,Paraguay
590,150,1945,0,1,Rupees,Mauritius,Paraguay
590,150,1946,238,1,Rupees,Mauritius,Paraguay
590,150,1947,0,1,Rupees,Mauritius,Paraguay
590,155,1935,0,1,Rupees,Mauritius,Chile
590,155,1936,43735,1,Rupees,Mauritius,Chile
590,155,1937,165331,1,Rupees,Mauritius,Chile
590,155,1938,115772,1,Rupees,Mauritius,Chile
590,155,1945,1332286,1,Rupees,Mauritius,Chile
590,155,1946,694536,1,Rupees,Mauritius,Chile
590,155,1947,2125529,1,Rupees,Mauritius,Chile
590,160,1935,19861,1,Rupees,Mauritius,Argentina
590,160,1936,19848,1,Rupees,Mauritius,Argentina
590,160,1937,33927,1,Rupees,Mauritius,Argentina
590,160,1938,33137,1,Rupees,Mauritius,Argentina
590,160,1945,1376193,1,Rupees,Mauritius,Argentina
590,160,1946,1574903,1,Rupees,Mauritius,Argentina
