ccode1,ccode2,year,imp,places,currency,country1,country2
70,2,1920,280148714,1,,Mexico,United States
70,2,1921,332560479,1,,Mexico,United States
70,2,1922,197813705,1,,Mexico,United States
70,2,1923,235432707,1,,Mexico,United States
70,2,1924,233194744,1,,Mexico,United States
70,2,1925,274495561,1,,Mexico,United States
70,2,1926,268622421,1,,Mexico,United States
70,2,1927,232835157,1,,Mexico,United States
70,2,1928,241612651,1,,Mexico,United States
70,2,1929,264010226,1,,Mexico,United States
70,2,1930,239055226,1,,Mexico,United States
70,2,1931,144584283,1,,Mexico,United States
70,2,1932,115430644,1,Pesos,Mexico,United States
70,2,1933,146544913,1,Pesos,Mexico,United States
70,2,1934,202704614,1,Pesos,Mexico,United States
70,2,1935,265348342,1,Pesos,Mexico,United States
70,2,1936,274457269,1,Pesos,Mexico,United States
70,2,1937,381479268,1,Pesos,Mexico,United States
70,2,1938,284933491,1,Pesos,Mexico,United States
70,2,1939,415834280,1,Pesos,Mexico,United States
70,2,1940,527285017,1,,Mexico,United States
70,2,1941,771232177,1,,Mexico,United States
70,2,1942,655222929,1,,Mexico,United States
70,2,1943,805472811,1,,Mexico,United States
70,2,1944,1699169910,1,,Mexico,United States
70,2,1945,1321544074,1,,Mexico,United States
70,2,1946,2204432101,1,,Mexico,United States
70,2,1947,2856287306,1,,Mexico,United States
70,2,1948,2560560667,1,,Mexico,United States
70,2,1949,3068414,1000,Pesos,Mexico,United States
70,6,1920,215,1,,Mexico,Puerto Rico
70,6,1921,333,1,,Mexico,Puerto Rico
70,6,1922,3691,1,,Mexico,Puerto Rico
70,6,1923,2632,1,,Mexico,Puerto Rico
70,6,1924,930,1,,Mexico,Puerto Rico
70,6,1925,1560,1,,Mexico,Puerto Rico
70,6,1926,18,1,,Mexico,Puerto Rico
70,6,1927,86,1,,Mexico,Puerto Rico
70,6,1928,535,1,,Mexico,Puerto Rico
70,6,1929,2669,1,,Mexico,Puerto Rico
70,6,1930,3146,1,,Mexico,Puerto Rico
70,6,1931,338,1,,Mexico,Puerto Rico
70,6,1932,10125,1,Pesos,Mexico,Puerto Rico
70,6,1933,212,1,Pesos,Mexico,Puerto Rico
70,6,1934,421,1,Pesos,Mexico,Puerto Rico
70,6,1935,797,1,Pesos,Mexico,Puerto Rico
70,6,1936,4997,1,Pesos,Mexico,Puerto Rico
70,6,1937,8771,1,Pesos,Mexico,Puerto Rico
70,6,1938,4925,1,Pesos,Mexico,Puerto Rico
70,6,1939,1192,1,Pesos,Mexico,Puerto Rico
70,6,1940,4638,1,,Mexico,Puerto Rico
70,6,1941,3005,1,,Mexico,Puerto Rico
70,6,1942,13,1,,Mexico,Puerto Rico
70,6,1943,25,1,,Mexico,Puerto Rico
70,6,1944,173,1,,Mexico,Puerto Rico
70,6,1945,12756,1,,Mexico,Puerto Rico
70,6,1946,9876,1,,Mexico,Puerto Rico
70,6,1947,9599563,1,,Mexico,Puerto Rico
70,6,1948,173798,1,,Mexico,Puerto Rico
70,6,1949,9,1000,Pesos,Mexico,Puerto Rico
70,20,1920,456300,1,,Mexico,Canada
70,20,1921,441738,1,,Mexico,Canada
70,20,1922,1161900,1,,Mexico,Canada
70,20,1923,1556689,1,,Mexico,Canada
70,20,1924,2192122,1,,Mexico,Canada
70,20,1925,3145767,1,,Mexico,Canada
70,20,1926,5577847,1,,Mexico,Canada
70,20,1927,4790232,1,,Mexico,Canada
70,20,1928,4386969,1,,Mexico,Canada
70,20,1929,4024313,1,,Mexico,Canada
70,20,1930,671569,1,,Mexico,Canada
70,20,1931,1157058,1,,Mexico,Canada
70,20,1932,581021,1,Pesos,Mexico,Canada
70,20,1933,964523,1,Pesos,Mexico,Canada
70,20,1934,2321369,1,Pesos,Mexico,Canada
70,20,1935,3171123,1,Pesos,Mexico,Canada
70,20,1936,4997870,1,Pesos,Mexico,Canada
70,20,1937,6626223,1,Pesos,Mexico,Canada
70,20,1938,5155039,1,Pesos,Mexico,Canada
