ccode1,ccode2,year,imp,places,currency,country1,country2
541,2,1937,24375402,1,Escudos,Mozambique,United States
541,20,1937,5099250,1,Escudos,Mozambique,Canada
541,70,1937,48650,1,Escudos,Mozambique,Mexico
541,90,1937,108,1,Escudos,Mozambique,Guatemala
541,95,1937,420,1,Escudos,Mozambique,Panama
541,100,1937,8522,1,Escudos,Mozambique,Colombia
541,101,1937,17957,1,Escudos,Mozambique,Venezuela
541,135,1937,80,1,Escudos,Mozambique,Peru
541,140,1937,514024,1,Escudos,Mozambique,Brazil
541,150,1937,2014,1,Escudos,Mozambique,Paraguay
541,160,1937,173020,1,Escudos,Mozambique,Argentina
541,165,1937,10766,1,Escudos,Mozambique,Uruguay
541,201,1937,81117407,1,Escudos,Mozambique,England
541,205,1937,86277,1,Escudos,Mozambique,Ireland
541,210,1937,7317897,1,Escudos,Mozambique,Netherlands
541,211,1937,15251692,1,Escudos,Mozambique,Belgium
541,220,1937,4012667,1,Escudos,Mozambique,France
541,225,1937,1406512,1,Escudos,Mozambique,Switzerland
541,230,1937,35592,1,Escudos,Mozambique,Spain
541,235,1937,117393683,1,Escudos,Mozambique,Portugal
541,255,1937,33932899,1,Escudos,Mozambique,Germany
541,290,1937,439870,1,Escudos,Mozambique,Poland
541,291,1937,3106,1,Escudos,Mozambique,Danzig
541,305,1937,198441,1,Escudos,Mozambique,Austria
541,310,1937,98906,1,Escudos,Mozambique,Hungary
541,315,1937,1477350,1,Escudos,Mozambique,Czechoslovakia
541,325,1937,2654969,1,Escudos,Mozambique,Italy
541,345,1937,679551,1,Escudos,Mozambique,Yugoslavia
541,350,1937,20287,1,Escudos,Mozambique,Greece
541,360,1937,57227,1,Escudos,Mozambique,Romania
541,365,1937,270478,1,Escudos,Mozambique,Russia
541,366,1937,12713,1,Escudos,Mozambique,Estonia
541,367,1937,57216,1,Escudos,Mozambique,Latvia
541,375,1937,1410525,1,Escudos,Mozambique,Finland
541,380,1937,3833321,1,Escudos,Mozambique,Sweden
541,385,1937,1781311,1,Escudos,Mozambique,Norway
541,390,1937,487173,1,Escudos,Mozambique,Denmark
541,402,1937,1320,1,Escudos,Mozambique,Cape Verde
541,403,1937,116888,1,Escudos,Mozambique,Sao Tome And Principe
541,511,1937,279208,1,Escudos,Mozambique,Zanzibar
541,540,1937,2146352,1,Escudos,Mozambique,Angola
541,541,1937,1990959,1,Escudos,Mozambique,Mozambique
541,553,1937,1091885,1,Escudos,Mozambique,Malawi
541,554,1937,11219279,1,Escudos,Mozambique,Rhodesia
541,560,1937,48160178,1,Escudos,Mozambique,South Africa
541,630,1937,2839514,1,Escudos,Mozambique,Iran
541,640,1937,0,1,Escudos,Mozambique,Turkey
541,645,1937,32161,1,Escudos,Mozambique,Iraq
541,651,1937,484254,1,Escudos,Mozambique,Egypt
541,710,1937,451092,1,Escudos,Mozambique,China
541,740,1937,20511851,1,Escudos,Mozambique,Japan
541,752,1937,169001,1,Escudos,Mozambique,Portuguese India
541,900,1937,8226941,1,Escudos,Mozambique,Australia
541,1200,1937,103931,1,Escudos,Mozambique,Other US possessions
541,2000,1937,0,1,Escudos,Mozambique,Other British possessions
541,2005,1937,757747,1,Escudos,Mozambique,British Africa
541,2007,1937,561574,1,Escudos,Mozambique,British possessions in Asia
541,2008,1937,78520,1,Escudos,Mozambique,Other British Oceania
541,2101,1937,7649,1,Escudos,Mozambique,Dutch possessions in Central America
541,2205,1937,17949,1,Escudos,Mozambique,French Africa
541,2207,1937,455154,1,Escudos,Mozambique,French possessions in Asia
541,2300,1937,330,1,Escudos,Mozambique,Other Spanish possessions
541,2350,1937,0,1,Escudos,Mozambique,Other Portuguese possessions
541,3250,1937,62322,1,Escudos,Mozambique,Italian Africa
541,,1937,461484676,1,Escudos,Mozambique,
