ccode1,ccode2,year,imp,places,currency,country1,country2
850,2,1915,15058,1000,1000 Gld,Indonesia,United States
850,2,1916,30801,1000,1000 Gld,Indonesia,United States
850,2,1917,60592,1000,1000 Gld,Indonesia,United States
850,2,1918,62440,1000,1000 Gld,Indonesia,United States
850,2,1919,130487,1000,1000 Gld,Indonesia,United States
850,2,1920,162861,1000,1000 Gld,Indonesia,United States
850,2,1921,108810,1000,1000 Gld,Indonesia,United States
850,2,1922,31944,1000,1000 Gld,Indonesia,United States
850,2,1923,38793,1000,1000 Gld,Indonesia,United States
850,2,1924,45813627,1,Guilder,Indonesia,United States
850,2,1925,54022469,1,Guilder,Indonesia,United States
850,2,1926,74877253,1,Guilder,Indonesia,United States
850,2,1927,92635173,1,Guilder,Indonesia,United States
850,2,1928,96849094,1,Guilder,Indonesia,United States
850,2,1929,131039540,1,Guilder,Indonesia,United States
850,2,1930,90363,1000,1000 Gld,Indonesia,United States
850,2,1931,51380,1000,1000 Gld,Indonesia,United States
850,2,1932,24558,1000,1000 Gld,Indonesia,United States
850,2,1933,15555,1000,1000 Gld,Indonesia,United States
850,2,1934,17670,1000,1000 Gld,Indonesia,United States
850,2,1935,18871,1000,1000 Gld,Indonesia,United States
850,2,1936,21721,1000,1000 Gld,Indonesia,United States
850,2,1937,49926,1000,1000 Gld,Indonesia,United States
850,2,1938,60205,1000,1000 Gld,Indonesia,United States
850,2,1939,63706,1000,1000 Rupiah,Indonesia,United States
850,2,1940,99726,1000,1000 Rupiah,Indonesia,United States
850,2,1941,0,1000,1000 Rupiah,Indonesia,United States
850,2,1942,0,1000,1000 Rupiah,Indonesia,United States
850,2,1943,0,1000,1000 Rupiah,Indonesia,United States
850,2,1944,0,1000,1000 Rupiah,Indonesia,United States
850,2,1945,0,1000,1000 Rupiah,Indonesia,United States
850,2,1946,0,1000,1000 Rupiah,Indonesia,United States
850,2,1947,306419287,1,Rupiah,Indonesia,United States
850,2,1948,286003498,1,Rupiah,Indonesia,United States
850,2,1949,441981481,1,Rupiah,Indonesia,United States
850,20,1915,0,1000,1000 Gld,Indonesia,Canada
850,20,1916,8,1000,1000 Gld,Indonesia,Canada
850,20,1917,36,1000,1000 Gld,Indonesia,Canada
