ccode1,ccode2,year,imp,places,currency,country1,country2
210,2,1910,295240242,1,Guld.,Netherlands,United States
210,2,1911,330609621,1,Guld.,Netherlands,United States
210,2,1916,273233180,1,Guilders,Netherlands,United States
210,2,1917,198547501,1,Guilders,Netherlands,United States
210,2,1918,23572157,1,Guilders,Netherlands,United States
210,2,1919,549429233,1,Guilders,Netherlands,United States
210,2,1920,526088447,1,,Netherlands,United States
210,2,1921,392289473,1,,Netherlands,United States
210,2,1922,270798837,1,Guilders,Netherlands,United States
210,2,1923,256017070,1,,Netherlands,United States
210,2,1924,270627648,1,,Netherlands,United States
210,2,1925,276035020,1,,Netherlands,United States
210,2,1926,257967801,1,,Netherlands,United States
210,2,1927,268444367,1,,Netherlands,United States
210,2,1928,265662211,1,,Netherlands,United States
210,2,1929,272160887,1,,Netherlands,United States
210,2,1930,211300941,1,,Netherlands,United States
210,2,1931,148128127,1,,Netherlands,United States
210,2,1932,85719963,1,,Netherlands,United States
210,2,1933,77697107,1,,Netherlands,United States
210,2,1934,69205051,1,,Netherlands,United States
210,2,1935,64805537,1,,Netherlands,United States
210,2,1936,72251644,1,,Netherlands,United States
210,2,1937,136345769,1,,Netherlands,United States
210,2,1938,153370350,1,,Netherlands,United States
210,2,1939,146126849,1,,Netherlands,United States
210,2,1942,118123,1,Gld,Netherlands,United States
210,2,1943,33536,1,Gld,Netherlands,United States
210,2,1946,534682,1000,,Netherlands,United States
210,2,1947,1194691,1000,,Netherlands,United States
210,2,1948,860669,1000,,Netherlands,United States
210,2,1949,877913,1000,,Netherlands,United States
210,20,1910,0,1,Guld.,Netherlands,Canada
210,20,1911,0,1,Guld.,Netherlands,Canada
210,20,1916,0,1,Guilders,Netherlands,Canada
210,20,1917,179,1,Guilders,Netherlands,Canada
210,20,1918,101,1,Guilders,Netherlands,Canada
210,20,1919,6616340,1,Guilders,Netherlands,Canada
210,20,1920,13023691,1,,Netherlands,Canada
210,20,1921,28823370,1,,Netherlands,Canada
210,20,1922,25509530,1,Guilders,Netherlands,Canada
210,20,1923,14640602,1,,Netherlands,Canada
210,20,1924,23513438,1,,Netherlands,Canada
210,20,1925,35904357,1,,Netherlands,Canada
210,20,1926,30541761,1,,Netherlands,Canada
210,20,1927,36595475,1,,Netherlands,Canada
