ccode1,ccode2,year,imp,places,currency,country1,country2
920,2,1919,8053127,1,Pounds,New Zealand,United States
920,2,1920,11750690,1,Pounds,New Zealand,United States
920,2,1921,8166967,1,Pounds,New Zealand,United States
920,2,1922,5379372,1,Pounds,New Zealand,United States
920,2,1923,6956602,1,Pounds,New Zealand,United States
920,2,1924,7788593,1,Pounds,New Zealand,United States
920,2,1925,8885265,1,Pounds,New Zealand,United States
920,2,1926,10000507,1,Pounds,New Zealand,United States
920,2,1927,8079467,1,Pounds,New Zealand,United States
920,2,1928,8204197,1,Pounds,New Zealand,United States
920,2,1929,9319926,1,Pounds,New Zealand,United States
920,2,1930,7573053,1,Pounds,New Zealand,United States
920,2,1931,3885073,1,Pounds,New Zealand,United States
920,2,1932,3267398,1,Pounds,New Zealand,United States
920,2,1933,2383451,1,Pounds,New Zealand,United States
920,2,1934,3749559,1,Pounds,New Zealand,United States
920,2,1935,4535060,1,Pounds,New Zealand,United States
920,2,1936,5605379,1,Pounds,New Zealand,United States
920,2,1937,6962518,1,Pounds,New Zealand,United States
920,2,1938,6856132,1,Pounds,New Zealand,United States
920,2,1939,5613154,1,Pounds,New Zealand,United States
920,2,1940,6093690,1,Pounds,New Zealand,United States
920,2,1941,9134635,1,Pounds,New Zealand,United States
920,2,1942,14970903,1,Pounds,New Zealand,United States
920,2,1943,34889239,1,Pounds,New Zealand,United States
920,2,1944,27850833,1,Pounds,New Zealand,United States
920,2,1945,13064962,1,Pounds,New Zealand,United States
920,2,1946,11744688,1,Pounds,New Zealand,United States
920,2,1947,23323933,1,Pounds,New Zealand,United States
920,2,1948,13872603,1,Pounds,New Zealand,United States
920,2,1949,11615385,1,Pounds,New Zealand,United States
920,3,1919,446,1,Pounds,New Zealand,Alaska
920,3,1920,1626,1,Pounds,New Zealand,Alaska
920,3,1921,125,1,Pounds,New Zealand,Alaska
920,3,1922,1814,1,Pounds,New Zealand,Alaska
920,3,1923,2527,1,Pounds,New Zealand,Alaska
920,3,1924,680,1,Pounds,New Zealand,Alaska
920,3,1925,1460,1,Pounds,New Zealand,Alaska
920,3,1926,1304,1,Pounds,New Zealand,Alaska
920,3,1927,2001,1,Pounds,New Zealand,Alaska
920,3,1928,7849,1,Pounds,New Zealand,Alaska
920,3,1929,4782,1,Pounds,New Zealand,Alaska
920,3,1930,1075,1,Pounds,New Zealand,Alaska
