ccode1,ccode2,year,imp,places,currency,country1,country2
93,2,1913,3244008,1,Cordobas,Nicaragua,United States
93,2,1914,2566368,1,Cordobas,Nicaragua,United States
93,2,1915,2592799,1,Cordobas,Nicaragua,United States
93,2,1916,3855900,1,Cordobas,Nicaragua,United States
93,2,1917,5171468,1,Cordobas,Nicaragua,United States
93,2,1918,4630057,1,Cordobas,Nicaragua,United States
93,2,1919,6687712,1,Cordobas,Nicaragua,United States
93,2,1920,11247589,1,Cordobas,Nicaragua,United States
93,2,1921,3857202,1,Cordobas,Nicaragua,United States
93,2,1922,4127205,1,Cordobas,Nicaragua,United States
93,2,1923,5509254,1,Cordobas,Nicaragua,United States
93,2,1924,6425242,1,Cordobas,Nicaragua,United States
93,2,1925,7272191,1,Cordobas,Nicaragua,United States
93,2,1926,7116715,1,Cordobas,Nicaragua,United States
93,2,1927,6777574,1,Cordobas,Nicaragua,United States
93,2,1928,8383750,1,Cordobas,Nicaragua,United States
93,2,1929,7389738,1,Cordobas,Nicaragua,United States
93,2,1930,5023615,1,Cordobas,Nicaragua,United States
93,2,1931,3684213,1,Cordobas,Nicaragua,United States
93,2,1932,2180956,1,Cordobas,Nicaragua,United States
93,2,1933,2393820,1,Cordobas,Nicaragua,United States
93,2,1934,2712145,1,Cordobas,Nicaragua,United States
93,2,1935,2537630,1,Cordobas,Nicaragua,United States
93,2,1936,2579813,1,Cordobas,Nicaragua,United States
93,2,1937,3044606,1,Dolares,Nicaragua,United States
93,2,1938,3057952,1,Dolares,Nicaragua,United States
93,2,1939,4352460,1,Dolares,Nicaragua,United States
93,2,1940,5921077,1,Dolares,Nicaragua,United States
93,2,1941,9141506,1,Dolares,Nicaragua,United States
93,2,1942,5185203,1,Dolares,Nicaragua,United States
93,2,1943,8256952,1,Dolares,Nicaragua,United States
93,2,1944,7601073,1,Dolares,Nicaragua,United States
93,2,1945,8926364,1,Dolares,Nicaragua,United States
93,2,1946,11396845,1,Dolares,Nicaragua,United States
93,2,1947,17904466,1,Dolares,Nicaragua,United States
93,2,1948,20179547,1,Dolares,Nicaragua,United States
93,2,1949,16789634,1,Dolares,Nicaragua,United States
93,6,1913,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1914,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1915,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1916,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1917,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1918,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1919,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1920,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1921,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1922,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1923,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1924,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1925,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1926,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1927,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1928,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1929,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1930,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1931,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1932,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1933,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1934,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1935,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1936,0,1,Cordobas,Nicaragua,Puerto Rico
93,6,1937,0,1,Dolares,Nicaragua,Puerto Rico
93,6,1938,0,1,Dolares,Nicaragua,Puerto Rico
93,6,1939,0,1,Dolares,Nicaragua,Puerto Rico
93,6,1940,0,1,Dolares,Nicaragua,Puerto Rico
93,6,1941,0,1,Dolares,Nicaragua,Puerto Rico
93,6,1942,0,1,Dolares,Nicaragua,Puerto Rico
93,6,1943,0,1,Dolares,Nicaragua,Puerto Rico
93,6,1944,0,1,Dolares,Nicaragua,Puerto Rico
93,6,1945,0,1,Dolares,Nicaragua,Puerto Rico
93,6,1946,2,1,Dolares,Nicaragua,Puerto Rico
93,6,1947,128,1,Dolares,Nicaragua,Puerto Rico
93,6,1948,29,1,Dolares,Nicaragua,Puerto Rico
93,6,1949,348,1,Dolares,Nicaragua,Puerto Rico
93,20,1913,0,1,Cordobas,Nicaragua,Canada
93,20,1914,0,1,Cordobas,Nicaragua,Canada
93,20,1915,0,1,Cordobas,Nicaragua,Canada
93,20,1916,0,1,Cordobas,Nicaragua,Canada
93,20,1917,0,1,Cordobas,Nicaragua,Canada
93,20,1918,0,1,Cordobas,Nicaragua,Canada
93,20,1919,0,1,Cordobas,Nicaragua,Canada
93,20,1920,0,1,Cordobas,Nicaragua,Canada
93,20,1921,0,1,Cordobas,Nicaragua,Canada
93,20,1922,0,1,Cordobas,Nicaragua,Canada
93,20,1923,0,1,Cordobas,Nicaragua,Canada
93,20,1924,0,1,Cordobas,Nicaragua,Canada
93,20,1925,0,1,Cordobas,Nicaragua,Canada
93,20,1926,0,1,Cordobas,Nicaragua,Canada
93,20,1927,0,1,Cordobas,Nicaragua,Canada
93,20,1928,0,1,Cordobas,Nicaragua,Canada
93,20,1929,0,1,Cordobas,Nicaragua,Canada
93,20,1930,0,1,Cordobas,Nicaragua,Canada
93,20,1931,0,1,Cordobas,Nicaragua,Canada
93,20,1932,0,1,Cordobas,Nicaragua,Canada
93,20,1933,0,1,Cordobas,Nicaragua,Canada
93,20,1934,0,1,Cordobas,Nicaragua,Canada
93,20,1935,0,1,Cordobas,Nicaragua,Canada
93,20,1936,0,1,Cordobas,Nicaragua,Canada
93,20,1937,0,1,Dolares,Nicaragua,Canada
93,20,1938,0,1,Dolares,Nicaragua,Canada
93,20,1939,0,1,Dolares,Nicaragua,Canada
93,20,1940,0,1,Dolares,Nicaragua,Canada
93,20,1941,0,1,Dolares,Nicaragua,Canada
93,20,1942,0,1,Dolares,Nicaragua,Canada
93,20,1943,0,1,Dolares,Nicaragua,Canada
93,20,1944,0,1,Dolares,Nicaragua,Canada
93,20,1945,17298,1,Dolares,Nicaragua,Canada
93,20,1946,17906,1,Dolares,Nicaragua,Canada
93,20,1947,92023,1,Dolares,Nicaragua,Canada
93,20,1948,153832,1,Dolares,Nicaragua,Canada
93,20,1949,203166,1,Dolares,Nicaragua,Canada
93,40,1913,0,1,Cordobas,Nicaragua,Cuba
93,40,1914,0,1,Cordobas,Nicaragua,Cuba
93,40,1915,0,1,Cordobas,Nicaragua,Cuba
93,40,1916,0,1,Cordobas,Nicaragua,Cuba
93,40,1917,0,1,Cordobas,Nicaragua,Cuba
93,40,1918,0,1,Cordobas,Nicaragua,Cuba
93,40,1919,0,1,Cordobas,Nicaragua,Cuba
93,40,1920,0,1,Cordobas,Nicaragua,Cuba
93,40,1921,0,1,Cordobas,Nicaragua,Cuba
93,40,1922,0,1,Cordobas,Nicaragua,Cuba
93,40,1923,0,1,Cordobas,Nicaragua,Cuba
93,40,1924,0,1,Cordobas,Nicaragua,Cuba
93,40,1925,0,1,Cordobas,Nicaragua,Cuba
93,40,1926,0,1,Cordobas,Nicaragua,Cuba
93,40,1927,0,1,Cordobas,Nicaragua,Cuba
93,40,1928,0,1,Cordobas,Nicaragua,Cuba
93,40,1929,0,1,Cordobas,Nicaragua,Cuba
93,40,1930,0,1,Cordobas,Nicaragua,Cuba
93,40,1931,0,1,Cordobas,Nicaragua,Cuba
93,40,1932,0,1,Cordobas,Nicaragua,Cuba
93,40,1933,0,1,Cordobas,Nicaragua,Cuba
93,40,1934,0,1,Cordobas,Nicaragua,Cuba
93,40,1935,0,1,Cordobas,Nicaragua,Cuba
93,40,1936,0,1,Cordobas,Nicaragua,Cuba
93,40,1937,0,1,Dolares,Nicaragua,Cuba
93,40,1938,0,1,Dolares,Nicaragua,Cuba
93,40,1939,0,1,Dolares,Nicaragua,Cuba
93,40,1940,0,1,Dolares,Nicaragua,Cuba
93,40,1941,0,1,Dolares,Nicaragua,Cuba
93,40,1942,3535,1,Dolares,Nicaragua,Cuba
93,40,1943,11537,1,Dolares,Nicaragua,Cuba
93,40,1944,21775,1,Dolares,Nicaragua,Cuba
93,40,1945,20575,1,Dolares,Nicaragua,Cuba
93,40,1946,15898,1,Dolares,Nicaragua,Cuba
93,40,1947,18456,1,Dolares,Nicaragua,Cuba
93,40,1948,20366,1,Dolares,Nicaragua,Cuba
93,40,1949,11979,1,Dolares,Nicaragua,Cuba
93,42,1913,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1914,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1915,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1916,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1917,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1918,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1919,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1920,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1921,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1922,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1923,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1924,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1925,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1926,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1927,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1928,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1929,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1930,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1931,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1932,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1933,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1934,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1935,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1936,0,1,Cordobas,Nicaragua,Dominican Republic
93,42,1937,0,1,Dolares,Nicaragua,Dominican Republic
93,42,1938,0,1,Dolares,Nicaragua,Dominican Republic
93,42,1939,0,1,Dolares,Nicaragua,Dominican Republic
93,42,1940,0,1,Dolares,Nicaragua,Dominican Republic
93,42,1941,0,1,Dolares,Nicaragua,Dominican Republic
93,42,1942,0,1,Dolares,Nicaragua,Dominican Republic
93,42,1943,0,1,Dolares,Nicaragua,Dominican Republic
93,42,1944,0,1,Dolares,Nicaragua,Dominican Republic
93,42,1945,0,1,Dolares,Nicaragua,Dominican Republic
93,42,1946,0,1,Dolares,Nicaragua,Dominican Republic
93,42,1947,0,1,Dolares,Nicaragua,Dominican Republic
93,42,1948,202,1,Dolares,Nicaragua,Dominican Republic
93,42,1949,95,1,Dolares,Nicaragua,Dominican Republic
93,51,1913,0,1,Cordobas,Nicaragua,Jamaica
93,51,1914,0,1,Cordobas,Nicaragua,Jamaica
93,51,1915,0,1,Cordobas,Nicaragua,Jamaica
93,51,1916,0,1,Cordobas,Nicaragua,Jamaica
93,51,1917,0,1,Cordobas,Nicaragua,Jamaica
93,51,1918,0,1,Cordobas,Nicaragua,Jamaica
93,51,1919,0,1,Cordobas,Nicaragua,Jamaica
93,51,1920,0,1,Cordobas,Nicaragua,Jamaica
93,51,1921,0,1,Cordobas,Nicaragua,Jamaica
93,51,1922,0,1,Cordobas,Nicaragua,Jamaica
93,51,1923,0,1,Cordobas,Nicaragua,Jamaica
93,51,1924,0,1,Cordobas,Nicaragua,Jamaica
93,51,1925,0,1,Cordobas,Nicaragua,Jamaica
93,51,1926,0,1,Cordobas,Nicaragua,Jamaica
93,51,1927,0,1,Cordobas,Nicaragua,Jamaica
93,51,1928,0,1,Cordobas,Nicaragua,Jamaica
93,51,1929,0,1,Cordobas,Nicaragua,Jamaica
93,51,1930,0,1,Cordobas,Nicaragua,Jamaica
93,51,1931,0,1,Cordobas,Nicaragua,Jamaica
93,51,1932,0,1,Cordobas,Nicaragua,Jamaica
93,51,1933,0,1,Cordobas,Nicaragua,Jamaica
93,51,1934,0,1,Cordobas,Nicaragua,Jamaica
93,51,1935,0,1,Cordobas,Nicaragua,Jamaica
93,51,1936,0,1,Cordobas,Nicaragua,Jamaica
93,51,1937,0,1,Dolares,Nicaragua,Jamaica
93,51,1938,0,1,Dolares,Nicaragua,Jamaica
93,51,1939,0,1,Dolares,Nicaragua,Jamaica
93,51,1940,0,1,Dolares,Nicaragua,Jamaica
93,51,1941,0,1,Dolares,Nicaragua,Jamaica
93,51,1942,0,1,Dolares,Nicaragua,Jamaica
93,51,1943,0,1,Dolares,Nicaragua,Jamaica
93,51,1944,0,1,Dolares,Nicaragua,Jamaica
93,51,1945,0,1,Dolares,Nicaragua,Jamaica
93,51,1946,0,1,Dolares,Nicaragua,Jamaica
93,51,1947,0,1,Dolares,Nicaragua,Jamaica
93,51,1948,1009,1,Dolares,Nicaragua,Jamaica
93,51,1949,514,1,Dolares,Nicaragua,Jamaica
93,70,1913,0,1,Cordobas,Nicaragua,Mexico
93,70,1914,0,1,Cordobas,Nicaragua,Mexico
93,70,1915,0,1,Cordobas,Nicaragua,Mexico
93,70,1916,0,1,Cordobas,Nicaragua,Mexico
93,70,1917,0,1,Cordobas,Nicaragua,Mexico
93,70,1918,0,1,Cordobas,Nicaragua,Mexico
93,70,1919,30471,1,Cordobas,Nicaragua,Mexico
93,70,1920,51972,1,Cordobas,Nicaragua,Mexico
93,70,1921,15318,1,Cordobas,Nicaragua,Mexico
93,70,1922,11159,1,Cordobas,Nicaragua,Mexico
93,70,1923,24423,1,Cordobas,Nicaragua,Mexico
93,70,1924,39090,1,Cordobas,Nicaragua,Mexico
93,70,1925,35405,1,Cordobas,Nicaragua,Mexico
93,70,1926,35143,1,Cordobas,Nicaragua,Mexico
