ccode1,ccode2,year,imp,places,currency,country1,country2
475,2,1934,344223,1,Pounds,Nigeria,United States
475,2,1935,483197,1,Pounds,Nigeria,United States
475,2,1936,591811,1,Pounds,Nigeria,United States
475,2,1937,948314,1,Pounds,Nigeria,United States
475,2,1938,693896,1,Pounds,Nigeria,United States
475,4,1934,0,1,Pounds,Nigeria,Hawaii
475,4,1935,1,1,Pounds,Nigeria,Hawaii
475,4,1936,0,1,Pounds,Nigeria,Hawaii
475,4,1937,0,1,Pounds,Nigeria,Hawaii
475,4,1938,4,1,Pounds,Nigeria,Hawaii
475,6,1934,2,1,Pounds,Nigeria,Puerto Rico
475,6,1935,0,1,Pounds,Nigeria,Puerto Rico
475,6,1936,0,1,Pounds,Nigeria,Puerto Rico
475,6,1937,0,1,Pounds,Nigeria,Puerto Rico
475,6,1938,0,1,Pounds,Nigeria,Puerto Rico
475,20,1934,31165,1,Pounds,Nigeria,Canada
475,20,1935,34396,1,Pounds,Nigeria,Canada
475,20,1936,34315,1,Pounds,Nigeria,Canada
475,20,1937,66424,1,Pounds,Nigeria,Canada
475,20,1938,28878,1,Pounds,Nigeria,Canada
475,21,1934,41,1,Pounds,Nigeria,Newfoundland
475,21,1935,22,1,Pounds,Nigeria,Newfoundland
475,21,1936,101,1,Pounds,Nigeria,Newfoundland
475,21,1937,222,1,Pounds,Nigeria,Newfoundland
475,21,1938,184,1,Pounds,Nigeria,Newfoundland
475,40,1934,32,1,Pounds,Nigeria,Cuba
475,40,1935,21,1,Pounds,Nigeria,Cuba
475,40,1936,37,1,Pounds,Nigeria,Cuba
475,40,1937,130,1,Pounds,Nigeria,Cuba
475,40,1938,61,1,Pounds,Nigeria,Cuba
475,41,1934,0,1,Pounds,Nigeria,Haiti
475,41,1935,0,1,Pounds,Nigeria,Haiti
475,41,1936,63,1,Pounds,Nigeria,Haiti
475,41,1937,4,1,Pounds,Nigeria,Haiti
475,41,1938,0,1,Pounds,Nigeria,Haiti
475,42,1934,3,1,Pounds,Nigeria,Dominican Republic
475,42,1935,4,1,Pounds,Nigeria,Dominican Republic
475,42,1936,0,1,Pounds,Nigeria,Dominican Republic
475,42,1937,0,1,Pounds,Nigeria,Dominican Republic
475,42,1938,0,1,Pounds,Nigeria,Dominican Republic
475,51,1934,58,1,Pounds,Nigeria,Jamaica
475,51,1935,71,1,Pounds,Nigeria,Jamaica
475,51,1936,0,1,Pounds,Nigeria,Jamaica
475,51,1937,0,1,Pounds,Nigeria,Jamaica
