ccode1,ccode2,year,imp,places,currency,country1,country2
385,2,1904,9474200,1,,Norway,United States
385,2,1905,8050000,1,,Norway,United States
385,2,1906,14352600,1,,Norway,United States
385,2,1907,14545300,1,,Norway,United States
385,2,1908,18103800,1,,Norway,United States
385,2,1909,28306500,1,,Norway,United States
385,2,1911,30986800,1,,Norway,United States
385,2,1912,33806700,1,,Norway,United States
385,2,1913,39200800,1,,Norway,United States
385,2,1914,73059900,1,,Norway,United States
385,2,1915,183627000,1,,Norway,United States
385,2,1916,337997800,1,,Norway,United States
385,2,1917,551397200,1,,Norway,United States
385,2,1918,199698700,1,,Norway,United States
385,2,1919,752734200,1,,Norway,United States
385,2,1920,691418900,1,,Norway,United States
385,2,1921,277410300,1,,Norway,United States
385,2,1922,243450290,1,,Norway,United States
385,2,1923,223659130,1,,Norway,United States
385,2,1924,210673830,1,,Norway,United States
385,2,1925,194512140,1,,Norway,United States
385,2,1926,156172740,1,,Norway,United States
385,2,1927,134184800,1,,Norway,United States
385,2,1928,121245000,1,,Norway,United States
385,2,1929,112291900,1,,Norway,United States
385,2,1930,102943300,1,,Norway,United States
385,2,1931,66034500,1,,Norway,United States
385,2,1932,58220,1000,,Norway,United States
385,2,1933,46117,1000,,Norway,United States
385,2,1934,63686,1000,,Norway,United States
385,2,1935,67425,1000,,Norway,United States
385,2,1936,77645,1000,,Norway,United States
385,2,1937,110271,1000,,Norway,United States
385,2,1938,119085,1000,,Norway,United States
385,2,1939,147323,1000,,Norway,United States
385,2,1940,108113,1000,,Norway,United States
385,2,1941,4362,1000,,Norway,United States
385,2,1942,1177,1000,,Norway,United States
385,2,1943,521,1000,,Norway,United States
385,2,1944,24,1000,,Norway,United States
385,2,1945,142633,1000,,Norway,United States
385,2,1946,477038,1000,,Norway,United States
385,2,1947,949917,1000,,Norway,United States
385,2,1948,496759,1000,,Norway,United States
385,2,1949,553132,1000,,Norway,United States
385,3,1904,0,1,,Norway,Alaska
385,3,1905,0,1,,Norway,Alaska
385,3,1906,0,1,,Norway,Alaska
385,3,1907,0,1,,Norway,Alaska
385,3,1908,0,1,,Norway,Alaska
385,3,1909,0,1,,Norway,Alaska
385,3,1911,0,1,,Norway,Alaska
385,3,1912,0,1,,Norway,Alaska
385,3,1913,0,1,,Norway,Alaska
385,3,1914,0,1,,Norway,Alaska
385,3,1915,0,1,,Norway,Alaska
385,3,1916,0,1,,Norway,Alaska
385,3,1917,0,1,,Norway,Alaska
385,3,1918,0,1,,Norway,Alaska
385,3,1919,0,1,,Norway,Alaska
385,3,1920,0,1,,Norway,Alaska
385,3,1921,0,1,,Norway,Alaska
385,3,1922,0,1,,Norway,Alaska
385,3,1923,0,1,,Norway,Alaska
385,3,1924,0,1,,Norway,Alaska
385,3,1925,0,1,,Norway,Alaska
385,3,1926,0,1,,Norway,Alaska
385,3,1927,0,1,,Norway,Alaska
385,3,1928,0,1,,Norway,Alaska
385,3,1929,0,1,,Norway,Alaska
385,3,1930,0,1,,Norway,Alaska
385,3,1931,0,1,,Norway,Alaska
385,3,1932,0,1000,,Norway,Alaska
385,3,1933,0,1000,,Norway,Alaska
385,3,1934,0,1000,,Norway,Alaska
385,3,1935,0,1000,,Norway,Alaska
385,3,1936,0,1000,,Norway,Alaska
385,3,1937,13,1000,,Norway,Alaska
385,3,1938,2,1000,,Norway,Alaska
385,3,1939,0,1000,,Norway,Alaska
385,3,1940,2,1000,,Norway,Alaska
385,3,1941,0,1000,,Norway,Alaska
385,3,1942,0,1000,,Norway,Alaska
385,3,1943,0,1000,,Norway,Alaska
385,3,1944,0,1000,,Norway,Alaska
385,3,1945,0,1000,,Norway,Alaska
385,3,1946,0,1000,,Norway,Alaska
385,3,1947,0,1000,,Norway,Alaska
