ccode1,ccode2,year,imp,places,currency,country1,country2
95,2,1924,8975,1000,Balboas,Panama,United States
95,2,1925,10903,1000,Balboas,Panama,United States
95,2,1926,10280,1000,Balboas,Panama,United States
95,2,1927,9892,1000,Balboas,Panama,United States
95,2,1929,12999144.33,1,Balboas,Panama,United States
95,2,1930,11159250,1,Balboas,Panama,United States
95,2,1931,8159284,1,,Panama,United States
95,2,1932,5413404,1,,Panama,United States
95,2,1933,5314347,1,,Panama,United States
95,2,1934,7073758,1,,Panama,United States
95,2,1935,8623824,1,,Panama,United States
95,2,1936,9777674,1,,Panama,United States
95,2,1937,11359092,1,,Panama,United States
95,2,1938,10139378,1,,Panama,United States
95,2,1939,11916685,1,,Panama,United States
95,2,1940,16645743,1,,Panama,United States
95,2,1941,26470127,1,Balboas,Panama,United States
95,2,1942,28720713,1,Balboas,Panama,United States
95,2,1943,25654096,1,Balboas,Panama,United States
95,2,1944,25124382.83,1,Balboas,Panama,United States
95,2,1945,28499135.69,1,Balboas,Panama,United States
95,2,1946,40590997.62,1,Balboas,Panama,United States
95,2,1947,57802856,1,Balboas,Panama,United States
95,2,1948,47803461,1,Balboas,Panama,United States
95,2,1949,45867421,1,Balboas,Panama,United States
95,4,1924,0,1000,Balboas,Panama,Hawaii
95,4,1925,0,1000,Balboas,Panama,Hawaii
95,4,1926,0,1000,Balboas,Panama,Hawaii
95,4,1927,0,1000,Balboas,Panama,Hawaii
95,4,1929,0,1,Balboas,Panama,Hawaii
95,4,1930,0,1,Balboas,Panama,Hawaii
95,4,1931,0,1,,Panama,Hawaii
95,4,1932,0,1,,Panama,Hawaii
95,4,1933,0,1,,Panama,Hawaii
95,4,1934,0,1,,Panama,Hawaii
95,4,1935,0,1,,Panama,Hawaii
95,4,1936,0,1,,Panama,Hawaii
95,4,1937,0,1,,Panama,Hawaii
95,4,1938,0,1,,Panama,Hawaii
95,4,1939,0,1,,Panama,Hawaii
95,4,1940,0,1,,Panama,Hawaii
95,4,1941,0,1,Balboas,Panama,Hawaii
95,4,1942,0,1,Balboas,Panama,Hawaii
95,4,1943,0,1,Balboas,Panama,Hawaii
95,4,1944,0,1,Balboas,Panama,Hawaii
95,4,1945,0,1,Balboas,Panama,Hawaii
95,4,1946,0,1,Balboas,Panama,Hawaii
95,4,1947,213,1,Balboas,Panama,Hawaii
95,4,1948,133,1,Balboas,Panama,Hawaii
95,4,1949,11,1,Balboas,Panama,Hawaii
95,6,1924,0,1000,Balboas,Panama,Puerto Rico
95,6,1925,0,1000,Balboas,Panama,Puerto Rico
95,6,1926,0,1000,Balboas,Panama,Puerto Rico
95,6,1927,0,1000,Balboas,Panama,Puerto Rico
95,6,1929,0,1,Balboas,Panama,Puerto Rico
95,6,1930,0,1,Balboas,Panama,Puerto Rico
95,6,1931,0,1,,Panama,Puerto Rico
95,6,1932,0,1,,Panama,Puerto Rico
95,6,1933,0,1,,Panama,Puerto Rico
95,6,1934,0,1,,Panama,Puerto Rico
95,6,1935,0,1,,Panama,Puerto Rico
95,6,1936,0,1,,Panama,Puerto Rico
95,6,1937,0,1,,Panama,Puerto Rico
95,6,1938,0,1,,Panama,Puerto Rico
95,6,1939,0,1,,Panama,Puerto Rico
95,6,1940,0,1,,Panama,Puerto Rico
95,6,1941,0,1,Balboas,Panama,Puerto Rico
95,6,1942,0,1,Balboas,Panama,Puerto Rico
95,6,1943,0,1,Balboas,Panama,Puerto Rico
95,6,1944,2460.57,1,Balboas,Panama,Puerto Rico
95,6,1945,24776.96,1,Balboas,Panama,Puerto Rico
95,6,1946,7083.2,1,Balboas,Panama,Puerto Rico
95,6,1947,56954,1,Balboas,Panama,Puerto Rico
95,6,1948,4700,1,Balboas,Panama,Puerto Rico
95,6,1949,0,1,Balboas,Panama,Puerto Rico
95,10,1924,0,1000,Balboas,Panama,Greenland
95,10,1925,0,1000,Balboas,Panama,Greenland
95,10,1926,0,1000,Balboas,Panama,Greenland
95,10,1927,0,1000,Balboas,Panama,Greenland
95,10,1929,0,1,Balboas,Panama,Greenland
95,10,1930,0,1,Balboas,Panama,Greenland
95,10,1931,0,1,,Panama,Greenland
95,10,1932,0,1,,Panama,Greenland
95,10,1933,0,1,,Panama,Greenland
95,10,1934,0,1,,Panama,Greenland
95,10,1935,0,1,,Panama,Greenland
95,10,1936,0,1,,Panama,Greenland
95,10,1937,0,1,,Panama,Greenland
95,10,1938,0,1,,Panama,Greenland
95,10,1939,0,1,,Panama,Greenland
95,10,1940,0,1,,Panama,Greenland
95,10,1941,0,1,Balboas,Panama,Greenland
95,10,1942,0,1,Balboas,Panama,Greenland
95,10,1943,0,1,Balboas,Panama,Greenland
95,10,1944,0,1,Balboas,Panama,Greenland
95,10,1945,0,1,Balboas,Panama,Greenland
95,10,1946,0,1,Balboas,Panama,Greenland
95,10,1947,0,1,Balboas,Panama,Greenland
95,10,1948,0,1,Balboas,Panama,Greenland
95,10,1949,0,1,Balboas,Panama,Greenland
95,20,1924,0,1000,Balboas,Panama,Canada
95,20,1925,0,1000,Balboas,Panama,Canada
95,20,1926,0,1000,Balboas,Panama,Canada
95,20,1927,0,1000,Balboas,Panama,Canada
95,20,1929,29172.9,1,Balboas,Panama,Canada
95,20,1930,73835,1,Balboas,Panama,Canada
95,20,1931,62465,1,,Panama,Canada
95,20,1932,35712,1,,Panama,Canada
95,20,1933,78103,1,,Panama,Canada
95,20,1934,88245,1,,Panama,Canada
95,20,1935,129355,1,,Panama,Canada
95,20,1936,105621,1,,Panama,Canada
95,20,1937,108377,1,,Panama,Canada
95,20,1938,81153,1,,Panama,Canada
95,20,1939,63982,1,,Panama,Canada
95,20,1940,93546,1,,Panama,Canada
95,20,1941,122489,1,Balboas,Panama,Canada
95,20,1942,183052,1,Balboas,Panama,Canada
95,20,1943,2181,1,Balboas,Panama,Canada
95,20,1944,8007.71,1,Balboas,Panama,Canada
95,20,1945,35462.49,1,Balboas,Panama,Canada
95,20,1946,378034.35,1,Balboas,Panama,Canada
95,20,1947,667854,1,Balboas,Panama,Canada
95,20,1948,941663,1,Balboas,Panama,Canada
95,20,1949,1307202,1,Balboas,Panama,Canada
95,40,1924,0,1000,Balboas,Panama,Cuba
95,40,1925,0,1000,Balboas,Panama,Cuba
95,40,1926,0,1000,Balboas,Panama,Cuba
95,40,1927,0,1000,Balboas,Panama,Cuba
95,40,1929,184639.66,1,Balboas,Panama,Cuba
95,40,1930,139799,1,Balboas,Panama,Cuba
95,40,1931,189504,1,,Panama,Cuba
95,40,1932,114531,1,,Panama,Cuba
95,40,1933,93720,1,,Panama,Cuba
95,40,1934,71934,1,,Panama,Cuba
95,40,1935,136041,1,,Panama,Cuba
95,40,1936,156288,1,,Panama,Cuba
95,40,1937,148023,1,,Panama,Cuba
95,40,1938,127019,1,,Panama,Cuba
95,40,1939,130091,1,,Panama,Cuba
95,40,1940,175552,1,,Panama,Cuba
95,40,1941,598102,1,Balboas,Panama,Cuba
95,40,1942,675924,1,Balboas,Panama,Cuba
95,40,1943,682257,1,Balboas,Panama,Cuba
95,40,1944,689096.74,1,Balboas,Panama,Cuba
95,40,1945,953601.6899999999,1,Balboas,Panama,Cuba
95,40,1946,1056026.25,1,Balboas,Panama,Cuba
95,40,1947,771731,1,Balboas,Panama,Cuba
95,40,1948,330289,1,Balboas,Panama,Cuba
95,40,1949,304085,1,Balboas,Panama,Cuba
95,41,1924,0,1000,Balboas,Panama,Haiti
95,41,1925,0,1000,Balboas,Panama,Haiti
95,41,1926,0,1000,Balboas,Panama,Haiti
95,41,1927,0,1000,Balboas,Panama,Haiti
95,41,1929,0,1,Balboas,Panama,Haiti
95,41,1930,0,1,Balboas,Panama,Haiti
95,41,1931,0,1,,Panama,Haiti
95,41,1932,0,1,,Panama,Haiti
95,41,1933,0,1,,Panama,Haiti
95,41,1934,0,1,,Panama,Haiti
95,41,1935,0,1,,Panama,Haiti
95,41,1936,0,1,,Panama,Haiti
95,41,1937,0,1,,Panama,Haiti
95,41,1938,0,1,,Panama,Haiti
95,41,1939,0,1,,Panama,Haiti
95,41,1940,0,1,,Panama,Haiti
95,41,1941,3015,1,Balboas,Panama,Haiti
95,41,1942,1170,1,Balboas,Panama,Haiti
95,41,1943,6821,1,Balboas,Panama,Haiti
95,41,1944,3199.69,1,Balboas,Panama,Haiti
95,41,1945,2884.06,1,Balboas,Panama,Haiti
95,41,1946,663.3,1,Balboas,Panama,Haiti
95,41,1947,1631,1,Balboas,Panama,Haiti
95,41,1948,3472,1,Balboas,Panama,Haiti
95,41,1949,595,1,Balboas,Panama,Haiti
95,42,1924,0,1000,Balboas,Panama,Dominican Republic
95,42,1925,0,1000,Balboas,Panama,Dominican Republic
95,42,1926,0,1000,Balboas,Panama,Dominican Republic
95,42,1927,0,1000,Balboas,Panama,Dominican Republic
95,42,1929,0,1,Balboas,Panama,Dominican Republic
95,42,1930,0,1,Balboas,Panama,Dominican Republic
95,42,1931,0,1,,Panama,Dominican Republic
95,42,1932,0,1,,Panama,Dominican Republic
