ccode1,ccode2,year,imp,places,currency,country1,country2
150,2,1921,849453,1,Valor De Tarifa,Paraguay,United States
150,2,1922,902262,1,Valor De Tarifa,Paraguay,United States
150,2,1923,1035604,1,Valor De Tarifa,Paraguay,United States
150,2,1924,1306164,1,,Paraguay,United States
150,2,1925,2601,1000,Valor Real En Oro Sellado,Paraguay,United States
150,2,1926,1938409,1,Valor Real En Oro Sellado,Paraguay,United States
150,2,1927,2223906,1,Valor Real En Oro Sellado,Paraguay,United States
150,2,1928,2291358,1,Valor Real En Oro Sellado,Paraguay,United States
150,2,1929,2592827,1,Valor Real En Oro Sellado,Paraguay,United States
150,2,1930,2410294,1,Valor Real En Oro Sellado,Paraguay,United States
150,2,1931,1628069,1,Valor Real En Oro Sellado,Paraguay,United States
150,2,1932,823343,1,Valor Real En Oro Sellado,Paraguay,United States
150,2,1933,377366,1,Valor Real En Oro Sellado,Paraguay,United States
150,2,1934,396478,1,Valor Real En Oro Sellado,Paraguay,United States
150,2,1935,888601,1,Valor Real En Oro Sellado,Paraguay,United States
150,2,1936,558299,1,Valor Real En Oro Sellado,Paraguay,United States
150,2,1937,942623,1,Valor Real En Oro Sellado,Paraguay,United States
150,2,1938,1252002,1,Valor Real En Oro Sellado,Paraguay,United States
150,2,1939,1261623,1,Valor Real En Oro Sellado,Paraguay,United States
150,2,1940,3176959,1,Oro Sellado,Paraguay,United States
150,2,1941,2385222,1,Oro Sellado,Paraguay,United States
150,2,1942,3342083,1,Oro Sellado,Paraguay,United States
150,2,1943,6444731.6,1,Guaranies,Paraguay,United States
150,2,1944,6041258.93,1,Guaranies,Paraguay,United States
150,2,1945,7285042.54,1,Guaranies,Paraguay,United States
150,2,1946,13795889.87,1,Guaranies,Paraguay,United States
150,2,1947,19889738.3,1,Guaranies,Paraguay,United States
150,2,1948,23615,1000,Miles De Guaranies,Paraguay,United States
150,2,1949,26174,1000,Miles De Guaranies,Paraguay,United States
150,20,1921,0,1,Valor De Tarifa,Paraguay,Canada
150,20,1922,0,1,Valor De Tarifa,Paraguay,Canada
150,20,1923,0,1,Valor De Tarifa,Paraguay,Canada
150,20,1924,3498,1,,Paraguay,Canada
150,20,1925,0,1000,Valor Real En Oro Sellado,Paraguay,Canada
150,20,1926,64479,1,Valor Real En Oro Sellado,Paraguay,Canada
150,20,1927,91925,1,Valor Real En Oro Sellado,Paraguay,Canada
150,20,1928,129147,1,Valor Real En Oro Sellado,Paraguay,Canada
150,20,1929,0,1,Valor Real En Oro Sellado,Paraguay,Canada
150,20,1930,110482,1,Valor Real En Oro Sellado,Paraguay,Canada
150,20,1931,67341,1,Valor Real En Oro Sellado,Paraguay,Canada
150,20,1932,9825,1,Valor Real En Oro Sellado,Paraguay,Canada
150,20,1933,2142,1,Valor Real En Oro Sellado,Paraguay,Canada
150,20,1934,4517,1,Valor Real En Oro Sellado,Paraguay,Canada
150,20,1935,14124,1,Valor Real En Oro Sellado,Paraguay,Canada
150,20,1936,7563,1,Valor Real En Oro Sellado,Paraguay,Canada
150,20,1937,12469,1,Valor Real En Oro Sellado,Paraguay,Canada
150,20,1938,5511,1,Valor Real En Oro Sellado,Paraguay,Canada
150,20,1939,16865,1,Valor Real En Oro Sellado,Paraguay,Canada
150,20,1940,35232,1,Oro Sellado,Paraguay,Canada
150,20,1941,28903,1,Oro Sellado,Paraguay,Canada
150,20,1942,26731,1,Oro Sellado,Paraguay,Canada
150,20,1943,7498.94,1,Guaranies,Paraguay,Canada
150,20,1944,90069.87,1,Guaranies,Paraguay,Canada
150,20,1945,95205.00999999999,1,Guaranies,Paraguay,Canada
150,20,1946,105678.29,1,Guaranies,Paraguay,Canada
150,20,1947,124332.63,1,Guaranies,Paraguay,Canada
150,20,1948,442,1000,Miles De Guaranies,Paraguay,Canada
150,20,1949,332,1000,Miles De Guaranies,Paraguay,Canada
150,30,1921,0,1,Valor De Tarifa,Paraguay,Bermuda
150,30,1922,0,1,Valor De Tarifa,Paraguay,Bermuda
150,30,1923,0,1,Valor De Tarifa,Paraguay,Bermuda
150,30,1924,0,1,,Paraguay,Bermuda
150,30,1925,0,1000,Valor Real En Oro Sellado,Paraguay,Bermuda
150,30,1926,0,1,Valor Real En Oro Sellado,Paraguay,Bermuda
150,30,1927,0,1,Valor Real En Oro Sellado,Paraguay,Bermuda
150,30,1928,195,1,Valor Real En Oro Sellado,Paraguay,Bermuda
150,30,1929,0,1,Valor Real En Oro Sellado,Paraguay,Bermuda
150,30,1930,0,1,Valor Real En Oro Sellado,Paraguay,Bermuda
150,30,1931,0,1,Valor Real En Oro Sellado,Paraguay,Bermuda
150,30,1932,0,1,Valor Real En Oro Sellado,Paraguay,Bermuda
150,30,1933,0,1,Valor Real En Oro Sellado,Paraguay,Bermuda
150,30,1934,0,1,Valor Real En Oro Sellado,Paraguay,Bermuda
150,30,1935,0,1,Valor Real En Oro Sellado,Paraguay,Bermuda
150,30,1936,0,1,Valor Real En Oro Sellado,Paraguay,Bermuda
150,30,1937,0,1,Valor Real En Oro Sellado,Paraguay,Bermuda
150,30,1938,0,1,Valor Real En Oro Sellado,Paraguay,Bermuda
150,30,1939,0,1,Valor Real En Oro Sellado,Paraguay,Bermuda
150,30,1940,0,1,Oro Sellado,Paraguay,Bermuda
150,30,1941,0,1,Oro Sellado,Paraguay,Bermuda
150,30,1942,0,1,Oro Sellado,Paraguay,Bermuda
150,30,1943,0,1,Guaranies,Paraguay,Bermuda
150,30,1944,0,1,Guaranies,Paraguay,Bermuda
150,30,1945,0,1,Guaranies,Paraguay,Bermuda
150,30,1946,0,1,Guaranies,Paraguay,Bermuda
150,30,1947,0,1,Guaranies,Paraguay,Bermuda
150,30,1948,0,1000,Miles De Guaranies,Paraguay,Bermuda
150,30,1949,0,1000,Miles De Guaranies,Paraguay,Bermuda
150,40,1921,4848,1,Valor De Tarifa,Paraguay,Cuba
150,40,1922,2143,1,Valor De Tarifa,Paraguay,Cuba
150,40,1923,0,1,Valor De Tarifa,Paraguay,Cuba
150,40,1924,8701,1,,Paraguay,Cuba
150,40,1925,0,1000,Valor Real En Oro Sellado,Paraguay,Cuba
150,40,1926,8217,1,Valor Real En Oro Sellado,Paraguay,Cuba
150,40,1927,9678,1,Valor Real En Oro Sellado,Paraguay,Cuba
150,40,1928,12576,1,Valor Real En Oro Sellado,Paraguay,Cuba
150,40,1929,9876,1,Valor Real En Oro Sellado,Paraguay,Cuba
150,40,1930,8905,1,Valor Real En Oro Sellado,Paraguay,Cuba
150,40,1931,3001,1,Valor Real En Oro Sellado,Paraguay,Cuba
150,40,1932,6544,1,Valor Real En Oro Sellado,Paraguay,Cuba
150,40,1933,2078,1,Valor Real En Oro Sellado,Paraguay,Cuba
150,40,1934,748,1,Valor Real En Oro Sellado,Paraguay,Cuba
150,40,1935,3828,1,Valor Real En Oro Sellado,Paraguay,Cuba
150,40,1936,2008,1,Valor Real En Oro Sellado,Paraguay,Cuba
150,40,1937,920,1,Valor Real En Oro Sellado,Paraguay,Cuba
150,40,1938,1079,1,Valor Real En Oro Sellado,Paraguay,Cuba
150,40,1939,2264,1,Valor Real En Oro Sellado,Paraguay,Cuba
150,40,1940,532,1,Oro Sellado,Paraguay,Cuba
150,40,1941,909,1,Oro Sellado,Paraguay,Cuba
150,40,1942,324,1,Oro Sellado,Paraguay,Cuba
150,40,1943,2.62,1,Guaranies,Paraguay,Cuba
150,40,1944,186.43,1,Guaranies,Paraguay,Cuba
150,40,1945,12431.38,1,Guaranies,Paraguay,Cuba
150,40,1946,395,1,Guaranies,Paraguay,Cuba
150,40,1947,4316.2,1,Guaranies,Paraguay,Cuba
150,40,1948,0,1000,Miles De Guaranies,Paraguay,Cuba
150,40,1949,0,1000,Miles De Guaranies,Paraguay,Cuba
150,41,1921,0,1,Valor De Tarifa,Paraguay,Haiti
150,41,1922,0,1,Valor De Tarifa,Paraguay,Haiti
150,41,1923,0,1,Valor De Tarifa,Paraguay,Haiti
150,41,1924,0,1,,Paraguay,Haiti
150,41,1925,0,1000,Valor Real En Oro Sellado,Paraguay,Haiti
150,41,1926,0,1,Valor Real En Oro Sellado,Paraguay,Haiti
150,41,1927,0,1,Valor Real En Oro Sellado,Paraguay,Haiti
150,41,1928,0,1,Valor Real En Oro Sellado,Paraguay,Haiti
150,41,1929,0,1,Valor Real En Oro Sellado,Paraguay,Haiti
150,41,1930,0,1,Valor Real En Oro Sellado,Paraguay,Haiti
150,41,1931,0,1,Valor Real En Oro Sellado,Paraguay,Haiti
150,41,1932,0,1,Valor Real En Oro Sellado,Paraguay,Haiti
150,41,1933,0,1,Valor Real En Oro Sellado,Paraguay,Haiti
150,41,1934,0,1,Valor Real En Oro Sellado,Paraguay,Haiti
150,41,1935,968,1,Valor Real En Oro Sellado,Paraguay,Haiti
150,41,1936,0,1,Valor Real En Oro Sellado,Paraguay,Haiti
150,41,1937,0,1,Valor Real En Oro Sellado,Paraguay,Haiti
150,41,1938,0,1,Valor Real En Oro Sellado,Paraguay,Haiti
150,41,1939,0,1,Valor Real En Oro Sellado,Paraguay,Haiti
150,41,1940,0,1,Oro Sellado,Paraguay,Haiti
150,41,1941,0,1,Oro Sellado,Paraguay,Haiti
150,41,1942,0,1,Oro Sellado,Paraguay,Haiti
150,41,1943,0,1,Guaranies,Paraguay,Haiti
150,41,1944,0,1,Guaranies,Paraguay,Haiti
150,41,1945,0,1,Guaranies,Paraguay,Haiti
150,41,1946,0,1,Guaranies,Paraguay,Haiti
150,41,1947,0,1,Guaranies,Paraguay,Haiti
150,41,1948,0,1000,Miles De Guaranies,Paraguay,Haiti
150,41,1949,0,1000,Miles De Guaranies,Paraguay,Haiti
150,42,1921,0,1,Valor De Tarifa,Paraguay,Dominican Republic
150,42,1922,0,1,Valor De Tarifa,Paraguay,Dominican Republic
150,42,1923,0,1,Valor De Tarifa,Paraguay,Dominican Republic
150,42,1924,0,1,,Paraguay,Dominican Republic
150,42,1925,0,1000,Valor Real En Oro Sellado,Paraguay,Dominican Republic
150,42,1926,0,1,Valor Real En Oro Sellado,Paraguay,Dominican Republic
150,42,1927,0,1,Valor Real En Oro Sellado,Paraguay,Dominican Republic
150,42,1928,0,1,Valor Real En Oro Sellado,Paraguay,Dominican Republic
150,42,1929,0,1,Valor Real En Oro Sellado,Paraguay,Dominican Republic
150,42,1930,0,1,Valor Real En Oro Sellado,Paraguay,Dominican Republic
150,42,1931,0,1,Valor Real En Oro Sellado,Paraguay,Dominican Republic
150,42,1932,0,1,Valor Real En Oro Sellado,Paraguay,Dominican Republic
150,42,1933,0,1,Valor Real En Oro Sellado,Paraguay,Dominican Republic
150,42,1934,0,1,Valor Real En Oro Sellado,Paraguay,Dominican Republic
150,42,1935,0,1,Valor Real En Oro Sellado,Paraguay,Dominican Republic
150,42,1936,0,1,Valor Real En Oro Sellado,Paraguay,Dominican Republic
150,42,1937,0,1,Valor Real En Oro Sellado,Paraguay,Dominican Republic
150,42,1938,0,1,Valor Real En Oro Sellado,Paraguay,Dominican Republic
150,42,1939,0,1,Valor Real En Oro Sellado,Paraguay,Dominican Republic
150,42,1940,0,1,Oro Sellado,Paraguay,Dominican Republic
150,42,1941,0,1,Oro Sellado,Paraguay,Dominican Republic
150,42,1942,0,1,Oro Sellado,Paraguay,Dominican Republic
150,42,1943,0,1,Guaranies,Paraguay,Dominican Republic
150,42,1944,6.5,1,Guaranies,Paraguay,Dominican Republic
150,42,1945,0,1,Guaranies,Paraguay,Dominican Republic
150,42,1946,0,1,Guaranies,Paraguay,Dominican Republic
150,42,1947,0,1,Guaranies,Paraguay,Dominican Republic
150,42,1948,0,1000,Miles De Guaranies,Paraguay,Dominican Republic
150,42,1949,0,1000,Miles De Guaranies,Paraguay,Dominican Republic
150,51,1921,0,1,Valor De Tarifa,Paraguay,Jamaica
150,51,1922,0,1,Valor De Tarifa,Paraguay,Jamaica
150,51,1923,0,1,Valor De Tarifa,Paraguay,Jamaica
150,51,1924,0,1,,Paraguay,Jamaica
150,51,1925,0,1000,Valor Real En Oro Sellado,Paraguay,Jamaica
150,51,1926,0,1,Valor Real En Oro Sellado,Paraguay,Jamaica
150,51,1927,0,1,Valor Real En Oro Sellado,Paraguay,Jamaica
150,51,1928,339,1,Valor Real En Oro Sellado,Paraguay,Jamaica
150,51,1929,0,1,Valor Real En Oro Sellado,Paraguay,Jamaica
150,51,1930,0,1,Valor Real En Oro Sellado,Paraguay,Jamaica
150,51,1931,0,1,Valor Real En Oro Sellado,Paraguay,Jamaica
150,51,1932,0,1,Valor Real En Oro Sellado,Paraguay,Jamaica
150,51,1933,0,1,Valor Real En Oro Sellado,Paraguay,Jamaica
150,51,1934,0,1,Valor Real En Oro Sellado,Paraguay,Jamaica
150,51,1935,0,1,Valor Real En Oro Sellado,Paraguay,Jamaica
150,51,1936,0,1,Valor Real En Oro Sellado,Paraguay,Jamaica
150,51,1937,0,1,Valor Real En Oro Sellado,Paraguay,Jamaica
150,51,1938,0,1,Valor Real En Oro Sellado,Paraguay,Jamaica
150,51,1939,0,1,Valor Real En Oro Sellado,Paraguay,Jamaica
150,51,1940,0,1,Oro Sellado,Paraguay,Jamaica
150,51,1941,0,1,Oro Sellado,Paraguay,Jamaica
150,51,1942,0,1,Oro Sellado,Paraguay,Jamaica
150,51,1943,0,1,Guaranies,Paraguay,Jamaica
