ccode1,ccode2,year,imp,places,currency,country1,country2
135,2,1900,297437,,,Peru,United States
135,2,1901,446618,,,Peru,United States
135,2,1902,591564,,,Peru,United States
135,2,1903,576902,,,Peru,United States
135,2,1904,759149,,,Peru,United States
135,2,1905,725413,,,Peru,United States
135,2,1906,1025976,,,Peru,United States
135,2,1907,1184668,,,Peru,United States
135,2,1908,1413195.963,,,Peru,United States
135,2,1909,846127.733,,,Peru,United States
135,2,1910,922677.7,,,Peru,United States
135,2,1911,1248942.925,,,Peru,United States
135,2,1912,1194889.46,,,Peru,United States
135,2,1913,1755251.703,,,Peru,United States
135,2,1914,1570723.506,,,Peru,United States
135,2,1915,1488264.015,,,Peru,United States
135,2,1916,5116582.645,,,Peru,United States
135,2,1917,8792710.329,,,Peru,United States
135,2,1918,5268668,,,Peru,United States
135,2,1919,7549655.38,1,,Peru,United States
135,2,1920,10168937.512,1,Valor Lp.,Peru,United States
135,2,1921,8246514,1,Valor Lp.,Peru,United States
135,2,1922,4212971,1,Valor Lp.,Peru,United States
135,2,1923,5726988,1,Valor Lp.,Peru,United States
135,2,1924,7047041,1,Valor Lp.,Peru,United States
135,2,1925,7063248,1,Valor Lp.,Peru,United States
135,2,1926,8807113,1,Valor Lp.,Peru,United States
135,2,1927,7901399,1,Valor Lp.,Peru,United States
135,2,1928,7055598,1,Valor Lp.,Peru,United States
135,2,1929,7941554,1,Valor Lp.,Peru,United States
135,2,1930,52236198,1,S/O,Peru,United States
135,2,1931,41486431,1,S/O,Peru,United States
135,2,1932,21917557,1,S/O,Peru,United States
135,2,1933,29079757,1,S/O,Peru,United States
135,2,1934,46060625,1,S/O,Peru,United States
135,2,1935,59582470,1,S/O,Peru,United States
135,2,1936,63901121,1,S/O,Peru,United States
135,2,1937,83397470,1,S/O,Peru,United States
135,2,1938,89227426,1,S/O,Peru,United States
135,2,1939,105067360,1,S/O,Peru,United States
135,2,1940,169312114,1,S/O,Peru,United States
135,2,1941,223748471,1,S/O,Peru,United States
135,2,1942,189263355,1,S/O,Peru,United States
135,2,1943,253558456,1,S/O,Peru,United States
135,2,1944,277226243,1,S/O,Peru,United States
135,2,1945,310055954,1,S/O,Peru,United States
135,2,1946,450513037,1,S/O,Peru,United States
135,2,1947,636449660,1,S/O,Peru,United States
135,2,1948,590655957,1,S/O,Peru,United States
135,2,1949,1697247680,1,S/O,Peru,United States
135,3,1919,0,1,,Peru,Alaska
135,3,1920,0,1,Valor Lp.,Peru,Alaska
135,3,1921,0,1,Valor Lp.,Peru,Alaska
135,3,1922,0,1,Valor Lp.,Peru,Alaska
135,3,1923,0,1,Valor Lp.,Peru,Alaska
135,3,1924,0,1,Valor Lp.,Peru,Alaska
135,3,1925,0,1,Valor Lp.,Peru,Alaska
135,3,1926,0,1,Valor Lp.,Peru,Alaska
135,3,1927,0,1,Valor Lp.,Peru,Alaska
135,3,1928,0,1,Valor Lp.,Peru,Alaska
135,3,1929,0,1,Valor Lp.,Peru,Alaska
135,3,1930,0,1,S/O,Peru,Alaska
135,3,1931,1879,1,S/O,Peru,Alaska
135,3,1932,0,1,S/O,Peru,Alaska
