ccode1,ccode2,year,imp,places,currency,country1,country2
290,2,1922,131563690,1,Zlotys,Poland,United States
290,2,1923,171323137,1,Zlotys,Poland,United States
290,2,1924,183949,1000,Milliers De Zlotys,Poland,United States
290,2,1925,230190,1000,Milliers De Zlotys,Poland,United States
290,2,1926,267896,1000,,Poland,United States
290,2,1927,372899,1000,,Poland,United States
290,2,1928,466646,1000,Milliers De Zlotys,Poland,United States
290,2,1929,383651,1000,Milliers De Zlotys,Poland,United States
290,2,1930,270819,1000,Milliers De Zlotys,Poland,United States
290,2,1931,154885,1000,Milliers De Zlotys,Poland,United States
290,2,1932,103951,1000,Milliers De Zlotys,Poland,United States
290,2,1933,109863,1000,Milliers De Zlotys,Poland,United States
290,2,1934,121085,1000,Milliers De Zlotys,Poland,United States
290,2,1935,123083,1000,Milliers De Zlotys,Poland,United States
290,2,1936,119298,1000,Milliers De Zlotys,Poland,United States
290,2,1937,149145,1000,Milliers De Zlotys,Poland,United States
290,2,1938,158422,1000,Milliers De Zlotys,Poland,United States
290,20,1922,0,1,Zlotys,Poland,Canada
290,20,1923,0,1,Zlotys,Poland,Canada
290,20,1924,608,1000,Milliers De Zlotys,Poland,Canada
290,20,1925,4589,1000,Milliers De Zlotys,Poland,Canada
290,20,1926,203,1000,,Poland,Canada
290,20,1927,13914,1000,,Poland,Canada
290,20,1928,9438,1000,Milliers De Zlotys,Poland,Canada
290,20,1929,2206,1000,Milliers De Zlotys,Poland,Canada
290,20,1930,1297,1000,Milliers De Zlotys,Poland,Canada
290,20,1931,873,1000,Milliers De Zlotys,Poland,Canada
290,20,1932,504,1000,Milliers De Zlotys,Poland,Canada
290,20,1933,221,1000,Milliers De Zlotys,Poland,Canada
290,20,1934,208,1000,Milliers De Zlotys,Poland,Canada
290,20,1935,1435,1000,Milliers De Zlotys,Poland,Canada
290,20,1936,2198,1000,Milliers De Zlotys,Poland,Canada
290,20,1937,6316,1000,Milliers De Zlotys,Poland,Canada
290,20,1938,5885,1000,Milliers De Zlotys,Poland,Canada
290,40,1922,0,1,Zlotys,Poland,Cuba
290,40,1923,0,1,Zlotys,Poland,Cuba
290,40,1924,143,1000,Milliers De Zlotys,Poland,Cuba
290,40,1925,130,1000,Milliers De Zlotys,Poland,Cuba
290,40,1926,644,1000,,Poland,Cuba
290,40,1927,1991,1000,,Poland,Cuba
290,40,1928,1347,1000,Milliers De Zlotys,Poland,Cuba
290,40,1929,2222,1000,Milliers De Zlotys,Poland,Cuba
290,40,1930,2202,1000,Milliers De Zlotys,Poland,Cuba
290,40,1931,0,1000,Milliers De Zlotys,Poland,Cuba
290,40,1932,0,1000,Milliers De Zlotys,Poland,Cuba
290,40,1933,0,1000,Milliers De Zlotys,Poland,Cuba
290,40,1934,0,1000,Milliers De Zlotys,Poland,Cuba
290,40,1935,427,1000,Milliers De Zlotys,Poland,Cuba
