ccode1,ccode2,year,imp,places,currency,country1,country2
235,2,1913,9892000,1,Escudos,Portugal,United States
235,2,1914,8982200,1,Escudos,Portugal,United States
235,2,1915,14861800,1,Escudos,Portugal,United States
235,2,1916,27155700,1,Escudos,Portugal,United States
235,2,1917,39847600,1,Escudos,Portugal,United States
235,2,1918,61565500,1,Escudos,Portugal,United States
235,2,1919,46214400,1,Escudos,Portugal,United States
235,2,1920,118460200,1,Escudos,Portugal,United States
235,2,1921,163737.7,1000,Contos,Portugal,United States
235,2,1922,116244.3,1000,Contos,Portugal,United States
235,2,1923,256585.1,1000,Contos,Portugal,United States
235,2,1924,302540.6,1000,Contos,Portugal,United States
235,2,1925,227437.8,1000,Contos,Portugal,United States
235,2,1926,317797.6,1000,Contos,Portugal,United States
235,2,1927,326264.1,1000,Contos,Portugal,United States
235,2,1928,297704,1000,Contos,Portugal,United States
235,2,1929,339776.4,1000,Contos,Portugal,United States
235,2,1930,324299217,1,Escudos,Portugal,United States
235,2,1931,226018991,1,Escudos,Portugal,United States
235,2,1932,266578165,1,Escudos,Portugal,United States
235,2,1933,200179609,1,Escudos,Portugal,United States
235,2,1934,192766031,1,Escudos,Portugal,United States
235,2,1935,12,1000000,Us $,Portugal,United States
235,2,1936,228637935,1,Escudos,Portugal,United States
235,2,1937,247934109,1,Escudos,Portugal,United States
235,2,1938,266264709,1,Escudos,Portugal,United States
235,2,1939,219487534,1,Escudos,Portugal,United States
235,2,1940,623437500,1,Escudos,Portugal,United States
235,2,1941,628886,1000,Contos,Portugal,United States
235,2,1942,301818,1000,Contos,Portugal,United States
235,2,1943,464239,1000,Contos,Portugal,United States
235,2,1944,476282,1000,Contos,Portugal,United States
235,2,1945,777703,1000,1000 Escudos,Portugal,United States
235,2,1946,1714491,1000,1000 Escudos,Portugal,United States
235,2,1947,2992745,1000,1000 Escudos,Portugal,United States
235,2,1948,2351217,1000,1000 Escudos,Portugal,United States
235,2,1949,1614511,1000,1000 Escudos,Portugal,United States
235,4,1913,0,1,Escudos,Portugal,Hawaii
235,4,1914,0,1,Escudos,Portugal,Hawaii
235,4,1915,0,1,Escudos,Portugal,Hawaii
235,4,1916,0,1,Escudos,Portugal,Hawaii
235,4,1917,0,1,Escudos,Portugal,Hawaii
235,4,1918,0,1,Escudos,Portugal,Hawaii
235,4,1919,0,1,Escudos,Portugal,Hawaii
235,4,1920,0,1,Escudos,Portugal,Hawaii
235,4,1921,0,1000,Contos,Portugal,Hawaii
235,4,1922,0,1000,Contos,Portugal,Hawaii
235,4,1923,0,1000,Contos,Portugal,Hawaii
235,4,1924,0,1000,Contos,Portugal,Hawaii
235,4,1925,0,1000,Contos,Portugal,Hawaii
235,4,1926,0,1000,Contos,Portugal,Hawaii
235,4,1927,0,1000,Contos,Portugal,Hawaii
235,4,1928,0,1000,Contos,Portugal,Hawaii
235,4,1929,0,1000,Contos,Portugal,Hawaii
235,4,1930,0,1,Escudos,Portugal,Hawaii
235,4,1931,0,1,Escudos,Portugal,Hawaii
235,4,1932,0,1,Escudos,Portugal,Hawaii
235,4,1933,0,1,Escudos,Portugal,Hawaii
235,4,1934,0,1,Escudos,Portugal,Hawaii
235,4,1935,0,1000000,Us $,Portugal,Hawaii
235,4,1936,0,1,Escudos,Portugal,Hawaii
