ccode1,ccode2,year,imp,places,currency,country1,country2
360,2,1910,3630.264,1000,Mil De Lei,Romania,United States
360,2,1911,12886.617,1000,Mil De Lei,Romania,United States
360,2,1912,12873.949,1000,Mil De Lei,Romania,United States
360,2,1913,31937.367,1000,Mil De Lei,Romania,United States
360,2,1914,16655.731,1000,Mil De Lei,Romania,United States
360,2,1915,1171.682,1000,Mil De Lei,Romania,United States
360,2,1919,556713,1000,Mil De Lei,Romania,United States
360,2,1920,388178,1000,Mil De Lei,Romania,United States
360,2,1921,460872,1000,Mil De Lei,Romania,United States
360,2,1922,410164,1000,Mil De Lei,Romania,United States
360,2,1923,316579,1000,,Romania,United States
360,2,1924,231370,1000,,Romania,United States
360,2,1925,563733,1000,,Romania,United States
360,2,1926,961257,1000,,Romania,United States
360,2,1927,985170,1000,,Romania,United States
360,2,1928,1596950,1000,,Romania,United States
360,2,1929,1800782,1000,,Romania,United States
360,2,1930,1255542,1000,,Romania,United States
360,2,1931,585082,1000,,Romania,United States
360,2,1932,396375,1000,,Romania,United States
360,2,1933,356513,1000,,Romania,United States
360,2,1934,551665,1000,,Romania,United States
360,2,1935,326287,1000,,Romania,United States
360,2,1936,450172,1000,,Romania,United States
360,2,1937,796024,1000,,Romania,United States
360,2,1938,910626,1000,,Romania,United States
360,20,1910,0,1000,Mil De Lei,Romania,Canada
360,20,1911,0,1000,Mil De Lei,Romania,Canada
360,20,1912,0,1000,Mil De Lei,Romania,Canada
360,20,1913,0,1000,Mil De Lei,Romania,Canada
360,20,1914,0,1000,Mil De Lei,Romania,Canada
360,20,1915,0,1000,Mil De Lei,Romania,Canada
360,20,1919,0,1000,Mil De Lei,Romania,Canada
360,20,1920,22235,1000,Mil De Lei,Romania,Canada
360,20,1921,1208,1000,Mil De Lei,Romania,Canada
360,20,1922,53542,1000,Mil De Lei,Romania,Canada
360,20,1923,161,1000,,Romania,Canada
360,20,1924,342,1000,,Romania,Canada
360,20,1925,453,1000,,Romania,Canada
360,20,1926,0,1000,,Romania,Canada
360,20,1927,2741,1000,,Romania,Canada
360,20,1928,0,1000,,Romania,Canada
360,20,1929,0,1000,,Romania,Canada
