ccode1,ccode2,year,imp,places,currency,country1,country2
515,2,1927,194001,1,Francs,Ruanda-Urundi,United States
515,2,1928,879446,1,Francs,Ruanda-Urundi,United States
515,2,1929,2685452,1,Francs,Ruanda-Urundi,United States
515,2,1930,4775273,1,Francs,Ruanda-Urundi,United States
515,2,1931,2227905,1,Francs,Ruanda-Urundi,United States
515,2,1932,1230149,1,Francs,Ruanda-Urundi,United States
515,2,1933,794546,1,Francs,Ruanda-Urundi,United States
515,2,1934,1983223,1,Francs,Ruanda-Urundi,United States
515,2,1935,4408637,1,Francs,Ruanda-Urundi,United States
515,2,1936,3329841,1,Francs,Ruanda-Urundi,United States
515,2,1937,5255434,1,Francs,Ruanda-Urundi,United States
515,2,1938,6371127,1,Francs,Ruanda-Urundi,United States
515,2,1939,4440174,1,Francs,Ruanda-Urundi,United States
515,2,1940,4700714,1,Francs,Ruanda-Urundi,United States
515,2,1941,13294304,1,Francs,Ruanda-Urundi,United States
515,2,1942,16730462,1,Francs,Ruanda-Urundi,United States
515,2,1943,27579,1000,1000 Fr,Ruanda-Urundi,United States
515,2,1944,30127,1000,1000 Fr,Ruanda-Urundi,United States
515,2,1945,26776,1000,1000 Fr,Ruanda-Urundi,United States
515,20,1927,69006,1,Francs,Ruanda-Urundi,Canada
515,20,1928,118132,1,Francs,Ruanda-Urundi,Canada
515,20,1929,102231,1,Francs,Ruanda-Urundi,Canada
515,20,1930,35130,1,Francs,Ruanda-Urundi,Canada
515,20,1931,659117,1,Francs,Ruanda-Urundi,Canada
515,20,1932,4735,1,Francs,Ruanda-Urundi,Canada
515,20,1933,4125,1,Francs,Ruanda-Urundi,Canada
515,20,1934,48970,1,Francs,Ruanda-Urundi,Canada
515,20,1935,108579,1,Francs,Ruanda-Urundi,Canada
515,20,1936,113700,1,Francs,Ruanda-Urundi,Canada
515,20,1937,48340,1,Francs,Ruanda-Urundi,Canada
515,20,1938,6420,1,Francs,Ruanda-Urundi,Canada
515,20,1939,9470,1,Francs,Ruanda-Urundi,Canada
515,20,1940,30566,1,Francs,Ruanda-Urundi,Canada
515,20,1941,68910,1,Francs,Ruanda-Urundi,Canada
515,20,1942,268757,1,Francs,Ruanda-Urundi,Canada
515,20,1943,0,1000,1000 Fr,Ruanda-Urundi,Canada
515,20,1944,0,1000,1000 Fr,Ruanda-Urundi,Canada
515,20,1945,0,1000,1000 Fr,Ruanda-Urundi,Canada
515,40,1927,0,1,Francs,Ruanda-Urundi,Cuba
