ccode1,ccode2,year,imp,places,currency,country1,country2
92,2,1914,2027731.84,1,Pesos Oro,El Salvador,United States
92,2,1915,2474280.88,1,Pesos Oro,El Salvador,United States
92,2,1918,3455392.69,1,Oro,El Salvador,United States
92,2,1920,7783180.05,1,Dolares,El Salvador,United States
92,2,1921,5901244.42,1,Oro,El Salvador,United States
92,2,1922,4878137.27,1,Dolares,El Salvador,United States
92,2,1923,5352983.85,1,Dolares,El Salvador,United States
92,2,1924,13527977.56,1,Colones,El Salvador,United States
92,2,1925,26180388.68,1,Colones,El Salvador,United States
92,2,1927,14979664.71,1,,El Salvador,United States
92,2,1928,19888881,1,,El Salvador,United States
92,2,1929,18101855,1,,El Salvador,United States
92,2,1930,11599216,1,,El Salvador,United States
92,2,1931,7399261,1,,El Salvador,United States
92,2,1932,6243535,1,,El Salvador,United States
92,2,1933,7088574,1,,El Salvador,United States
92,2,1934,9594208,1,Colones,El Salvador,United States
92,2,1935,8710143,1,Colones,El Salvador,United States
92,2,1936,8138961,1,Colones,El Salvador,United States
92,2,1937,10521078,1,Colones,El Salvador,United States
92,2,1938,10696999,1,Colones,El Salvador,United States
92,2,1939,11719618,1,Colones,El Salvador,United States
92,2,1940,13670833,1,Colones,El Salvador,United States
92,2,1941,16181870,1,Colones,El Salvador,United States
92,2,1942,14339777,1,Colones,El Salvador,United States
92,2,1943,20170365,1,Colones,El Salvador,United States
92,2,1944,20974685,1,Colones,El Salvador,United States
92,2,1945,22897069,1,Colones,El Salvador,United States
92,2,1946,37374949,1,Colones,El Salvador,United States
92,2,1947,72263981,1,Colones,El Salvador,United States
92,2,1948,76217882,1,Colones,El Salvador,United States
92,2,1949,73349670,1,Colones,El Salvador,United States
92,6,1914,0,1,Pesos Oro,El Salvador,Puerto Rico
92,6,1915,0,1,Pesos Oro,El Salvador,Puerto Rico
92,6,1918,0,1,Oro,El Salvador,Puerto Rico
92,6,1920,0,1,Dolares,El Salvador,Puerto Rico
92,6,1921,0,1,Oro,El Salvador,Puerto Rico
92,6,1922,0,1,Dolares,El Salvador,Puerto Rico
92,6,1923,0,1,Dolares,El Salvador,Puerto Rico
92,6,1924,0,1,Colones,El Salvador,Puerto Rico
92,6,1925,0,1,Colones,El Salvador,Puerto Rico
92,6,1927,0,1,,El Salvador,Puerto Rico
92,6,1928,0,1,,El Salvador,Puerto Rico
92,6,1929,0,1,,El Salvador,Puerto Rico
92,6,1930,0,1,,El Salvador,Puerto Rico
92,6,1931,0,1,,El Salvador,Puerto Rico
92,6,1932,0,1,,El Salvador,Puerto Rico
92,6,1933,0,1,,El Salvador,Puerto Rico
92,6,1934,0,1,Colones,El Salvador,Puerto Rico
