ccode1,ccode2,year,imp,places,currency,country1,country2
42,2,1918,17037041,1,$,Dominican Republic,United States
42,2,1919,18113304,1,$,Dominican Republic,United States
42,2,1920,35848791,1,$,Dominican Republic,United States
42,2,1921,20645484,1,$,Dominican Republic,United States
42,2,1922,10318906,1,$,Dominican Republic,United States
42,2,1923,13041412,1,$,Dominican Republic,United States
42,2,1924,14616022,1,$,Dominican Republic,United States
42,2,1925,16502243,1,$,Dominican Republic,United States
42,2,1926,14377932,1,$,Dominican Republic,United States
42,2,1927,17772254,1,$,Dominican Republic,United States
42,2,1928,16374110,1,$,Dominican Republic,United States
42,2,1929,13457238,1,$,Dominican Republic,United States
42,2,1930,8545988,1,$,Dominican Republic,United States
42,2,1931,5882655,1,$,Dominican Republic,United States
42,2,1932,4595541,1,$,Dominican Republic,United States
42,2,1933,5384858,1,$,Dominican Republic,United States
42,2,1934,6016165,1,$,Dominican Republic,United States
42,2,1935,4742192,1,$,Dominican Republic,United States
42,2,1936,4765201,1,$,Dominican Republic,United States
42,2,1937,6115157,1,$,Dominican Republic,United States
42,2,1938,6072401,1,,Dominican Republic,United States
42,2,1939,6861603,1,,Dominican Republic,United States
42,2,1940,6976653,1,$,Dominican Republic,United States
42,2,1941,8842689,1,,Dominican Republic,United States
42,2,1942,8397323,1,,Dominican Republic,United States
42,2,1943,9986235,1,,Dominican Republic,United States
42,2,1944,13170707,1,$,Dominican Republic,United States
42,2,1945,14482521,1,$,Dominican Republic,United States
42,2,1946,21334068,1,$,Dominican Republic,United States
42,2,1947,41827884,1,Rd$,Dominican Republic,United States
42,2,1948,51367320,1,Rd$,Dominican Republic,United States
42,2,1949,34421308,1,Rd$,Dominican Republic,United States
42,3,1918,0,1,$,Dominican Republic,Alaska
42,3,1919,0,1,$,Dominican Republic,Alaska
42,3,1920,0,1,$,Dominican Republic,Alaska
42,3,1921,0,1,$,Dominican Republic,Alaska
42,3,1922,0,1,$,Dominican Republic,Alaska
42,3,1923,0,1,$,Dominican Republic,Alaska
42,3,1924,0,1,$,Dominican Republic,Alaska
42,3,1925,0,1,$,Dominican Republic,Alaska
42,3,1926,0,1,$,Dominican Republic,Alaska
42,3,1927,0,1,$,Dominican Republic,Alaska
42,3,1928,116,1,$,Dominican Republic,Alaska
42,3,1929,33,1,$,Dominican Republic,Alaska
42,3,1930,128,1,$,Dominican Republic,Alaska
42,3,1931,0,1,$,Dominican Republic,Alaska
42,3,1932,0,1,$,Dominican Republic,Alaska
42,3,1933,0,1,$,Dominican Republic,Alaska
42,3,1934,0,1,$,Dominican Republic,Alaska
42,3,1935,0,1,$,Dominican Republic,Alaska
42,3,1936,0,1,$,Dominican Republic,Alaska
42,3,1937,0,1,$,Dominican Republic,Alaska
42,3,1938,2833,1,,Dominican Republic,Alaska
42,3,1939,2027,1,,Dominican Republic,Alaska
42,3,1940,366,1,$,Dominican Republic,Alaska
42,3,1941,259,1,,Dominican Republic,Alaska
42,3,1942,0,1,,Dominican Republic,Alaska
42,3,1943,0,1,,Dominican Republic,Alaska
42,3,1944,0,1,$,Dominican Republic,Alaska
42,3,1945,0,1,$,Dominican Republic,Alaska
42,3,1946,0,1,$,Dominican Republic,Alaska
