ccode1,ccode2,year,imp,places,currency,country1,country2
591,2,1930,29336,1,Rs,Seychelles,United States
591,2,1931,1218,1,Rs,Seychelles,United States
591,2,1932,1377,1,Rs,Seychelles,United States
591,2,1933,6224,1,Rs,Seychelles,United States
591,2,1934,2056,1,Rs,Seychelles,United States
591,2,1935,5878,1,Rs,Seychelles,United States
591,2,1936,9707,1,Rs,Seychelles,United States
591,2,1937,17957,1,Rs,Seychelles,United States
591,2,1938,8912,1,Rs,Seychelles,United States
591,20,1930,4253,1,Rs,Seychelles,Canada
591,20,1931,1700,1,Rs,Seychelles,Canada
591,20,1932,1460,1,Rs,Seychelles,Canada
591,20,1933,811,1,Rs,Seychelles,Canada
591,20,1934,1661,1,Rs,Seychelles,Canada
591,20,1935,586,1,Rs,Seychelles,Canada
591,20,1936,9993,1,Rs,Seychelles,Canada
591,20,1937,7779,1,Rs,Seychelles,Canada
591,20,1938,7594,1,Rs,Seychelles,Canada
591,21,1930,0,1,Rs,Seychelles,Newfoundland
591,21,1931,0,1,Rs,Seychelles,Newfoundland
591,21,1932,0,1,Rs,Seychelles,Newfoundland
591,21,1933,0,1,Rs,Seychelles,Newfoundland
591,21,1934,0,1,Rs,Seychelles,Newfoundland
591,21,1935,46,1,Rs,Seychelles,Newfoundland
591,21,1936,0,1,Rs,Seychelles,Newfoundland
591,21,1937,52,1,Rs,Seychelles,Newfoundland
591,21,1938,0,1,Rs,Seychelles,Newfoundland
591,51,1930,70,1,Rs,Seychelles,Jamaica
591,51,1931,0,1,Rs,Seychelles,Jamaica
591,51,1932,0,1,Rs,Seychelles,Jamaica
591,51,1933,0,1,Rs,Seychelles,Jamaica
591,51,1934,0,1,Rs,Seychelles,Jamaica
591,51,1935,0,1,Rs,Seychelles,Jamaica
591,51,1936,0,1,Rs,Seychelles,Jamaica
591,51,1937,0,1,Rs,Seychelles,Jamaica
591,51,1938,0,1,Rs,Seychelles,Jamaica
591,160,1930,0,1,Rs,Seychelles,Argentina
591,160,1931,0,1,Rs,Seychelles,Argentina
591,160,1932,0,1,Rs,Seychelles,Argentina
591,160,1933,436,1,Rs,Seychelles,Argentina
591,160,1934,468,1,Rs,Seychelles,Argentina
591,160,1935,856,1,Rs,Seychelles,Argentina
591,160,1936,1164,1,Rs,Seychelles,Argentina
591,160,1937,1449,1,Rs,Seychelles,Argentina
591,160,1938,1400,1,Rs,Seychelles,Argentina
591,200,1930,530054,1,Rs,Seychelles,United Kingdom
591,200,1931,326107,1,Rs,Seychelles,United Kingdom
591,200,1932,273166,1,Rs,Seychelles,United Kingdom
591,200,1933,256478,1,Rs,Seychelles,United Kingdom
591,200,1934,295301,1,Rs,Seychelles,United Kingdom
591,200,1935,302449,1,Rs,Seychelles,United Kingdom
591,200,1936,438405,1,Rs,Seychelles,United Kingdom
591,200,1937,452607,1,Rs,Seychelles,United Kingdom
591,200,1938,415524,1,Rs,Seychelles,United Kingdom
591,205,1930,0,1,Rs,Seychelles,Ireland
591,205,1931,0,1,Rs,Seychelles,Ireland
591,205,1932,0,1,Rs,Seychelles,Ireland
591,205,1933,0,1,Rs,Seychelles,Ireland
591,205,1934,870,1,Rs,Seychelles,Ireland
591,205,1935,520,1,Rs,Seychelles,Ireland
591,205,1936,422,1,Rs,Seychelles,Ireland
591,205,1937,150,1,Rs,Seychelles,Ireland
591,205,1938,199,1,Rs,Seychelles,Ireland
591,210,1930,7832,1,Rs,Seychelles,Netherlands
591,210,1931,6595,1,Rs,Seychelles,Netherlands
591,210,1932,6035,1,Rs,Seychelles,Netherlands
591,210,1933,1968,1,Rs,Seychelles,Netherlands
591,210,1934,1465,1,Rs,Seychelles,Netherlands
591,210,1935,2779,1,Rs,Seychelles,Netherlands
591,210,1936,3975,1,Rs,Seychelles,Netherlands
591,210,1937,8429,1,Rs,Seychelles,Netherlands
591,210,1938,5176,1,Rs,Seychelles,Netherlands
591,211,1930,3835,1,Rs,Seychelles,Belgium
591,211,1931,2064,1,Rs,Seychelles,Belgium
591,211,1932,5449,1,Rs,Seychelles,Belgium
591,211,1933,3037,1,Rs,Seychelles,Belgium
591,211,1934,2746,1,Rs,Seychelles,Belgium
591,211,1935,6493,1,Rs,Seychelles,Belgium
591,211,1936,3189,1,Rs,Seychelles,Belgium
591,211,1937,2391,1,Rs,Seychelles,Belgium
591,211,1938,4342,1,Rs,Seychelles,Belgium
591,212,1930,0,1,Rs,Seychelles,Luxembourg
591,212,1931,0,1,Rs,Seychelles,Luxembourg
591,212,1932,0,1,Rs,Seychelles,Luxembourg
591,212,1933,0,1,Rs,Seychelles,Luxembourg
591,212,1934,0,1,Rs,Seychelles,Luxembourg
591,212,1935,0,1,Rs,Seychelles,Luxembourg
591,212,1936,0,1,Rs,Seychelles,Luxembourg
591,212,1937,203,1,Rs,Seychelles,Luxembourg
591,212,1938,0,1,Rs,Seychelles,Luxembourg
591,220,1930,127205,1,Rs,Seychelles,France
591,220,1931,85223,1,Rs,Seychelles,France
591,220,1932,60360,1,Rs,Seychelles,France
591,220,1933,38743,1,Rs,Seychelles,France
591,220,1934,44102,1,Rs,Seychelles,France
591,220,1935,35942,1,Rs,Seychelles,France
591,220,1936,41271,1,Rs,Seychelles,France
591,220,1937,48380,1,Rs,Seychelles,France
591,220,1938,40485,1,Rs,Seychelles,France
591,225,1930,4199,1,Rs,Seychelles,Switzerland
591,225,1931,1889,1,Rs,Seychelles,Switzerland
591,225,1932,490,1,Rs,Seychelles,Switzerland
591,225,1933,1904,1,Rs,Seychelles,Switzerland
591,225,1934,4676,1,Rs,Seychelles,Switzerland
591,225,1935,540,1,Rs,Seychelles,Switzerland
591,225,1936,1152,1,Rs,Seychelles,Switzerland
591,225,1937,1541,1,Rs,Seychelles,Switzerland
591,225,1938,568,1,Rs,Seychelles,Switzerland
591,230,1930,28784,1,Rs,Seychelles,Spain
591,230,1931,25960,1,Rs,Seychelles,Spain
591,230,1932,13596,1,Rs,Seychelles,Spain
591,230,1933,11231,1,Rs,Seychelles,Spain
591,230,1934,9308,1,Rs,Seychelles,Spain
591,230,1935,6789,1,Rs,Seychelles,Spain
591,230,1936,8811,1,Rs,Seychelles,Spain
591,230,1937,6202,1,Rs,Seychelles,Spain
591,230,1938,4513,1,Rs,Seychelles,Spain
591,235,1930,1041,1,Rs,Seychelles,Portugal
591,235,1931,350,1,Rs,Seychelles,Portugal
591,235,1932,318,1,Rs,Seychelles,Portugal
591,235,1933,729,1,Rs,Seychelles,Portugal
591,235,1934,370,1,Rs,Seychelles,Portugal
591,235,1935,583,1,Rs,Seychelles,Portugal
591,235,1936,1159,1,Rs,Seychelles,Portugal
591,235,1937,1353,1,Rs,Seychelles,Portugal
591,235,1938,4061,1,Rs,Seychelles,Portugal
591,255,1930,18312,1,Rs,Seychelles,Germany
591,255,1931,14351,1,Rs,Seychelles,Germany
591,255,1932,11979,1,Rs,Seychelles,Germany
591,255,1933,11420,1,Rs,Seychelles,Germany
591,255,1934,10270,1,Rs,Seychelles,Germany
591,255,1935,9558,1,Rs,Seychelles,Germany
591,255,1936,10496,1,Rs,Seychelles,Germany
591,255,1937,16021,1,Rs,Seychelles,Germany
591,255,1938,17849,1,Rs,Seychelles,Germany
591,305,1930,150,1,Rs,Seychelles,Austria
591,305,1931,732,1,Rs,Seychelles,Austria
591,305,1932,0,1,Rs,Seychelles,Austria
591,305,1933,222,1,Rs,Seychelles,Austria
591,305,1934,460,1,Rs,Seychelles,Austria
591,305,1935,417,1,Rs,Seychelles,Austria
591,305,1936,850,1,Rs,Seychelles,Austria
591,305,1937,1121,1,Rs,Seychelles,Austria
591,305,1938,372,1,Rs,Seychelles,Austria
591,315,1930,5157,1,Rs,Seychelles,Czechoslovakia
591,315,1931,3572,1,Rs,Seychelles,Czechoslovakia
591,315,1932,1771,1,Rs,Seychelles,Czechoslovakia
591,315,1933,4018,1,Rs,Seychelles,Czechoslovakia
591,315,1934,884,1,Rs,Seychelles,Czechoslovakia
591,315,1935,1000,1,Rs,Seychelles,Czechoslovakia
591,315,1936,1447,1,Rs,Seychelles,Czechoslovakia
591,315,1937,1498,1,Rs,Seychelles,Czechoslovakia
591,315,1938,1060,1,Rs,Seychelles,Czechoslovakia
591,325,1930,3336,1,Rs,Seychelles,Italy
591,325,1931,3662,1,Rs,Seychelles,Italy
591,325,1932,865,1,Rs,Seychelles,Italy
591,325,1933,2862,1,Rs,Seychelles,Italy
591,325,1934,2735,1,Rs,Seychelles,Italy
591,325,1935,1726,1,Rs,Seychelles,Italy
591,325,1936,335,1,Rs,Seychelles,Italy
591,325,1937,4994,1,Rs,Seychelles,Italy
591,325,1938,1985,1,Rs,Seychelles,Italy
591,345,1930,0,1,Rs,Seychelles,Yugoslavia
591,345,1931,0,1,Rs,Seychelles,Yugoslavia
591,345,1932,0,1,Rs,Seychelles,Yugoslavia
591,345,1933,0,1,Rs,Seychelles,Yugoslavia
591,345,1934,188,1,Rs,Seychelles,Yugoslavia
591,345,1935,0,1,Rs,Seychelles,Yugoslavia
591,345,1936,400,1,Rs,Seychelles,Yugoslavia
591,345,1937,0,1,Rs,Seychelles,Yugoslavia
591,345,1938,0,1,Rs,Seychelles,Yugoslavia
591,350,1930,0,1,Rs,Seychelles,Greece
591,350,1931,0,1,Rs,Seychelles,Greece
591,350,1932,0,1,Rs,Seychelles,Greece
591,350,1933,214,1,Rs,Seychelles,Greece
591,350,1934,169,1,Rs,Seychelles,Greece
591,350,1935,272,1,Rs,Seychelles,Greece
591,350,1936,192,1,Rs,Seychelles,Greece
591,350,1937,336,1,Rs,Seychelles,Greece
591,350,1938,181,1,Rs,Seychelles,Greece
591,352,1930,0,1,Rs,Seychelles,Cyprus
591,352,1931,0,1,Rs,Seychelles,Cyprus
591,352,1932,0,1,Rs,Seychelles,Cyprus
591,352,1933,0,1,Rs,Seychelles,Cyprus
591,352,1934,0,1,Rs,Seychelles,Cyprus
591,352,1935,585,1,Rs,Seychelles,Cyprus
591,352,1936,322,1,Rs,Seychelles,Cyprus
591,352,1937,0,1,Rs,Seychelles,Cyprus
591,352,1938,0,1,Rs,Seychelles,Cyprus
591,365,1930,0,1,Rs,Seychelles,Russia
591,365,1931,1062,1,Rs,Seychelles,Russia
591,365,1932,0,1,Rs,Seychelles,Russia
591,365,1933,0,1,Rs,Seychelles,Russia
591,365,1934,335,1,Rs,Seychelles,Russia
591,365,1935,280,1,Rs,Seychelles,Russia
591,365,1936,412,1,Rs,Seychelles,Russia
