ccode1,ccode2,year,imp,places,currency,country1,country2
451,2,1905,21262,,,Sierra Leone,United States
451,2,1906,17666,,,Sierra Leone,United States
451,2,1908,23790,,,Sierra Leone,United States
451,2,1909,35235,,,Sierra Leone,United States
451,2,1910,4589,,,Sierra Leone,United States
451,2,1911,10705,,,Sierra Leone,United States
451,2,1912,28463,,,Sierra Leone,United States
451,2,1913,54055,,,Sierra Leone,United States
451,2,1914,62914,,,Sierra Leone,United States
451,2,1915,102435,,Pounds,Sierra Leone,United States
451,2,1916,135603,,,Sierra Leone,United States
451,2,1922,172083,1,Pounds,Sierra Leone,United States
451,2,1923,185548,1,Pounds,Sierra Leone,United States
451,2,1924,208725,1,Pounds,Sierra Leone,United States
451,2,1925,240510,1,Pounds,Sierra Leone,United States
451,2,1926,203200,1,Pounds,Sierra Leone,United States
451,2,1927,238332,1,Pounds,Sierra Leone,United States
451,2,1928,232694,1,Pounds,Sierra Leone,United States
451,2,1929,253988,1,Pounds,Sierra Leone,United States
451,2,1935,74293,1,Pounds,Sierra Leone,United States
451,2,1936,66833,1,Pounds,Sierra Leone,United States
451,2,1937,76273,1,Pounds,Sierra Leone,United States
451,2,1938,87360,1,Pounds,Sierra Leone,United States
451,2,1939,116191,1,Pounds,Sierra Leone,United States
451,2,1940,51501,1,Pounds,Sierra Leone,United States
451,2,1941,81113,1,Pounds,Sierra Leone,United States
451,2,1944,425892,1,Pounds,Sierra Leone,United States
451,2,1945,356822,1,Pounds,Sierra Leone,United States
451,2,1946,191243,1,Pounds,Sierra Leone,United States
451,2,1947,635782,1,Pounds,Sierra Leone,United States
451,2,1948,209480,1,Pounds,Sierra Leone,United States
451,2,1949,181439,1,Pounds,Sierra Leone,United States
451,20,1922,1,1,Pounds,Sierra Leone,Canada
451,20,1923,0,1,Pounds,Sierra Leone,Canada
451,20,1924,2680,1,Pounds,Sierra Leone,Canada
451,20,1925,1364,1,Pounds,Sierra Leone,Canada
451,20,1926,5144,1,Pounds,Sierra Leone,Canada
451,20,1927,271,1,Pounds,Sierra Leone,Canada
451,20,1928,6539,1,Pounds,Sierra Leone,Canada
451,20,1929,4166,1,Pounds,Sierra Leone,Canada
451,20,1935,34664,1,Pounds,Sierra Leone,Canada
451,20,1936,48219,1,Pounds,Sierra Leone,Canada
451,20,1937,74130,1,Pounds,Sierra Leone,Canada
451,20,1938,51521,1,Pounds,Sierra Leone,Canada
451,20,1939,48377,1,Pounds,Sierra Leone,Canada
451,20,1940,53235,1,Pounds,Sierra Leone,Canada
451,20,1941,79520,1,Pounds,Sierra Leone,Canada
451,20,1944,154381,1,Pounds,Sierra Leone,Canada
451,20,1945,114855,1,Pounds,Sierra Leone,Canada
451,20,1946,137667,1,Pounds,Sierra Leone,Canada
451,20,1947,248480,1,Pounds,Sierra Leone,Canada
451,20,1948,130138,1,Pounds,Sierra Leone,Canada
451,20,1949,120459,1,Pounds,Sierra Leone,Canada
451,21,1922,0,1,Pounds,Sierra Leone,Newfoundland
451,21,1923,0,1,Pounds,Sierra Leone,Newfoundland
451,21,1924,0,1,Pounds,Sierra Leone,Newfoundland
451,21,1925,0,1,Pounds,Sierra Leone,Newfoundland
451,21,1926,0,1,Pounds,Sierra Leone,Newfoundland
451,21,1927,0,1,Pounds,Sierra Leone,Newfoundland
451,21,1928,0,1,Pounds,Sierra Leone,Newfoundland
451,21,1929,0,1,Pounds,Sierra Leone,Newfoundland
451,21,1935,419,1,Pounds,Sierra Leone,Newfoundland
451,21,1936,2,1,Pounds,Sierra Leone,Newfoundland
451,21,1937,0,1,Pounds,Sierra Leone,Newfoundland
451,21,1938,0,1,Pounds,Sierra Leone,Newfoundland
451,21,1939,0,1,Pounds,Sierra Leone,Newfoundland
451,21,1940,0,1,Pounds,Sierra Leone,Newfoundland
451,21,1941,0,1,Pounds,Sierra Leone,Newfoundland
451,21,1944,0,1,Pounds,Sierra Leone,Newfoundland
451,21,1945,0,1,Pounds,Sierra Leone,Newfoundland
451,21,1946,0,1,Pounds,Sierra Leone,Newfoundland
451,21,1947,0,1,Pounds,Sierra Leone,Newfoundland
451,21,1948,0,1,Pounds,Sierra Leone,Newfoundland
451,21,1949,0,1,Pounds,Sierra Leone,Newfoundland
451,40,1922,0,1,Pounds,Sierra Leone,Cuba
451,40,1923,0,1,Pounds,Sierra Leone,Cuba
451,40,1924,9,1,Pounds,Sierra Leone,Cuba
451,40,1925,144,1,Pounds,Sierra Leone,Cuba
451,40,1926,137,1,Pounds,Sierra Leone,Cuba
451,40,1927,127,1,Pounds,Sierra Leone,Cuba
451,40,1928,112,1,Pounds,Sierra Leone,Cuba
451,40,1929,27,1,Pounds,Sierra Leone,Cuba
451,40,1935,0,1,Pounds,Sierra Leone,Cuba
451,40,1936,0,1,Pounds,Sierra Leone,Cuba
451,40,1937,0,1,Pounds,Sierra Leone,Cuba
451,40,1938,0,1,Pounds,Sierra Leone,Cuba
451,40,1939,0,1,Pounds,Sierra Leone,Cuba
451,40,1940,0,1,Pounds,Sierra Leone,Cuba
451,40,1941,0,1,Pounds,Sierra Leone,Cuba
451,40,1944,0,1,Pounds,Sierra Leone,Cuba
451,40,1945,0,1,Pounds,Sierra Leone,Cuba
451,40,1946,0,1,Pounds,Sierra Leone,Cuba
451,40,1947,0,1,Pounds,Sierra Leone,Cuba
451,40,1948,0,1,Pounds,Sierra Leone,Cuba
451,40,1949,0,1,Pounds,Sierra Leone,Cuba
451,51,1905,1,,,Sierra Leone,Jamaica
451,51,1906,87,,,Sierra Leone,Jamaica
451,51,1909,13,,,Sierra Leone,Jamaica
451,51,1912,93,,,Sierra Leone,Jamaica
451,51,1913,59,,,Sierra Leone,Jamaica
451,51,1914,14,,,Sierra Leone,Jamaica
451,51,1915,249,,Pounds,Sierra Leone,Jamaica
451,51,1922,0,1,Pounds,Sierra Leone,Jamaica
451,51,1923,39,1,Pounds,Sierra Leone,Jamaica
451,51,1924,0,1,Pounds,Sierra Leone,Jamaica
451,51,1925,0,1,Pounds,Sierra Leone,Jamaica
451,51,1926,0,1,Pounds,Sierra Leone,Jamaica
451,51,1927,0,1,Pounds,Sierra Leone,Jamaica
451,51,1928,0,1,Pounds,Sierra Leone,Jamaica
451,51,1929,0,1,Pounds,Sierra Leone,Jamaica
451,51,1935,0,1,Pounds,Sierra Leone,Jamaica
451,51,1936,0,1,Pounds,Sierra Leone,Jamaica
451,51,1937,794,1,Pounds,Sierra Leone,Jamaica
451,51,1938,654,1,Pounds,Sierra Leone,Jamaica
451,51,1939,597,1,Pounds,Sierra Leone,Jamaica
451,51,1940,522,1,Pounds,Sierra Leone,Jamaica
451,51,1941,2032,1,Pounds,Sierra Leone,Jamaica
451,51,1944,4415,1,Pounds,Sierra Leone,Jamaica
451,51,1945,5647,1,Pounds,Sierra Leone,Jamaica
451,51,1946,4967,1,Pounds,Sierra Leone,Jamaica
451,51,1947,5299,1,Pounds,Sierra Leone,Jamaica
451,51,1948,6071,1,Pounds,Sierra Leone,Jamaica
451,51,1949,6430,1,Pounds,Sierra Leone,Jamaica
451,52,1922,0,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1923,0,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1924,0,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1925,0,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1926,0,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1927,36879,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1928,0,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1929,0,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1935,0,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1936,0,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1937,16174,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1938,77188,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1939,0,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1940,0,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1941,9815,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1944,10184,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1945,5536,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1946,7479,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1947,8644,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1948,6190,1,Pounds,Sierra Leone,Trinidad And Tobago
451,52,1949,17688,1,Pounds,Sierra Leone,Trinidad And Tobago
451,57,1908,1,,,Sierra Leone,St. Vincent And The Grenadines
451,57,1909,19,,,Sierra Leone,St. Vincent And The Grenadines
451,57,1922,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1923,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1924,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1925,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1926,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1927,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1928,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1929,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1935,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1936,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1937,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1938,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1939,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1940,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1941,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1944,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1945,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1946,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1947,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1948,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,57,1949,0,1,Pounds,Sierra Leone,St. Vincent And The Grenadines
451,70,1922,0,1,Pounds,Sierra Leone,Mexico
451,70,1923,0,1,Pounds,Sierra Leone,Mexico
451,70,1924,0,1,Pounds,Sierra Leone,Mexico
451,70,1925,0,1,Pounds,Sierra Leone,Mexico
451,70,1926,0,1,Pounds,Sierra Leone,Mexico
451,70,1927,0,1,Pounds,Sierra Leone,Mexico
451,70,1928,0,1,Pounds,Sierra Leone,Mexico
451,70,1929,0,1,Pounds,Sierra Leone,Mexico
451,70,1935,0,1,Pounds,Sierra Leone,Mexico
451,70,1936,0,1,Pounds,Sierra Leone,Mexico
451,70,1937,0,1,Pounds,Sierra Leone,Mexico
451,70,1938,0,1,Pounds,Sierra Leone,Mexico
451,70,1939,0,1,Pounds,Sierra Leone,Mexico
451,70,1940,0,1,Pounds,Sierra Leone,Mexico
451,70,1941,0,1,Pounds,Sierra Leone,Mexico
451,70,1944,16949,1,Pounds,Sierra Leone,Mexico
