ccode1,ccode2,year,imp,places,currency,country1,country2
830,2,1921,23095452,1,$,Singapore,United States
830,2,1922,14520331,1,$,Singapore,United States
830,2,1923,15965667,1,$,Singapore,United States
830,2,1924,19317609,1,$,Singapore,United States
830,2,1929,0,1,$,Singapore,United States
830,2,1930,0,1,$,Singapore,United States
830,2,1931,0,1,$,Singapore,United States
830,2,1932,0,1,$,Singapore,United States
830,2,1933,0,1,$,Singapore,United States
830,2,1934,0,1,$,Singapore,United States
830,2,1935,0,1,$,Singapore,United States
830,2,1936,6433053,1,$,Singapore,United States
830,2,1937,10494018,1,$,Singapore,United States
830,3,1921,0,1,$,Singapore,Alaska
830,3,1922,0,1,$,Singapore,Alaska
830,3,1923,0,1,$,Singapore,Alaska
830,3,1924,0,1,$,Singapore,Alaska
830,3,1929,0,1,$,Singapore,Alaska
830,3,1930,0,1,$,Singapore,Alaska
830,3,1931,0,1,$,Singapore,Alaska
830,3,1932,0,1,$,Singapore,Alaska
830,3,1933,0,1,$,Singapore,Alaska
830,3,1934,0,1,$,Singapore,Alaska
830,3,1935,0,1,$,Singapore,Alaska
830,3,1936,19387,1,$,Singapore,Alaska
830,3,1937,2219,1,$,Singapore,Alaska
830,20,1921,944580,1,$,Singapore,Canada
830,20,1922,91125,1,$,Singapore,Canada
830,20,1923,218432,1,$,Singapore,Canada
830,20,1924,150490,1,$,Singapore,Canada
830,20,1929,0,1,$,Singapore,Canada
830,20,1930,0,1,$,Singapore,Canada
830,20,1931,0,1,$,Singapore,Canada
830,20,1932,0,1,$,Singapore,Canada
830,20,1933,0,1,$,Singapore,Canada
830,20,1934,0,1,$,Singapore,Canada
830,20,1935,0,1,$,Singapore,Canada
830,20,1936,2375711,1,$,Singapore,Canada
830,20,1937,4577281,1,$,Singapore,Canada
830,70,1921,0,1,$,Singapore,Mexico
830,70,1922,0,1,$,Singapore,Mexico
830,70,1923,0,1,$,Singapore,Mexico
830,70,1924,0,1,$,Singapore,Mexico
830,70,1929,0,1,$,Singapore,Mexico
830,70,1930,0,1,$,Singapore,Mexico
830,70,1931,0,1,$,Singapore,Mexico
830,70,1932,0,1,$,Singapore,Mexico
830,70,1933,0,1,$,Singapore,Mexico
830,70,1934,0,1,$,Singapore,Mexico
830,70,1935,0,1,$,Singapore,Mexico
830,70,1936,304907,1,$,Singapore,Mexico
830,70,1937,395952,1,$,Singapore,Mexico
830,135,1921,0,1,$,Singapore,Peru
830,135,1922,0,1,$,Singapore,Peru
830,135,1923,0,1,$,Singapore,Peru
830,135,1924,0,1,$,Singapore,Peru
830,135,1929,0,1,$,Singapore,Peru
830,135,1930,0,1,$,Singapore,Peru
830,135,1931,0,1,$,Singapore,Peru
830,135,1932,0,1,$,Singapore,Peru
830,135,1933,0,1,$,Singapore,Peru
830,135,1934,0,1,$,Singapore,Peru
830,135,1935,0,1,$,Singapore,Peru
830,135,1936,0,1,$,Singapore,Peru
830,135,1937,0,1,$,Singapore,Peru
830,140,1921,0,1,$,Singapore,Brazil
830,140,1922,0,1,$,Singapore,Brazil
830,140,1923,0,1,$,Singapore,Brazil
830,140,1924,0,1,$,Singapore,Brazil
830,140,1929,0,1,$,Singapore,Brazil
830,140,1930,0,1,$,Singapore,Brazil
830,140,1931,0,1,$,Singapore,Brazil
830,140,1932,0,1,$,Singapore,Brazil
830,140,1933,0,1,$,Singapore,Brazil
830,140,1934,0,1,$,Singapore,Brazil
830,140,1935,0,1,$,Singapore,Brazil
830,140,1936,12070,1,$,Singapore,Brazil
830,140,1937,110657,1,$,Singapore,Brazil
830,155,1921,0,1,$,Singapore,Chile
830,155,1922,0,1,$,Singapore,Chile
830,155,1923,0,1,$,Singapore,Chile
830,155,1924,0,1,$,Singapore,Chile
830,155,1929,0,1,$,Singapore,Chile
830,155,1930,0,1,$,Singapore,Chile
830,155,1931,0,1,$,Singapore,Chile
830,155,1932,0,1,$,Singapore,Chile
830,155,1933,0,1,$,Singapore,Chile
830,155,1934,0,1,$,Singapore,Chile
830,155,1935,0,1,$,Singapore,Chile
830,155,1936,698,1,$,Singapore,Chile
830,155,1937,5932,1,$,Singapore,Chile
830,160,1921,0,1,$,Singapore,Argentina
830,160,1922,0,1,$,Singapore,Argentina
830,160,1923,0,1,$,Singapore,Argentina
830,160,1924,0,1,$,Singapore,Argentina
830,160,1929,0,1,$,Singapore,Argentina
830,160,1930,0,1,$,Singapore,Argentina
830,160,1931,0,1,$,Singapore,Argentina
830,160,1932,0,1,$,Singapore,Argentina
830,160,1933,0,1,$,Singapore,Argentina
830,160,1934,0,1,$,Singapore,Argentina
830,160,1935,0,1,$,Singapore,Argentina
830,160,1936,45035,1,$,Singapore,Argentina
830,160,1937,67608,1,$,Singapore,Argentina
830,200,1921,53228052,1,$,Singapore,United Kingdom
830,200,1922,51940123,1,$,Singapore,United Kingdom
830,200,1923,56261505,1,$,Singapore,United Kingdom
830,200,1924,61420919,1,$,Singapore,United Kingdom
830,200,1929,0,1,$,Singapore,United Kingdom
830,200,1930,0,1,$,Singapore,United Kingdom
830,200,1931,0,1,$,Singapore,United Kingdom
830,200,1932,0,1,$,Singapore,United Kingdom
830,200,1933,0,1,$,Singapore,United Kingdom
830,200,1934,0,1,$,Singapore,United Kingdom
