ccode1,ccode2,year,imp,places,currency,country1,country2
560,2,1909,2115236,1,,South Africa,United States
560,2,1910,2663086,1,,South Africa,United States
560,2,1911,2828025,1,,South Africa,United States
560,2,1912,3233396,1,Pounds,South Africa,United States
560,2,1913,3668104,1,Pounds,South Africa,United States
560,2,1914,3009497,1,Pounds,South Africa,United States
560,2,1915,4413148,1,Pounds,South Africa,United States
560,2,1916,6075147,1,,South Africa,United States
560,2,1917,6228324,1,,South Africa,United States
560,2,1918,6575136,1,,South Africa,United States
560,2,1919,11278421,1,Pounds,South Africa,United States
560,2,1920,17044236,1,Pounds,South Africa,United States
560,2,1921,7999805,1,Pounds,South Africa,United States
560,2,1922,5683141,1,Pounds,South Africa,United States
560,2,1923,7011116,1,Pounds,South Africa,United States
560,2,1924,8785503,1,Pounds,South Africa,United States
560,2,1925,9414084,1,Pounds,South Africa,United States
560,2,1926,11271770,1,Pounds,South Africa,United States
560,2,1927,11330212,1,Pounds,South Africa,United States
560,2,1928,12803333,1,Pounds,South Africa,United States
560,2,1929,14920492,1,Pounds,South Africa,United States
560,2,1930,9238451,1,Pounds,South Africa,United States
560,2,1931,7015884,1,Pounds,South Africa,United States
560,2,1932,4228915,1,Pounds,South Africa,United States
560,2,1933,5975703,1,Pounds,South Africa,United States
560,2,1934,10794985,1,Pounds,South Africa,United States
560,2,1935,12697384,1,Pounds,South Africa,United States
560,2,1936,15927157,1,Pounds,South Africa,United States
560,2,1937,19978671,1,Pounds,South Africa,United States
560,2,1938,16537111,1,Pounds,South Africa,United States
560,2,1939,17349482,1,Pounds,South Africa,United States
560,2,1940,23556070,1,Pounds,South Africa,United States
560,2,1941,38370227,1,Pounds,South Africa,United States
560,2,1942,16580775,1,Pounds,South Africa,United States
560,2,1943,11997400,1,Pounds,South Africa,United States
560,2,1944,18073747,1,Pounds,South Africa,United States
560,2,1945,27916111,1,Pounds,South Africa,United States
560,2,1946,53978372,1,Pounds,South Africa,United States
560,2,1947,101469959,1,Pounds,South Africa,United States
560,2,1948,118325456,1,Pounds,South Africa,United States
560,2,1949,76639216,1,Pounds,South Africa,United States
560,3,1909,0,1,,South Africa,Alaska
560,3,1910,0,1,,South Africa,Alaska
560,3,1911,0,1,,South Africa,Alaska
560,3,1912,0,1,Pounds,South Africa,Alaska
560,3,1913,0,1,Pounds,South Africa,Alaska
560,3,1914,0,1,Pounds,South Africa,Alaska
560,3,1915,0,1,Pounds,South Africa,Alaska
560,3,1916,0,1,,South Africa,Alaska
560,3,1917,0,1,,South Africa,Alaska
560,3,1918,0,1,,South Africa,Alaska
560,3,1919,0,1,Pounds,South Africa,Alaska
560,3,1920,0,1,Pounds,South Africa,Alaska
560,3,1921,0,1,Pounds,South Africa,Alaska
560,3,1922,0,1,Pounds,South Africa,Alaska
560,3,1923,0,1,Pounds,South Africa,Alaska
560,3,1924,0,1,Pounds,South Africa,Alaska
560,3,1925,0,1,Pounds,South Africa,Alaska
560,3,1926,0,1,Pounds,South Africa,Alaska
560,3,1927,0,1,Pounds,South Africa,Alaska
560,3,1928,0,1,Pounds,South Africa,Alaska
560,3,1929,0,1,Pounds,South Africa,Alaska
560,3,1930,0,1,Pounds,South Africa,Alaska
560,3,1931,0,1,Pounds,South Africa,Alaska
560,3,1932,0,1,Pounds,South Africa,Alaska
560,3,1933,0,1,Pounds,South Africa,Alaska
560,3,1934,0,1,Pounds,South Africa,Alaska
560,3,1935,0,1,Pounds,South Africa,Alaska
560,3,1936,0,1,Pounds,South Africa,Alaska
560,3,1937,0,1,Pounds,South Africa,Alaska
560,3,1938,0,1,Pounds,South Africa,Alaska
560,3,1939,0,1,Pounds,South Africa,Alaska
560,3,1940,0,1,Pounds,South Africa,Alaska
560,3,1941,0,1,Pounds,South Africa,Alaska
560,3,1942,0,1,Pounds,South Africa,Alaska
560,3,1943,0,1,Pounds,South Africa,Alaska
560,3,1944,0,1,Pounds,South Africa,Alaska
560,3,1945,0,1,Pounds,South Africa,Alaska
560,3,1946,0,1,Pounds,South Africa,Alaska
560,3,1947,611,1,Pounds,South Africa,Alaska
560,3,1948,516,1,Pounds,South Africa,Alaska
560,3,1949,225,1,Pounds,South Africa,Alaska
560,20,1909,465596,1,,South Africa,Canada
560,20,1910,631829,1,,South Africa,Canada
560,20,1911,637193,1,,South Africa,Canada
560,20,1912,659655,1,Pounds,South Africa,Canada
560,20,1913,856392,1,Pounds,South Africa,Canada
560,20,1914,779076,1,Pounds,South Africa,Canada
560,20,1915,978079,1,Pounds,South Africa,Canada
560,20,1916,866648,1,,South Africa,Canada
560,20,1917,956013,1,,South Africa,Canada
560,20,1918,941621,1,,South Africa,Canada
560,20,1919,1818267,1,Pounds,South Africa,Canada
560,20,1920,2701713,1,Pounds,South Africa,Canada
560,20,1921,1440685,1,Pounds,South Africa,Canada
560,20,1922,1171902,1,Pounds,South Africa,Canada
560,20,1923,1824124,1,Pounds,South Africa,Canada
560,20,1924,2137250,1,Pounds,South Africa,Canada
560,20,1925,2180962,1,Pounds,South Africa,Canada
560,20,1926,2073499,1,Pounds,South Africa,Canada
560,20,1927,1968690,1,Pounds,South Africa,Canada
560,20,1928,2162742,1,Pounds,South Africa,Canada
560,20,1929,2732531,1,Pounds,South Africa,Canada
560,20,1930,2050640,1,Pounds,South Africa,Canada
560,20,1931,1811919,1,Pounds,South Africa,Canada
560,20,1932,1117832,1,Pounds,South Africa,Canada
560,20,1933,1205313,1,Pounds,South Africa,Canada
560,20,1934,2492006,1,Pounds,South Africa,Canada
560,20,1935,2436737,1,Pounds,South Africa,Canada
560,20,1936,2882089,1,Pounds,South Africa,Canada
560,20,1937,3420233,1,Pounds,South Africa,Canada
