ccode1,ccode2,year,imp,places,currency,country1,country2
552,2,1912,128097,1,Pounds,Zimbabwe,United States
552,2,1913,167297,1,Pounds,Zimbabwe,United States
552,2,1914,153548,1,Pounds,Zimbabwe,United States
552,2,1915,146077,1,Pounds,Zimbabwe,United States
552,2,1916,214550,1,,Zimbabwe,United States
552,2,1917,267389,1,,Zimbabwe,United States
552,2,1918,283571,1,,Zimbabwe,United States
552,2,1919,479023,1,,Zimbabwe,United States
552,2,1920,548850,1,,Zimbabwe,United States
552,2,1921,462745,1,,Zimbabwe,United States
552,2,1922,321356,1,,Zimbabwe,United States
552,2,1923,348476,1,,Zimbabwe,United States
552,2,1924,462399,1,Pounds,Zimbabwe,United States
552,2,1925,591275,1,Pounds,Zimbabwe,United States
552,2,1926,808306,1,Pounds,Zimbabwe,United States
552,2,1927,1018057,1,Pounds,Zimbabwe,United States
552,2,1928,952408,1,Pounds,Zimbabwe,United States
552,2,1929,1023862,1,Pounds,Zimbabwe,United States
552,2,1930,771,1000,Thousand Pounds,Zimbabwe,United States
552,2,1931,632,1000,Thousand Pounds,Zimbabwe,United States
552,2,1932,392,1000,Thousand Pounds,Zimbabwe,United States
552,2,1933,326,1000,Thousand Pounds,Zimbabwe,United States
552,2,1934,452,1000,Thousand Pounds,Zimbabwe,United States
552,2,1935,598,1000,Thousand Pounds,Zimbabwe,United States
552,2,1936,685,1000,Thousand Pounds,Zimbabwe,United States
552,2,1937,820,1000,Thousand Pounds,Zimbabwe,United States
552,2,1938,859,1000,Thousand Pounds,Zimbabwe,United States
552,2,1939,851,1000,Thousand Pounds,Zimbabwe,United States
552,2,1940,1028,1000,Thousand Pounds,Zimbabwe,United States
552,2,1941,1186,1000,Thousand Pounds,Zimbabwe,United States
552,2,1942,983,1000,Thousand Pounds,Zimbabwe,United States
552,2,1943,857,1000,Thousand Pounds,Zimbabwe,United States
552,2,1944,1795,1000,Thousand Pounds,Zimbabwe,United States
552,2,1945,1607,1000,Thousand Pounds,Zimbabwe,United States
552,2,1946,2639,1000,Thousand Pounds,Zimbabwe,United States
552,20,1912,32459,1,Pounds,Zimbabwe,Canada
552,20,1913,38304,1,Pounds,Zimbabwe,Canada
552,20,1914,40447,1,Pounds,Zimbabwe,Canada
552,20,1915,38951,1,Pounds,Zimbabwe,Canada
552,20,1916,32079,1,,Zimbabwe,Canada
552,20,1917,36998,1,,Zimbabwe,Canada
552,20,1918,129045,1,,Zimbabwe,Canada
552,20,1919,136629,1,,Zimbabwe,Canada
552,20,1920,58282,1,,Zimbabwe,Canada
552,20,1921,273137,1,,Zimbabwe,Canada
552,20,1922,69176,1,,Zimbabwe,Canada
552,20,1923,94656,1,,Zimbabwe,Canada
552,20,1924,152323,1,Pounds,Zimbabwe,Canada
552,20,1925,174562,1,Pounds,Zimbabwe,Canada
552,20,1926,194064,1,Pounds,Zimbabwe,Canada
552,20,1927,262087,1,Pounds,Zimbabwe,Canada
552,20,1928,289286,1,Pounds,Zimbabwe,Canada
552,20,1929,306591,1,Pounds,Zimbabwe,Canada
552,20,1930,251,1000,Thousand Pounds,Zimbabwe,Canada
552,20,1931,224,1000,Thousand Pounds,Zimbabwe,Canada
552,20,1932,160,1000,Thousand Pounds,Zimbabwe,Canada
552,20,1933,163,1000,Thousand Pounds,Zimbabwe,Canada
552,20,1934,233,1000,Thousand Pounds,Zimbabwe,Canada
552,20,1935,242,1000,Thousand Pounds,Zimbabwe,Canada
552,20,1936,273,1000,Thousand Pounds,Zimbabwe,Canada
552,20,1937,642,1000,Thousand Pounds,Zimbabwe,Canada
552,20,1938,373,1000,Thousand Pounds,Zimbabwe,Canada
552,20,1939,375,1000,Thousand Pounds,Zimbabwe,Canada
552,20,1940,521,1000,Thousand Pounds,Zimbabwe,Canada
552,20,1941,724,1000,Thousand Pounds,Zimbabwe,Canada
552,20,1942,484,1000,Thousand Pounds,Zimbabwe,Canada
552,20,1943,316,1000,Thousand Pounds,Zimbabwe,Canada
552,20,1944,415,1000,Thousand Pounds,Zimbabwe,Canada
552,20,1945,667,1000,Thousand Pounds,Zimbabwe,Canada
552,20,1946,952,1000,Thousand Pounds,Zimbabwe,Canada
552,21,1912,0,1,Pounds,Zimbabwe,Newfoundland
552,21,1913,0,1,Pounds,Zimbabwe,Newfoundland
552,21,1914,0,1,Pounds,Zimbabwe,Newfoundland
552,21,1915,0,1,Pounds,Zimbabwe,Newfoundland
552,21,1916,0,1,,Zimbabwe,Newfoundland
552,21,1917,0,1,,Zimbabwe,Newfoundland
552,21,1918,0,1,,Zimbabwe,Newfoundland
552,21,1919,0,1,,Zimbabwe,Newfoundland
552,21,1920,0,1,,Zimbabwe,Newfoundland
552,21,1921,0,1,,Zimbabwe,Newfoundland
552,21,1922,0,1,,Zimbabwe,Newfoundland
552,21,1923,74,1,,Zimbabwe,Newfoundland
552,21,1924,0,1,Pounds,Zimbabwe,Newfoundland
552,21,1925,117,1,Pounds,Zimbabwe,Newfoundland
552,21,1926,0,1,Pounds,Zimbabwe,Newfoundland
552,21,1927,9,1,Pounds,Zimbabwe,Newfoundland
552,21,1928,0,1,Pounds,Zimbabwe,Newfoundland
552,21,1929,15,1,Pounds,Zimbabwe,Newfoundland
552,21,1930,0,1000,Thousand Pounds,Zimbabwe,Newfoundland
552,21,1931,0,1000,Thousand Pounds,Zimbabwe,Newfoundland
552,21,1932,0,1000,Thousand Pounds,Zimbabwe,Newfoundland
552,21,1933,0,1000,Thousand Pounds,Zimbabwe,Newfoundland
552,21,1934,0,1000,Thousand Pounds,Zimbabwe,Newfoundland
552,21,1935,0,1000,Thousand Pounds,Zimbabwe,Newfoundland
552,21,1936,0,1000,Thousand Pounds,Zimbabwe,Newfoundland
552,21,1937,0,1000,Thousand Pounds,Zimbabwe,Newfoundland
552,21,1938,0,1000,Thousand Pounds,Zimbabwe,Newfoundland
552,21,1939,0,1000,Thousand Pounds,Zimbabwe,Newfoundland
552,21,1940,0,1000,Thousand Pounds,Zimbabwe,Newfoundland
552,21,1941,0,1000,Thousand Pounds,Zimbabwe,Newfoundland
552,21,1942,0,1000,Thousand Pounds,Zimbabwe,Newfoundland
552,21,1943,0,1000,Thousand Pounds,Zimbabwe,Newfoundland
552,21,1944,0,1000,Thousand Pounds,Zimbabwe,Newfoundland
552,21,1945,0,1000,Thousand Pounds,Zimbabwe,Newfoundland
552,21,1946,0,1000,Thousand Pounds,Zimbabwe,Newfoundland
552,40,1912,1554,1,Pounds,Zimbabwe,Cuba
552,40,1913,1302,1,Pounds,Zimbabwe,Cuba
552,40,1914,1251,1,Pounds,Zimbabwe,Cuba
552,40,1915,689,1,Pounds,Zimbabwe,Cuba
552,40,1916,1096,1,,Zimbabwe,Cuba
552,40,1917,509,1,,Zimbabwe,Cuba
552,40,1918,837,1,,Zimbabwe,Cuba
552,40,1919,1013,1,,Zimbabwe,Cuba
552,40,1920,2560,1,,Zimbabwe,Cuba
552,40,1921,1498,1,,Zimbabwe,Cuba
552,40,1922,1597,1,,Zimbabwe,Cuba
552,40,1923,446,1,,Zimbabwe,Cuba
552,40,1924,882,1,Pounds,Zimbabwe,Cuba
552,40,1925,1189,1,Pounds,Zimbabwe,Cuba
552,40,1926,1876,1,Pounds,Zimbabwe,Cuba
552,40,1927,2613,1,Pounds,Zimbabwe,Cuba
552,40,1928,2633,1,Pounds,Zimbabwe,Cuba
