ccode1,ccode2,year,imp,places,currency,country1,country2
230,2,1911,129622,,,Spain,United States
230,2,1912,155232,,,Spain,United States
230,2,1913,167486,,,Spain,United States
230,2,1914,147497214,1,Pesetas,Spain,United States
230,2,1915,297774935,1,Pesetas,Spain,United States
230,2,1916,453750835,1,Pesetas,Spain,United States
230,2,1917,776699180,1,Pesetas,Spain,United States
230,2,1918,142023547,1,Pesetas,Spain,United States
230,2,1919,391563037,1,,Spain,United States
230,2,1920,331342844,1,,Spain,United States
230,2,1921,767023323,1,,Spain,United States
230,2,1922,480572270,1,Pesetas,Spain,United States
230,2,1924,422232972,1,Pesetas,Spain,United States
230,2,1925,431971881,1,Pesetas,Spain,United States
230,2,1926,401069443,1,Pesetas,Spain,United States
230,2,1927,512539980,1,Pesetas,Spain,United States
230,2,1928,512556586,1,Pesetas,Spain,United States
230,2,1929,435784538,1,Pesetas,Spain,United States
230,2,1930,411883933,1,Pesetas,Spain,United States
230,2,1931,201285289,1,Pesetas,Spain,United States
230,2,1932,161116045,1,Pesetas,Spain,United States
230,2,1933,137371758,1,Pesetas,Spain,United States
230,2,1934,146624654,1,Pesetas,Spain,United States
230,2,1935,147637747,1,Pesetas,Spain,United States
230,2,1940,87377804,1,Pesetas,Spain,United States
230,2,1941,38723,1000,Miles Pesetas Oro,Spain,United States
230,2,1942,16104,1000,Miles Pesetas Oro,Spain,United States
230,2,1943,92671,1000,Miles Pesetas Oro,Spain,United States
230,2,1944,111835,1000,Miles Pesetas Oro,Spain,United States
230,2,1945,157549,1000,Miles Pesetas Oro,Spain,United States
230,2,1946,162195,1000,Miles Pesetas Oro,Spain,United States
230,2,1947,107383,1000,Miles Pesetas Oro,Spain,United States
230,2,1948,96247,1000,Miles Pesetas Oro,Spain,United States
230,2,1949,125529,1000,Miles Pesetas Oro,Spain,United States
230,6,1911,6001,,,Spain,Puerto Rico
230,6,1912,6664,,,Spain,Puerto Rico
230,6,1913,7855,,,Spain,Puerto Rico
230,6,1914,7342396,1,Pesetas,Spain,Puerto Rico
230,6,1915,9251783,1,Pesetas,Spain,Puerto Rico
230,6,1916,7301862,1,Pesetas,Spain,Puerto Rico
230,6,1917,8936913,1,Pesetas,Spain,Puerto Rico
230,6,1918,9008799,1,Pesetas,Spain,Puerto Rico
230,6,1919,6057418,1,,Spain,Puerto Rico
230,6,1920,6226273,1,,Spain,Puerto Rico
230,6,1921,5007307,1,,Spain,Puerto Rico
230,6,1922,6045916,1,Pesetas,Spain,Puerto Rico
230,6,1924,3801533,1,Pesetas,Spain,Puerto Rico
230,6,1925,2357708,1,Pesetas,Spain,Puerto Rico
230,6,1926,3679938,1,Pesetas,Spain,Puerto Rico
230,6,1927,6436700,1,Pesetas,Spain,Puerto Rico
230,6,1928,2808488,1,Pesetas,Spain,Puerto Rico
230,6,1929,1140253,1,Pesetas,Spain,Puerto Rico
230,6,1930,500003,1,Pesetas,Spain,Puerto Rico
230,6,1931,198925,1,Pesetas,Spain,Puerto Rico
230,6,1932,45810,1,Pesetas,Spain,Puerto Rico
230,6,1933,46839,1,Pesetas,Spain,Puerto Rico
230,6,1934,32344,1,Pesetas,Spain,Puerto Rico
230,6,1935,52973,1,Pesetas,Spain,Puerto Rico
230,6,1940,5232,1,Pesetas,Spain,Puerto Rico
230,6,1941,13,1000,Miles Pesetas Oro,Spain,Puerto Rico
230,6,1942,5,1000,Miles Pesetas Oro,Spain,Puerto Rico
230,6,1943,1,1000,Miles Pesetas Oro,Spain,Puerto Rico
230,6,1944,0,1000,Miles Pesetas Oro,Spain,Puerto Rico
230,6,1945,0,1000,Miles Pesetas Oro,Spain,Puerto Rico
230,6,1946,40,1000,Miles Pesetas Oro,Spain,Puerto Rico
230,6,1947,18,1000,Miles Pesetas Oro,Spain,Puerto Rico
230,6,1948,7,1000,Miles Pesetas Oro,Spain,Puerto Rico
230,6,1949,5,1000,Miles Pesetas Oro,Spain,Puerto Rico
230,20,1914,0,1,Pesetas,Spain,Canada
230,20,1915,0,1,Pesetas,Spain,Canada
230,20,1916,0,1,Pesetas,Spain,Canada
230,20,1917,0,1,Pesetas,Spain,Canada
230,20,1918,0,1,Pesetas,Spain,Canada
230,20,1919,0,1,,Spain,Canada
230,20,1920,0,1,,Spain,Canada
230,20,1921,0,1,,Spain,Canada
230,20,1922,0,1,Pesetas,Spain,Canada
230,20,1924,0,1,Pesetas,Spain,Canada
230,20,1925,0,1,Pesetas,Spain,Canada
230,20,1926,4451753,1,Pesetas,Spain,Canada
230,20,1927,1671332,1,Pesetas,Spain,Canada
230,20,1928,46318635,1,Pesetas,Spain,Canada
230,20,1929,29520413,1,Pesetas,Spain,Canada
230,20,1930,15255832,1,Pesetas,Spain,Canada
230,20,1931,1762797,1,Pesetas,Spain,Canada
230,20,1932,12352375,1,Pesetas,Spain,Canada
230,20,1933,9206869,1,Pesetas,Spain,Canada
230,20,1934,10530877,1,Pesetas,Spain,Canada
230,20,1935,9008707,1,Pesetas,Spain,Canada
230,20,1940,2284606,1,Pesetas,Spain,Canada
230,20,1941,555,1000,Miles Pesetas Oro,Spain,Canada
230,20,1942,90,1000,Miles Pesetas Oro,Spain,Canada
230,20,1943,584,1000,Miles Pesetas Oro,Spain,Canada
230,20,1944,361,1000,Miles Pesetas Oro,Spain,Canada
230,20,1945,1706,1000,Miles Pesetas Oro,Spain,Canada
230,20,1946,2170,1000,Miles Pesetas Oro,Spain,Canada
230,20,1947,3643,1000,Miles Pesetas Oro,Spain,Canada
230,20,1948,1498,1000,Miles Pesetas Oro,Spain,Canada
230,20,1949,734,1000,Miles Pesetas Oro,Spain,Canada
230,21,1914,0,1,Pesetas,Spain,Newfoundland
230,21,1915,0,1,Pesetas,Spain,Newfoundland
230,21,1916,0,1,Pesetas,Spain,Newfoundland
230,21,1917,0,1,Pesetas,Spain,Newfoundland
230,21,1918,0,1,Pesetas,Spain,Newfoundland
230,21,1919,0,1,,Spain,Newfoundland
230,21,1920,0,1,,Spain,Newfoundland
230,21,1921,0,1,,Spain,Newfoundland
230,21,1922,0,1,Pesetas,Spain,Newfoundland
230,21,1924,0,1,Pesetas,Spain,Newfoundland
230,21,1925,0,1,Pesetas,Spain,Newfoundland
230,21,1926,16619436,1,Pesetas,Spain,Newfoundland
230,21,1927,16467027,1,Pesetas,Spain,Newfoundland
230,21,1928,18101174,1,Pesetas,Spain,Newfoundland
230,21,1929,15891756,1,Pesetas,Spain,Newfoundland
230,21,1930,12871703,1,Pesetas,Spain,Newfoundland
230,21,1931,6921446,1,Pesetas,Spain,Newfoundland
230,21,1932,6310126,1,Pesetas,Spain,Newfoundland
230,21,1933,6990192,1,Pesetas,Spain,Newfoundland
230,21,1934,5410838,1,Pesetas,Spain,Newfoundland
230,21,1935,5090284,1,Pesetas,Spain,Newfoundland
230,21,1940,33086,1,Pesetas,Spain,Newfoundland
230,21,1941,1328,1000,Miles Pesetas Oro,Spain,Newfoundland
230,21,1942,3845,1000,Miles Pesetas Oro,Spain,Newfoundland
230,21,1943,8198,1000,Miles Pesetas Oro,Spain,Newfoundland
