ccode1,ccode2,year,imp,places,currency,country1,country2
56,2,1930,76116,1,,St. Lucia,United States
56,20,1930,30908,1,,St. Lucia,Canada
56,21,1930,3996,1,,St. Lucia,Newfoundland
56,30,1930,3,1,,St. Lucia,Bermuda
56,40,1930,0,1,,St. Lucia,Cuba
56,42,1930,1,1,,St. Lucia,Dominican Republic
56,51,1930,8,1,,St. Lucia,Jamaica
56,52,1930,6593,1,,St. Lucia,Trinidad And Tobago
56,53,1930,851,1,,St. Lucia,Barbados
56,54,1930,26,1,,St. Lucia,Dominica
56,55,1930,4,1,,St. Lucia,Grenada
56,56,1930,0,1,,St. Lucia,St. Lucia
56,57,1930,198,1,,St. Lucia,St. Vincent And The Grenadines
56,58,1930,1,1,,St. Lucia,Antigua And Barbuda
56,59,1930,91,1,,St. Lucia,Montserrat
56,60,1930,38,1,,St. Lucia,St. Kitts And Nevis
56,66,1930,65,1,,St. Lucia,Martinique
56,68,1930,0,1,,St. Lucia,Netherlands Antilles
56,96,1930,0,1,,St. Lucia,Panama Canal Zone
56,101,1930,0,1,,St. Lucia,Venezuela
56,110,1930,3172,1,,St. Lucia,Guyana
56,115,1930,0,1,,St. Lucia,Suriname
56,130,1930,0,1,,St. Lucia,Ecuador
56,140,1930,890,1,,St. Lucia,Brazil
56,155,1930,0,1,,St. Lucia,Chile
56,160,1930,107,1,,St. Lucia,Argentina
56,200,1930,46077,1,,St. Lucia,United Kingdom
56,210,1930,4450,1,,St. Lucia,Netherlands
56,211,1930,170,1,,St. Lucia,Belgium
56,220,1930,5477,1,,St. Lucia,France
56,225,1930,383,1,,St. Lucia,Switzerland
56,230,1930,139,1,,St. Lucia,Spain
56,235,1930,100,1,,St. Lucia,Portugal
56,255,1930,2039,1,,St. Lucia,Germany
56,290,1930,3,1,,St. Lucia,Poland
56,305,1930,40,1,,St. Lucia,Austria
56,315,1930,2,1,,St. Lucia,Czechoslovakia
56,325,1930,91,1,,St. Lucia,Italy
56,345,1930,0,1,,St. Lucia,Yugoslavia
56,350,1930,1,1,,St. Lucia,Greece
56,365,1930,0,1,,St. Lucia,Russia
56,367,1930,0,1,,St. Lucia,Latvia
56,375,1930,0,1,,St. Lucia,Finland
56,380,1930,313,1,,St. Lucia,Sweden
56,385,1930,39,1,,St. Lucia,Norway
56,390,1930,554,1,,St. Lucia,Denmark
56,401,1930,337,1,,St. Lucia,Madeira
56,410,1930,0,1,,St. Lucia,Canary Islands
56,511,1930,8,1,,St. Lucia,Zanzibar
56,651,1930,51,1,,St. Lucia,Egypt
56,710,1930,79,1,,St. Lucia,China
56,740,1930,800,1,,St. Lucia,Japan
56,750,1930,1307,1,,St. Lucia,India
56,780,1930,3,1,,St. Lucia,Sri Lanka
56,827,1930,39,1,,St. Lucia,Straits Settlement
56,900,1930,204,1,,St. Lucia,Australia
56,1029,1930,0,1,,St. Lucia,St. Pierre And Miquelon
56,1060,1930,0,1,,St. Lucia,French West Indies
56,1062,1930,406,1,,St. Lucia,Anguilla
56,6411,1930,19,1,,St. Lucia,Smyrna
56,8502,1930,0,1,,St. Lucia,Sumatra
56,,1930,200305,1,,St. Lucia,
