ccode1,ccode2,year,imp,places,currency,country1,country2
625,2,1917,1058,1,Egyptian Pounds,Sudan,United States
625,2,1918,1,1,Egyptian Pounds,Sudan,United States
625,2,1919,419,1,Egyptian Pounds,Sudan,United States
625,2,1920,33871,1,Egyptian Pounds,Sudan,United States
625,2,1921,55511,1,Egyptian Pounds,Sudan,United States
625,2,1922,105974,1,Egyptian Pounds,Sudan,United States
625,2,1923,95208,1,Egyptian Pounds,Sudan,United States
625,2,1924,80263,1,Egyptian Pounds,Sudan,United States
625,2,1925,65927,1,Egyptian Pounds,Sudan,United States
625,2,1926,46348,1,Egyptian Pounds,Sudan,United States
625,2,1927,120164,1,Egyptian Pounds,Sudan,United States
625,2,1928,169418,1,Egyptian Pounds,Sudan,United States
625,2,1929,174696,1,Egyptian Pounds,Sudan,United States
625,2,1930,160117,1,Egyptian Pounds,Sudan,United States
625,2,1932,31037,1,Egyptian Pounds,Sudan,United States
625,2,1933,28516,1,Egyptian Pounds,Sudan,United States
625,20,1917,0,1,Egyptian Pounds,Sudan,Canada
625,20,1918,0,1,Egyptian Pounds,Sudan,Canada
625,20,1919,0,1,Egyptian Pounds,Sudan,Canada
625,20,1920,0,1,Egyptian Pounds,Sudan,Canada
625,20,1921,504,1,Egyptian Pounds,Sudan,Canada
625,20,1922,25608,1,Egyptian Pounds,Sudan,Canada
625,20,1923,909,1,Egyptian Pounds,Sudan,Canada
625,20,1924,1442,1,Egyptian Pounds,Sudan,Canada
625,20,1925,51559,1,Egyptian Pounds,Sudan,Canada
625,20,1926,162,1,Egyptian Pounds,Sudan,Canada
625,20,1927,181,1,Egyptian Pounds,Sudan,Canada
625,20,1928,39,1,Egyptian Pounds,Sudan,Canada
625,20,1929,0,1,Egyptian Pounds,Sudan,Canada
625,20,1930,0,1,Egyptian Pounds,Sudan,Canada
625,20,1932,0,1,Egyptian Pounds,Sudan,Canada
625,20,1933,0,1,Egyptian Pounds,Sudan,Canada
625,140,1917,180,1,Egyptian Pounds,Sudan,Brazil
625,140,1918,350,1,Egyptian Pounds,Sudan,Brazil
625,140,1919,0,1,Egyptian Pounds,Sudan,Brazil
625,140,1920,0,1,Egyptian Pounds,Sudan,Brazil
625,140,1921,0,1,Egyptian Pounds,Sudan,Brazil
625,140,1922,0,1,Egyptian Pounds,Sudan,Brazil
