ccode1,ccode2,year,imp,places,currency,country1,country2
565,2,1919,6017,1,Pounds,Namibia,United States
565,2,1920,22973,1,Pounds,Namibia,United States
565,2,1921,15177,1,Pounds,Namibia,United States
565,2,1922,24770,1,Pounds,Namibia,United States
565,2,1923,16914,1,Pounds,Namibia,United States
565,2,1924,49517,1,Pounds,Namibia,United States
565,2,1926,0,1,Pounds,Namibia,United States
565,2,1927,0,1,Pounds,Namibia,United States
565,2,1928,145706,1,Pounds,Namibia,United States
565,2,1929,176584,1,Pounds,Namibia,United States
565,2,1944,14260,1,Pounds,Namibia,United States
565,2,1945,16815,1,Pounds,Namibia,United States
565,2,1946,200147,1,Pounds,Namibia,United States
565,2,1947,811607,1,Pounds,Namibia,United States
565,2,1948,1310958,1,Pounds,Namibia,United States
565,2,1949,743280,1,Pounds,Namibia,United States
565,3,1919,0,1,Pounds,Namibia,Alaska
565,3,1920,0,1,Pounds,Namibia,Alaska
565,3,1921,0,1,Pounds,Namibia,Alaska
565,3,1922,0,1,Pounds,Namibia,Alaska
565,3,1923,0,1,Pounds,Namibia,Alaska
565,3,1924,0,1,Pounds,Namibia,Alaska
565,3,1926,0,1,Pounds,Namibia,Alaska
565,3,1927,0,1,Pounds,Namibia,Alaska
565,3,1928,0,1,Pounds,Namibia,Alaska
565,3,1929,0,1,Pounds,Namibia,Alaska
565,3,1944,0,1,Pounds,Namibia,Alaska
565,3,1945,0,1,Pounds,Namibia,Alaska
565,3,1946,0,1,Pounds,Namibia,Alaska
565,3,1947,0,1,Pounds,Namibia,Alaska
565,3,1948,0,1,Pounds,Namibia,Alaska
565,3,1949,4,1,Pounds,Namibia,Alaska
565,20,1919,918,1,Pounds,Namibia,Canada
565,20,1920,2435,1,Pounds,Namibia,Canada
565,20,1921,1586,1,Pounds,Namibia,Canada
565,20,1922,53,1,Pounds,Namibia,Canada
565,20,1923,370,1,Pounds,Namibia,Canada
565,20,1924,603,1,Pounds,Namibia,Canada
565,20,1926,1610,1,Pounds,Namibia,Canada
565,20,1927,1345,1,Pounds,Namibia,Canada
565,20,1928,4163,1,Pounds,Namibia,Canada
565,20,1929,3215,1,Pounds,Namibia,Canada
565,20,1944,4184,1,Pounds,Namibia,Canada
565,20,1945,26215,1,Pounds,Namibia,Canada
565,20,1946,30576,1,Pounds,Namibia,Canada
565,20,1947,161128,1,Pounds,Namibia,Canada
565,20,1948,74835,1,Pounds,Namibia,Canada
