ccode1,ccode2,year,imp,places,currency,country1,country2
380,2,1912,60458245,1,,Sweden,United States
380,2,1913,76583150,1,,Sweden,United States
380,2,1914,78076212,1,,Sweden,United States
380,2,1915,321864961,1,,Sweden,United States
380,2,1916,213935449,1,,Sweden,United States
380,2,1917,96121682,1,,Sweden,United States
380,2,1918,82548470,1,,Sweden,United States
380,2,1919,646250200,1,,Sweden,United States
380,2,1920,779243938,1,,Sweden,United States
380,2,1921,242891922,1,,Sweden,United States
380,2,1922,167371833,1,,Sweden,United States
380,2,1923,213749920,1,,Sweden,United States
380,2,1924,227285392,1,Couronnes,Sweden,United States
380,2,1925,219444193,1,Couronnes,Sweden,United States
380,2,1926,199377997,1,Couronnes,Sweden,United States
380,2,1927,200775201,1,Couronnes,Sweden,United States
380,2,1928,251767237,1,Couronnes,Sweden,United States
380,2,1929,261405732,1,Couronnes,Sweden,United States
380,2,1930,229249689,1,Couronnes,Sweden,United States
380,2,1931,178126311,1,Couronnes,Sweden,United States
380,2,1932,124841909,1,Couronnes,Sweden,United States
380,2,1933,112710132,1,Couronnes,Sweden,United States
380,2,1934,153614052,1,Couronnes,Sweden,United States
380,2,1935,188867407,1,Couronnes,Sweden,United States
380,2,1936,210975035,1,Couronnes,Sweden,United States
380,2,1937,293999307,1,Couronnes,Sweden,United States
380,2,1938,336533695,1,Couronnes,Sweden,United States
380,2,1939,414260263,1,Couronnes,Sweden,United States
380,2,1940,275732076,1,Couronnes,Sweden,United States
380,2,1941,127616337,1,Couronnes,Sweden,United States
380,2,1942,73268089,1,Couronnes,Sweden,United States
380,2,1943,48143187,1,Couronnes,Sweden,United States
380,2,1944,44480724,1,Couronnes,Sweden,United States
380,2,1945,175523392,1,Couronnes,Sweden,United States
380,2,1946,800649923,1,Couronnes,Sweden,United States
380,2,1947,1640281080,1,Couronnes,Sweden,United States
380,2,1948,692152198,1,Kronor,Sweden,United States
380,2,1949,415829423,1,Kronor,Sweden,United States
380,10,1912,0,1,,Sweden,Greenland
380,10,1913,0,1,,Sweden,Greenland
380,10,1914,0,1,,Sweden,Greenland
380,10,1915,0,1,,Sweden,Greenland
380,10,1916,0,1,,Sweden,Greenland
380,10,1917,0,1,,Sweden,Greenland
380,10,1918,0,1,,Sweden,Greenland
380,10,1919,0,1,,Sweden,Greenland
380,10,1920,0,1,,Sweden,Greenland
380,10,1921,0,1,,Sweden,Greenland
380,10,1922,0,1,,Sweden,Greenland
380,10,1923,0,1,,Sweden,Greenland
380,10,1924,0,1,Couronnes,Sweden,Greenland
380,10,1925,0,1,Couronnes,Sweden,Greenland
380,10,1926,0,1,Couronnes,Sweden,Greenland
380,10,1927,0,1,Couronnes,Sweden,Greenland
380,10,1928,0,1,Couronnes,Sweden,Greenland
380,10,1929,0,1,Couronnes,Sweden,Greenland
380,10,1930,0,1,Couronnes,Sweden,Greenland
380,10,1931,0,1,Couronnes,Sweden,Greenland
380,10,1932,0,1,Couronnes,Sweden,Greenland
380,10,1933,0,1,Couronnes,Sweden,Greenland
380,10,1934,0,1,Couronnes,Sweden,Greenland
380,10,1935,40,1,Couronnes,Sweden,Greenland
380,10,1936,81571,1,Couronnes,Sweden,Greenland
380,10,1937,58910,1,Couronnes,Sweden,Greenland
380,10,1938,189031,1,Couronnes,Sweden,Greenland
380,10,1939,110663,1,Couronnes,Sweden,Greenland
380,10,1940,1529,1,Couronnes,Sweden,Greenland
380,10,1941,0,1,Couronnes,Sweden,Greenland
380,10,1942,0,1,Couronnes,Sweden,Greenland
380,10,1943,0,1,Couronnes,Sweden,Greenland
380,10,1944,0,1,Couronnes,Sweden,Greenland
380,10,1945,93620,1,Couronnes,Sweden,Greenland
380,10,1946,130079,1,Couronnes,Sweden,Greenland
380,10,1947,66200,1,Couronnes,Sweden,Greenland
380,10,1948,56015,1,Kronor,Sweden,Greenland
380,10,1949,85107,1,Kronor,Sweden,Greenland
380,20,1912,0,1,,Sweden,Canada
380,20,1913,0,1,,Sweden,Canada
380,20,1914,0,1,,Sweden,Canada
380,20,1915,0,1,,Sweden,Canada
380,20,1916,0,1,,Sweden,Canada
380,20,1917,0,1,,Sweden,Canada
380,20,1918,0,1,,Sweden,Canada
380,20,1919,0,1,,Sweden,Canada
380,20,1920,0,1,,Sweden,Canada
380,20,1921,0,1,,Sweden,Canada
380,20,1922,0,1,,Sweden,Canada
380,20,1923,0,1,,Sweden,Canada
380,20,1924,0,1,Couronnes,Sweden,Canada
380,20,1925,0,1,Couronnes,Sweden,Canada
380,20,1926,0,1,Couronnes,Sweden,Canada
380,20,1927,0,1,Couronnes,Sweden,Canada
380,20,1928,0,1,Couronnes,Sweden,Canada
380,20,1929,0,1,Couronnes,Sweden,Canada
380,20,1930,0,1,Couronnes,Sweden,Canada
380,20,1931,0,1,Couronnes,Sweden,Canada
380,20,1932,0,1,Couronnes,Sweden,Canada
380,20,1933,0,1,Couronnes,Sweden,Canada
380,20,1934,0,1,Couronnes,Sweden,Canada
380,20,1935,0,1,Couronnes,Sweden,Canada
380,20,1936,0,1,Couronnes,Sweden,Canada
380,20,1937,0,1,Couronnes,Sweden,Canada
380,20,1938,0,1,Couronnes,Sweden,Canada
380,20,1939,0,1,Couronnes,Sweden,Canada
380,20,1940,0,1,Couronnes,Sweden,Canada
380,20,1941,0,1,Couronnes,Sweden,Canada
380,20,1942,0,1,Couronnes,Sweden,Canada
380,20,1943,0,1,Couronnes,Sweden,Canada
380,20,1944,0,1,Couronnes,Sweden,Canada
380,20,1945,13730978,1,Couronnes,Sweden,Canada
380,20,1946,38582140,1,Couronnes,Sweden,Canada
380,20,1947,52642936,1,Couronnes,Sweden,Canada
380,20,1948,35674979,1,Kronor,Sweden,Canada
380,20,1949,28925355,1,Kronor,Sweden,Canada
380,22,1912,261600,1,,Sweden,British North America
380,22,1913,201790,1,,Sweden,British North America
380,22,1914,131107,1,,Sweden,British North America
380,22,1915,95537,1,,Sweden,British North America
380,22,1916,94859,1,,Sweden,British North America
380,22,1917,2141,1,,Sweden,British North America
380,22,1918,354,1,,Sweden,British North America
380,22,1919,89131,1,,Sweden,British North America
380,22,1920,8719830,1,,Sweden,British North America
380,22,1921,3802886,1,,Sweden,British North America
380,22,1922,7755549,1,,Sweden,British North America
380,22,1923,10189587,1,,Sweden,British North America
380,22,1924,17518748,1,Couronnes,Sweden,British North America
380,22,1925,16288729,1,Couronnes,Sweden,British North America
380,22,1926,8750441,1,Couronnes,Sweden,British North America
380,22,1927,12312896,1,Couronnes,Sweden,British North America
380,22,1928,20792244,1,Couronnes,Sweden,British North America
380,22,1929,13292747,1,Couronnes,Sweden,British North America
380,22,1930,10037769,1,Couronnes,Sweden,British North America
380,22,1931,6526471,1,Couronnes,Sweden,British North America
380,22,1932,11031890,1,Couronnes,Sweden,British North America
380,22,1933,4256542,1,Couronnes,Sweden,British North America
380,22,1934,2445857,1,Couronnes,Sweden,British North America
380,22,1935,2489159,1,Couronnes,Sweden,British North America
380,22,1936,12001885,1,Couronnes,Sweden,British North America
380,22,1937,15592144,1,Couronnes,Sweden,British North America
380,22,1938,19836145,1,Couronnes,Sweden,British North America
380,22,1939,12967334,1,Couronnes,Sweden,British North America
380,22,1940,7618613,1,Couronnes,Sweden,British North America
380,22,1941,113090,1,Couronnes,Sweden,British North America
380,22,1942,233494,1,Couronnes,Sweden,British North America
380,22,1943,3723,1,Couronnes,Sweden,British North America
380,22,1944,30363,1,Couronnes,Sweden,British North America
380,22,1945,0,1,Couronnes,Sweden,British North America
380,22,1946,0,1,Couronnes,Sweden,British North America
380,22,1947,0,1,Couronnes,Sweden,British North America
380,22,1948,0,1,Kronor,Sweden,British North America
380,22,1949,0,1,Kronor,Sweden,British North America
380,40,1912,0,1,,Sweden,Cuba
380,40,1913,0,1,,Sweden,Cuba
380,40,1914,0,1,,Sweden,Cuba
380,40,1915,0,1,,Sweden,Cuba
380,40,1916,0,1,,Sweden,Cuba
380,40,1917,0,1,,Sweden,Cuba
380,40,1918,0,1,,Sweden,Cuba
380,40,1919,0,1,,Sweden,Cuba
380,40,1920,0,1,,Sweden,Cuba
380,40,1921,0,1,,Sweden,Cuba
380,40,1922,0,1,,Sweden,Cuba
380,40,1923,0,1,,Sweden,Cuba
380,40,1924,89989,1,Couronnes,Sweden,Cuba
380,40,1925,213555,1,Couronnes,Sweden,Cuba
380,40,1926,3710207,1,Couronnes,Sweden,Cuba
380,40,1927,2679483,1,Couronnes,Sweden,Cuba
380,40,1928,465733,1,Couronnes,Sweden,Cuba
380,40,1929,2258742,1,Couronnes,Sweden,Cuba
