ccode1,ccode2,year,imp,places,currency,country1,country2
225,2,1900,57069517,1,Franken,Switzerland,United States
225,2,1901,61309800,1,Franken,Switzerland,United States
225,2,1902,61605198,1,Franken,Switzerland,United States
225,2,1903,57343849,1,Franken,Switzerland,United States
225,2,1904,53826479,1,Franken,Switzerland,United States
225,2,1905,56924370,1,Franken,Switzerland,United States
225,2,1906,58482861,1,Franken,Switzerland,United States
225,2,1907,70144151,1,Franken,Switzerland,United States
225,2,1908,60659679,1,Franken,Switzerland,United States
225,2,1909,63553594,1,Franken,Switzerland,United States
225,2,1910,68824460,1,Franken,Switzerland,United States
225,2,1911,75084841,1,Franken,Switzerland,United States
225,2,1912,83761334,1,Franken,Switzerland,United States
225,2,1913,117.9,1000000,,Switzerland,United States
225,2,1914,107779165,1,Franken,Switzerland,United States
225,2,1915,324434959,1,Franken,Switzerland,United States
225,2,1916,564763471,1,Franken,Switzerland,United States
225,2,1917,458822820,1,Franken,Switzerland,United States
225,2,1918,353738750,1,Franken,Switzerland,United States
225,2,1919,787885223,1,,Switzerland,United States
225,2,1920,864695522,1,,Switzerland,United States
225,2,1921,385139066,1,,Switzerland,United States
225,2,1922,190.3,1000000,,Switzerland,United States
225,2,1923,177.9,1000000,,Switzerland,United States
225,2,1924,206.8,1000000,Mo. Fr.,Switzerland,United States
225,2,1925,227.3,1000000,Mo. Fr.,Switzerland,United States
225,2,1926,187.7,1000000,Mo. Fr.,Switzerland,United States
225,2,1927,220.4,1000000,Mo. Fr.,Switzerland,United States
225,2,1928,243.9,1000000,Mo. Fr.,Switzerland,United States
225,2,1929,291.2,1000000,Mo. Fr.,Switzerland,United States
225,2,1930,204.8,1000000,Mo. Fr.,Switzerland,United States
225,2,1931,163.6,1000000,Mo. Fr.,Switzerland,United States
225,2,1932,114.9,1000000,Mo. Fr.,Switzerland,United States
225,2,1933,90.3,1000000,Mo. Fr.,Switzerland,United States
225,2,1934,75.90000000000001,1000000,Mo. Fr.,Switzerland,United States
225,2,1935,69.5,1000000,Mo. Fr.,Switzerland,United States
225,2,1936,71.7,1000000,Mo. Fr.,Switzerland,United States
225,2,1937,126.2,1000000,Mo. Fr.,Switzerland,United States
225,2,1938,125.3,1000000,Mio De Fr.,Switzerland,United States
225,2,1939,132.7,1000000,Mio De Fr.,Switzerland,United States
225,2,1940,199.2,1000000,Mio De Fr.,Switzerland,United States
225,2,1941,151.3,1000000,Mio De Fr.,Switzerland,United States
225,2,1942,235.3,1000000,Mio De Fr.,Switzerland,United States
225,2,1943,56.4,1000000,Mio De Fr.,Switzerland,United States
225,2,1944,21.2,1000000,Mio De Fr.,Switzerland,United States
225,2,1945,136.8,1000000,Mio De Fr.,Switzerland,United States
225,2,1946,547815121,1,Fr,Switzerland,United States
225,2,1947,1031842568,1,Fr,Switzerland,United States
225,2,1948,954268319,1,Fr,Switzerland,United States
225,2,1949,766191277,1,Fr,Switzerland,United States
225,6,1900,0,1,Franken,Switzerland,Puerto Rico
225,6,1901,0,1,Franken,Switzerland,Puerto Rico
225,6,1902,0,1,Franken,Switzerland,Puerto Rico
225,6,1903,0,1,Franken,Switzerland,Puerto Rico
225,6,1904,0,1,Franken,Switzerland,Puerto Rico
225,6,1905,0,1,Franken,Switzerland,Puerto Rico
225,6,1906,0,1,Franken,Switzerland,Puerto Rico
225,6,1907,0,1,Franken,Switzerland,Puerto Rico
225,6,1908,0,1,Franken,Switzerland,Puerto Rico
225,6,1909,0,1,Franken,Switzerland,Puerto Rico
225,6,1910,0,1,Franken,Switzerland,Puerto Rico
225,6,1911,0,1,Franken,Switzerland,Puerto Rico
225,6,1912,0,1,Franken,Switzerland,Puerto Rico
225,6,1913,0,1000000,,Switzerland,Puerto Rico
225,6,1914,0,1,Franken,Switzerland,Puerto Rico
225,6,1915,0,1,Franken,Switzerland,Puerto Rico
