ccode1,ccode2,year,imp,places,currency,country1,country2
510,2,1921,3380,1,Pounds,Tanzania,United States
510,2,1922,1193,1,Pounds,Tanzania,United States
510,2,1923,20328,1,Pounds,Tanzania,United States
510,2,1924,15467,1,Pounds,Tanzania,United States
510,2,1925,111637,1,Pounds,Tanzania,United States
510,2,1926,184004,1,Pounds,Tanzania,United States
510,2,1927,263420,1,Pounds,Tanzania,United States
510,2,1928,308134,1,Pounds,Tanzania,United States
510,2,1929,341559,1,Pounds,Tanzania,United States
510,2,1930,269354,1,Pounds,Tanzania,United States
510,2,1931,164783,1,Pounds,Tanzania,United States
510,2,1932,105038,1,Pounds,Tanzania,United States
510,2,1933,65868,1,Pounds,Tanzania,United States
510,2,1934,133282,1,Pounds,Tanzania,United States
510,2,1935,197676,1,Pounds,Tanzania,United States
510,2,1936,217469,1,Pounds,Tanzania,United States
510,2,1937,254188,1,Pounds,Tanzania,United States
510,2,1938,242151,1,Pounds,Tanzania,United States
510,2,1939,226791,1,Pounds,Tanzania,United States
510,2,1940,256374,1,Pounds,Tanzania,United States
510,2,1941,214551,1,Pounds,Tanzania,United States
510,2,1942,170461,1,Pounds,Tanzania,United States
510,2,1943,197462,1,Pounds,Tanzania,United States
510,2,1944,504576,1,Pounds,Tanzania,United States
510,2,1945,1312570,1,Pounds,Tanzania,United States
510,2,1946,656117,1,Pounds,Tanzania,United States
510,2,1947,3064786,1,Pounds,Tanzania,United States
510,2,1948,2960567,1,Pounds,Tanzania,United States
510,2,1949,0,1,Pounds,Tanzania,United States
510,20,1921,0,1,Pounds,Tanzania,Canada
510,20,1922,0,1,Pounds,Tanzania,Canada
510,20,1923,0,1,Pounds,Tanzania,Canada
510,20,1924,0,1,Pounds,Tanzania,Canada
510,20,1925,0,1,Pounds,Tanzania,Canada
510,20,1926,0,1,Pounds,Tanzania,Canada
510,20,1927,0,1,Pounds,Tanzania,Canada
510,20,1928,0,1,Pounds,Tanzania,Canada
510,20,1929,0,1,Pounds,Tanzania,Canada
510,20,1930,0,1,Pounds,Tanzania,Canada
510,20,1931,0,1,Pounds,Tanzania,Canada
510,20,1932,0,1,Pounds,Tanzania,Canada
510,20,1933,0,1,Pounds,Tanzania,Canada
510,20,1934,0,1,Pounds,Tanzania,Canada
510,20,1935,0,1,Pounds,Tanzania,Canada
510,20,1936,0,1,Pounds,Tanzania,Canada
510,20,1937,0,1,Pounds,Tanzania,Canada
510,20,1938,0,1,Pounds,Tanzania,Canada
510,20,1939,0,1,Pounds,Tanzania,Canada
510,20,1940,0,1,Pounds,Tanzania,Canada
510,20,1941,0,1,Pounds,Tanzania,Canada
510,20,1942,0,1,Pounds,Tanzania,Canada
510,20,1943,0,1,Pounds,Tanzania,Canada
510,20,1944,0,1,Pounds,Tanzania,Canada
510,20,1945,0,1,Pounds,Tanzania,Canada
510,20,1946,0,1,Pounds,Tanzania,Canada
510,20,1947,0,1,Pounds,Tanzania,Canada
510,20,1948,301389,1,Pounds,Tanzania,Canada
510,20,1949,212012,1,Pounds,Tanzania,Canada
510,21,1921,0,1,Pounds,Tanzania,Newfoundland
510,21,1922,0,1,Pounds,Tanzania,Newfoundland
510,21,1923,0,1,Pounds,Tanzania,Newfoundland
510,21,1924,0,1,Pounds,Tanzania,Newfoundland
510,21,1925,0,1,Pounds,Tanzania,Newfoundland
510,21,1926,0,1,Pounds,Tanzania,Newfoundland
510,21,1927,0,1,Pounds,Tanzania,Newfoundland
510,21,1928,0,1,Pounds,Tanzania,Newfoundland
510,21,1929,0,1,Pounds,Tanzania,Newfoundland
510,21,1930,0,1,Pounds,Tanzania,Newfoundland
510,21,1931,0,1,Pounds,Tanzania,Newfoundland
510,21,1932,0,1,Pounds,Tanzania,Newfoundland
510,21,1933,0,1,Pounds,Tanzania,Newfoundland
510,21,1934,0,1,Pounds,Tanzania,Newfoundland
510,21,1935,0,1,Pounds,Tanzania,Newfoundland
510,21,1936,0,1,Pounds,Tanzania,Newfoundland
510,21,1937,0,1,Pounds,Tanzania,Newfoundland
510,21,1938,0,1,Pounds,Tanzania,Newfoundland
510,21,1939,0,1,Pounds,Tanzania,Newfoundland
510,21,1940,0,1,Pounds,Tanzania,Newfoundland
510,21,1941,0,1,Pounds,Tanzania,Newfoundland
510,21,1942,0,1,Pounds,Tanzania,Newfoundland
510,21,1943,0,1,Pounds,Tanzania,Newfoundland
510,21,1944,0,1,Pounds,Tanzania,Newfoundland
510,21,1945,0,1,Pounds,Tanzania,Newfoundland
510,21,1946,0,1,Pounds,Tanzania,Newfoundland
510,21,1947,0,1,Pounds,Tanzania,Newfoundland
510,21,1948,0,1,Pounds,Tanzania,Newfoundland
510,21,1949,932,1,Pounds,Tanzania,Newfoundland
510,40,1921,0,1,Pounds,Tanzania,Cuba
510,40,1922,0,1,Pounds,Tanzania,Cuba
510,40,1923,0,1,Pounds,Tanzania,Cuba
510,40,1924,0,1,Pounds,Tanzania,Cuba
510,40,1925,0,1,Pounds,Tanzania,Cuba
510,40,1926,0,1,Pounds,Tanzania,Cuba
510,40,1927,0,1,Pounds,Tanzania,Cuba
510,40,1928,0,1,Pounds,Tanzania,Cuba
510,40,1929,0,1,Pounds,Tanzania,Cuba
510,40,1930,0,1,Pounds,Tanzania,Cuba
510,40,1931,0,1,Pounds,Tanzania,Cuba
510,40,1932,0,1,Pounds,Tanzania,Cuba
510,40,1933,0,1,Pounds,Tanzania,Cuba
510,40,1934,0,1,Pounds,Tanzania,Cuba
510,40,1935,0,1,Pounds,Tanzania,Cuba
510,40,1936,0,1,Pounds,Tanzania,Cuba
510,40,1937,0,1,Pounds,Tanzania,Cuba
510,40,1938,0,1,Pounds,Tanzania,Cuba
510,40,1939,0,1,Pounds,Tanzania,Cuba
510,40,1940,0,1,Pounds,Tanzania,Cuba
510,40,1941,0,1,Pounds,Tanzania,Cuba
510,40,1942,0,1,Pounds,Tanzania,Cuba
510,40,1943,0,1,Pounds,Tanzania,Cuba
510,40,1944,0,1,Pounds,Tanzania,Cuba
510,40,1945,0,1,Pounds,Tanzania,Cuba
510,40,1946,0,1,Pounds,Tanzania,Cuba
510,40,1947,0,1,Pounds,Tanzania,Cuba
510,40,1948,3287,1,Pounds,Tanzania,Cuba
510,40,1949,0,1,Pounds,Tanzania,Cuba
510,51,1921,0,1,Pounds,Tanzania,Jamaica
510,51,1922,0,1,Pounds,Tanzania,Jamaica
510,51,1923,0,1,Pounds,Tanzania,Jamaica
510,51,1924,0,1,Pounds,Tanzania,Jamaica
510,51,1925,0,1,Pounds,Tanzania,Jamaica
510,51,1926,0,1,Pounds,Tanzania,Jamaica
510,51,1927,0,1,Pounds,Tanzania,Jamaica
510,51,1928,0,1,Pounds,Tanzania,Jamaica
510,51,1929,0,1,Pounds,Tanzania,Jamaica
510,51,1930,0,1,Pounds,Tanzania,Jamaica
510,51,1931,0,1,Pounds,Tanzania,Jamaica
510,51,1932,0,1,Pounds,Tanzania,Jamaica
