ccode1,ccode2,year,imp,places,currency,country1,country2
800,2,1929,0,1,Baht,Thailand,United States
800,2,1930,5562154,1,Baht,Thailand,United States
800,2,1931,3175387,1,Baht,Thailand,United States
800,2,1932,2158099,1,Baht,Thailand,United States
800,2,1933,2732578,1,Baht,Thailand,United States
800,2,1934,2780850,1,Baht,Thailand,United States
800,2,1935,3258299,1,Baht,Thailand,United States
800,2,1936,4103790,1,Baht,Thailand,United States
800,2,1937,5636266,1,Baht,Thailand,United States
800,2,1938,6062584,1,Baht,Thailand,United States
800,2,1939,10353069,1,Baht,Thailand,United States
800,2,1940,28050213,1,Baht,Thailand,United States
800,2,1941,23713081,1,Baht,Thailand,United States
800,2,1942,2487998,1,Baht,Thailand,United States
800,2,1943,15043,1,Baht,Thailand,United States
800,2,1944,0,1,Baht,Thailand,United States
800,2,1945,18715,1,Baht,Thailand,United States
800,2,1946,33495072,1,Baht,Thailand,United States
800,2,1947,316259077,1,Baht,Thailand,United States
800,4,1929,0,1,Baht,Thailand,Hawaii
800,4,1930,0,1,Baht,Thailand,Hawaii
800,4,1931,0,1,Baht,Thailand,Hawaii
800,4,1932,0,1,Baht,Thailand,Hawaii
800,4,1933,0,1,Baht,Thailand,Hawaii
800,4,1934,0,1,Baht,Thailand,Hawaii
800,4,1935,0,1,Baht,Thailand,Hawaii
800,4,1936,0,1,Baht,Thailand,Hawaii
800,4,1937,0,1,Baht,Thailand,Hawaii
800,4,1938,0,1,Baht,Thailand,Hawaii
800,4,1939,493,1,Baht,Thailand,Hawaii
800,4,1940,31,1,Baht,Thailand,Hawaii
800,4,1941,1120,1,Baht,Thailand,Hawaii
800,4,1942,0,1,Baht,Thailand,Hawaii
800,4,1943,0,1,Baht,Thailand,Hawaii
800,4,1944,0,1,Baht,Thailand,Hawaii
800,4,1945,0,1,Baht,Thailand,Hawaii
800,4,1946,0,1,Baht,Thailand,Hawaii
800,4,1947,32677,1,Baht,Thailand,Hawaii
800,20,1929,0,1,Baht,Thailand,Canada
800,20,1930,3253,1,Baht,Thailand,Canada
800,20,1931,998,1,Baht,Thailand,Canada
800,20,1932,7913,1,Baht,Thailand,Canada
800,20,1933,10651,1,Baht,Thailand,Canada
800,20,1934,4342,1,Baht,Thailand,Canada
800,20,1935,2476,1,Baht,Thailand,Canada
800,20,1936,14488,1,Baht,Thailand,Canada
800,20,1937,11553,1,Baht,Thailand,Canada
800,20,1938,12411,1,Baht,Thailand,Canada
800,20,1939,145020,1,Baht,Thailand,Canada
800,20,1940,443198,1,Baht,Thailand,Canada
800,20,1941,473940,1,Baht,Thailand,Canada
800,20,1942,36,1,Baht,Thailand,Canada
800,20,1943,0,1,Baht,Thailand,Canada
800,20,1944,0,1,Baht,Thailand,Canada
800,20,1945,0,1,Baht,Thailand,Canada
800,20,1946,35759,1,Baht,Thailand,Canada
800,20,1947,3142940,1,Baht,Thailand,Canada
800,21,1929,0,1,Baht,Thailand,Newfoundland
800,21,1930,0,1,Baht,Thailand,Newfoundland
800,21,1931,0,1,Baht,Thailand,Newfoundland
800,21,1932,0,1,Baht,Thailand,Newfoundland
800,21,1933,0,1,Baht,Thailand,Newfoundland
800,21,1934,0,1,Baht,Thailand,Newfoundland
800,21,1935,0,1,Baht,Thailand,Newfoundland
800,21,1936,0,1,Baht,Thailand,Newfoundland
800,21,1937,0,1,Baht,Thailand,Newfoundland
800,21,1938,0,1,Baht,Thailand,Newfoundland
