ccode1,ccode2,year,imp,places,currency,country1,country2
461,2,1938,8379,1000,Milliers De Franc Cfa,Togo,United States
461,2,1939,7936,1000,Milliers De Franc Cfa,Togo,United States
461,2,1940,0,1000,Milliers De Franc Cfa,Togo,United States
461,2,1941,0,1000,Milliers De Franc Cfa,Togo,United States
461,2,1942,0,1000,Milliers De Franc Cfa,Togo,United States
461,2,1943,0,1000,Milliers De Franc Cfa,Togo,United States
461,2,1944,0,1000,Milliers De Franc Cfa,Togo,United States
461,2,1945,52902,1000,Milliers De Franc Cfa,Togo,United States
461,2,1946,74684,1000,Milliers De Franc Cfa,Togo,United States
461,2,1947,74693,1000,Milliers De Franc Cfa,Togo,United States
461,2,1948,73481,1000,Milliers De Franc Cfa,Togo,United States
461,2,1949,118675,1000,Milliers De Franc Cfa,Togo,United States
461,20,1938,0,1000,Milliers De Franc Cfa,Togo,Canada
461,20,1939,0,1000,Milliers De Franc Cfa,Togo,Canada
461,20,1940,0,1000,Milliers De Franc Cfa,Togo,Canada
461,20,1941,0,1000,Milliers De Franc Cfa,Togo,Canada
461,20,1942,0,1000,Milliers De Franc Cfa,Togo,Canada
461,20,1943,0,1000,Milliers De Franc Cfa,Togo,Canada
461,20,1944,0,1000,Milliers De Franc Cfa,Togo,Canada
461,20,1945,0,1000,Milliers De Franc Cfa,Togo,Canada
461,20,1946,0,1000,Milliers De Franc Cfa,Togo,Canada
461,20,1947,199,1000,Milliers De Franc Cfa,Togo,Canada
461,20,1948,2083,1000,Milliers De Franc Cfa,Togo,Canada
461,20,1949,1,1000,Milliers De Franc Cfa,Togo,Canada
461,66,1938,0,1000,Milliers De Franc Cfa,Togo,Martinique
461,66,1939,0,1000,Milliers De Franc Cfa,Togo,Martinique
461,66,1940,0,1000,Milliers De Franc Cfa,Togo,Martinique
461,66,1941,0,1000,Milliers De Franc Cfa,Togo,Martinique
461,66,1942,0,1000,Milliers De Franc Cfa,Togo,Martinique
461,66,1943,0,1000,Milliers De Franc Cfa,Togo,Martinique
461,66,1944,0,1000,Milliers De Franc Cfa,Togo,Martinique
461,66,1945,2685,1000,Milliers De Franc Cfa,Togo,Martinique
461,66,1946,0,1000,Milliers De Franc Cfa,Togo,Martinique
461,66,1947,0,1000,Milliers De Franc Cfa,Togo,Martinique
461,66,1948,0,1000,Milliers De Franc Cfa,Togo,Martinique
461,66,1949,5,1000,Milliers De Franc Cfa,Togo,Martinique
461,70,1938,0,1000,Milliers De Franc Cfa,Togo,Mexico
461,70,1939,0,1000,Milliers De Franc Cfa,Togo,Mexico
461,70,1940,0,1000,Milliers De Franc Cfa,Togo,Mexico
461,70,1941,0,1000,Milliers De Franc Cfa,Togo,Mexico
461,70,1942,0,1000,Milliers De Franc Cfa,Togo,Mexico
461,70,1943,0,1000,Milliers De Franc Cfa,Togo,Mexico
461,70,1944,0,1000,Milliers De Franc Cfa,Togo,Mexico
461,70,1945,0,1000,Milliers De Franc Cfa,Togo,Mexico
461,70,1946,0,1000,Milliers De Franc Cfa,Togo,Mexico
461,70,1947,0,1000,Milliers De Franc Cfa,Togo,Mexico
461,70,1948,0,1000,Milliers De Franc Cfa,Togo,Mexico
461,70,1949,0,1000,Milliers De Franc Cfa,Togo,Mexico
461,140,1938,0,1000,Milliers De Franc Cfa,Togo,Brazil
461,140,1939,0,1000,Milliers De Franc Cfa,Togo,Brazil
461,140,1940,0,1000,Milliers De Franc Cfa,Togo,Brazil
461,140,1941,0,1000,Milliers De Franc Cfa,Togo,Brazil
461,140,1942,0,1000,Milliers De Franc Cfa,Togo,Brazil
461,140,1943,0,1000,Milliers De Franc Cfa,Togo,Brazil
461,140,1944,0,1000,Milliers De Franc Cfa,Togo,Brazil
461,140,1945,154,1000,Milliers De Franc Cfa,Togo,Brazil
461,140,1946,0,1000,Milliers De Franc Cfa,Togo,Brazil
461,140,1947,7242,1000,Milliers De Franc Cfa,Togo,Brazil
461,140,1948,0,1000,Milliers De Franc Cfa,Togo,Brazil
461,140,1949,0,1000,Milliers De Franc Cfa,Togo,Brazil
461,160,1938,0,1000,Milliers De Franc Cfa,Togo,Argentina
461,160,1939,0,1000,Milliers De Franc Cfa,Togo,Argentina
461,160,1940,0,1000,Milliers De Franc Cfa,Togo,Argentina
461,160,1941,0,1000,Milliers De Franc Cfa,Togo,Argentina
461,160,1942,0,1000,Milliers De Franc Cfa,Togo,Argentina
461,160,1943,0,1000,Milliers De Franc Cfa,Togo,Argentina
461,160,1944,0,1000,Milliers De Franc Cfa,Togo,Argentina
461,160,1945,0,1000,Milliers De Franc Cfa,Togo,Argentina
461,160,1946,55,1000,Milliers De Franc Cfa,Togo,Argentina
461,160,1947,0,1000,Milliers De Franc Cfa,Togo,Argentina
461,160,1948,0,1000,Milliers De Franc Cfa,Togo,Argentina
461,160,1949,0,1000,Milliers De Franc Cfa,Togo,Argentina
461,165,1938,36,1000,Milliers De Franc Cfa,Togo,Uruguay
461,165,1939,28,1000,Milliers De Franc Cfa,Togo,Uruguay
461,165,1940,0,1000,Milliers De Franc Cfa,Togo,Uruguay
461,165,1941,0,1000,Milliers De Franc Cfa,Togo,Uruguay
461,165,1942,0,1000,Milliers De Franc Cfa,Togo,Uruguay
461,165,1943,0,1000,Milliers De Franc Cfa,Togo,Uruguay
461,165,1944,0,1000,Milliers De Franc Cfa,Togo,Uruguay
461,165,1945,0,1000,Milliers De Franc Cfa,Togo,Uruguay
461,165,1946,0,1000,Milliers De Franc Cfa,Togo,Uruguay
461,165,1947,0,1000,Milliers De Franc Cfa,Togo,Uruguay
461,165,1948,0,1000,Milliers De Franc Cfa,Togo,Uruguay
461,165,1949,0,1000,Milliers De Franc Cfa,Togo,Uruguay
461,200,1938,10498,1000,Milliers De Franc Cfa,Togo,United Kingdom
461,200,1939,19478,1000,Milliers De Franc Cfa,Togo,United Kingdom
461,200,1940,0,1000,Milliers De Franc Cfa,Togo,United Kingdom
461,200,1941,0,1000,Milliers De Franc Cfa,Togo,United Kingdom
461,200,1942,0,1000,Milliers De Franc Cfa,Togo,United Kingdom
461,200,1943,0,1000,Milliers De Franc Cfa,Togo,United Kingdom
461,200,1944,0,1000,Milliers De Franc Cfa,Togo,United Kingdom
461,200,1945,6968,1000,Milliers De Franc Cfa,Togo,United Kingdom
461,200,1946,27364,1000,Milliers De Franc Cfa,Togo,United Kingdom
461,200,1947,24040,1000,Milliers De Franc Cfa,Togo,United Kingdom
461,200,1948,22836,1000,Milliers De Franc Cfa,Togo,United Kingdom
461,200,1949,21979,1000,Milliers De Franc Cfa,Togo,United Kingdom
461,205,1938,0,1000,Milliers De Franc Cfa,Togo,Ireland
461,205,1939,0,1000,Milliers De Franc Cfa,Togo,Ireland
461,205,1940,0,1000,Milliers De Franc Cfa,Togo,Ireland
461,205,1941,0,1000,Milliers De Franc Cfa,Togo,Ireland
461,205,1942,0,1000,Milliers De Franc Cfa,Togo,Ireland
461,205,1943,0,1000,Milliers De Franc Cfa,Togo,Ireland
461,205,1944,0,1000,Milliers De Franc Cfa,Togo,Ireland
461,205,1945,0,1000,Milliers De Franc Cfa,Togo,Ireland
461,205,1946,0,1000,Milliers De Franc Cfa,Togo,Ireland
461,205,1947,0,1000,Milliers De Franc Cfa,Togo,Ireland
461,205,1948,0,1000,Milliers De Franc Cfa,Togo,Ireland
461,205,1949,0,1000,Milliers De Franc Cfa,Togo,Ireland
461,210,1938,3902,1000,Milliers De Franc Cfa,Togo,Netherlands
461,210,1939,3983,1000,Milliers De Franc Cfa,Togo,Netherlands
461,210,1940,0,1000,Milliers De Franc Cfa,Togo,Netherlands
461,210,1941,0,1000,Milliers De Franc Cfa,Togo,Netherlands
461,210,1942,0,1000,Milliers De Franc Cfa,Togo,Netherlands
461,210,1943,0,1000,Milliers De Franc Cfa,Togo,Netherlands
461,210,1944,0,1000,Milliers De Franc Cfa,Togo,Netherlands
461,210,1945,0,1000,Milliers De Franc Cfa,Togo,Netherlands
461,210,1946,291,1000,Milliers De Franc Cfa,Togo,Netherlands
461,210,1947,17537,1000,Milliers De Franc Cfa,Togo,Netherlands
461,210,1948,18405,1000,Milliers De Franc Cfa,Togo,Netherlands
461,210,1949,12132,1000,Milliers De Franc Cfa,Togo,Netherlands
461,211,1938,1702,1000,Milliers De Franc Cfa,Togo,Belgium
461,211,1939,3874,1000,Milliers De Franc Cfa,Togo,Belgium
461,211,1940,0,1000,Milliers De Franc Cfa,Togo,Belgium
461,211,1941,0,1000,Milliers De Franc Cfa,Togo,Belgium
461,211,1942,0,1000,Milliers De Franc Cfa,Togo,Belgium
461,211,1943,0,1000,Milliers De Franc Cfa,Togo,Belgium
461,211,1944,0,1000,Milliers De Franc Cfa,Togo,Belgium
461,211,1945,96,1000,Milliers De Franc Cfa,Togo,Belgium
461,211,1946,1046,1000,Milliers De Franc Cfa,Togo,Belgium
461,211,1947,6976,1000,Milliers De Franc Cfa,Togo,Belgium
461,211,1948,17790,1000,Milliers De Franc Cfa,Togo,Belgium
461,211,1949,9252,1000,Milliers De Franc Cfa,Togo,Belgium
461,220,1938,11720,1000,Milliers De Franc Cfa,Togo,France
461,220,1939,13959,1000,Milliers De Franc Cfa,Togo,France
461,220,1940,0,1000,Milliers De Franc Cfa,Togo,France
461,220,1941,0,1000,Milliers De Franc Cfa,Togo,France
461,220,1942,0,1000,Milliers De Franc Cfa,Togo,France
461,220,1943,0,1000,Milliers De Franc Cfa,Togo,France
461,220,1944,0,1000,Milliers De Franc Cfa,Togo,France
461,220,1945,25354,1000,Milliers De Franc Cfa,Togo,France
461,220,1946,72817,1000,Milliers De Franc Cfa,Togo,France
461,220,1947,303274,1000,Milliers De Franc Cfa,Togo,France
461,220,1948,495274,1000,Milliers De Franc Cfa,Togo,France
461,220,1949,1006205,1000,Milliers De Franc Cfa,Togo,France
461,225,1938,620,1000,Milliers De Franc Cfa,Togo,Switzerland
461,225,1939,40,1000,Milliers De Franc Cfa,Togo,Switzerland
461,225,1940,0,1000,Milliers De Franc Cfa,Togo,Switzerland
461,225,1941,0,1000,Milliers De Franc Cfa,Togo,Switzerland
461,225,1942,0,1000,Milliers De Franc Cfa,Togo,Switzerland
