ccode1,ccode2,year,imp,places,currency,country1,country2
52,2,1920,3474007,1,Pounds,Trinidad And Tobago,United States
52,2,1921,2457593,1,Pounds,Trinidad And Tobago,United States
52,2,1922,1248829,1,Pounds,Trinidad And Tobago,United States
52,2,1923,1066855,1,Pounds,Trinidad And Tobago,United States
52,2,1924,934845,1,Pounds,Trinidad And Tobago,United States
52,2,1925,952836,1,Pounds,Trinidad And Tobago,United States
52,2,1926,1181378,1,Pounds,Trinidad And Tobago,United States
52,2,1927,1378482,1,Pounds,Trinidad And Tobago,United States
52,2,1928,1127953,1,Pounds,Trinidad And Tobago,United States
52,2,1929,1501675,1,Pounds,Trinidad And Tobago,United States
52,2,1930,1283998,1,Pounds,Trinidad And Tobago,United States
52,2,1931,720447,1,Pounds,Trinidad And Tobago,United States
52,2,1932,471468,1,Pounds,Trinidad And Tobago,United States
52,2,1933,513476,1,Pounds,Trinidad And Tobago,United States
52,2,1934,618793,1,Pounds,Trinidad And Tobago,United States
52,2,1935,3282624,1,$,Trinidad And Tobago,United States
52,2,1936,4429748,1,$,Trinidad And Tobago,United States
52,2,1937,8379596,1,$,Trinidad And Tobago,United States
52,2,1944,19223857,1,$,Trinidad And Tobago,United States
52,2,1945,17451300,1,$,Trinidad And Tobago,United States
52,2,1946,11637222,1,$,Trinidad And Tobago,United States
52,2,1947,27044905,1,$,Trinidad And Tobago,United States
52,2,1948,21525101,1,$,Trinidad And Tobago,United States
52,2,1949,24443828,1,$,Trinidad And Tobago,United States
52,4,1920,0,1,Pounds,Trinidad And Tobago,Hawaii
52,4,1921,0,1,Pounds,Trinidad And Tobago,Hawaii
52,4,1922,0,1,Pounds,Trinidad And Tobago,Hawaii
52,4,1923,0,1,Pounds,Trinidad And Tobago,Hawaii
52,4,1924,0,1,Pounds,Trinidad And Tobago,Hawaii
52,4,1925,0,1,Pounds,Trinidad And Tobago,Hawaii
52,4,1926,0,1,Pounds,Trinidad And Tobago,Hawaii
52,4,1927,0,1,Pounds,Trinidad And Tobago,Hawaii
52,4,1928,0,1,Pounds,Trinidad And Tobago,Hawaii
52,4,1929,0,1,Pounds,Trinidad And Tobago,Hawaii
52,4,1930,0,1,Pounds,Trinidad And Tobago,Hawaii
52,4,1931,0,1,Pounds,Trinidad And Tobago,Hawaii
52,4,1932,0,1,Pounds,Trinidad And Tobago,Hawaii
52,4,1933,0,1,Pounds,Trinidad And Tobago,Hawaii
52,4,1934,0,1,Pounds,Trinidad And Tobago,Hawaii
52,4,1935,0,1,$,Trinidad And Tobago,Hawaii
52,4,1936,0,1,$,Trinidad And Tobago,Hawaii
52,4,1937,0,1,$,Trinidad And Tobago,Hawaii
52,4,1944,0,1,$,Trinidad And Tobago,Hawaii
52,4,1945,0,1,$,Trinidad And Tobago,Hawaii
52,4,1946,0,1,$,Trinidad And Tobago,Hawaii
52,4,1947,2,1,$,Trinidad And Tobago,Hawaii
