ccode1,ccode2,year,imp,places,currency,country1,country2
616,2,1913,7117039,1,Francs,Tunisia,United States
616,2,1914,8927725,1,Francs,Tunisia,United States
616,2,1915,3493214,1,Francs,Tunisia,United States
616,2,1916,8168961,1,Francs,Tunisia,United States
616,2,1917,7116434,1,Francs,Tunisia,United States
616,2,1918,16104517,1,Francs,Tunisia,United States
616,2,1919,21827494,1,Francs,Tunisia,United States
616,2,1920,86540984,1,Francs,Tunisia,United States
616,2,1921,84185877,1,Francs,Tunisia,United States
616,2,1922,62984227,1,Francs,Tunisia,United States
616,2,1923,32191189,1,Francs,Tunisia,United States
616,2,1924,34980127,1,Francs,Tunisia,United States
616,2,1925,36821474,1,Francs,Tunisia,United States
616,2,1926,51052461,1,Francs,Tunisia,United States
616,2,1927,81869367,1,Francs,Tunisia,United States
616,2,1928,65417,1000,Mille Francs,Tunisia,United States
616,2,1929,92997,1000,Mille Francs,Tunisia,United States
616,2,1930,88161,1000,Mille Francs,Tunisia,United States
616,2,1931,59628,1000,Mille Francs,Tunisia,United States
616,2,1932,34915,1000,Mille Francs,Tunisia,United States
616,2,1933,16266,1000,Mille Francs,Tunisia,United States
616,2,1934,17135,1000,Mille Francs,Tunisia,United States
616,2,1935,50530,1000,Mille Francs,Tunisia,United States
616,2,1936,34077,1000,Mille Francs,Tunisia,United States
616,2,1937,53399,1000,Mille Francs,Tunisia,United States
616,2,1938,55924,1000,Mille Francs,Tunisia,United States
616,2,1939,63360,1000,Mille Francs,Tunisia,United States
616,2,1940,56566,1000,Mille Francs,Tunisia,United States
616,2,1947,3381172,1000,Milliers De Francs,Tunisia,United States
616,2,1948,4136748,1000,Milliers De Francs,Tunisia,United States
616,2,1949,2741654,1000,Milliers De Francs,Tunisia,United States
616,20,1913,432,1,Francs,Tunisia,Canada
616,20,1914,0,1,Francs,Tunisia,Canada
616,20,1915,0,1,Francs,Tunisia,Canada
616,20,1916,0,1,Francs,Tunisia,Canada
616,20,1917,0,1,Francs,Tunisia,Canada
616,20,1918,0,1,Francs,Tunisia,Canada
616,20,1919,590286,1,Francs,Tunisia,Canada
616,20,1920,664684,1,Francs,Tunisia,Canada
616,20,1921,20798,1,Francs,Tunisia,Canada
616,20,1922,3390358,1,Francs,Tunisia,Canada
616,20,1923,4351074,1,Francs,Tunisia,Canada
616,20,1924,1292164,1,Francs,Tunisia,Canada
616,20,1925,6764706,1,Francs,Tunisia,Canada
616,20,1926,1813311,1,Francs,Tunisia,Canada
616,20,1927,27469298,1,Francs,Tunisia,Canada
616,20,1928,0,1000,Mille Francs,Tunisia,Canada
616,20,1929,300,1000,Mille Francs,Tunisia,Canada
616,20,1930,2771,1000,Mille Francs,Tunisia,Canada
