ccode1,ccode2,year,imp,places,currency,country1,country2
640,2,1923,11059352,1,,Turkey,United States
640,2,1924,11377884,1,,Turkey,United States
640,2,1925,19603359,1,Liras,Turkey,United States
640,2,1926,8166174,1,Liras,Turkey,United States
640,2,1927,8163658,1,Liras,Turkey,United States
640,2,1928,10182432,1,Liras,Turkey,United States
640,2,1929,17150469,1,Liras,Turkey,United States
640,2,1930,6093696,1,Lira,Turkey,United States
640,2,1931,4117612,1,Lira,Turkey,United States
640,2,1932,2266546,1,Lira,Turkey,United States
640,2,1933,2343959,1,Lira,Turkey,United States
640,2,1934,3756268,1,Lira,Turkey,United States
640,2,1935,6181964,1,Lira,Turkey,United States
640,2,1936,8992787,1,Lira,Turkey,United States
640,2,1937,17295,1000,Milliers De Lira,Turkey,United States
640,2,1938,15680,1000,Milliers De Lira,Turkey,United States
640,2,1939,11685,1000,Milliers De Lira,Turkey,United States
640,2,1940,7447,1000,Milliers De Lira,Turkey,United States
640,2,1941,4007,1000,Milliers De Lira,Turkey,United States
640,2,1942,7171,1000,Milliers De Lira,Turkey,United States
640,2,1943,4887,1000,Milliers De Lira,Turkey,United States
640,2,1944,7644,1000,Milliers De Lira,Turkey,United States
640,2,1945,22183,1000,Milliers De Lira,Turkey,United States
640,2,1946,70131,1000,Milliers De Lira,Turkey,United States
640,2,1947,228311,1000,Milliers De Lira,Turkey,United States
640,2,1948,179021,1000,Milliers De Lira,Turkey,United States
640,2,1949,164335,1000,Milliers De Lira,Turkey,United States
640,6,1923,0,1,,Turkey,Puerto Rico
640,6,1924,0,1,,Turkey,Puerto Rico
640,6,1925,0,1,Liras,Turkey,Puerto Rico
640,6,1926,0,1,Liras,Turkey,Puerto Rico
640,6,1927,0,1,Liras,Turkey,Puerto Rico
640,6,1928,0,1,Liras,Turkey,Puerto Rico
640,6,1929,0,1,Liras,Turkey,Puerto Rico
640,6,1930,0,1,Lira,Turkey,Puerto Rico
640,6,1931,0,1,Lira,Turkey,Puerto Rico
640,6,1932,0,1,Lira,Turkey,Puerto Rico
640,6,1933,0,1,Lira,Turkey,Puerto Rico
640,6,1934,0,1,Lira,Turkey,Puerto Rico
640,6,1935,0,1,Lira,Turkey,Puerto Rico
640,6,1936,0,1,Lira,Turkey,Puerto Rico
640,6,1937,0,1000,Milliers De Lira,Turkey,Puerto Rico
640,6,1938,0,1000,Milliers De Lira,Turkey,Puerto Rico
640,6,1939,0,1000,Milliers De Lira,Turkey,Puerto Rico
640,6,1940,0,1000,Milliers De Lira,Turkey,Puerto Rico
640,6,1941,0,1000,Milliers De Lira,Turkey,Puerto Rico
640,6,1942,0,1000,Milliers De Lira,Turkey,Puerto Rico
640,6,1943,0,1000,Milliers De Lira,Turkey,Puerto Rico
640,6,1944,0,1000,Milliers De Lira,Turkey,Puerto Rico
640,6,1945,0,1000,Milliers De Lira,Turkey,Puerto Rico
640,6,1946,0,1000,Milliers De Lira,Turkey,Puerto Rico
640,6,1947,0,1000,Milliers De Lira,Turkey,Puerto Rico
640,6,1948,0,1000,Milliers De Lira,Turkey,Puerto Rico
640,6,1949,0,1000,Milliers De Lira,Turkey,Puerto Rico
640,20,1923,0,1,,Turkey,Canada
640,20,1924,0,1,,Turkey,Canada
640,20,1925,0,1,Liras,Turkey,Canada
640,20,1926,0,1,Liras,Turkey,Canada
640,20,1927,0,1,Liras,Turkey,Canada
640,20,1928,0,1,Liras,Turkey,Canada
640,20,1929,0,1,Liras,Turkey,Canada
640,20,1930,0,1,Lira,Turkey,Canada
640,20,1931,0,1,Lira,Turkey,Canada
640,20,1932,0,1,Lira,Turkey,Canada
640,20,1933,0,1,Lira,Turkey,Canada
640,20,1934,0,1,Lira,Turkey,Canada
640,20,1935,0,1,Lira,Turkey,Canada
640,20,1936,3,1,Lira,Turkey,Canada
640,20,1937,0,1000,Milliers De Lira,Turkey,Canada
640,20,1938,0,1000,Milliers De Lira,Turkey,Canada
640,20,1939,0,1000,Milliers De Lira,Turkey,Canada
640,20,1940,0,1000,Milliers De Lira,Turkey,Canada
640,20,1941,0,1000,Milliers De Lira,Turkey,Canada
640,20,1942,8,1000,Milliers De Lira,Turkey,Canada
640,20,1943,740,1000,Milliers De Lira,Turkey,Canada
640,20,1944,103,1000,Milliers De Lira,Turkey,Canada
640,20,1945,305,1000,Milliers De Lira,Turkey,Canada
640,20,1946,724,1000,Milliers De Lira,Turkey,Canada
640,20,1947,500,1000,Milliers De Lira,Turkey,Canada
640,20,1948,5757,1000,Milliers De Lira,Turkey,Canada
640,20,1949,42396,1000,Milliers De Lira,Turkey,Canada
640,40,1923,0,1,,Turkey,Cuba
640,40,1924,0,1,,Turkey,Cuba
640,40,1925,0,1,Liras,Turkey,Cuba
640,40,1926,0,1,Liras,Turkey,Cuba
