ccode1,ccode2,year,imp,places,currency,country1,country2
200,2,1905,114669797,1,Pounds,United Kingdom,United States
200,2,1906,131054366,1,Pounds,United Kingdom,United States
200,2,1907,134346708,1,Pounds,United Kingdom,United States
200,2,1908,123900831,1,Pounds,United Kingdom,United States
200,2,1909,118353893,1,Pounds,United Kingdom,United States
200,2,1910,117607435,1,Pounds,United Kingdom,United States
200,2,1911,122694486,1,Pounds,United Kingdom,United States
200,2,1912,134579304,1,Pounds,United Kingdom,United States
200,2,1913,141652072,1,Pounds,United Kingdom,United States
200,2,1914,0,1,Pounds,United Kingdom,United States
200,2,1915,0,1,Pounds,United Kingdom,United States
200,2,1916,0,1,Pounds,United Kingdom,United States
200,2,1917,0,1,Pounds,United Kingdom,United States
200,2,1918,0,1,Pounds,United Kingdom,United States
200,2,1919,541553171,1,Pounds,United Kingdom,United States
200,2,1920,563326962,1,Pounds,United Kingdom,United States
200,2,1921,274750124,1,Pounds,United Kingdom,United States
200,2,1922,221817421,1,Pounds,United Kingdom,United States
200,2,1923,210723737,1,Pounds,United Kingdom,United States
200,2,1924,241189641,1,Pounds,United Kingdom,United States
200,2,1925,245277995,1,Pounds,United Kingdom,United States
200,2,1926,228890791,1,Pounds,United Kingdom,United States
200,2,1927,200186487,1,Pounds,United Kingdom,United States
200,2,1928,188447519,1,Pounds,United Kingdom,United States
200,2,1929,195979919,1,Pounds,United Kingdom,United States
200,2,1930,153496858,1,Pounds,United Kingdom,United States
200,2,1931,104009495,1,Pounds,United Kingdom,United States
200,2,1932,83632211,1,Pounds,United Kingdom,United States
200,2,1933,75812684,1,Pounds,United Kingdom,United States
200,2,1934,81956185,1,Pounds,United Kingdom,United States
200,2,1935,87521579,1,Pounds,United Kingdom,United States
200,2,1936,93226926,1,Pounds,United Kingdom,United States
200,2,1937,114105372,1,Pounds,United Kingdom,United States
200,2,1938,117980480,1,Pounds,United Kingdom,United States
200,2,1939,117305556,1,Pounds,United Kingdom,United States
200,2,1940,275345717,1,Pounds,United Kingdom,United States
200,2,1941,408966200,1,Pounds,United Kingdom,United States
200,2,1942,535613713,1,Pounds,United Kingdom,United States
200,2,1943,1103842146,1,Pounds,United Kingdom,United States
200,2,1944,1391460929,1,Pounds,United Kingdom,United States
200,2,1945,610336670,1,Pounds,United Kingdom,United States
200,2,1946,229573109,1,Pounds,United Kingdom,United States
200,2,1947,297130869,1,Pounds,United Kingdom,United States
200,2,1948,183239084,1,Pounds,United Kingdom,United States
200,2,1949,222091411,1,Pounds,United Kingdom,United States
200,3,1905,0,1,Pounds,United Kingdom,Alaska
200,3,1906,0,1,Pounds,United Kingdom,Alaska
200,3,1907,0,1,Pounds,United Kingdom,Alaska
200,3,1908,0,1,Pounds,United Kingdom,Alaska
200,3,1909,0,1,Pounds,United Kingdom,Alaska
200,3,1910,0,1,Pounds,United Kingdom,Alaska
200,3,1911,0,1,Pounds,United Kingdom,Alaska
200,3,1912,0,1,Pounds,United Kingdom,Alaska
200,3,1913,0,1,Pounds,United Kingdom,Alaska
200,3,1914,0,1,Pounds,United Kingdom,Alaska
200,3,1915,0,1,Pounds,United Kingdom,Alaska
200,3,1916,0,1,Pounds,United Kingdom,Alaska
200,3,1917,0,1,Pounds,United Kingdom,Alaska
200,3,1918,0,1,Pounds,United Kingdom,Alaska
200,3,1919,0,1,Pounds,United Kingdom,Alaska
200,3,1920,0,1,Pounds,United Kingdom,Alaska
200,3,1921,0,1,Pounds,United Kingdom,Alaska
200,3,1922,0,1,Pounds,United Kingdom,Alaska
200,3,1923,0,1,Pounds,United Kingdom,Alaska
200,3,1924,0,1,Pounds,United Kingdom,Alaska
200,3,1925,0,1,Pounds,United Kingdom,Alaska
200,3,1926,0,1,Pounds,United Kingdom,Alaska
200,3,1927,0,1,Pounds,United Kingdom,Alaska
200,3,1928,0,1,Pounds,United Kingdom,Alaska
200,3,1929,0,1,Pounds,United Kingdom,Alaska
200,3,1930,0,1,Pounds,United Kingdom,Alaska
200,3,1931,0,1,Pounds,United Kingdom,Alaska
200,3,1932,0,1,Pounds,United Kingdom,Alaska
200,3,1933,998,1,Pounds,United Kingdom,Alaska
200,3,1934,3072,1,Pounds,United Kingdom,Alaska
200,3,1935,0,1,Pounds,United Kingdom,Alaska
200,3,1936,28804,1,Pounds,United Kingdom,Alaska
200,3,1937,29232,1,Pounds,United Kingdom,Alaska
200,3,1938,41408,1,Pounds,United Kingdom,Alaska
200,3,1939,8675,1,Pounds,United Kingdom,Alaska
200,3,1940,0,1,Pounds,United Kingdom,Alaska
200,3,1941,0,1,Pounds,United Kingdom,Alaska
200,3,1942,0,1,Pounds,United Kingdom,Alaska
200,3,1943,0,1,Pounds,United Kingdom,Alaska
200,3,1944,0,1,Pounds,United Kingdom,Alaska
200,3,1945,0,1,Pounds,United Kingdom,Alaska
200,3,1946,0,1,Pounds,United Kingdom,Alaska
200,3,1947,0,1,Pounds,United Kingdom,Alaska
200,3,1948,0,1,Pounds,United Kingdom,Alaska
200,3,1949,0,1,Pounds,United Kingdom,Alaska
200,4,1905,0,1,Pounds,United Kingdom,Hawaii
200,4,1906,2030,1,Pounds,United Kingdom,Hawaii
200,4,1907,714,1,Pounds,United Kingdom,Hawaii
200,4,1908,891,1,Pounds,United Kingdom,Hawaii
200,4,1909,1537,1,Pounds,United Kingdom,Hawaii
200,4,1910,5050,1,Pounds,United Kingdom,Hawaii
200,4,1911,4023,1,Pounds,United Kingdom,Hawaii
200,4,1912,14462,1,Pounds,United Kingdom,Hawaii
200,4,1913,18014,1,Pounds,United Kingdom,Hawaii
200,4,1914,0,1,Pounds,United Kingdom,Hawaii
200,4,1915,0,1,Pounds,United Kingdom,Hawaii
200,4,1916,0,1,Pounds,United Kingdom,Hawaii
200,4,1917,0,1,Pounds,United Kingdom,Hawaii
200,4,1918,0,1,Pounds,United Kingdom,Hawaii
200,4,1919,118650,1,Pounds,United Kingdom,Hawaii
200,4,1920,103781,1,Pounds,United Kingdom,Hawaii
200,4,1921,23072,1,Pounds,United Kingdom,Hawaii
200,4,1922,29598,1,Pounds,United Kingdom,Hawaii
200,4,1923,15424,1,Pounds,United Kingdom,Hawaii
200,4,1924,6892,1,Pounds,United Kingdom,Hawaii
200,4,1925,71460,1,Pounds,United Kingdom,Hawaii
200,4,1926,58650,1,Pounds,United Kingdom,Hawaii
200,4,1927,83973,1,Pounds,United Kingdom,Hawaii
200,4,1928,127149,1,Pounds,United Kingdom,Hawaii
200,4,1929,120375,1,Pounds,United Kingdom,Hawaii
200,4,1930,108991,1,Pounds,United Kingdom,Hawaii
200,4,1931,153568,1,Pounds,United Kingdom,Hawaii
200,4,1932,46399,1,Pounds,United Kingdom,Hawaii
200,4,1933,55021,1,Pounds,United Kingdom,Hawaii
200,4,1934,127623,1,Pounds,United Kingdom,Hawaii
200,4,1935,129779,1,Pounds,United Kingdom,Hawaii
200,4,1936,309473,1,Pounds,United Kingdom,Hawaii
200,4,1937,236383,1,Pounds,United Kingdom,Hawaii
200,4,1938,187534,1,Pounds,United Kingdom,Hawaii
200,4,1939,222735,1,Pounds,United Kingdom,Hawaii
200,4,1940,181631,1,Pounds,United Kingdom,Hawaii
200,4,1941,160,1,Pounds,United Kingdom,Hawaii
200,4,1942,2,1,Pounds,United Kingdom,Hawaii
200,4,1943,1,1,Pounds,United Kingdom,Hawaii
200,4,1944,0,1,Pounds,United Kingdom,Hawaii
200,4,1945,9,1,Pounds,United Kingdom,Hawaii
200,4,1946,3,1,Pounds,United Kingdom,Hawaii
200,4,1947,77596,1,Pounds,United Kingdom,Hawaii
200,4,1948,424,1,Pounds,United Kingdom,Hawaii
200,4,1949,3876,1,Pounds,United Kingdom,Hawaii
200,6,1905,10551,1,Pounds,United Kingdom,Puerto Rico
200,6,1906,4066,1,Pounds,United Kingdom,Puerto Rico
200,6,1907,1323,1,Pounds,United Kingdom,Puerto Rico
200,6,1908,1644,1,Pounds,United Kingdom,Puerto Rico
200,6,1909,3202,1,Pounds,United Kingdom,Puerto Rico
200,6,1910,4020,1,Pounds,United Kingdom,Puerto Rico
200,6,1911,2639,1,Pounds,United Kingdom,Puerto Rico
200,6,1912,839,1,Pounds,United Kingdom,Puerto Rico
200,6,1913,902,1,Pounds,United Kingdom,Puerto Rico
200,6,1914,0,1,Pounds,United Kingdom,Puerto Rico
200,6,1915,0,1,Pounds,United Kingdom,Puerto Rico
200,6,1916,0,1,Pounds,United Kingdom,Puerto Rico
200,6,1917,0,1,Pounds,United Kingdom,Puerto Rico
200,6,1918,0,1,Pounds,United Kingdom,Puerto Rico
200,6,1919,82394,1,Pounds,United Kingdom,Puerto Rico
200,6,1920,5976,1,Pounds,United Kingdom,Puerto Rico
200,6,1921,17196,1,Pounds,United Kingdom,Puerto Rico
200,6,1922,21236,1,Pounds,United Kingdom,Puerto Rico
200,6,1923,6554,1,Pounds,United Kingdom,Puerto Rico
200,6,1924,22905,1,Pounds,United Kingdom,Puerto Rico
200,6,1925,6351,1,Pounds,United Kingdom,Puerto Rico
200,6,1926,12645,1,Pounds,United Kingdom,Puerto Rico
200,6,1927,36236,1,Pounds,United Kingdom,Puerto Rico
200,6,1928,6960,1,Pounds,United Kingdom,Puerto Rico
200,6,1929,34007,1,Pounds,United Kingdom,Puerto Rico
200,6,1930,124930,1,Pounds,United Kingdom,Puerto Rico
200,6,1931,192536,1,Pounds,United Kingdom,Puerto Rico
200,6,1932,63767,1,Pounds,United Kingdom,Puerto Rico
200,6,1933,66775,1,Pounds,United Kingdom,Puerto Rico
200,6,1934,30034,1,Pounds,United Kingdom,Puerto Rico
200,6,1935,28343,1,Pounds,United Kingdom,Puerto Rico
200,6,1936,6081,1,Pounds,United Kingdom,Puerto Rico
