ccode1,ccode2,year,imp,places,currency,country1,country2
165,2,1915,7270986,1,,Uruguay,United States
165,2,1919,15352054,1,Pesos,Uruguay,United States
165,2,1920,14674104,1,Pesos,Uruguay,United States
165,2,1921,10329961,1,Pesos,Uruguay,United States
165,2,1922,9183344,1,Pesos,Uruguay,United States
165,2,1923,0,1,,Uruguay,United States
165,2,1924,15202988,1,Pesos,Uruguay,United States
165,2,1925,20630791,1,Pesos,Uruguay,United States
165,2,1926,21323244,1,Pesos,Uruguay,United States
165,2,1927,24883214,1,Pesos,Uruguay,United States
165,2,1928,28474473,1,Pesos,Uruguay,United States
165,2,1929,28182156,1,Pesos,Uruguay,United States
165,2,1930,23476829,1,Pesos,Uruguay,United States
165,2,1931,17089919,1,,Uruguay,United States
165,2,1932,5317822,1,,Uruguay,United States
165,2,1933,5501977,1,,Uruguay,United States
165,2,1934,9003612,1,,Uruguay,United States
165,2,1935,10210544,1,,Uruguay,United States
165,2,1936,9039877,1,,Uruguay,United States
165,2,1937,10873643,1,,Uruguay,United States
165,2,1938,8845532,1,,Uruguay,United States
165,2,1939,3469780,1,,Uruguay,United States
165,2,1940,10392413,1,Us $,Uruguay,United States
165,2,1941,19424393,1,Us $,Uruguay,United States
165,2,1942,20069145,1,Us $,Uruguay,United States
165,2,1943,16094681,1,Us $,Uruguay,United States
165,2,1944,18856027,1,Us $,Uruguay,United States
165,2,1945,29900166,1,Us $,Uruguay,United States
165,2,1946,48137712,1,Us $,Uruguay,United States
165,2,1947,82341717,1,Us $,Uruguay,United States
165,2,1948,67454813,1,Us $,Uruguay,United States
165,2,1949,39516986,1,Us $,Uruguay,United States
165,4,1915,0,1,,Uruguay,Hawaii
165,4,1919,0,1,Pesos,Uruguay,Hawaii
165,4,1920,0,1,Pesos,Uruguay,Hawaii
165,4,1921,0,1,Pesos,Uruguay,Hawaii
165,4,1922,0,1,Pesos,Uruguay,Hawaii
165,4,1923,0,1,,Uruguay,Hawaii
165,4,1924,0,1,Pesos,Uruguay,Hawaii
165,4,1925,0,1,Pesos,Uruguay,Hawaii
165,4,1926,0,1,Pesos,Uruguay,Hawaii
165,4,1927,0,1,Pesos,Uruguay,Hawaii
165,4,1928,0,1,Pesos,Uruguay,Hawaii
165,4,1929,0,1,Pesos,Uruguay,Hawaii
165,4,1930,0,1,Pesos,Uruguay,Hawaii
165,4,1931,0,1,,Uruguay,Hawaii
165,4,1932,0,1,,Uruguay,Hawaii
165,4,1933,0,1,,Uruguay,Hawaii
165,4,1934,0,1,,Uruguay,Hawaii
165,4,1935,0,1,,Uruguay,Hawaii
165,4,1936,0,1,,Uruguay,Hawaii
165,4,1937,0,1,,Uruguay,Hawaii
165,4,1938,0,1,,Uruguay,Hawaii
165,4,1939,0,1,,Uruguay,Hawaii
165,4,1940,0,1,Us $,Uruguay,Hawaii
165,4,1941,0,1,Us $,Uruguay,Hawaii
165,4,1942,0,1,Us $,Uruguay,Hawaii
165,4,1943,0,1,Us $,Uruguay,Hawaii
165,4,1944,0,1,Us $,Uruguay,Hawaii
165,4,1945,0,1,Us $,Uruguay,Hawaii
165,4,1946,0,1,Us $,Uruguay,Hawaii
165,4,1947,0,1,Us $,Uruguay,Hawaii
165,4,1948,0,1,Us $,Uruguay,Hawaii
165,4,1949,0,1,Us $,Uruguay,Hawaii
165,6,1915,0,1,,Uruguay,Puerto Rico
165,6,1919,564,1,Pesos,Uruguay,Puerto Rico
165,6,1920,0,1,Pesos,Uruguay,Puerto Rico
165,6,1921,0,1,Pesos,Uruguay,Puerto Rico
165,6,1922,442,1,Pesos,Uruguay,Puerto Rico
165,6,1923,0,1,,Uruguay,Puerto Rico
165,6,1924,0,1,Pesos,Uruguay,Puerto Rico
165,6,1925,5509,1,Pesos,Uruguay,Puerto Rico
165,6,1926,18232,1,Pesos,Uruguay,Puerto Rico
165,6,1927,23805,1,Pesos,Uruguay,Puerto Rico
165,6,1928,14657,1,Pesos,Uruguay,Puerto Rico
165,6,1929,19273,1,Pesos,Uruguay,Puerto Rico
165,6,1930,22285,1,Pesos,Uruguay,Puerto Rico
165,6,1931,14800,1,,Uruguay,Puerto Rico
165,6,1932,35310,1,,Uruguay,Puerto Rico
165,6,1933,0,1,,Uruguay,Puerto Rico
165,6,1934,0,1,,Uruguay,Puerto Rico
165,6,1935,0,1,,Uruguay,Puerto Rico
165,6,1936,0,1,,Uruguay,Puerto Rico
165,6,1937,690,1,,Uruguay,Puerto Rico
165,6,1938,0,1,,Uruguay,Puerto Rico
165,6,1939,0,1,,Uruguay,Puerto Rico
165,6,1940,0,1,Us $,Uruguay,Puerto Rico
165,6,1941,0,1,Us $,Uruguay,Puerto Rico
