ccode1,ccode2,year,imp,places,currency,country1,country2
2,10,1909,0,1,Dollars,United States,Greenland
2,10,1910,12890,1,Dollars,United States,Greenland
2,10,1911,36810,1,Dollars,United States,Greenland
2,10,1912,40120,1,Dollars,United States,Greenland
2,10,1913,40920,1,Dollars,United States,Greenland
2,10,1914,91340,1,Dollars,United States,Greenland
2,10,1915,82750,1,Dollars,United States,Greenland
2,10,1916,163475,1,Dollars,United States,Greenland
2,10,1917,218513,1,Dollars,United States,Greenland
2,10,1918,97500,1,Dollars,United States,Greenland
2,10,1919,106500,1,Dollars,United States,Greenland
2,10,1920,210000,1,Dollars,United States,Greenland
2,10,1921,294500,1,Dollars,United States,Greenland
2,10,1922,194,1000,Dollars,United States,Greenland
2,10,1923,175,1000,Dollars,United States,Greenland
2,10,1924,311,1000,Dollars,United States,Greenland
2,10,1925,691,1000,Dollars,United States,Greenland
2,10,1926,519,1000,Dollars,United States,Greenland
2,10,1927,347,1000,Dollars,United States,Greenland
2,10,1928,449,1000,Dollars,United States,Greenland
2,10,1929,435,1000,Dollars,United States,Greenland
2,10,1930,454,1000,Dollars,United States,Greenland
2,10,1931,443,1000,Dollars,United States,Greenland
2,10,1932,174,1000,Dollars,United States,Greenland
2,10,1933,150,1000,Dollars,United States,Greenland
2,10,1934,196,1000,Dollars,United States,Greenland
2,10,1935,384,1000,Dollars,United States,Greenland
2,10,1936,572,1000,Dollars,United States,Greenland
2,10,1937,725,1000,Dollars,United States,Greenland
2,10,1938,733,1000,Dollars,United States,Greenland
2,10,1939,564,1000,Dollars,United States,Greenland
2,10,1940,1328,1000,Dollars,United States,Greenland
2,10,1941,1778,1000,Dollars,United States,Greenland
2,10,1942,3998,1000,Dollars,United States,Greenland
2,10,1943,3305,1000,Dollars,United States,Greenland
2,10,1944,1570,1000,Dollars,United States,Greenland
2,10,1945,2180,1000,Dollars,United States,Greenland
2,10,1946,828,1000,Dollars,United States,Greenland
2,10,1947,1565,1000,Dollars,United States,Greenland
2,10,1948,210,1000,Dollars,United States,Greenland
2,10,1949,1313,1000,Dollars,United States,Greenland
2,20,1909,87310881,1,Dollars,United States,Canada
2,20,1910,103256955,1,Dollars,United States,Canada
2,20,1911,93923757,1,Dollars,United States,Canada
2,20,1912,120851025,1,Dollars,United States,Canada
2,20,1913,142127982,1,Dollars,United States,Canada
2,20,1914,164031910,1,Dollars,United States,Canada
2,20,1915,177594210,1,Dollars,United States,Canada
2,20,1916,237249040,1,Dollars,United States,Canada
2,20,1917,413674846,1,Dollars,United States,Canada
2,20,1918,451695009,1,Dollars,United States,Canada
2,20,1919,494696548,1,Dollars,United States,Canada
2,20,1920,611863170,1,Dollars,United States,Canada
2,20,1921,335441004,1,Dollars,United States,Canada
2,20,1922,364025,1000,Dollars,United States,Canada
2,20,1923,416005,1000,Dollars,United States,Canada
2,20,1924,399148,1000,Dollars,United States,Canada
2,20,1925,454235,1000,Dollars,United States,Canada
2,20,1926,475881,1000,Dollars,United States,Canada
2,20,1927,475028,1000,Dollars,United States,Canada
2,20,1928,489303,1000,Dollars,United States,Canada
2,20,1929,503496,1000,Dollars,United States,Canada
2,20,1930,402350,1000,Dollars,United States,Canada
2,20,1931,266268,1000,Dollars,United States,Canada
2,20,1932,174101,1000,Dollars,United States,Canada
2,20,1933,185409,1000,Dollars,United States,Canada
2,20,1934,231696,1000,Dollars,United States,Canada
2,20,1935,286444,1000,Dollars,United States,Canada
2,20,1936,375832,1000,Dollars,United States,Canada
2,20,1937,398309,1000,Dollars,United States,Canada
2,20,1938,260172,1000,Dollars,United States,Canada
2,20,1939,339956,1000,Dollars,United States,Canada
2,20,1940,423541,1000,Dollars,United States,Canada
2,20,1941,553526,1000,Dollars,United States,Canada
2,20,1942,716731,1000,Dollars,United States,Canada
2,20,1943,1024307,1000,Dollars,United States,Canada
2,20,1944,1259898,1000,Dollars,United States,Canada
2,20,1945,1124932,1000,Dollars,United States,Canada
2,20,1946,883388,1000,Dollars,United States,Canada
2,20,1947,1095102,1000,Dollars,United States,Canada
2,20,1948,1553613,1000,Dollars,United States,Canada
2,20,1949,1551037,1000,Dollars,United States,Canada
2,21,1909,1069825,1,Dollars,United States,Newfoundland
2,21,1910,1564605,1,Dollars,United States,Newfoundland
2,21,1911,1299907,1,Dollars,United States,Newfoundland
2,21,1912,1085302,1,Dollars,United States,Newfoundland
2,21,1913,1255504,1,Dollars,United States,Newfoundland
2,21,1914,1521980,1,Dollars,United States,Newfoundland
2,21,1915,1046400,1,Dollars,United States,Newfoundland
2,21,1916,2748297,1,Dollars,United States,Newfoundland
2,21,1917,5230850,1,Dollars,United States,Newfoundland
2,21,1918,5864490,1,Dollars,United States,Newfoundland
2,21,1919,5361441,1,Dollars,United States,Newfoundland
2,21,1920,2545234,1,Dollars,United States,Newfoundland
2,21,1921,1889176,1,Dollars,United States,Newfoundland
2,21,1922,2302,1000,Dollars,United States,Newfoundland
2,21,1923,2166,1000,Dollars,United States,Newfoundland
2,21,1924,2569,1000,Dollars,United States,Newfoundland
2,21,1925,3713,1000,Dollars,United States,Newfoundland
2,21,1926,9039,1000,Dollars,United States,Newfoundland
2,21,1927,9066,1000,Dollars,United States,Newfoundland
2,21,1928,10117,1000,Dollars,United States,Newfoundland
2,21,1929,10411,1000,Dollars,United States,Newfoundland
2,21,1930,11485,1000,Dollars,United States,Newfoundland
2,21,1931,10396,1000,Dollars,United States,Newfoundland
2,21,1932,7133,1000,Dollars,United States,Newfoundland
2,21,1933,4754,1000,Dollars,United States,Newfoundland
2,21,1934,5185,1000,Dollars,United States,Newfoundland
2,21,1935,6291,1000,Dollars,United States,Newfoundland
2,21,1936,4835,1000,Dollars,United States,Newfoundland
2,21,1937,8374,1000,Dollars,United States,Newfoundland
2,21,1938,6582,1000,Dollars,United States,Newfoundland
2,21,1939,8641,1000,Dollars,United States,Newfoundland
2,21,1940,12174,1000,Dollars,United States,Newfoundland
2,21,1941,15650,1000,Dollars,United States,Newfoundland
2,21,1942,12423,1000,Dollars,United States,Newfoundland
2,21,1943,12937,1000,Dollars,United States,Newfoundland
2,21,1944,14430,1000,Dollars,United States,Newfoundland
2,21,1945,18276,1000,Dollars,United States,Newfoundland
2,21,1946,26313,1000,Dollars,United States,Newfoundland
2,21,1947,31426,1000,Dollars,United States,Newfoundland
2,21,1948,39707,1000,Dollars,United States,Newfoundland
2,21,1949,0,1000,Dollars,United States,Newfoundland
2,30,1909,523493,1,Dollars,United States,Bermuda
2,30,1910,580342,1,Dollars,United States,Bermuda
2,30,1911,581568,1,Dollars,United States,Bermuda
2,30,1912,635519,1,Dollars,United States,Bermuda
2,30,1913,459159,1,Dollars,United States,Bermuda
2,30,1914,687985,1,Dollars,United States,Bermuda
2,30,1915,515459,1,Dollars,United States,Bermuda
2,30,1916,736585,1,Dollars,United States,Bermuda
2,30,1917,988364,1,Dollars,United States,Bermuda
2,30,1918,1074534,1,Dollars,United States,Bermuda
2,30,1919,1092669,1,Dollars,United States,Bermuda
2,30,1920,1568841,1,Dollars,United States,Bermuda
2,30,1921,1164713,1,Dollars,United States,Bermuda
2,30,1922,1026,1000,Dollars,United States,Bermuda
2,30,1923,1099,1000,Dollars,United States,Bermuda
2,30,1924,1195,1000,Dollars,United States,Bermuda
2,30,1925,893,1000,Dollars,United States,Bermuda
2,30,1926,1124,1000,Dollars,United States,Bermuda
2,30,1927,1107,1000,Dollars,United States,Bermuda
2,30,1928,944,1000,Dollars,United States,Bermuda
2,30,1929,773,1000,Dollars,United States,Bermuda
2,30,1930,659,1000,Dollars,United States,Bermuda
2,30,1931,527,1000,Dollars,United States,Bermuda
2,30,1932,465,1000,Dollars,United States,Bermuda
2,30,1933,419,1000,Dollars,United States,Bermuda
2,30,1934,767,1000,Dollars,United States,Bermuda
2,30,1935,327,1000,Dollars,United States,Bermuda
2,30,1936,345,1000,Dollars,United States,Bermuda
2,30,1937,400,1000,Dollars,United States,Bermuda
2,30,1938,316,1000,Dollars,United States,Bermuda
2,30,1939,287,1000,Dollars,United States,Bermuda
2,30,1940,256,1000,Dollars,United States,Bermuda
2,30,1941,313,1000,Dollars,United States,Bermuda
2,30,1942,563,1000,Dollars,United States,Bermuda
2,30,1943,733,1000,Dollars,United States,Bermuda
2,30,1944,369,1000,Dollars,United States,Bermuda
2,30,1945,529,1000,Dollars,United States,Bermuda
2,30,1946,460,1000,Dollars,United States,Bermuda
2,30,1947,652,1000,Dollars,United States,Bermuda
2,30,1948,597,1000,Dollars,United States,Bermuda
2,30,1949,480,1000,Dollars,United States,Bermuda
2,31,1909,0,1,Dollars,United States,Bahamas
2,31,1910,0,1,Dollars,United States,Bahamas
2,31,1911,0,1,Dollars,United States,Bahamas
2,31,1912,0,1,Dollars,United States,Bahamas
2,31,1913,0,1,Dollars,United States,Bahamas
2,31,1914,0,1,Dollars,United States,Bahamas
2,31,1915,0,1,Dollars,United States,Bahamas
2,31,1916,0,1,Dollars,United States,Bahamas
2,31,1917,0,1,Dollars,United States,Bahamas
2,31,1918,0,1,Dollars,United States,Bahamas
2,31,1919,0,1,Dollars,United States,Bahamas
2,31,1920,0,1,Dollars,United States,Bahamas
2,31,1921,0,1,Dollars,United States,Bahamas
2,31,1922,0,1000,Dollars,United States,Bahamas
2,31,1923,0,1000,Dollars,United States,Bahamas
2,31,1924,0,1000,Dollars,United States,Bahamas
2,31,1925,0,1000,Dollars,United States,Bahamas
2,31,1926,0,1000,Dollars,United States,Bahamas
2,31,1927,0,1000,Dollars,United States,Bahamas
2,31,1928,0,1000,Dollars,United States,Bahamas
