ccode1,ccode2,year,imp,places,currency,country1,country2
101,2,1906,13803265.77,1,Bolivares,Venezuela,United States
101,2,1907,14927955.33,1,Bolivares,Venezuela,United States
101,2,1908,12624580.75,1,Bolivares,Venezuela,United States
101,2,1909,16326452.52,1,Bolivares,Venezuela,United States
101,2,1910,19629737.81,1,Bolivares,Venezuela,United States
101,2,1911,27044343.46,1,Bolivares,Venezuela,United States
101,2,1912,35401133,1,Bolivares,Venezuela,United States
101,2,1913,35979980.03,1,Bolivares,Venezuela,United States
101,2,1914,31168108.47,1,Bolivares,Venezuela,United States
101,2,1915,41156573.58,1,Bolivares,Venezuela,United States
101,2,1916,68413372.01000001,1,Bolivares,Venezuela,United States
101,2,1917,82446351.83,1,Bolivares,Venezuela,United States
101,2,1918,47459770.06,1,Bolivares,Venezuela,United States
101,2,1919,132426273.18,1,Bolivares,Venezuela,United States
101,2,1920,161667418.22,1,Bolivares,Venezuela,United States
101,2,1921,54888763.4,1,Bolivares,Venezuela,United States
101,2,1922,53058380.1,1,Bolivares,Venezuela,United States
101,2,1923,72394053.69,1,Bolivares,Venezuela,United States
101,2,1924,119423608.8,1,Bolivares,Venezuela,United States
101,2,1925,163303598.2,1,Bolivares,Venezuela,United States
101,2,1926,228613171.29,1,Bolivares,Venezuela,United States
101,2,1927,189722501.6,1,Bolivares,Venezuela,United States
101,2,1928,239112711.1,1,Bolivares,Venezuela,United States
101,2,1929,248999083.65,1,Bolivares,Venezuela,United States
101,2,1930,186068488.35,1,Bolivares,Venezuela,United States
101,2,1931,100488634.75,1,Bolivares,Venezuela,United States
101,2,1932,69736223.2,1,Bolivares,Venezuela,United States
101,2,1933,69597120.40000001,1,Bolivares,Venezuela,United States
101,2,1934,71978523.90000001,1,Bolivares,Venezuela,United States
101,2,1935,99690464.48999999,1,Bolivares,Venezuela,United States
101,2,1936,100238305,1,,Venezuela,United States
101,2,1937,160950080,1,,Venezuela,United States
101,2,1938,175243884,1,,Venezuela,United States
101,2,1939,199571167,1,,Venezuela,United States
101,2,1940,229443078,1,Bolivares,Venezuela,United States
101,2,1941,226840443,1,Bolivares,Venezuela,United States
101,2,1942,158437824,1,,Venezuela,United States
101,2,1943,148025762,1,,Venezuela,United States
101,2,1944,455595553,1,,Venezuela,United States
101,2,1945,649768282,1,,Venezuela,United States
101,2,1946,694312992,1,,Venezuela,United States
101,2,1947,1386754366,1,,Venezuela,United States
101,2,1948,2189902611,1,,Venezuela,United States
101,2,1949,1760781980,1,,Venezuela,United States
101,3,1906,0,1,Bolivares,Venezuela,Alaska
101,3,1907,0,1,Bolivares,Venezuela,Alaska
101,3,1908,0,1,Bolivares,Venezuela,Alaska
101,3,1909,0,1,Bolivares,Venezuela,Alaska
101,3,1910,0,1,Bolivares,Venezuela,Alaska
101,3,1911,0,1,Bolivares,Venezuela,Alaska
101,3,1912,0,1,Bolivares,Venezuela,Alaska
101,3,1913,0,1,Bolivares,Venezuela,Alaska
101,3,1914,0,1,Bolivares,Venezuela,Alaska
101,3,1915,0,1,Bolivares,Venezuela,Alaska
101,3,1916,0,1,Bolivares,Venezuela,Alaska
101,3,1917,0,1,Bolivares,Venezuela,Alaska
101,3,1918,0,1,Bolivares,Venezuela,Alaska
101,3,1919,0,1,Bolivares,Venezuela,Alaska
101,3,1920,0,1,Bolivares,Venezuela,Alaska
101,3,1921,0,1,Bolivares,Venezuela,Alaska
101,3,1922,0,1,Bolivares,Venezuela,Alaska
101,3,1923,0,1,Bolivares,Venezuela,Alaska
101,3,1924,0,1,Bolivares,Venezuela,Alaska
101,3,1925,0,1,Bolivares,Venezuela,Alaska
101,3,1926,0,1,Bolivares,Venezuela,Alaska
101,3,1927,0,1,Bolivares,Venezuela,Alaska
101,3,1928,0,1,Bolivares,Venezuela,Alaska
101,3,1929,0,1,Bolivares,Venezuela,Alaska
101,3,1930,0,1,Bolivares,Venezuela,Alaska
101,3,1931,0,1,Bolivares,Venezuela,Alaska
101,3,1932,0,1,Bolivares,Venezuela,Alaska
101,3,1933,0,1,Bolivares,Venezuela,Alaska
101,3,1934,0,1,Bolivares,Venezuela,Alaska
101,3,1935,0,1,Bolivares,Venezuela,Alaska
101,3,1936,0,1,,Venezuela,Alaska
101,3,1937,0,1,,Venezuela,Alaska
101,3,1938,0,1,,Venezuela,Alaska
101,3,1939,0,1,,Venezuela,Alaska
101,3,1940,3302,1,Bolivares,Venezuela,Alaska
101,3,1941,0,1,Bolivares,Venezuela,Alaska
101,3,1942,0,1,,Venezuela,Alaska
101,3,1943,0,1,,Venezuela,Alaska
101,3,1944,0,1,,Venezuela,Alaska
101,3,1945,0,1,,Venezuela,Alaska
101,3,1946,0,1,,Venezuela,Alaska
101,3,1947,6861,1,,Venezuela,Alaska
101,3,1948,9890,1,,Venezuela,Alaska
101,3,1949,3132,1,,Venezuela,Alaska
