ccode1,ccode2,year,imp,places,currency,country1,country2
990,2,1930,54369,1,,Samoa,United States
990,4,1930,219,1,,Samoa,Hawaii
990,20,1930,15035,1,,Samoa,Canada
990,200,1930,47183,1,,Samoa,United Kingdom
990,210,1930,103,1,,Samoa,Netherlands
990,211,1930,63,1,,Samoa,Belgium
990,220,1930,792,1,,Samoa,France
990,255,1930,1589,1,,Samoa,Germany
990,305,1930,17,1,,Samoa,Austria
990,325,1930,49,1,,Samoa,Italy
990,385,1930,14,1,,Samoa,Norway
990,710,1930,1581,1,,Samoa,China
990,720,1930,1175,1,,Samoa,Hong Kong
990,740,1930,1817,1,,Samoa,Japan
990,750,1930,919,1,,Samoa,India
990,827,1930,192,1,,Samoa,Straits Settlement
990,840,1930,39,1,,Samoa,Philippines
990,900,1930,58653,1,,Samoa,Australia
990,920,1930,81388,1,,Samoa,New Zealand
990,950,1930,9333,1,,Samoa,Fiji
990,,1930,276180,1,,Samoa,
